Small businesses are critical to the fabric of our community.  As we combat #COVIDー19 together I’m shopping small to support our local economy and fighting for the Senate GOP to pass the #HeroesAct so small biz owners receive the relief they deserve. #SmallBusinessSaturday,2020-11-28 18:53:20,Twitter for iPhone,8,16,covid; 
Throughout the year military families across the country and the globe make hard sacrifices.     Throughout the #COVID19 pandemic these sacrifices have been harder.     But know this: these sacrifices have not gone – nor will they not go – unnoticed.     #MilitaryFamilyMonth,2020-11-11 23:19:05,Twitter for iPhone,6,26,covid; 
👀 Join me on Thursday at 5:30 p.m. for my virtual health symposium #WinterIsComing on #COVID19 the potential vaccine and #MedicareForAll.   I’m happy to be joined by medical experts and my sister-in-service  @RepRobinKelly.  Register ⬇️: https://t.co/LpFU1FRB5M https://t.co/9dI68WOvAX,2020-10-25 22:48:49,Twitter for iPhone,4,1,covid; 
A potential COVID-19 vaccine is not a silver bullet to solve this pandemic overnight. We must not relax our public health protocols during this time. Let's continue to socially distance avoid large indoor gatherings and WEAR MASKS! We are in this together.   cc: @EnergyCommerce https://t.co/U6JPFpov5A,2020-10-02 16:49:31,Twitter Web App,7,19,covid; 
There are more safety risks that we must be aware of due to the COVID-19 pandemic. However that should not stop our civic duty of voting.   To find out have to receive your early voting or absentee voting ballet by mail click the link ⬇️: https://t.co/bSFx3snLzS,2020-09-30 19:19:36,Twitter for iPhone,2,5,covid; 
Millions have lost their jobs during the #COVID19 pandemic and with it their health insurance. The cost of a provider’s visit and out of pocket expenses for a prescription can put birth control pills out of reach. #FreeThePill,2020-09-27 19:28:47,Twitter for iPhone,9,25,covid; 
This #LaborDay it saddens me to celebrate J'Ouvert and the West Indian Day Carnival virtually but we must do all we can to stay safe. Let's social distance wear masks and celebrate our culture from home. Check out https://t.co/GsruMYBnoF to join the virtual celebration. https://t.co/yf5fafZzyM,2020-09-07 14:28:05,Twitter Media Studio,5,25,social distance; 
Biggest attacks on USPS coming in the same swing states trending towards Biden because of 45's coronavirus failures...Must be a coincidence 🤔 https://t.co/c7iTkrsNyr,2020-08-14 22:27:03,Twitter for iPhone,13,37,corona; 
The disparate health impacts of COVID-19 exposed the prevalence of systemic racism.   Now systemic racism combined with Republican inaction and racist policy decisions will cause Black people to experience the worst economic impacts of the pandemic. https://t.co/RNeUqvwhLJ,2020-08-10 19:12:05,Twitter for iPhone,18,21,covid; 
It’s the 55th Anniversary of #Medicare &amp; #Medicaid!  As our great nation combats #coronavirus I’m reminded of our need for affordable universal healthcare for ALL.   I will continue to stand as a proud #M4A advocate because affordable healthcare is a right not a privilege.,2020-07-30 21:28:24,Twitter for iPhone,15,38,corona; 
New York State's Rent Relief program ends TODAY.   If your rent burden has increased over the course of the pandemic take advantage of this program.   We must equalize the playing field for those who have been financially impacted by #COVID—19. 🙏🏾 https://t.co/jq5d6yq56m,2020-07-30 14:53:35,Twitter for iPhone,10,5,covid; 
Today my @EnergyCommerce colleagues and I are holding a hearing with pharmaceutical industry leaders to discuss the development of a safe and affordable #COVIDー19 vaccine.   We will continue to do our part to #flattenthecurve.   Tune in ⬇️: https://t.co/dkXCWcOHKM,2020-07-21 16:51:16,Twitter for iPhone,5,7,covid; 
Trump’s decision to strip the #CDC of their control over #COVID19 data is yet another example of why he is unfit to be president. We need a leader who is accountable and transparent not one who undermines our public institutions and safety.   https://t.co/pKCLIuFnCW,2020-07-15 14:55:53,Twitter for iPhone,14,21,covid; 
Join me for this critical virtual hearing  this afternoon about ICE’s response to #COVID19. https://t.co/r9aBddOSgh,2020-07-13 16:03:58,Twitter for iPhone,5,3,covid; 
A virus knows no bias.  But when decades of systemic racism force Black and Latino Americans into high-risk jobs limits their access to care and segregates them into poor environments it's inevitable that communities of color would be the hardest hit. #COVID19   H/t @nytimes https://t.co/5aEiD4MEnZ,2020-07-07 14:00:21,Twitter for iPhone,12,18,covid; 
My neighborhood— that’s central and south Brooklyn— is the epicenter of the #COVIDー19 pandemic. My constituents and I have experienced the firsthand devastation of this virus and it is crucial that we pass the #HeroesAct NOW. https://t.co/u3wJvnh9tA,2020-07-03 14:48:19,Twitter for iPhone,17,49,covid; 
I’m grateful for the the sacrifices our essential workers like my constituent and Jamaican sister Margaret have made to protect our community in the face of #coronavirus.   Thank you for all you do Margaret- your efforts do not go unnoticed nor unrecognized. #EverydayHeroes https://t.co/SN0KcC5Ywb,2020-06-16 21:09:12,Twitter for iPhone,5,12,corona; 
Communities of color including low-income #AAPI communities are disproportionately harmed by #COVID19. Don’t let our communities get left further behind. Help cut down these inequities by getting counted in the #2020Census. More info: https://t.co/Kt4XJrPP7i.,2020-06-15 16:51:23,Twitter Web App,12,23,covid; 
Important: You will not be asked about your #ImmigrationStatus when getting tested for #COVID19 at an @NYCHealthSystem location. These care services are not a public benefit under the #PublicCharge rule. https://t.co/kYAWiRp2HE,2020-06-12 22:26:59,Twitter for iPhone,11,11,covid; 
8M renters were struggling to pay rent before #COVID19. Congress should enact the housing provisions in #HEROESAct to create a uniform eviction moratorium protect people experiencing homelessness &amp; provide #RentReliefNow.,2020-06-02 15:32:58,Twitter for iPhone,16,37,covid; 
I’ve been raising my voice for better health care for Black communities even before this pandemic and I am glad my efforts are helping bring 2 new #covid testing centers THIS WEEK to #NY09 (Flatbush &amp; Crown Heights) as a part of @NYGovCuomo partnership w @ACPNY to expand access. https://t.co/buPStb7PG2,2020-06-02 13:55:37,Twitter for iPhone,4,17,covid; 
Join me as I provide insight in my role as @TheBlackCaucus Immigration Task Force Chair for this important convo about Black Immigrant Rights during #Covid.   Register (and receive access details)➡️ https://t.co/Xq9pFqYLFf https://t.co/XAUcbKKf8p,2020-05-28 16:10:26,Twitter for iPhone,8,13,covid; 
