2 million new COVID-19 cases in 2 weeks.   13 million total cases.  260000+ total deaths.  60000 more Americans could die in next 3 weeks.   30 million Americans at risk of losing home.  50+ million Americans facing food insecurity.  AMERICANS NEEDS HELP NOW!,2020-11-28 14:28:45,Twitter for iPhone,69,214,covid; 
I’m extremely thankful for the healthcare professionals custodial personnel grocery and postal workers educators and everyone working on the front lines in the fight against COVID-19. #ThankYou,2020-11-25 19:27:39,Twitter for iPhone,9,58,covid; 
Ohio hospitals are nearing their breaking point! Help do your part. #InThisTogetherOhio  1️⃣ Wash your hands often. 🧼 2️⃣ Stay home unless emergency. 🏠  3️⃣ Wear a mask. 😷  4️⃣ Practice 6 ft. social distance. 🙅🏾‍♀️  https://t.co/pn1ujbQhpp,2020-11-25 18:04:09,Twitter for iPhone,11,28,social distance; 
We have now lost 260000+ Americans to COVID-19. Enough to fill Ohio Stadium 2.5X times. https://t.co/Sb7GMrguF9,2020-11-25 16:55:36,Twitter for iPhone,18,55,covid; 
Everyone:  COVID-19. 250000+ dead. 11+ million cases. 30 million Americans struggling to pay rent. 20 million at risk of going hungry. Countless families barely keeping their heads above water. Economy in shambles. Looming government shutdown.   Trump: Perfect time for golfing.,2020-11-24 18:10:33,Twitter for iPhone,7,33,covid; 
Tell @SenateGOP &amp; @SenateMajLdr McConnell to pass a COVID-19 stimulus bill NOW. Americans can't wait until 2021. https://t.co/U5yVoO0hkG,2020-11-23 22:05:00,Twitter Web App,14,33,covid; 
Trump spends more time tweeting about the Election and playing golf than he does talking about COVID-19. Can you believe it?!  58 days until that all changes. https://t.co/86rizjVqZH,2020-11-23 21:00:01,Twitter Web App,1,23,covid; 
BREAKING: 11885 new COVID cases &amp; 6020 Ohioans now dead. First time 10000+ daily cases. 35% increase from just last week.  https://t.co/wcIflOLxPu,2020-11-23 20:02:52,Twitter Web App,12,19,covid; 
December rent is due in 7 days &amp; 1⃣4⃣0⃣0⃣0⃣0⃣0⃣0⃣ Americans will be unable to pay it.  We need to pass a COVID-19 relief bill that includes #RentReliefNow ASAP!,2020-11-23 19:05:00,Twitter Web App,18,88,covid; 
Where's the outrage for using COVID-19 stimulus checks to buy guns?!   CC: @HouseGOP @SenateGOP &amp; @WhiteHouse,2020-11-23 18:01:00,Twitter Web App,24,128,covid; 
.@SenateGOP &amp; @SenateMajLdr McConnell: when are we going to start working on crafting a desperately needed COVID-19 relief package?   American workers families and small businesses would like to know.,2020-11-20 00:29:14,Twitter for iPhone,23,115,covid; 
If you claim to hate politicians but love your doctor it’s time to actually listen to what the doctors—instead of what “politicians”—are saying about COVID-19. #MaskUp #StayHome,2020-11-19 22:12:30,Twitter for iPhone,25,116,covid; 
October 16: "The pandemic’s going to end. It’s gonna run its course. It’s gonna end." - Trump.  November 19: 1000000 Americans contracted COVID-19 in last week.,2020-11-19 20:01:00,Twitter Web App,8,25,covid; 
FACT: Ohio is averaging 5000-7000+ new daily COVID-19 cases. That's a 500% increase since September.,2020-11-18 20:30:00,Twitter Web App,35,116,covid; 
This👏🏿is👏🏿not👏🏿a👏🏿#Plandemic.   This is real.  🧼 Wash your hands.  😷 Wear a mask 🤒 Stay home if you're sick. 🙅🏿‍♀️ Maintain social distance.   https://t.co/n8igKtuERa,2020-11-18 19:02:00,Twitter Web App,4,18,social distance; 
Glad you can find reason to celebrate when over 248000 Americans are dead and 11+ million have contracted COVID-19. https://t.co/rDRuco5HSU,2020-11-18 14:11:22,Twitter for iPhone,45,246,covid; 
Try this one on for size...  .@SenateMajLdr Mitch McConnell &amp; @SenateGOP have a problem with a 'big' COVID-19 relief package to help save lives and livelihoods but they had no issue passing a $1.8 trillion tax cut for the super wealthy.   #Priorities,2020-11-17 15:30:00,Twitter Web App,8,65,covid; 
The world's billionaires have increased their wealth by 25%+ since COVID-19 Pandemic to $10200000000000. #ByTheNumbers,2020-11-16 18:02:00,Twitter Web App,29,66,covid; 
It's been 182 DAYS since House passed #HEROESAct   Since then the @SenateGOP... 1⃣ Has confirmed 29 Trump judges. 2⃣ Rammed through Supreme Court nominee. 3⃣ But failed to pass (0⃣) COVID-19 Relief bills.  #Priorities #ByTheNumbers,2020-11-13 15:55:00,Twitter Web App,32,60,covid; 
COVID-19 cases are exploding yet Trump is too busy saving face after his Election defeat. #FailedLeadership https://t.co/haptKktw9P,2020-11-13 14:20:08,Twitter for iPhone,9,30,covid; 
THIS JUST IN: 7101 new COVID-19 cases in Ohio. That's 25%+ more than the previous record--which was set three times last week.  Overall 274457 cases and 5658 deaths.,2020-11-12 19:44:39,Twitter Web App,27,60,covid; 
Today is National EIP Registration Day. LAST CHANCE for certain individuals to get $1200 COVID-19 stimulus check. Help spread the word!  https://t.co/EGvhTNFTbu,2020-11-10 19:02:00,Twitter Web App,3,4,covid; 
