With COVID-19 on the rise we should provide monthly direct cash payments of $2000/month for at least the next 6 months to keep families afloat.  It’s common-sense policy that will save lives.,2020-11-13 21:03:44,Twitter Web App,566,3260,covid; 
Given COVID's impact on our economy it has never been more important to pass transformative solutions to the #HousingCrisis. My plan would address public housing homelessness renter relief equitable home ownership and fair housing policies. Learn more:https://t.co/BEf9ibXoZy,2020-10-07 21:06:26,Twitter Web App,5,11,covid; 
Hope Trump's team of doctors includes a chiropractor to treat the whiplash from his incoherent and erratic decision making.  COVID relief might be a game to Trump and his fellow Republicans but it isn't to the millions of American workers and small businesses that need help NOW.,2020-10-07 20:02:32,Twitter Web App,18,104,covid; 
While Trump gets free world-class COVID-19 treatment in his ivory tower he just rejected bipartisan #stimulus relief efforts for the rest of the country. Here’s what this means for you:,2020-10-06 20:22:17,Twitter Web App,362,919,covid; 
Like millions of Americans with COVID-19 Trump now has another pre-existing condition.  If he is successful in overturning the Affordable Care Act in court all of those people could be denied health insurance.  The Trump admin must drop their lawsuit NOW. #ProtectOurCare,2020-10-05 20:02:15,Twitter Web App,8,47,covid; 
Whether you've evacuated or simply need a place to escape poor air quality please know that the @RedCross Shelter at the Oregon Convention Center is open to ALL. There's plenty of space to social distance medical care good food and helpful volunteers from across the country. https://t.co/9bv7gY0Lo8,2020-09-15 22:06:28,Twitter Web App,19,45,social distance; 
Air quality conditions in Oregon are especially dangerous in the face of the pandemic. Stay informed:  ▶️ CDC info on wildfire smoke and COVID-19: https://t.co/EKwmX966xJ  ▶️ Local air quality info: https://t.co/FF0YENmiAP  ▶️ Oregon Health Authority info: https://t.co/xTzK8N0s34,2020-09-10 21:24:45,Twitter Web App,17,33,covid; 
Another telling example of empty boasting stunning incompetence &amp; cruelty as @realdonaldtrump threatens to deny badly needed resources to cities hit hard by COVID-19. Rather than working to reduce tensions he makes situations worse when he's unable to lead or solve problems.,2020-09-03 18:51:28,Twitter Web App,25,103,covid; 
Absent from the RNC: ❎Masks ❎Social distancing ❎A plan to defeat COVID-19  Present at the RNC: ☑️Racism ☑️Bigotry  ☑️Lies  We can't afford four more years of Donald Trump.,2020-08-28 02:53:06,Twitter Web App,75,329,covid; 
Just like with COVID Republicans on the House floor are arguing that Trump's sabotage of our mail system is a hoax.   Tell that to the 500+ Oregonians who've told me harrowing stories about how mail delays have already created serious problems in their lives.  #SaveThePostOffice,2020-08-22 19:45:13,Twitter Web App,56,141,covid; 
You've got to ask yourself what planet Republicans live on as they continue to block more COVID relief.  Don’t they hear constituents' fears? Don’t they get the economic trauma? How can they ignore the most urgent set of interrelated crises in our history?  People need help NOW!,2020-08-07 21:59:28,Twitter Web App,31,165,covid; 
Trump wants you to think more COVID testing is unnecessary while he is tested daily.  Trump wants you to think #VoteByMail is fraudulent while he does it often.  Trump wants your kid to go back to school while his kid's school stays closed.  We must vote this fraud out of office!,2020-08-06 02:10:16,Twitter Web App,99,302,covid; 
Disgraceful. Trump thinks the staggering coronavirus death toll in the United States "is what it is".  Tell that to the hundreds of Oregonians who have lost loved ones in part because of the administration's refusal to take this pandemic seriously. https://t.co/jlxu2XZR0a,2020-08-04 16:13:51,Twitter Web App,23,67,corona; 
The growing number of COVID-19 cases in our nation’s jails is a human rights crisis. We must take steps NOW to reduce jail populations. Countless lives are at stake. https://t.co/f7l1XlJVgG,2020-08-03 17:24:05,Twitter Web App,24,53,covid; 
It's unfathomable that @SenateGOP has allowed $600/week in unemployment insurance to expire.  Millions of Americans are still unemployed because of Trump's disastrous COVID-19 response.  The Senate must join the House in extending this important lifeline. https://t.co/Ytk1DPI6pm,2020-07-31 23:45:00,Twitter Web App,26,71,covid; 
The restaurants that make our communities unique have been hit the hardest by #COVID19.  My plan would give immediate relief to local independent restaurants so they can stay afloat and keep our communities whole. Read about it here ⬇️ https://t.co/fHBfBj2dw4,2020-05-21 23:48:00,Twitter for iPhone,18,72,covid; 
Join @SMeieran @SenBurdick and me at 11 AM for a #COVID19 virtual town hall.  We’re going to discuss the work we’re doing at the federal state and local levels to beat this and come back stronger than ever.   Watch here: https://t.co/sDw3CBFpyZ https://t.co/dmoCYD71ls,2020-05-02 17:33:06,Twitter for iPhone,1,0,covid; 
While we fight the #COVID19 crisis we should begin thinking about the ultimate crisis of our climate &amp; its most devastating impacts.   On the 50th Anniversary of #EarthDay let's commit to having the bold vision of a healthy planet &amp; a healthy economy. https://t.co/bw5rgy6HCN,2020-04-22 21:29:09,Twitter for iPhone,9,34,covid; 
The U.S. today has effectively given death sentences to hundreds of thousands of non-violent drug offenders trapped in COVID-19 hotspots in our prisons.   This 4/20 let's commit to staying the course &amp; reforming our harmful cannabis policies. https://t.co/0dt4E2BSTs,2020-04-20 21:18:46,Twitter for iPhone,22,70,covid; 
We need a “time out” on rent mortgage and commercial leases. I'm fighting for this and more in the next #COVID19 relief package.   These are troubling times. We need bold action that will make a difference for the challenges people are facing right now.,2020-04-14 01:21:43,Twitter for iPhone,37,185,covid; 
