The #COVID19 crisis is rapidly worsening: over 1000 Americans are dying EVERY DAY and we've hit a staggering 11 million cases. Senate Republicans have denied the American people desperately-needed relief for months. We *need* comprehensive legislation NOW! https://t.co/UvnoPQXDkT,2020-11-17 22:35:48,Twitter Web App,2,6,covid; 
I’m fighting to defend and expand healthcare to protect and raise wages to create millions of good-paying jobs through a 21st century infrastructure package and for another COVID relief package to help our district weather this unprecedented public health crisis.,2020-11-02 00:57:00,Twitter for iPhone,4,13,covid; 
COVID has completely changed our world and killed over 220000 Americans. @alekskarlatos downplays how lethal this disease is opposes another COVID relief package and thinks our government’s response has been an “overreaction.” https://t.co/pceJiZ8st8,2020-10-29 15:18:32,Twitter for iPhone,5,6,covid; 
I’ve always stood up for Oregon’s commercial fisherman. I have the backs of frontline workers &amp; have worked to secure the PPE they need to fight COVID-19. I’ve consistently fought for American workers &amp; to protect American jobs. I believe hardworking Oregonians should come first. https://t.co/Y6BakW41Yv,2020-10-28 21:17:04,Twitter for iPhone,3,11,covid; 
COVID-19 has hit small businesses hard but I’ve worked hard to cut red tape at the federal level so that small businesses can survive during this hardship. Since helping pass the CARES Act I haven’t stopped fighting for more resources for our district. https://t.co/UbnrSMliMe,2020-10-28 17:22:08,Twitter for iPhone,15,25,covid; 
COVID-19 might change the way our campaign operates this year but #TeamDeFazio is doing all it can to #GetOutTheVote and (safely) engage with voters. Have you voted? https://t.co/6VtV2ObgHW,2020-10-27 23:32:14,Twitter for iPhone,6,17,covid; 
COVID-19 has shown how dangerous it can be to rely on basic goods to be imported especially as we face mass shortages of PPE and other critical medical equipment.,2020-10-23 18:28:38,Twitter for iPhone,0,4,covid; 
America’s 644 billionaires have seen their wealth increase by nearly $1 trillion since the start of the COVID-19 pandemic all while millions of Americans remain unemployed and small businesses across the nation close their doors forever. https://t.co/XOKEG2Id1w,2020-10-21 21:10:13,Twitter for iPhone,5,10,covid; 
COVID-19 has hit small businesses and families hard. @alekskarlatos opposes additional COVID relief to help them through this crisis. He thinks they’ve gotten all the help they need. Wrong again Alek. https://t.co/QY8gvLLVCC,2020-10-21 16:03:01,Twitter for iPhone,5,8,covid; 
I’m fighting for infrastructure improvements improved healthcare expanded broadband access for rural areas strengthening our ports and another comprehensive COVID relief package to help small businesses and families weather this crisis.,2020-10-19 00:09:56,Twitter for iPhone,7,11,covid; 
3) strip women's reproductive choice  4) &amp; block another COVID stimulus. #WheresAlek,2020-10-15 23:52:38,Twitter for iPhone,4,9,covid; 
On this #EmergencyNursesDay I’m proud to be endorsed by @NationalNurses. Our healthcare workers have shown undeniable strength &amp; courage throughout the COVID-19 pandemic. I’ll continue to ensure they have the necessary resources to protect themselves &amp; help fight this disease. https://t.co/9AuA8lSBbF,2020-10-14 15:35:45,Twitter for iPhone,3,3,covid; 
LISTEN HERE: @alekskarlatos was asked directly if he supports another COVID relief bill for Oregon families and small businesses and he said "in short NO I do not." Now he's refusing to answer questions from reporters about why he opposes this critical relief. https://t.co/K1URwKDgDY,2020-10-12 19:22:56,Twitter for iPhone,4,8,covid; 
When asked if he would support another round of COVID relief Alek kept it brief: "In short no I do not." If elected he would completely abandon Oregon’s workers families small businesses and schools.,2020-10-07 01:54:04,Twitter for iPhone,5,18,covid; 
This administration just pulled the rug out from Oregonians who were depending on another round of COVID relief. 8 months into this pandemic Oregonians are still hurting. @alekskarlatos couldn’t agree more with cutting off all future COVID aid to our district.,2020-10-07 01:54:04,Twitter for iPhone,8,23,covid; 
Thanks for your support Dave! You're right @alekskarlatos is silent on the issues that matter most. We know he won't protect our affordable health care &amp; doesn't think our community deserves more COVID aid. I'm proud to take a stand on these issues &amp; honored to earn your vote. https://t.co/poINYryZFL,2020-10-06 19:06:55,Twitter for iPhone,6,12,covid; 
Our community needs support now not months of delays from politicians too wealthy to be affected. While Skarlatos opposes COVID relief I've been negotiating around the clock to secure Heroes 2.0 another round of federal aid for frontline workers families small biz &amp; schools. https://t.co/DxpLGG0A1S,2020-10-02 14:05:35,Twitter Web App,8,17,covid; 
I’m fighting to build on our shared successes for Oregonians. We must expand affordable health care reduce the costs of prescription drugs and get the economy back on track after Trump failed at responding to the COVID-19 crisis.,2020-09-25 21:05:52,Twitter for iPhone,4,11,covid; 
Senate Republicans released their idea of what COVID-19 “relief” should look like. Their bill would neglect to extend funding for food assistance while 26 million Americans reported that they have gone without enough food in the previous week. #COVID19 https://t.co/JbSMo5568T,2020-08-04 17:11:46,Twitter for iPhone,9,4,covid; 
I am proud that I have secured $2.3 million dollars in COVID-19 relief funds dedicated to rural airports in Southern Oregon. $1.3 million will go directly to keeping people employed and assisting with much needed maintenance. https://t.co/SdkDPaZbJK,2020-07-21 17:49:21,Twitter Web App,1,4,covid; 
Over 135000 Americans have lost their lives from #COVID19 and millions more have been hospitalized. Public health officials have been pleading with people to wear facemasks—it’s the simplest and most effective way to slow the spread and help save lives. https://t.co/vW6dUAzmvf https://t.co/dUKzkX3qH3,2020-07-13 22:29:27,Twitter for iPhone,3,7,covid; 
The Emergency Housing Protections and Relief Act of 2020 would allocate $100 billion to rental assistance programs to provide emergency relief funding to tenants and homeowners to help ensure we keep Americans housed during the COVID-19 pandemic. #RentReliefNow,2020-07-02 18:45:43,Twitter for iPhone,0,2,covid; 
Starting July 1st face masks will be required in all indoor public spaces in Oregon. COVID-19 cases are spreading at an incredibly alarming rate and we must all band together to stop the spread and save lives. Wear a mask and stop the spread! #WearAMaskSaveALife  @OregonGovBrown https://t.co/iTWGwesITy,2020-06-30 16:42:31,Twitter Web App,2,8,covid; 
On Saturday Trump said he urged officials to "slow down" testing for the novel Coronavirus. This is a damning statement from the President of the United States; over 120000 Americans have died from the virus and the lack of adequate testing has crippled our response. https://t.co/8KiMzxqMdN,2020-06-22 22:15:29,Twitter for iPhone,2,6,corona; 
My bill is focused on rebuilding our transportation system to address climate change and provide access for all putting millions of Americans back to work with good paying jobs in the recovery from COVID-19. https://t.co/XZjVOqihSj,2020-06-22 19:49:07,Twitter Web App,0,0,covid; 
Our nation carries a brutal legacy of nearly 400 years of slavery lynching and violence toward black people. Eventually scientists will find a vaccine to COVID-19 but we must address the real plague in this country of deep seeded injustice and widespread systemic racism. https://t.co/Tsi3kaiQ8Z,2020-06-03 22:00:25,Twitter for iPhone,2,1,covid; 
This would be a huge waste of taxpayer dollars under normal circumstances but during the #COVID19 crisis this is negligent! We should be using these funds to create more #PPE  for our healthcare and #frontlineworkers who are risking their lives to keep us safe. I am outraged! https://t.co/MCkQF8GniN,2020-05-11 22:40:37,Twitter Web App,2,9,covid; 
