Praying for a swift recovery for our President @realDonaldTrump @FLOTUS and everyone fighting #coronavirus.,2020-10-02 14:18:54,Twitter Web App,56,314,corona; 
ICYMI - Early data shows little evidence COVID-19 is spreading inside grade schools — rates of infection far below what’s found in the surrounding communities. https://t.co/QVTId2XucS,2020-09-29 14:12:18,Twitter Web App,10,28,covid; 
HEARTBREAKING  – Military suicides increased as much as 20% this year. The outbreak of COVID-19 and subsequent government-ordered lockdowns have placed tremendous stress on all of us.   As National Suicide Prevention Month comes to end it’s clear our work is far from over. https://t.co/YiWbEk7nT8,2020-09-28 21:24:50,Twitter Web App,13,33,covid; 
Thank you Kelly and @NHPCO_news for zooming with me today and updating me on how the COVID-19 pandemic continues to impact patients and hospice providers in our communities. As always it was great to see you! https://t.co/cWESP5IAoP,2020-09-23 20:39:09,Twitter Web App,3,14,covid; 
Great to virtually meet with the Assoc. of Equipment Manufacturers (@aemadvisor). These great folks support over 96000 jobs in PA and contribute $9.9 billion to our state economy. Together we must support the industry and all businesses impacted from the COVID-19 pandemic. https://t.co/N6RP1E2VEB,2020-09-23 20:34:06,Twitter Web App,6,15,covid; 
Gov. Wolf continues to hide and obfuscate data on his failure to protect Seniors during the COVID-19 pandemic.   The @TheJusticeDept was justified in stepping in to bring desperately needed transparency and truth for our Seniors and their loved ones.  https://t.co/FY7COUelzM,2020-09-14 15:28:45,Twitter Web App,35,60,covid; 
Happening Now: I’m joining the House Transportation &amp; Infrastructure Subcommittee on Railroads Pipelines and Hazardous Materials for a hearing on “Amtrak’s Response to COVID-19.” Tune in⬇️ https://t.co/su0TUfySGA,2020-09-09 15:00:01,Twitter Web App,10,11,covid; 
Great News! The U.S. jobless rate fell sharply to 8.4% in August down from 10.2% in July and a peak of 14.7% in April – this is the fourth straight month of job additions in the U.S. economy.   As Americans safely return to work our economy continues to recover from COVID-19. https://t.co/C3fPtMnFEQ,2020-09-04 19:40:54,Twitter Web App,77,255,covid; 
Rochelle and Cindi Smith and the loved ones of all 5155 Seniors we’ve lost to COVID-19 in PA nursing homes and long-term care facilities deserve answers and accountability from Gov. Wolf on his negligent “must admit” orders. https://t.co/XZYezXIgGT,2020-09-01 15:26:40,Twitter Web App,10,31,covid; 
As our local school districts and families begin preparing for education this fall stay current on the latest research on COVID-19 and schools children and teachers by visiting the CDC’s website at https://t.co/ODw91gzx5u,2020-08-14 16:25:00,Twitter Web App,8,13,covid; 
Collecting plasma donations from recovered COVID-19 patients is critical to the development of therapeutics to treat the virus. If you received a positive test and since recovered from COVID please consider donating today. Find a plasma donation center at https://t.co/pdZSGBwcbJ https://t.co/kEoNgXfjIE,2020-08-13 19:26:00,Twitter Web App,23,44,covid; 
Over 5000 constituents joined my Tele-Town Hall. We discussed important issues like schools reopening the next round of federal COVID-19 assistance and the recent events in Portland. If you were unable to join here’s a full recording of the call. https://t.co/kdHF6BvSh0,2020-07-24 13:00:01,Twitter Web App,5,12,covid; 
A study conducted by a University of Wisconsin health researcher on 3000 students found that 65% reported anxiety symptoms and 68% reported mild to severe depression during the Spring 2020 school closure due to COVID-19. https://t.co/vAOX7L8QBc,2020-07-23 16:45:50,Twitter Web App,9,13,covid; 
Germany’s largest study to date on schoolchildren concluded that they don’t play a major role in spreading COVID-19; instead “children act more as a brake on infection” https://t.co/1siy9EWiiG,2020-07-23 16:45:48,Twitter Web App,8,13,covid; 
REMINDER! This Wednesday July 15 is the Federal and State tax filing deadline. The Trump Administration extended the usual April 15 deadline to provide Taxpayers more time to file due to the COVID-19. For more information: https://t.co/Urz5xpVfWb https://t.co/bX5rcfwTaG,2020-07-14 13:52:22,Twitter Web App,2,3,covid; 
Schools provide our children with essential learning and development we can’t jeopardize their growth by continuing to require that they learn from home. While we continue to fight COVID-19 we can work responsibly to safely open our schools and daycares. https://t.co/XTU918VS0q,2020-07-09 21:27:14,Twitter Web App,5,22,covid; 
The spirit of Pennsylvania shines bright in this story. We’re in the fight against #COVID19 together and it’s great to see Christmas City Spirits and many of our local businesses shift production to selflessly serve our communities when they are in need.  https://t.co/O0KLaC2zwx,2020-07-07 18:39:03,Twitter Web App,5,14,covid; 
During the outbreak of COVID-19 @realDonaldTrump provided Pennsylvania:  - 2.6M N-95 masks  - 18M surgical &amp; procedural masks  - 470M medical gloves  - $301M in testing assistance funding  - PPE to all 683 Medicaid &amp; Medicare certified nursing homes,2020-07-02 19:36:12,Twitter Web App,10,37,covid; 
Thank you @SeemaCMS and @Surgeon_General for your leadership and commitment to supporting the health of all Pennsylvanians during COVID-19. @realDonaldTrump’s Administration supports our most vulnerable populations where Gov. Wolf’s fails. https://t.co/80Uspon0QP,2020-07-02 19:36:11,Twitter Web App,4,24,covid; 
Yesterday @SteveScalise joined me for a press conference on the breathtaking number of COVID-19 deaths in PA nursing homes as a result of Gov. Wolf’s failure to follow Federal guidance. The Gov. must be held accountable and the loved ones of those who perished deserve answers. https://t.co/LrVDHrUuiV,2020-07-01 17:49:27,Twitter Web App,80,138,covid; 
