What a creative way to celebrate #SmallBusinessSaturday! Socially distant outdoor pop-up shops are open on the WB square for the next 2 weeks. A great partnership between @Downtown_WB and Greater Wyoming Valley Chamber in support of our local businesses. https://t.co/xo28M9h9Pe,2020-11-28 17:01:19,Twitter Web App,1,0,socially distant; 
There's so much at stake this Election-- affordable health care good-paying jobs recovering from #COVID19. Americans across the country are counting on YOU to vote. Drop off your ballot at your County Election office or go to the polls before 8p.m. https://t.co/wGJPRQTrRi https://t.co/bLc2s6CIyJ,2020-11-03 21:15:00,Twitter Web App,3,8,covid; 
Our educators &amp; families are doing everything they can to keep their communities safe while continuing our children's education. We need comprehensive #COVID19 relief to equip them with the PPE &amp; technology needed to teach and learn amid the pandemic.  https://t.co/2ZukI9xE4l,2020-10-23 19:43:42,Twitter Web App,1,1,covid; 
Democrats &amp; Republicans are making progress in COVID relief talks but Mitch McConnell is ruling out any bipartisan deal. Americans know we need another major bill to control the spread of the virus and keep our economy afloat. We have to get this done. https://t.co/hh0OquZ4wB,2020-10-22 14:26:50,Twitter Web App,1,5,covid; 
ICYMI: At last night's debate I hope I showed voters the work I've done to invest in #NEPA. I look forward to moving us forward on a strong response to #COVID19 re-building an economy that works for everyone and strengthening our earned benefits and health care. #PA8Debate https://t.co/qHR5emSEhn,2020-10-19 22:26:00,Twitter Web App,2,8,covid; 
#COVID19 is surging again in PA. We all need to do our part and continue following mask &amp; distancing guidelines but it's also long past time for a national testing/tracing plan to mitigate hot spots. This is how we get our economy safely running again.   https://t.co/g9erEtarTK,2020-10-16 17:08:42,Twitter Web App,3,3,covid; 
To get this pandemic under control and keep it that way we need to manufacture PPE in America not China. I have a plan to advance both our #COVID19 response and our economic recovery. https://t.co/alrKRLjEfv,2020-10-11 20:35:00,Twitter Web App,6,14,covid; 
In this campaign we’re fighting for a better #COVID19 response better health care and an inclusive economic recovery - things that lift us all up. I'm so grateful for all the community leaders in Hazleton who are getting everyone ready to #VoteBlue &amp; help us move NEPA forward! https://t.co/boc4V6YgKV,2020-10-11 17:25:40,Twitter Web App,7,11,covid; 
Teachers go to work everyday &amp; shape the minds of our future leaders caretakers &amp; frontline workers. And during #COVID19 educators have been going above &amp; beyond to care for their students &amp; ensure their academic progress. #WorldTeachersDay https://t.co/BQM0yMR7w8,2020-10-05 20:19:03,Twitter Web App,4,4,covid; 
Helping businesses adapt through #COVID19 is critical and I am proud to have secured millions to support #NEPA businesses' recovery. #SmallBusinessWeek  https://t.co/48htnjGc4J,2020-09-23 12:45:00,Twitter Web App,2,5,covid; 
