TODAY at 12 I'm hosting a COVID-19 town hall with @ProbSolveCaucus Co-Chair Rep. Tom Reed.  RSVP for a zoom link or tune in to my Facebook live! https://t.co/t7E7a8f34O,2020-10-30 14:43:23,Twitter Web App,5,14,covid; 
As we continue to deal with COVID-19 we're going to need bipartisan solutions to solve our problems. I’m honored to be joined by @ProbSolveCaucus Co-Chair Rep. Tom Reed for a virtual town hall FRIDAY at 12 PM. Lowcountry residents please RSVP below: https://t.co/viJnPZobgE,2020-10-28 14:43:37,Twitter Web App,18,33,covid; 
Thank you @lowcountrylocal for helping set up today’s round table with small business owners! As COVID-19 continues to impact our small businesses it is critical that Congress provides more relief to help them keep their doors open. https://t.co/9vodtI0HZM,2020-10-22 17:38:13,Twitter for iPhone,18,44,covid; 
South Carolinians have pitched in to help their neighbors survive the COVID-19 crisis.   Now Congress needs to do its job. I’m urging the Administration Speaker Pelosi and Leader McConnell to finalize a deal this week so we can get it signed into law before the election. https://t.co/ERQ7psCbuB,2020-10-21 16:24:27,Twitter for iPhone,12,86,covid; 
SC CARES is a new statewide grant program for minority and small Businesses as well as nonprofits.  Qualifying businesses could be compensated for services and revenue losses due to COVID-19. Apply and find more info at https://t.co/WSxTHEti0Q,2020-10-20 18:38:16,Twitter Web App,22,54,covid; 
Get your flu shot 💉 wash your hands 🙌🏼 and wear your masks ✅ Let’s get through this flu season and the ongoing COVID-19 pandemic together by doing our part and taking precautions. https://t.co/AlQksUnAlt,2020-10-15 17:44:17,Twitter Web App,48,116,covid; 
Strong local news outlets are more important than ever and I'm grateful to Lowcountry outlets for keeping folks informed. I am proud to support the Local Journalism Sustainability Act to help them survive COVID-19. Read more here➡️https://t.co/271uGDj8xA,2020-10-13 18:15:56,Twitter Web App,26,53,covid; 
Did you miss my COVID-19 town hall last week with experts from @scdhec and @MUSCPR? You can watch it here: https://t.co/3SeEPA39BN,2020-10-12 17:40:21,Twitter Web App,28,50,covid; 
COVID-19 is still a serious threat to our health and safety here in South Carolina. I’m hosting a virtual town hall on Friday at 12:30 PM with experts from @scdhec and @MUSCPR to answer your questions! RSVP @ https://t.co/Yk4X0lV4Yq,2020-10-07 20:59:06,Twitter for iPhone,37,90,covid; 
When it comes to curbing China’s human rights abuses violation of intl norms and exploitation of COVID-19 Democrats + Republicans stand united. I joined a bipartisan meeting today at the WH w/ Deputy National Security Advisor Matthew Pottinger to discuss these challenges. https://t.co/P8LO1UxlNl,2020-09-30 22:41:32,Twitter for iPhone,17,83,covid; 
Our first priority right now needs to be passing bipartisan COVID-19 relief. Too many South Carolinians are still out of work + struggling to keep their small businesses afloat. Schools states + local govts are facing a budget crisis. Let’s get to work. https://t.co/0BDVliM0Mk,2020-09-23 17:10:03,Twitter Web App,17,37,covid; 
The 2020 census impacts the amt of federal funding South Carolina receives for schools roads veterans + first responders. With the added delays + issues caused by COVID-19 it's clear we need more time. That's why I support the bipartisan 2020 Census Deadline Extension Act.,2020-09-23 15:37:41,Twitter Web App,18,43,covid; 
Our country is facing big problems – from COVID-19 to our ailing infrastructure - that will only be solved if we work together. I was honored to host @RepJamesComer in the Lowcountry this weekend as a part of the @BPC_Bipartisan’s American Congressional Exchange Program. https://t.co/L2vQKma9KV,2020-09-21 15:56:25,Twitter Web App,20,49,covid; 
Proud to join my @ProbSolveCaucus colleagues to unveil our bipartisan framework to break through the gridlock + dysfunction and bring leadership back to the negotiating table for COVID-19 relief.  It is time Congress stops the partisan political posturing and compromises. https://t.co/TpYDxlyw34,2020-09-15 17:22:34,Twitter for iPhone,14,46,covid; 
Both sides need to come to the table and compromise on a COVID-19 relief deal that helps struggling families small businesses out of work Americans and provides aid to states localities and hospitals. While long overdue I am hopeful this is a start.  https://t.co/axtjPnqnam,2020-08-27 14:14:25,Twitter Web App,5,28,covid; 
Congress needs to be back in session working on COVID-19 relief. With millions of Americans out of work and small businesses still struggling inaction is unacceptable.  https://t.co/tHe2QfR4zJ,2020-08-20 18:50:25,Twitter Web App,49,180,covid; 
With hurricane season firmly underway I had a great conversation today with Roderick Tolbert our new regional @RedCross CEO. We discussed their need for volunteers the new safety measures being implemented and the realities of assistance during COVID-19.,2020-08-12 19:57:57,Twitter Web App,11,24,covid; 
The 55th anniversary of the Voting Rights Act is a reminder that we must continue to protect Americans’ right to vote. Passing the John R. Lewis Voting Rights Act promises to #ProtectOurVote and more during the coronavirus crisis.,2020-08-07 00:16:06,Twitter for iPhone,48,96,corona; 
Beaufort County libraries are still rolling with their curbside service Mon-Sat 11am-4pm. Pick up some good books AND see their statue model COVID-19 safety practices 😷! More info at https://t.co/J4JX1ZWdIe https://t.co/RNwa0J1Knc,2020-08-06 18:41:47,Twitter Web App,13,25,covid; 
I hope you'll join me tonight at 6 PM for my 12th coronavirus telephone town hall! I'll be joined by Mayor Habib of Goose Creek the Charleston Metro Chamber of Commerce and local experts from @scdhec and @SCDEWinfo. RSVP here: https://t.co/u2I6nefqb2 https://t.co/JxNjDW9mwU,2020-08-03 14:27:57,Twitter Web App,4,13,corona; 
I'm holding another COVID-19 telephone town hall on Monday August 3rd! I'll be joined by Mayor Habib of Goose Creek the Charleston Metro Chamber of Commerce and local experts from @scdhec and @SCDEWinfo. RSVP here: https://t.co/u2I6nex1zC https://t.co/BwqURLCuPG,2020-07-31 16:56:42,Twitter Web App,5,9,covid; 
COVID-19 has exacerbated the challenges that South Carolina families face forcing facilities to close and worsening the shortage of quality affordable care.,2020-07-30 00:45:42,Twitter for iPhone,9,34,covid; 
Lowcountry small businesses have been hit hard by COVID-19. These CARES Act Recovery Assistance grants are vital to helping Lowcountry small businesses survive these uncertain times and come back stronger then before.  https://t.co/bzau2OudUd,2020-07-29 18:57:24,Twitter Web App,15,19,covid; 
The @SCNationalGuard has provided critical support to our COVID-19 efforts serving alongside doctors and first responders. This legislation supports our national guardsmen by allowing them to qualify for health care benefits when they return home.  https://t.co/Ht6FyfBngG,2020-07-27 20:51:54,Twitter Web App,34,64,covid; 
The House just passed a bipartisan defense spending bill that includes a 3% raise for our troops &amp; $1 billion for pandemic preparedness as well as my amendment with @CongPalazzo providing transitional health care benefits to national guardsmen aiding in the COVID-19 response! https://t.co/cODnLbVU0r,2020-07-21 22:36:13,Twitter Web App,32,80,covid; 
Today I held a listening session with Lowcountry educators to discuss the impacts of COVID-19. As we make decisions regarding the upcoming school year we must listen to teachers and public health experts. Nothing is more important than the safety of our kids and teachers. https://t.co/q63QkRbQav,2020-07-21 19:58:14,Twitter Web App,18,67,covid; 
That’s why I am calling on Governor McMaster to request federal assistance with COVID-19 testing.   As the number of cases hospitalizations and reported deaths skyrocket we must do more to get this crisis under control. https://t.co/mhdFsxO5vb,2020-07-17 19:25:36,Twitter for iPhone,39,91,covid; 
For folks who have lost jobs due to the coronavirus pandemic applying for unemployment can be a new and confusing process but you are not alone. We helped Jacqueline get the assistance she needed. Reaching out to my office is a piece of cake - contact us today! https://t.co/QknpjiYEI6,2020-07-15 19:43:13,Twitter Web App,22,37,corona; 
Beaufort County: Info on upcoming free drive-thru COVID-19 testing below! https://t.co/2G65n2fjxY,2020-07-13 15:01:16,Twitter Web App,19,25,covid; 
As cases continue to rise in South Carolina it is abundantly clear we are not through this public health crisis. I hope you'll join me for my fifth #COVID19 telephone town hall TONIGHT at 6:00 PM! RSVP here: https://t.co/u2I6nefqb2. https://t.co/5cxvHFCGDC,2020-06-30 14:16:51,Twitter Web App,13,25,covid; 
As cases continue to rise in South Carolina it is abundantly clear we are not through this public health crisis. I hope you'll join me for my fifth #COVID19 telephone town hall this Tuesday (6/30) at 6:00 PM! RSVP here: https://t.co/u2I6nex1zC. https://t.co/Fybet8wQCH,2020-06-26 19:55:24,Twitter Web App,23,34,covid; 
