Kershaw County Schools are leading the way in the use of thermal imaging technology to help reduce the spread of COVID.  Thrilled to spend time with faculty and staff there this morning. https://t.co/h2k5sb8wFB,2020-10-26 18:39:26,Twitter for iPhone,1,12,covid; 
As with everyone who has or will contract COVID let's pray President @realDonaldTrump and @FLOTUS' symptoms remain mild for their speedy recovery and for the wellbeing of those around them.  🇺🇸,2020-10-02 10:39:32,Twitter Web App,38,261,covid; 
Biden’s new narrative: every COVID death... Trump’s fault. https://t.co/Sop9qIOM1M,2020-09-18 03:05:23,Twitter for iPhone,12,29,covid; 
Could TSA checkpoints serve to help mitigate the spread of COVID-19 and future pandemics? The Healthy Skies Act aims to find out.  My op-ed with @RepTedBudd  ⬇️⬇️⬇️  https://t.co/1DfrAfn4et,2020-08-12 19:57:22,Twitter Web App,5,11,covid; 
Long before this pandemic Congress should have been working to slash unnecessary spending.  If *trillions* of unexpected borrowing needed for COVID response won't get this conversation started now then what will?  https://t.co/NSoFicaprL,2020-08-06 19:09:45,Twitter Web App,4,9,covid; 
Until we have rapid testing let's look into temp screenings at TSA checkpoints. It won't catch asymptomatic flyers but it could prevent thousands with one of the most common #COVID19 symptoms (i.e. fever) from boarding a flight &amp; placing others at risk.  https://t.co/cd5QDRMVnQ https://t.co/YnDUWNUEIO,2020-07-22 19:29:45,Twitter Web App,1,5,covid; 
Last week I introduced a bill to help #Congress and health officials better understand the degree to which #TSA checkpoints could serve in some limited capacity as a way to help mitigate the spread of #COVID and future pandemics.  More at: https://t.co/AeyBYCQdAX https://t.co/1oPpPlBi04,2020-07-20 19:57:55,Twitter Web App,1,4,covid; 
Since a fever is one of the most common symptoms of #COVID19 then perhaps #TSA checkpoints could serve in some limited capacity to help reduce spread through #airtravel.  Just introduced: the #HealthySkiesAct with @RepTedBudd.  ⬇️⬇️⬇️  https://t.co/AeyBYCQdAX https://t.co/AkII7vWDbi,2020-07-16 18:30:30,Twitter Web App,4,14,covid; 
New York the epicenter of our coronavirus crisis with more than one-third of all cases nationally is actually TAXING out-of-state healthcare workers who came to help the Empire State during its time of need.  This is wrong.  https://t.co/vO0xwKZ9or,2020-05-06 16:32:20,Twitter Web App,55,60,corona; 
My fifth live forum on COVID-19 starts in just a few minutes. This week:  1. Mental health during this pandemic.  2. Update from DSS on the welfare of our children.  3. What's it like to be tested for COVID-19?  Simulcast on several outlets. Details: https://t.co/41DolBZmrQ https://t.co/fOKmiMEXnx,2020-05-01 14:46:00,TweetDeck,2,1,covid; 
I'll be covering 3 big topics related to COVID-19 live this morning at 11 AM:  1. Mental health during this pandemic  2. Update from DSS on the welfare of our children  3. What's it like to be tested for COVID-19?  Simulcast on several outlets. Details: https://t.co/41DolBZmrQ,2020-05-01 12:06:00,TweetDeck,1,3,covid; 
