New treatments are bringing hope &amp; help to #Texas' coronavirus fight. My office recently received a briefing from @TexasDSHS on one of these new treatments Bamlanivimab and I want to share some of the information with you. Read my latest Newsletter here: https://t.co/XEcJjrr1Hb https://t.co/PazoORQCkU,2020-11-23 19:31:36,Twitter Web App,6,11,corona; 
The coronavirus has intensified the opioid crisis into a more complicated deadly epidemic including in Texas. I’m encouraged to see @TheJusticeDept award Texas and @MHMRTarrant $4.5M to fight opioid and substance abuse. Read more in my press release: https://t.co/JIdMLbWjvE https://t.co/FhYkAL6w14,2020-10-22 17:41:44,Twitter Web App,3,8,corona; 
My colleagues &amp; I have been getting briefed on #OperationWarpSpeed the @realDonaldTrump Administration’s plan to deliver a coronavirus vaccine in record time. Read my Newsletter on how #OperationWarpSpeed is racing ahead cutting red tape—not corners:  https://t.co/8KEMOa4c8L https://t.co/o3Pv0M27yn,2020-10-17 14:30:00,Twitter Web App,7,12,corona; 
ATTN #TX12 veterans: the @DeptVetAffairs is hosting a tele-townhall about benefits for #Texas veterans—including those relating to COVID Blue Water Navy and Solid Start—TODAY at 4pm CT.   Simply dial 833-380-0417.,2020-10-15 17:48:16,Twitter Web App,2,1,covid; 
In #TX12 we pull together to overcome hard times. Thank you @LockheedMartin for donating $1.4 million to our community's coronavirus response including $500000 for @JPS_Health $25000 for @TAFoodBank and additional funds to help #TX12 schools navigate distance learning.,2020-10-10 14:30:00,Twitter Web App,10,14,corona; 
Big news for @UNTHSC! The HSC will lead the #Texas portion of a national @NIH project helping minority communities which have been disproportionately affected by the coronavirus overcome mistrust and misinformation about vaccine trials. Read more: https://t.co/eBsNXZAnJV,2020-09-26 14:00:00,Twitter Web App,3,6,corona; 
While COVID-19 cases are declining in #TX12 ensuring safe sanitary housing is among the best ways to further slow its spread. Read my press release on how nearly $10M in @HUDgov grants will help our community reduce risk as we continue to safely reopen: https://t.co/MsIhsU5QpI. https://t.co/a7Ja4Q0NM4,2020-09-17 19:49:19,Twitter Web App,1,1,covid; 
90 UNT Health Science students will be getting hands-on experience in the fight against the coronavirus through a $1.9 million partnership funded by the #CARESAct which will help @UNTHSC and @TCPHtweets with contact tracing in our community.   Learn more: https://t.co/pipid4jZ7m,2020-08-25 19:00:01,Twitter Web App,3,4,corona; 
The @EPA has approved a new antiviral spray for use by @AmericanAir—which is headquartered in #FortWorth—to kill the coronavirus inside its planes. Glad to see #Texas has a new tool that helps keep the public safe and healthy. https://t.co/tJxBz6Okve,2020-08-24 20:15:00,Twitter Web App,4,8,corona; 
#TX12 small businesses that missed out on coronavirus aid are gaining a new option. Thanks to the #CARESAct nearly $9M in grants will be awarded to small businesses through @UWTarrant. Learn more here: https://t.co/HpNhtZY7Iu.,2020-08-24 19:30:00,Twitter Web App,2,2,corona; 
