3) Significantly reduced regulations and a more competitive tax structure - while far from perfect - saw strong economic growth pre-COVID and enable us to continue to see the potential for economic growth going forward...  #EconomicGrowth,2020-11-26 17:34:03,Twitter for iPad,7,25,covid; 
I don’t want to hear about another massive COVID bill. https://t.co/5rfpQSzCU7,2020-11-13 15:08:36,Twitter for iPhone,31,82,covid; 
When COVID hit small businesses across #TX21 Texas &amp; America got hit hard.  While partisan politicians were busy pointing fingers I was proud to work across the aisle to pass the PPP Flexibility Act to save jobs and businesses: https://t.co/9ytCfkIc5n #StandUpForAmerica #Vote https://t.co/VdWrHa3O2v,2020-11-03 15:53:32,Twitter for iPhone,32,60,covid; 
#COVIDFacts https://t.co/cB5OEYwGie,2020-11-01 15:36:39,Twitter for iPad,8,23,covid; 
Had a great meeting with Leadership at the Bandera Health Clinic to discuss #COVID as well as access issues created by our current healthcare system. #TX21 https://t.co/QUD9pxVOdR,2020-10-28 21:58:40,TweetDeck,4,14,covid; 
Great visit today with the leadership of the Rolling Hills Health Clinic in Leakey discussing #coronavirus and the importance of healthcare access in rural communities. #TX21 https://t.co/mij07Z13bu,2020-10-28 17:49:06,TweetDeck,4,14,corona; 
Had a great meeting with the leadership of @Peterson_Health in Kerrville to discuss #Coronavirus response and the impact on their operations as well healthcare reform. #TX21 https://t.co/mo9XPzoQFl,2020-10-27 19:51:23,TweetDeck,4,9,corona; 
Good question. #COVIDFacts https://t.co/yuabSQPT5p,2020-10-18 13:19:58,Twitter for iPhone,5,19,covid; 
As a cancer survivor - it is appalling what we’re doing to people through COVID lockdown on so many levels.  It’s absurd - suicides mental health cancer going undetected... @LetAmericaOpen #StandUpForAmerica https://t.co/R9HVFnlkN5,2020-10-15 13:13:18,Twitter for iPhone,32,52,covid; 
This we knew: The Failed Experiment of Covid Lockdowns - WSJ ⁦@LetAmericaOpen⁩ #StandUpForAmerica  https://t.co/oWgBVRERE9,2020-10-13 13:02:33,Twitter for iPhone,85,183,covid; 
Some of us have been talking about this since April!!  https://t.co/rLPPC58meX #COVIDFacts #StandUpForAmerica https://t.co/aWt4kMultw,2020-10-08 18:32:17,Twitter for iPad,13,23,covid; 
American Made!!  #BeatChina #BeatCOVID https://t.co/gT7O5Pq7HZ,2020-10-06 20:51:59,Twitter for iPad,5,15,covid; 
Noteworthy re: school openings from ⁦@RMConservative⁩: Washington Post admits school openings have not caused widespread outbreaks.  #COVIDFacts ⁦@LetAmericaOpen⁩ #StandUpForAmerica  https://t.co/FMNiW0cbK0,2020-10-01 16:02:32,Twitter for iPad,29,36,covid; 
Great question Kris. #COVIDFacts #StandUpForAmerica https://t.co/XygVri6RRC,2020-09-30 18:51:35,Twitter for iPad,5,9,covid; 
Hey @wendydavis - I assume you are canceling that Harvard alumni membership what with Harvard publishing something positive about hydroxychloroquine? https://t.co/STNexUWaNh #COVIDFacts #StandUpForAmerica https://t.co/NStnBmN6iZ,2020-09-30 18:33:50,Twitter for iPad,79,128,covid; 
#COVIDFacts https://t.co/PI9t09KB4V,2020-09-29 17:07:45,Twitter for iPad,4,4,covid; 
Important analysis here @FREOPP.  Noteworthy it fully assumes 225000 COVID deaths which remains a question for further analysis itself.  #COVIDFacts https://t.co/4FwU0Czzls,2020-09-29 12:43:17,Twitter for iPad,7,15,covid; 
Another tragic reality of COVID and eliminating human interaction - 20% increase in military suicides.  https://t.co/7cUn81jfP3,2020-09-28 17:44:32,Twitter for iPad,8,8,covid; 
Consequences of school lockdown.  #COVIDFacts https://t.co/BZsNpIxJii,2020-09-28 11:47:35,Twitter for iPhone,5,11,covid; 
You don’t say... #COVIDFacts  https://t.co/NURuRseB6w,2020-09-27 20:13:23,Twitter for iPhone,30,76,covid; 
Who would’ve known?  #COVIDFacts https://t.co/exgLlmLVrO,2020-09-27 17:17:56,Twitter for iPhone,28,96,covid; 
