The cure for coronavirus was worse than the disease. No more lockdowns! Thank you @GovAbbott https://t.co/H1hNOEbjYd,2020-11-23 14:19:03,Twitter for iPad,8,31,corona; 
"Don't save any lives until there's a Democrat in the White House" a COVID response plan by disgraced Governor @andrewcuomo  https://t.co/0heU8dcKW6,2020-11-09 18:27:54,Twitter for iPad,51,136,covid; 
Children are falling behind in reading and math due to onerous COVID restrictions in our classrooms.  Schools may be ‘open’ but changes to the learning environment are holding our kids back. We need to get them back to normal!  https://t.co/V7n6caX2Vt,2020-11-09 17:23:17,Twitter for iPad,12,33,covid; 
The media call @SpeakerPelosi a "master negotiator" but what has she done with her majority?  ❌ Led DEMs into a losing impeachment hoax ❌ Blundered a deal for COVID economic relief ❌ Caved to radical 'squad' on defunding law enforcement,2020-10-07 16:06:55,Twitter Web App,29,48,covid; 
The #CCP destroyed evidence and hid crucial data about Coronavirus while limiting exports of key PPE supplies.  The WHO parroted their propaganda.    We must continue to uncover China's culpability in the global pandemic. https://t.co/RUtb7td9Eg,2020-09-21 15:36:27,Twitter Web App,738,710,corona; 
My thoughts on the latest COVID relief negotiations: It may be time for us to walk away from this deal.  Republicans are not united in this belief that we need to spend trillions more dollars at this point especially if if involves concessions to Nancy Pelosi. https://t.co/hTezzrSgj3,2020-08-06 16:30:05,Twitter Media Studio,12,42,covid; 
Over 150K Americans are dead and millions of livelihoods ruined due to the negligence of the #CCP.  @RepJimBanks and I introduced the Civil Justice for Victims of COVID Act to allow Americans to hold China accountable.   The Senate is moving forward why won't @SpeakerPelosi?,2020-07-30 20:43:19,Twitter Web App,37,49,covid; 
I joined The @DailyBriefing today to discuss the latest coronavirus numbers in Texas. https://t.co/iS0JWVDRoY,2020-07-20 20:09:54,Twitter Media Studio,80,95,corona; 
Illegal migrants detained at the border jumped 40% last month.   With the surge in Texas COVID-19 numbers this is a national security issue.  https://t.co/ee7lM2ep1g,2020-07-10 21:52:45,Twitter Web App,53,130,covid; 
Freelancers and gig workers have been some of the hardest hit by Coronavirus and Joe Biden wants to tax and regulate them MORE???  https://t.co/82fmFGGi7E,2020-07-08 14:48:05,Twitter Web App,93,56,corona; 
The WHO colluded with China to deceive the world about Coronavirus.    Why is Joe Biden putting a relationship with them before the safety and security of Americans? https://t.co/8JUTpxHBJc,2020-07-07 23:57:42,Twitter for iPhone,33,38,corona; 
When will Chicago take violent crime as seriously as they are taking Coronavirus?   It’s not exactly the safest place to visit.  https://t.co/GbhZPo5qeW,2020-07-03 14:54:48,Twitter for iPhone,222,497,corona; 
H-1B visas and similar guest worker programs are unnecessary when 45 million Americans are out of work due to coronavirus.    It should not be a partisan stance to HIRE AMERICAN in the current economic crisis.  https://t.co/2zb535NYBH,2020-06-23 17:48:36,Twitter Web App,203,542,corona; 
Mayor de Blasio is putting lives in danger with his political cover up.   If we have the ability to find out if mass gatherings outside lead to spikes in COVID-19 it is in everyone’s interest to do so.   https://t.co/09o3j8a6J1,2020-06-15 14:15:20,Twitter for iPhone,27,57,covid; 
Lockdown advocates point to total COVID cases.  In Texas the data shows reopening on 5/1 did not cause a spike.  Now over 20k tests a day.  Positivity RATE has been declining since 4/12 as testing increased.  Active hospitalizations peaked on 5/5.  #ReOpenAmerica https://t.co/WxSHqIeU28,2020-05-19 22:14:01,Twitter Web App,14,28,covid; 
China prevented Taiwan from participating in the World Health Assembly despite the fact that Taiwan has had one of the most effective responses to COVID-19.  China continues to put their geopolitical goals above the health of the world. They are a BAD ACTOR and cannot be trusted.,2020-05-18 14:32:25,Twitter Web App,747,1022,covid; 
Across the USA the hospitalization surge we feared would cripple our ability to handle Coronavirus NEVER happened.   The curve appears to have flattened which was the WHOLE POINT of quarantine.   It’s time to safely and carefully reopen the country.   https://t.co/8kU4TeHbxW,2020-05-18 01:23:13,Twitter for iPhone,12,18,corona; 
China continues to prove it cannot be trusted.    They must be investigated and held accountable for their actions.   Congress needs to back the #StopCOVIDAct https://t.co/JUdja3aJeP,2020-05-12 00:47:25,Twitter for iPhone,1001,971,covid; 
More than 33 million Americans have been added to unemployment since the coronavirus crisis began.  There is no reason to keep admitting over a million guest workers every year.  #ExpandTheBan  https://t.co/nLHWtE19B7,2020-05-07 19:36:18,Twitter for iPhone,122,125,corona; 
Yesterday I joined @GuyBensonShow to discuss coronavirus updates Chinese drones and critical issues facing our food supply chain.   https://t.co/ymvtstXmk5,2020-04-30 17:19:34,Twitter for iPhone,67,59,corona; 
China is continuing their attempt to cover up their actions this time whitewashing their disinformation campaign.   #StopCOVIDAct  https://t.co/vrdnnGJg05,2020-04-24 20:58:37,Twitter for iPhone,520,542,covid; 
My column with Senator @MarshaBlackburn today: “How we choose to treat the Chinese government in the wake of this crisis will define foreign relations in the post-coronavirus era.” https://t.co/R0SWIZ1Ijt,2020-04-20 16:33:18,Twitter for iPhone,121,169,corona; 
Congress needs to back the #StopCOVIDAct - China won’t just decide to reverse course on transparency. https://t.co/PB9TN9LQ3J,2020-04-19 21:03:03,Twitter for iPhone,878,862,covid; 
50% fatality increase in Wuhan reported in the last day.   The #CCP is attempting to cover up their lies but it’s not going to work.  Congress needs to back the #StopCOVIDAct https://t.co/d5sstlfJFJ,2020-04-17 14:33:03,Twitter for iPhone,233,444,covid; 
WHO covered it up?   WHO spread the Chinese propaganda?  WHO will be held responsible?  🤔  ➡️ #StopCOVIDAct   https://t.co/2n4tAJHGB5,2020-04-15 23:39:39,Twitter for iPhone,355,653,covid; 
Former President Jimmy Carter repeating #CCP propaganda - the @WHO lied about the spread of Coronavirus in January.   We can’t count on @DrTedros to lead anything. https://t.co/Ualp4OVC66,2020-04-15 20:05:20,Twitter for iPhone,199,403,corona; 
The ROC (Taiwan) have been a strong ally to us during the Coronavirus pandemic.   We are SO grateful for their help.  The @WHO should have listened to Taiwanese warnings about human-to-human spread! https://t.co/hv5Lv2300v,2020-04-10 21:46:15,Twitter for iPhone,101,202,corona; 
The #StopCOVIDAct will remove the red tape to allow more lawsuits like this to move forward.  The CCP must be held accountable for their actions.   Both parties need to vote for this bill on behalf of all Americans.  https://t.co/vJvj1q6ZWI,2020-04-09 22:03:36,Twitter for iPhone,49,117,covid; 
The US Justice Department must be allowed to investigate how the virus originated in China.   The Chinese Communist Party says the virus started in a wet market and we are just expected to believe them.   That's not acceptable.  #COVID19 https://t.co/5rUadJj9a2,2020-04-09 15:06:46,Twitter Media Studio,221,445,covid; 
By allowing lawsuits against the communist Chinese government to proceed the Stop COVID Act could spur an investigation into the origins of the novel coronavirus.  https://t.co/NDSuaDoJkj,2020-04-08 14:13:12,Twitter for iPhone,80,170,covid; corona; 
I joined @LouDobbs on @FoxBusiness to discuss the latest with our fight against the Coronavirus and liberal elites who are focused on fighting President Trump. https://t.co/VNMZ2JtPvm,2020-04-07 18:15:22,Twitter Media Studio,68,81,corona; 
The Stop COVID Act will give our Justice Department the authority it needs to shed light on this pandemic.  I’m calling on both sides of the aisle to support this bill.    #StopCOVIDAct  https://t.co/k1OgpyHF3D,2020-04-03 23:33:38,Twitter for iPhone,130,169,covid; 
The Stop COVID Act will give our legal system the power to investigate the origin of the virus and if found guilty hold accountable those responsible for creating and releasing it.  #StopCOVIDAct  https://t.co/Ilffbyyfwy,2020-04-03 16:41:36,Twitter for iPhone,139,175,covid; 
The Chinese Communist Party is protected from litigation by US law even if they were to be found responsible for manufacturing and spreading #COVID19.  I’ve introduced the #StopCOVIDAct to change that because our laws should protect Americans not the #CCP.,2020-04-03 14:39:55,Twitter for iPhone,5567,14584,covid; 
Iran has been asking for relaxed sanctions due to Coronavirus while attempting to hack the WHO.  They’re bad actors who cannot be taken seriously.  https://t.co/BP7gJP3y35,2020-04-02 16:20:40,Twitter for iPhone,72,82,corona; 
Nothing the #CCP tells us can be trusted. Not the number of cases not the number of deaths and ESPECIALLY not the origin of the virus.  #COVID19 https://t.co/04uX5b4QW5,2020-04-01 17:37:20,Twitter for iPhone,1155,1314,covid; 
In November 2019 the FBI warned of biosecurity threats being smuggled into the country by China #Covid19  https://t.co/At5zcJlC68,2020-04-01 00:44:11,Twitter for iPhone,233,355,covid; 
Democrats launched an assault on your 2nd Amendment rights while the country is focused on fighting Coronavirus.   Who will join me in standing against H.R. 5717?,2020-03-31 21:44:32,Twitter for iPhone,386,1124,corona; 
It’s irresponsible for the media to be showing fake footage during this crisis.   The public deserves accurate information about #Covid19 https://t.co/z0OEyTxx8A,2020-03-30 20:35:58,Twitter for iPhone,14,69,covid; 
I joined @SirajAHashmi on "Hashing it Out" to discuss Coronavirus and our latest actions in Washington. https://t.co/VRo3xjfHCg,2020-03-28 20:50:24,Twitter Media Studio,109,278,corona; 
