House Democrats promised they would work with @HouseGOP members on another COVID-19 relief bill with or without Pelosi. Well the time has come to make good on that promise because American workers are struggling. @GOPLeader https://t.co/oE5QY5QSVY,2020-11-23 16:47:56,Twitter Web App,1,1,covid; 
Thanks to American ingenuity and @POTUS's Operation Warp Speed we are breaking all records for having an available coronavirus vaccine. This is great news! America can’t afford another lockdown. https://t.co/HAoF1G1yAU,2020-11-16 17:00:03,joe.sentry,2,3,corona; 
Even the media and members of her own party agree: Nancy Pelosi has failed the American people by refusing to work with the White House on COVID relief. The House needs fresh leadership that will do its job and provide help for our workers and families. https://t.co/nC1co9wN3A,2020-10-14 14:39:27,Twitter Web App,1,0,covid; 
CHINA While China was originating spreading &amp; hiding key information on #Covid19 #KamalaHarris was busy impeaching @realDonaldTrump.   #Biden spent 47 yers kow-towing to China.  #PresidentTrump challenged China forcing them to stop stealing American jobs patents &amp; technology.,2020-10-08 01:56:27,Twitter for iPad,1,2,covid; 
Despite the odds our recovery continues and unemployment falls once again. If Nancy Pelosi and the Democrats would come to the table on serious COVID-19 relief talks it would be dropping much faster. https://t.co/OoVI3FZwWs,2020-10-02 18:00:02,joe.sentry,3,2,covid; 
Senate Dems just BLOCKED funding for schools COVID-19 tests vaccine research and assistance for American families and workers. This is partisan politics at its worse and a transparent attempt to hold America hostage before an election. https://t.co/bbxsJw8oB9,2020-09-10 18:27:30,Twitter Web App,1,2,covid; 
Republicans are working to get workers and businesses the relief they need but Dems are blocking those efforts. Remember: Pelosi called Congress back for hearings and votes on USPS but she can't work with Republicans to get COVID relief passed. https://t.co/qlUS4gNfyE,2020-09-08 19:30:04,joe.sentry,2,2,covid; 
FACTS: Post Office Conspiracy Theory  #Pelosi ignoring help 4 small biz workers &amp; families struggling to survive Covid-19...but peddling fear &amp; misinformation about #USPS.  USPS says can easily handle mail-in ballots. Solvent thru fall 2021.  Has $14b cash + $10b CARES $$.,2020-08-20 16:19:29,Twitter Web App,3,4,covid; 
First China's Communist Party covered up and spread lies about COVID-19 and now they are hiring hackers to steal information about vaccines in development. This kind of hostile behavior can't be ignored glad the DOJ is bringing indictments. https://t.co/cQ1axxMx5f,2020-07-21 19:00:54,Twitter Web App,1,1,covid; 
At a time when Congress should be delivering solutions to the Coronavirus pandemic Pelosi &amp; Dems are forcing through a cynical &amp; dangerous agenda of providing taxpayer-funded housing to illegals expanding Obamacare &amp; forcing through the Green New Deal. https://t.co/KtYeb7dghZ,2020-06-30 18:35:03,joe.sentry,1,0,corona; 
