I've spoken with many of you and recognize the tourism &amp; hospitality industries have been devastated by COVID-19. While the #PPP was largely successful &amp; supported millions of jobs the best thing we can do for our economy is open up as quickly as possible. https://t.co/ul360RXxb1,2020-09-04 16:12:50,Twitter for iPhone,0,21,covid; 
35% decrease in # of patients currently hospitalized with COVID-19 (from July 24 peak)  21% decrease in the daily average cases (in Aug.)  We’ve made great progress in our fight against COVID &amp; thanks to #OperationWarpSpeed our nation is even closer to a safe &amp; effective vaccine.,2020-09-02 14:41:32,Twitter for iPhone,33,96,covid; 
We've asked our healthcare providers to step up to defeat #COVID19. Hospitals such as @UofUHealth Beaver Valley @primarychildren Garfield Memorial &amp; others have done exactly that. They've prioritized the health &amp; safety of our nation over the viability of their facilities.,2020-07-29 19:50:49,Twitter Web App,2,5,covid; 
I want to hear from you! Please join me this Wednesday July 29 at 6:30 pm MDT for a Teletown Hall. We'll be discussing additional #COVIDー19 relief legislation current events and any questions you may have. Please call 833-380-0518 to join.   https://t.co/79bzZF018R,2020-07-27 19:23:09,Twitter Web App,8,18,covid; 
We're experiencing a mental health crisis among our youth veterans &amp; with COVID-19 a crisis among our general population due to many feeling alone &amp; stressed.  That's why I asked Leadership to bring my #NationalSuicideHotlineDesignationAct to the floor under unanimous consent. https://t.co/00UWNSM59C,2020-05-27 17:29:19,Twitter for iPhone,8,29,covid; 
This has nothing to do with Coronavirus. This is about pushing socialist priorities &amp; Pelosi doesn’t seem to mind the $3 trillion price tag.  https://t.co/qt51tKhxf2,2020-05-16 01:33:31,Twitter for iPhone,9,35,corona; 
REMINDER: Dial 888-652-0379 to join my Teletown Hall tonight from 6:30-7:30 pm MDT.  I’ll be calling from Washington D.C. to give you an update on the latest Coronavirus legislation reopening our economy &amp; getting Americans back to work.  https://t.co/Fit76u2KFo,2020-05-14 17:28:45,Twitter Web App,2,9,corona; 
.@SpeakerPelosi’s $3 trillion wish list has nothing to do with the Coronavirus. This is about changing our country into a socialist disaster. https://t.co/Zn668BZJ8V,2020-05-13 17:30:39,Twitter for iPhone,200,408,corona; 
Please join me for a Teletown Hall tomorrow May 14 from 6:30-7:30 pm MDT by dialing 888-652-0379.  I’ll be calling from Washington D.C. to give you an update on the latest Coronavirus legislation reopening our economy &amp; getting Americans back to work.  https://t.co/Fit76u2KFo,2020-05-13 16:15:48,Twitter for iPhone,5,15,corona; 
During COVID-19 the Trump Administration has delivered thousands—in some cases millions—of essential medical supplies &amp; equipment to Utah. Thank you President @realDonaldTrump. https://t.co/BSOUBwQE4N,2020-05-02 15:54:51,Twitter for iPhone,16,49,covid; 
