If this president was half as focused on crushing COVID-19 as he is on stealing this election we would be in a much different situation today.  He's a direct threat to the wellbeing of his own people who are impatiently counting down the days to his removal from office.,2020-11-18 17:51:46,TweetDeck,50,280,covid; 
This is a pathetic attempt by the Trump administration to distract from their total failure in defeating the coronavirus. 230k people are dead and their only response is to attack the most trusted expert who is looking out for the public not the President.   Dr. Fauci is a hero. https://t.co/YDfPl9FqUz,2020-11-01 14:05:26,TweetDeck,11,92,corona; 
Trump and the GOP have spent more time trying to figure out how to disenfranchise and intimidate voters than they have on defeating Covid.   A shameful indictment of their values.   https://t.co/MKjEA2O0zn,2020-10-31 11:50:13,Twitter for iPhone,40,123,covid; 
Hundreds were left abandoned in freezing temperature after Donald Trump's rally in Omaha last night. Invitations to his next one might as well say “come for the COVID stay for the hypothermia.",2020-10-28 18:57:56,Twitter Web App,151,583,covid; 
Another outbreak in the Administration and VP Pence - head of the President’s Coronavirus Task Force -  still travels to superspreader events across the country. For that crowd politics always trumps science and protecting your family.   https://t.co/kJaaYkwpLw,2020-10-25 12:56:02,Twitter for iPhone,9,53,corona; 
Hosting my 8th annual Senior Issues Forum virtually. Sharing important updates on COVID-19 Social Security and county resources. https://t.co/R36emJVm3W,2020-10-21 19:16:17,Twitter for iPhone,0,4,covid; 
Joining @hr_indivisible’s monthly meeting tonight. Giving a Congressional update on COVID election security and protecting our most vulnerable communities. https://t.co/LUzywyNP3Z,2020-10-20 22:54:57,Twitter for iPhone,4,17,covid; 
And to add insult to injury he’s again using the White House for a blatant political purpose.   The president is void of ethics and morals — though considering he’s speaking to a crowd of hundreds while COVID positive I think we already knew that.,2020-10-10 18:00:39,Twitter for iPhone,30,121,covid; 
The DC area has worked tirelessly to contain #COVID19 no thanks to Donald Trump. Now with this second super-spreader event he threatens to erase all the progress we’ve made.  Donald Trump’s pathological need for praise and adoration is putting our people at significant risk. https://t.co/KiXRXq42qI,2020-10-10 17:55:34,Twitter for iPhone,196,484,covid; 
OMB is right: there is plenty of chaos destruction and death. But to blame Democrats is just more projection:  Chaos destruction and death are the three pillars of this administration.   First Trump forced cities to fight  #COVID19 alone. Now he’s trying to bankrupt them. https://t.co/88aqWaaRG4,2020-10-09 18:24:40,Twitter for iPhone,10,21,covid; 
