It's Public Health Thank You Day.  To our public health workforce - thank you for all you do to keep Wisconsinites safe and healthy especially as the COVID-19 pandemic continues. We owe you a debt of gratitude for your vital and life-saving work.,2020-11-23 21:54:54,Twitter Web App,9,33,covid; 
This virus is still surging across Wisconsin. It's critical that we continue to look out for one another by practicing good social distancing wearing a mask and frequently washing hands. Together we can combat the spread of COVID-19. https://t.co/JLpy71rcsr,2020-11-22 19:14:23,Twitter Web App,5,14,covid; 
During difficult times Wisconsinites have always found ways to support one another - it's the Wisconsin way. If you recently recovered from COVID-19 donating blood and plasma could help patients in their fight against this virus. Learn more here: https://t.co/fT2FeKkALD,2020-11-16 22:13:51,Twitter Web App,5,15,covid; 
COVID-19 cases are on the rise across Wisconsin. We need to continue to work together and take the necessary precautions to combat the spread of this virus. https://t.co/yx088lYhWV,2020-11-14 21:24:53,Twitter Web App,7,14,covid; 
While I know the election is at the forefront of many people's minds COVID-19 cases are spiking across WI. Our health care professionals need our help &amp; it's crucial that we all do our part to keep our communities safe &amp; healthy. Together we can combat the spread of this virus. https://t.co/ATOLzgE5z3,2020-11-05 21:20:48,Twitter Web App,17,70,covid; 
Together we can combat the spread of COVID-19 in Wisconsin. I encourage everyone to help keep our communities safe and healthy by continuing to wear a mask wash hands frequently and practice good social distancing. https://t.co/biBPdQLit3,2020-10-25 21:42:23,Twitter Web App,7,19,covid; 
Wisconsin is seeing record high COVID-19 cases. We need to continue to work to slow the spread of this virus - it's more important than ever to practice good social distancing wash hands frequently &amp; wear a mask in public. Together we can keep our communities safe &amp; healthy. https://t.co/WRq4Ep8Wj4,2020-10-18 18:12:06,Twitter Web App,13,22,covid; 
Tawni and I are keeping the President the First Lady &amp; those at the White House who have tested positive for COVID-19 in our thoughts and prayers. We’re wishing them a speedy recovery.,2020-10-02 13:46:01,Twitter for iPad,13,44,covid; 
With COVID-19 cases spiking across Wisconsin it's crucial that we work together to keep our communities safe and combat the spread of the virus. We need to be more diligent than ever about wearing a mask practicing good social distancing and washing our hands. https://t.co/GmGBlB7sKZ,2020-09-17 18:07:45,Twitter Web App,19,47,covid; 
Even though it's a holiday weekend we all still need to do our part to stop the spread of COVID-19. Don't forget to practice good social distancing and wear your mask. Have a happy Labor Day weekend everyone! https://t.co/NRJH72k1Fx,2020-09-05 18:52:36,Twitter for iPhone,10,12,covid; 
Today is #NationalPollWorkerRecruitmentDay! Currently our nation is facing a shortage of poll workers due to the COVID-19 crisis. If you want to sign up to be a poll worker and help ensure everyone's voice is heard in our democracy click here: https://t.co/B7bi0mFoR8,2020-09-01 17:07:29,Twitter Web App,13,20,covid; 
Even before the COVID-19 pandemic WI was losing an average of 2 dairy farms a day. This year farmers were looking forward to turning things around only to be hit with a pandemic that shuttered many of the businesses they rely on most...  https://t.co/YEjWiADENu,2020-04-14 19:56:43,TweetDeck,9,21,covid; 
For more than 2 years businesses &amp; working families have been footing the bill for tariffs implemented in reckless trade wars. Now these tariffs are impacting the ability for our health care workers to get the medical supplies they need to fight #COVID19. Now more than ever we...,2020-03-24 23:17:21,Twitter for iPhone,4,15,covid; 
In order to combat the spread of #COVID19 we have to be able to test people &amp; get the results quickly. Right now hospitals across WI are facing extreme challenges because they don’t have enough supplies to test patients.This morning I led the WI delegation on a letter... https://t.co/LIDTqBzYDq,2020-03-19 16:52:38,TweetDeck,5,15,covid; 
Amid the growing concern of the spread of #COVID19 it is important that my office take the necessary steps to protect both constituents &amp; staff from being exposed to COVID-19. However I will not stop working for the people of #WI03 &amp; neither will my office.,2020-03-13 19:35:08,Twitter for iPad,1,6,covid; 
Health care costs should not have to be a factor when it comes to Wisconsinites staying safe &amp; healthy during this outbreak. This morning @RepBarragan @RepLoriTrahan &amp; I introduced legislation to ensure #COVID19 testing is FREE for seniors on #MedicareAdvantage.,2020-03-12 16:07:59,TweetDeck,4,23,covid; 
@DHSWI ...&amp; it was great to have Dr. Van Dijk there to help discuss preventative measures #COVID19 preparedness in Wisconsin and government action.  For more information I encourage everyone to visit https://t.co/9M2kG6m9z0,2020-03-10 19:13:18,TweetDeck,0,4,covid; 
