This year #SmallBusinessSaturday means so much more. Please safely support a small business today and help our communities heal from #COVID19. #ShopSmall https://t.co/v6nhaCxD96,2020-11-28 15:00:02,Twitter Web App,2,0,covid; 
🚨🚨 Another potential #COVID19 vaccine! Lots to be thankful for this week. https://t.co/dvOr0kmXft,2020-11-23 14:24:48,Twitter Web App,3,5,covid; 
Today is #NationalRuralHealthDay.   America's small towns deserve reliable access to high quality health care. As we continue to combat #COVID19 I am committed to bridging the divide between our urban and rural communities. https://t.co/2DItx0zgJ5,2020-11-19 17:18:15,Twitter Web App,1,3,covid; 
Americans are in need of common-sense #COVID19 relief. Congress must come together to get this done for our communities and small businesses. #LetsWork https://t.co/HTf1BXKZQh,2020-11-18 19:17:42,Twitter Web App,58,130,covid; 
Another important step in the effort to defeat #COVID19! https://t.co/6Son2e9JIG,2020-11-16 15:57:21,Twitter Web App,6,10,covid; 
🚨🚨 Thanks to @realDonaldTrump's quick action we are close to defeating #COVID19! Once approved by the @US_FDA this vaccine will be quickly distributed throughout our communities 💉 https://t.co/g2ZwPGBHqL,2020-11-09 21:30:00,Twitter Web App,2,12,covid; 
It is an honor to represent West Virginia. Together we will defeat COVID-19 rebuild our infrastructure and revitalize our great state!,2020-11-04 20:15:22,Twitter Web App,1,23,covid; 
The Republican #CommitmentToAmerica is to:  -Defeat #COVID19 -Rebuild the greatest economy -Keep the U.S. energy independent  -Protect our communities  Together we will restore rebuild and renew the American dream 🇺🇸,2020-11-03 17:42:38,Twitter Web App,198,898,covid; 
Happy Halloween 🎃  Please stay safe and maintain social distance in your celebrations!,2020-10-31 17:00:01,Twitter Web App,2,6,social distance; 
Democrats have repeatedly held up crucial #COVID19 relief most recently blocking a $500 billion relief package in the Senate.   The American people need and deserve better than this. It is long past the time to deliver for our communities. https://t.co/Gqt6g6HCn9,2020-10-27 19:43:49,Twitter Web App,199,481,covid; 
I ended the week at Coronado Coal’s Eagle #1 Mine. They play an instrumental role in keeping West Virginians employed and supplying high-quality coal. I am committed to advocating for WV energy to help build and power the world. https://t.co/kYpsn1iBjd,2020-10-16 21:55:56,Twitter Web App,5,20,corona; 
My prayers are with @realDonaldTrump and @FLOTUS as they recover from #COVID19.   We are wishing for a swift and full recovery!,2020-10-02 13:12:17,Twitter Web App,3,8,covid; 
It is time to put American First and:   - Hold the CCP accountable for their role in the COVID-19 pandemic - Secure our supply chain &amp; create US jobs - Bolster our national security - Keep US tech cutting edge - Improve economic competitiveness,2020-09-30 18:39:33,Twitter Web App,29,99,covid; 
