Honored to receive the ALSIC Health Care Innovation Champion Award from the Wyoming Hospital Association the Casper and Cheyenne Chamber of Commerce &amp; Wyoming Medical Society. Grateful for all those who are helping WY face the challenges of COVID:  https://t.co/gWLbzuORmL https://t.co/aW9uV7tGdu,2020-11-25 15:55:30,Twitter Media Studio,5,16,covid; 
It's clear that @SpeakerPelosi still hasn't gotten the message: Republicans want to work toward a common sense COVID relief bill that helps the American people. Unfortunately Democrats are more focused on partisan games &amp; pursuing their radical agenda. #LetsWork https://t.co/C3fjRNJrvP,2020-11-24 16:51:44,Twitter Media Studio,87,287,covid; 
The recent news from Moderna &amp; Pfizer means we are closer to defeating COVID with a safe &amp; effective vaccine. Once approved by FDA #OperationWarpSpeed will deliver millions of vaccine doses to Americans free of charge: https://t.co/OaJeYuG0cM,2020-11-23 19:02:24,Twitter Web App,6,39,covid; 
Our nation faces real challenges because of the coronavirus pandemic and its economic consequences. We need serious competent leadership to address these issues and that means we need a new Speaker of the House. https://t.co/6spELJX7qf,2020-10-20 21:41:39,Twitter Media Studio,25,89,corona; 
House Democrats have a choice to make: will they continue to support @SpeakerPelosi's efforts to block COVID relief for Americans that need it or will they sign @HerreraBeutler's discharge petition extending the Paycheck Protection Program for small businesses? #FightForSmallBiz https://t.co/HVbh6H2hWZ,2020-10-01 18:32:27,Twitter Web App,28,105,covid; 
It was great to talk with members of the Cheyenne Chamber of Commerce and provide an update on COVID-19 relief at Wednesday's virtual Wyoming Business &amp; Industry Federation's annual fly-In. https://t.co/PSVKNI7Lsf https://t.co/MIhiPtyjKm,2020-09-25 16:22:39,Twitter Web App,6,26,covid; 
I always enjoy spending time with @GovernorGordon and had a chance to meet with him this week to discuss COVID relief energy issues important to our state and the Mountain West Conference. https://t.co/w1DwPDwtrk,2020-09-23 21:28:13,TweetDeck,5,41,covid; 
According to Speaker Pelosi:  Brokering a historic agreement between Israel &amp; Bahrain = a "distraction"  Holding China accountable for COVID19 = a "diversion"  You can always count on Speaker Pelosi to put her own political agenda before the safety of the American people.,2020-09-16 15:01:47,Twitter Web App,238,666,covid; 
The Senate is voting today on a COVID-19 relief package that provides targeted aid for families and small businesses. Unfortunately for the American people Speaker Pelosi is still holding relief legislation hostage so that she can pass her partisan wish list. https://t.co/as4aptOLom,2020-09-10 17:28:34,Twitter Web App,146,280,covid; 
Through the China Task Force House Republicans are taking the lead in holding the CCP accountable for unleashing COVID-19 on the world. It's shameful that Speaker Pelosi refuses to work with us while promoting CCP propaganda. Why is she protecting them? https://t.co/JNzjS7mo8c,2020-09-10 14:25:46,Twitter Web App,275,495,covid; 
