This morning I listened to an extensive briefing with my fellow senators on #OperationWarpSpeed the public-private partnership to develop and distribute a #COVID19 vaccine. The briefing presented good information and some hopeful news that I wanted to share with all Alaskans. https://t.co/nZZ3KVNsGx,2020-11-19 23:26:27,Twitter Media Studio,5,26,covid; 
@USDA @SecretarySonny With these investments thousands more Alaskans across the state will finally experience a utility so many of us take for granted one that has shown itself to be absolutely indispensable in the age of COVID-19.   [3/4],2020-10-14 02:30:11,TweetDeck,4,13,covid; 
@SenateCommerce @SenBrianSchatz @SenAngusKing If signed into law the Visit America Act will better position the travel industry for a strong rebound from the #COVID19 pandemic with ambitious visitation goals requirements for a whole-of-government strategy and a high-level federal tourism official for the first time ever.,2020-09-17 19:34:59,TweetDeck,8,12,covid; 
This was a missed opportunity for a bipartisan achievement but I’ll keep working with my colleagues to reach compromise and an agreement that will drive our battle against the coronavirus and a strong economic recovery. https://t.co/UpJF73KpOV,2020-09-10 23:07:59,TweetDeck,2,5,corona; 
Those bipartisan provisions make up the targeted #COVID19 relief bill that I voted for today. Unfortunately Senate Democrats filibustered this bill holding out for the $3.5 trillion dollar so-called "HEROES Act" at the direction of Chuck Schumer and Nancy Pelosi.,2020-09-10 23:06:24,TweetDeck,3,7,covid; 
Over the past 5 weeks I heard Alaskans' priorities for a new #COVID19 relief bill: renewing the #PaycheckProtectionProgram extending the deadline to use CARES Act funds reopening schools safely &amp; supporting our front-line health care workers among other important measures. https://t.co/BX6FcobG1e,2020-09-10 23:05:47,Twitter Media Studio,4,18,covid; 
Being in @MarForRes means regular trips to the barber. Thanks to the team at 💈Flattop Barbershop in Anchorage for the great haircut on Labor Day! Glad you’re doing well amid the challenges of COVID-19. I encourage all Alaskans to support our local small businesses like Flattop! https://t.co/LGYyeKfx66,2020-09-08 23:06:45,TweetDeck,2,11,covid; 
I sat down for an interview with Peter Zampa for @Ch2KTUU to update Alaskans on the status of negotiations in Congress on a new “phase 4” #COVID19 economic relief package. Take a look. https://t.co/EmszqjO64h,2020-08-08 00:43:10,Twitter Media Studio,2,9,covid; 
This weekend I met with Alaskans across a spectrum of industries—including tourism &amp; fishing—whose livelihoods are at risk due to the #COVID19 pandemic. One concern I heard consistently from every group was about the potential for a shortage of tests in the coming months. [1/4],2020-08-05 22:07:22,TweetDeck,1,6,covid; 
☎️  Inviting all Alaskans to join @LisaMurkowski and me this afternoon from 4:00-5:00pm for another virtual town hall. We will be taking your questions on a range of important topics particularly the fight against #COVID19. To register click here: https://t.co/x0mHXNtilU https://t.co/HhuaW60d6u,2020-08-05 16:25:41,TweetDeck,2,4,covid; 
Here are my thoughts on where the Senate and House stand on a new #COVID19 federal relief package. https://t.co/jUS94Id4wj,2020-08-01 01:49:07,Twitter Media Studio,8,15,covid; 
The #COVID19 pandemic has highlighted some of the great #broadband disparities in more rural parts of our the nation most notably in Alaska. Internet connectivity 📶 can be a matter of life and death for remote communities that lack a doctor or clinic. [1/3]  #ConnectTribes,2020-07-23 23:14:35,TweetDeck,10,17,covid; 
Inviting all Alaskans to join @LisaMurkowski and me for another virtual town hall tomorrow on a range of important topics particularly the fight against #COVID19 and efforts to get our businesses and families through this challenging time. Register at: https://t.co/x0mHXNtilU https://t.co/MDoq4lrGmv,2020-07-22 18:30:56,TweetDeck,2,5,covid; 
After weeks of #COVID19 distancing &amp; home hair-trimming I was due for a cut. Thankfully one of the best barbers around Mike Ricci in Fairbanks salvaged what he called the -worst- self-cut he’d ever seen making my wife (and the Marine Corps) much happier. Thanks Mike! https://t.co/lYtXKMFRXV,2020-07-10 20:36:33,Twitter for iPhone,1,30,covid; 
LIVE NOW: I am speaking with Alaskans in a virtual town hall about the #COVID19 pandemic and other important topics.   Listen into the conversation at: https://t.co/HAG56XvpVi https://t.co/C55E2O181r,2020-07-02 00:01:29,TweetDeck,2,5,covid; 
#ICYMI I sat down for an interview in Fairbanks with Ramzi Abou Ghalioum on @KTVF11 to discuss a wide range of important topics including #COVID19 policing reform the Alaska economy and significant new military construction projects for our state. Take a look. https://t.co/XbDTx8RV32,2020-06-24 18:31:20,Twitter Media Studio,3,3,covid; 
Yesterday @SenatorSinema and I introduced legislation that would give the @DeptVetAffairs greater flexibility in caring for homeless #veterans in the midst of the #COVID19 pandemic.  ➡️ https://t.co/qVf4pPrs0W,2020-06-05 20:18:21,TweetDeck,6,15,covid; 
Today is #NationalMaritimeDay when we celebrate the men and women of the domestic American maritime industry working to keep our state and our communities supplied especially during the #COVID19 pandemic.,2020-05-22 20:57:28,TweetDeck,20,60,covid; 
‼️Starting soon! Inviting all Alaskans to listen into a #COVID19 virtual town hall with @lisamurkowski and me at 4:30pm AKDT today. Looking forward to hearing your questions. You can join online at: https://t.co/a7W0UegfQF https://t.co/xDR29Cd3b4,2020-05-22 00:08:01,Twitter for iPhone,1,2,covid; 
Gustavus AK is getting a lot of national attention for the ingenuity &amp; leadership of the town’s grocer Toshua Parker who's store has become an even more essential lifeline during the coronavirus pandemic. Read more about Tosh’s extraordinary Alaskan resilience in @theHustle: https://t.co/H4chVOkquI,2020-05-21 19:55:17,TweetDeck,10,31,corona; 
Many Alaskans who still have their jobs but have seen their work hours reduced as a result of this #coronavirus pandemic are wondering if they are eligible for any unemployment relief under the CARES Act. Here’s the answer. https://t.co/RBPKUadIfz,2020-05-20 19:27:42,Twitter Media Studio,5,6,corona; 
Senator @LisaMurkowski and I want to invite all Alaskans to our eighth #COVID19 virtual town hall to hear what challenges you are encountering or questions you have about federal relief to help get us through the pandemic.  Sign up at: https://t.co/a7W0UegfQF https://t.co/hNbcnsp4B8,2020-05-20 01:20:25,TweetDeck,4,5,covid; 
@JonScottFNC @FoxNews Further there is broad bipartisan support in Congress for holding China accountable potentially with sanctions and for bringing manufacturing of vital goods and essentials back to the United States. #CCP #coronavirus,2020-05-18 21:48:51,TweetDeck,1,0,corona; 
@JonScottFNC @FoxNews As I said in the interview the Chinese Communist Party must open up fully to international investigators so that we can understand how this global crisis began and unraveled. #CCP #coronavirus,2020-05-18 21:48:18,TweetDeck,1,2,corona; 
Over the weekend I spoke with @JonScottFNC on @FoxNews about the #COVID19 pandemic and how it has deteriorated China’s relationship with the rest of the world including accelerating a new Cold War between our two countries. #CCP https://t.co/JqsKRtmzNW,2020-05-18 21:47:16,Twitter Media Studio,4,7,covid; 
