I joined @SteveDaines in urging the Treasury to give tribes more time to use the Coronavirus Relief Fund so they can complete their most significant pandemic response projects including the construction of health care facilities &amp; improvement of water infrastructure.,2020-10-26 16:40:18,Twitter for Advertisers (legacy),74,326,corona; 
Reminder that there are refundable payroll tax credits available to small and mid-sized businesses to reimburse them dollar-for-dollar for the cost of providing employee leave related to the COVID-19 outbreak. https://t.co/IGZgzM6rzK,2020-10-17 21:36:00,TweetDeck,117,232,covid; 
One of the best steps Congress can take to better protect our seniors right now is to pass my bill to provide increased personal protective equipment and COVID-19 testing to our senior care facilities.,2020-10-08 17:52:19,Twitter for Advertisers (legacy),136,346,covid; 
The deadline to claim your one-time coronavirus relief check is October 15. If you are eligible and have not yet received your check claim it here ⬇️ https://t.co/v1I9N5eHsw,2020-09-28 20:34:00,TweetDeck,30,79,corona; 
The gridlock demonstrated by today’s partisan vote is exactly why Americans are frustrated w/ Washington. COVID-19 knows no party lines &amp; I’d ask Congress to come together in a bipartisan way to defeat this virus.,2020-09-10 19:16:29,Twitter Web App,27,138,covid; 
NEW: COVID-19 has sharpened the digital divide in AZ’s Native American communities. Our new bill will help bridge that divide by investing in broadband connectivity and improving internet access in Native American communities for our tribal students and families.,2020-09-04 18:04:34,Twitter for Advertisers (legacy),62,187,covid; 
.@UArizona's AZ HEROES project is looking for frontline workers to take a free weekly COVID-19 test at home to help protect families and assist in COVID-19 research. Learn more ⬇️ https://t.co/8eHQNax456,2020-09-03 20:28:07,TweetDeck,15,41,covid; 
Exciting news: Abbott labs received FDA approval for its new rapid COVID-19 antigen test that delivers results in 15 minutes for just $5. This is a huge development that will allow more Arizonans to get tested as we continue to combat this virus. https://t.co/0FFYAmD1wQ,2020-08-27 16:54:49,Twitter Web App,40,133,covid; 
Arizona’s COVID-19 infection rate continues to drop! Let’s keep up the good work by continuing to: 😷 wear our masks 🧼 wash our hands ✅ stay 6 ft. apart,2020-08-15 18:26:30,Twitter for iPhone,163,872,covid; 
Great to see the Safeguarding America’s First Responders Act signed into law. Our bill will ensure families of first responders who lost their lives in the fight with COVID will receive the benefits they deserve. https://t.co/nXB0mUNvDM,2020-08-14 20:56:25,Twitter for iPhone,63,203,covid; 
Arizonans whose jobs have been impacted by COVID-19 should be able to stay on their health insurance through the end of the year. My bill would allow for that to happen. https://t.co/9NHjo54ZEr,2020-08-12 19:13:24,TweetDeck,102,345,covid; 
COVID-19 has made clear that we MUST bring pharmaceutical drug production home to America. This EO is the right move by @POTUS. https://t.co/ZYNXKXP6kK,2020-08-07 13:58:17,Twitter for iPhone,159,477,covid; 
Americans who've lost their jobs or remain furloughed due to COVID-19 shouldn't have to worry about losing their health insurance too.   Our bill ensures they remain covered by their employers through the end of the year.,2020-08-02 19:13:00,Twitter for Advertisers (legacy),159,453,covid; 
NEW: I introduced legislation w/ @JohnCornyn @SteveDaines &amp; @SenDanSullivan to ensure that those whose jobs have been impacted by COVID-19 can remain covered by their employer's health plan through the end of the year giving Americans one less thing to worry about.,2020-07-28 15:56:49,Twitter for Advertisers (legacy),56,159,covid; 
Americans who’ve lost loved ones suffered business losses or were personally harmed during the COVID-19 pandemic deserve the opportunity to hold China accountable and to demand just compensation.    https://t.co/TogSRm3Y04,2020-07-26 18:35:00,TweetDeck,1156,1717,covid; 
Very pleased to hear the announcement that Arizona will receive 6000 more vials of Remdesivir in this 3rd week of deliveries from @HHSgov. This will add to AZ’s supply and provide needed relief to patients suffering from COVID-19.,2020-07-24 23:47:52,Twitter for iPhone,87,444,covid; 
The COVID-19 pandemic has cost hundreds of thousands of American lives. #China must pay for unleashing this virus on the world.  My bill allows Americans to sue the Chinese government in court and authorizes federal courts to freeze Chinese assets.  https://t.co/h54URTMsb8,2020-07-22 15:07:58,TweetDeck,397,678,covid; 
🚨 I introduced a bill to give Americans the legal tools to sue the Chinese government in federal court for creating &amp; worsening the COVID-19 pandemic. → https://t.co/oEbGzS2YQf   I was joined by @MarshaBlackburn @SenTomCotton @HawleyMO @SenatorRounds &amp; @SenThomTillis. https://t.co/pBYKFtDYnv,2020-07-21 14:45:17,TweetDeck,85,250,covid; 
