Small businesses especially Black and minority-owned businesses urgently need relief to survive the effects of coronavirus this winter. @JoeBiden and I are committed to helping these businesses during this pandemic and get them the support they need to thrive in years to come.,2020-11-28 23:17:41,Twitter Web App,4609,53693,corona; 
Earlier today @DouglasEmhoff and I called Talisa a registered nurse in Chicago and a few of our nation’s frontline workers to thank them for everything they have done in the fight against COVID-19. We won’t be able to get through this without them. https://t.co/YKdLK0IKi1,2020-11-26 22:32:00,Twitter Media Studio,4485,57158,covid; 
Food banks across our nation are struggling to keep up with the demand due to COVID-19. Know that when @JoeBiden and I are in the White House we’ll fight food insecurity and address this crisis.   No one should go hungry in America. https://t.co/EUOAuDAR3E,2020-11-26 00:14:15,Twitter Web App,4309,38627,covid; 
As we head into the holidays it’s important we are socially distant but not emotionally distant. Take some time to text a loved one you haven’t seen in a while check in on your single friends or write that letter you’ve been putting off. We will get through this together.,2020-11-25 17:33:01,Sprout Social,6565,69102,socially distant; 
This afternoon @JoeBiden and I met with @usmayors to discuss how we’ll work together to beat COVID-19. Our nation’s mayors are at the forefront of this pandemic and deserve all the resources and support they need to succeed. https://t.co/Xvm5zpUTSc,2020-11-24 02:14:24,Twitter Web App,3615,51446,covid; 
As we head into this holiday week please take every precaution you can to keep yourself your family and your community safe. Wear a mask wash your hands and practice social distancing. Coronavirus cases are spiking across the country so we must remain vigilant.,2020-11-23 14:26:25,Twitter Web App,11318,123103,corona; 
Absolutely devastating. My heart aches for Raiden and every single person left behind in the wake of COVID-19. Please stay safe this weekend. https://t.co/MB80XzoCaw,2020-11-21 14:57:14,Twitter Web App,6845,64431,covid; 
This pandemic has hit communities of color particularly hard. Black Americans Latinos and Native Americans are 4x as likely to be hospitalized for COVID-19 as others.  @JoeBiden and I are committed to confronting these disparities head-on.,2020-11-18 02:08:59,Twitter Web App,6411,80615,covid; 
The Biden-Harris administration will get COVID-19 under control by listening to the experts implementing nationwide testing and tracing and ensuring vaccines are safe and free for all.,2020-11-16 15:11:34,Twitter Web App,14177,201460,covid; 
Black and Latino Americans are 3x as likely to contract COVID-19 and more likely to die from it.  The Biden-Harris administration is committed to controlling this virus and confronting these glaring racial health disparities.,2020-11-13 19:43:54,Twitter Web App,7778,87736,covid; 
Too many people are grieving the devastating loss of a loved one due to COVID—many of whom were forced to die alone. It shouldn’t have to be that way. On day one @JoeBiden and I will act to get this virus under control and save American lives.,2020-11-13 02:27:16,Twitter Web App,11748,144478,covid; 
If the Affordable Care Act is struck down communities of color would be hit particularly hard. We are at a greater risk of preexisting conditions and three times more likely to contract COVID-19.,2020-11-11 01:32:00,Sprout Social,6316,70469,covid; 
Yesterday @JoeBiden and I met with our COVID-19 Transition Advisory Board comprised of distinguished public health experts. This team will help translate the Biden-Harris COVID-19 plan into an action blueprint that we can put into place as soon as we are sworn in on January 20. https://t.co/2ZSIu0nmHx,2020-11-10 18:15:07,Sprout Social,5354,70736,covid; 
As @JoeBiden said yesterday we are facing a dark winter if we don’t get coronavirus under control. Please wear a mask to reduce the spread and save lives.,2020-11-10 14:56:01,Sprout Social,29530,339056,corona; 
On day one @JoeBiden and I are ready to tackle the coronavirus crisis. Tune now for remarks after our first COVID-19 Council briefing. https://t.co/2ynh7aDXjS,2020-11-09 16:46:44,Periscope,3653,47547,covid; corona; 
.@JoeBiden and I are ready to get COVID-19 under control. We’re ready to rebuild our economy. We’re ready to meet the challenges of the climate crisis. We’re ready to act to address systemic racism. And we’re ready to fight for you.,2020-11-09 15:02:02,Twitter Web App,24268,335117,covid; 
COVID-19 is still here. Please continue to wear a mask and practice social distancing.,2020-11-08 18:54:36,Twitter Web App,53075,574498,covid; 
When @JoeBiden and I are in the White House we’ll listen to the experts when it comes to public health create a pandemic board that oversees testing and make COVID-19 testing treatment and vaccines free for all Americans.,2020-10-31 03:21:00,Sprout Social,12562,111479,covid; 
Donald Trump still doesn’t have a plan to defeat coronavirus—but @JoeBiden and I do. https://t.co/TEchzozvOj,2020-10-31 02:42:09,Twitter Media Studio,4263,29980,corona; 
I know @JoeBiden and let me tell you: he’s no quitter.  Unlike the current president Joe is actually prepared to fight COVID-19 with a plan that follows science and prioritizes public health—not politics.,2020-10-29 19:58:01,Sprout Social,8358,72732,covid; 
Instead of working to provide COVID-19 relief to struggling Americans Mitch McConnell and Republicans chose to jam through a Supreme Court nominee—when more than 62 million people have already voted. It’s despicable and they must be held accountable.,2020-10-26 22:50:22,Twitter Web App,17404,98834,covid; 
The COVID-19 pandemic has laid bare the harsh truth: we don’t pay teachers nearly enough for their time talent and skills. @JoeBiden will make sure our teachers are paid what they deserve. https://t.co/Bi4SNB5M4R,2020-10-24 01:58:00,Twitter Media Studio,4554,29602,covid; 
More than 223000 people have died from coronavirus. Trump still doesn’t have a plan. We need a real leader in the White House who will listen to the scientists &amp; protect Americans—that’s @JoeBiden. https://t.co/cNdq3U4TTq,2020-10-23 18:53:07,Periscope,3188,17943,corona; 
Let’s be clear: Trump knew in January how deadly and lethal coronavirus could become—and deliberately misled the American people.   Now more than 222000 people are dead.,2020-10-23 01:11:06,Twitter Web App,21309,131019,corona; 
More than 219000 Americans have died from COVID-19 and we've seen the worst economic crisis since the Great Depression. The stakes could not be higher in this election. Join me live from Florida. https://t.co/XfO5VX1tyw,2020-10-19 16:01:43,Periscope,2020,7574,covid; 
Black Americans are dying from COVID-19 at 2x the rate of white Americans.   This pandemic has further reinforced historical inequities in our nation—and it is clear that confronting these disparities is not a priority for this administration.,2020-10-18 01:35:00,Sprout Social,10948,57052,covid; 
Late last night I learned a non-staff flight crew member &amp; a member of my team tested positive for COVID. I wasn’t in close contact—as defined by the CDC—with either during the 2 days prior to their positive tests.  I've had 2 negative tests this week &amp; am not showing symptoms.,2020-10-15 14:35:15,Twitter Web App,11655,132544,covid; 
Amy Coney Barrett will admit that COVID-19 is infectious. She’ll admit that smoking causes cancer. But whether climate change is real?   Apparently that’s up for debate.,2020-10-14 22:00:52,Twitter Web App,21092,117980,covid; 
Donald Trump and Mike Pence don’t have a national testing plan for coronavirus or a national strategy for contact tracing. They failed to lead and now more than 213000 Americans have lost their lives.,2020-10-10 18:00:03,Sprout Social,13136,69578,corona; 
The science is clear: social distancing and wearing masks prevents the spread of COVID-19 and saves lives. As we head into fall and winter we must follow the guidance of medical professionals like Dr. Fauci. Lives depend on it. https://t.co/XnSarobgDy,2020-10-09 21:27:26,Twitter Web App,4813,23961,covid; 
How Donald Trump and Mike Pence handled the coronavirus crisis is the greatest failure of any American presidency.,2020-10-08 01:10:43,Twitter Web App,59770,417709,corona; 
The Trump administration failed to address COVID-19 and now our students are paying the price. @JoeBiden and I will be ready on day 1 with a roadmap for reopening our schools and keeping kids and educators safe. https://t.co/2SQJipqzBj,2020-10-06 00:49:48,Twitter Web App,2513,10117,covid; 
The Biden-Harris plan to get coronavirus under control includes: free COVID-19 testing treatment and vaccines for everyone.,2020-10-06 00:29:59,Twitter Web App,27423,185229,covid; corona; 
Both @DouglasEmhoff and I were tested for COVID-19 this morning and thankfully we tested negative. This virus is still very much active across our country please continue to wear a mask and maintain social distancing.,2020-10-02 17:47:11,Twitter for iPhone,18131,179931,covid; 
Trump knew.  He knew COVID-19 passes through the air. He knew it was deadlier than the flu. He knew it was dangerous to everyone.  Yet he purposely downplayed the pandemic—and now more than 205000 Americans are dead.,2020-09-30 01:27:24,Twitter Web App,10548,45976,covid; 
From the beginning Trump knew how deadly coronavirus was—but he lied to the American people about the threat it posed. As a result America now has more than 7 million cases. Over 204000 people have died.  We need a president who will take this virus seriously—that’s @JoeBiden.,2020-09-27 17:21:00,Sprout Social,17683,88701,corona; 
Stopped by Flint Michigan today with local leaders to visit Black-owned small businesses that are rebuilding from the coronavirus crisis. @JoeBiden and I will help Americans build back better in Flint and in cities across our country. https://t.co/osQt13Y3F6,2020-09-22 23:31:47,Twitter Web App,3028,16535,corona; 
More than 6.8 million Americans have tested positive for coronavirus. 200000 are dead. They aren’t “nobody.” https://t.co/UpMA3Ad0uQ,2020-09-22 19:33:01,Sprout Social,8233,31347,corona; 
When given the chance to address the coronavirus pandemic and save American lives Donald Trump failed. Now America now has 6.8M infections and nearly 200000 Americans have died.  We need a president who will take this virus seriously. That’s @JoeBiden.,2020-09-21 21:27:45,Sprout Social,7141,32896,corona; 
