I’ve always worked with anyone on both sides of the aisle to get things done for Iowa-it’s why I’m ranked one of the most bipartisan Senators of the last 25 yrs   It’s also why it’s so frustrating that @GreenfieldIowa’s liberal allies refuse to come to the table on COVID relief,2020-10-22 21:26:34,TweetDeck,42,170,covid; 
.@GreenfieldIowa's Senate allies just blocked:  $105 billion for students and education  $47 billion for COVID testing and vaccine development  $20 billion for farmers  $15 billion for childcare  To try to help their election chances. This is partisan politics at its worst.,2020-10-21 19:58:36,TweetDeck,58,159,covid; 
.@GreenfieldIowa might want to talk to her boss @chuckschumer. Senate Republicans put forward a #COVID19 relief bill just a few weeks ago. Senate Democrats blocked it. #IAdebate #IASen https://t.co/hNUfekuPBx,2020-10-16 00:01:22,Twitter Web App,17,36,covid; 
The Senate GOP put forward a COVID relief bill that would provide:   Expanded unemployment benefits💸   PPP for small biz💼   School funding👩‍🏫   Help with childcare👨‍👩‍👧   Support for farmers🌽   Senate Dems blocked it   We need to end the games and get people the help they need,2020-10-14 21:09:18,TweetDeck,210,529,covid; 
.@GreenfieldIowa has opposed every #COVID19 relief package put on the table.  I secured PPE for healthcare workers and billions in relief for Iowa families and small businesses with the CARES Act and I’m continuing to work for solutions despite obstruction from Senate Democrats. https://t.co/JB4x8OMgFV,2020-09-30 17:13:29,TweetDeck,34,63,covid; 
While @GreenfieldIowa focuses on scoring political points I’m focused on delivering relief for Iowans struggling from COVID-19. #IASen #IAPolitics https://t.co/L6XbZyfwQV,2020-09-29 00:23:16,Twitter Web App,47,99,covid; 
When her liberal allies moved to cut out COVID aid for our farmers @GreenfieldIowa didn’t say a word. I’m not surprised she’s bought and paid for by @chuckschumer and liberal special interest groups. She’s already putting them before Iowa.,2020-09-23 23:13:46,TweetDeck,50,141,covid; 
The liberals bankrolling @GreenfieldIowa are blocking aid to our farmers playing politics instead of helping hardworking Iowans hurting from the effects of #COVID19 and the Derecho.    This is unacceptable. I'm fighting to ensure our farmers get this relief.,2020-09-22 16:54:10,TweetDeck,48,120,covid; 
While Iowa farmers are facing serious challenges amid COVID-19 and are dealing with the effects of the Derecho that swept through our state liberals bankrolling @GreenfieldIowa want to deny them critical relief. This is unacceptable. https://t.co/RUWf3VYU1e,2020-09-21 17:54:01,Twitter Web App,22,58,covid; 
I’m excited to announce Joni’s Ride Across Iowa!. Due to #COVID19 precautions we’re switching up the Roast and Ride experience this year. We’ll be riding across Iowa with 6 stops around the state on October 10th-11th! Register at https://t.co/600ZilNRlh!,2020-09-18 14:05:07,TweetDeck,29,70,covid; 
Talking with Iowans across the state on my 99 County Tour it’s clear we need more #COVID19 relief. It’s shameful that Democrats blocked a relief bill last week but I’m going to keep working to get Iowans the relief they need. https://t.co/EvfNbRaVws,2020-09-13 18:43:29,TweetDeck,23,78,covid; 
