With Thanksgiving here and the holidays around the corner all while the COVID-19 pandemic surges in Illinois I am asking you to support our local food banks and feed families in need. https://t.co/YDB0KOYxae,2020-11-24 20:33:01,Sprout Social,4,19,covid; 
We have reached another grim milestone in the COVID-19 pandemic: more than 250000 Americans have died. Please continue to keep yourself your family and your community safe. https://t.co/ike1V4JwF3,2020-11-21 20:47:01,Sprout Social,4,28,covid; 
It is President Trump’s responsibility to work with President-elect @JoeBiden on vaccine distribution to ensure that Americans receive the COVID-19 vaccine as soon as possible. https://t.co/KY9ikzn4Ul,2020-11-20 18:30:16,Sprout Social,6,25,covid; 
As COVID-19 continues to surge in Illinois please take steps to keep yourself your family and your community safe by staying home when you can and wearing a mask when you can’t. https://t.co/BbCQYzjfSO,2020-11-19 03:54:00,Sprout Social,7,20,covid; 
COVID-19 is causing a crisis for the doctors nurses and health care workers on the frontlines. We need to support our health care heroes—and pass a bipartisan pandemic relief bill ASAP. https://t.co/oMDmMqV38e,2020-11-19 02:30:05,Sprout Social,24,105,covid; 
We have our work cut out for us. Looking forward to working with our next POTUS @JoeBiden and VP @KamalaHarris to address the important issues—from COVID-19 to climate change. https://t.co/hhhwLTlFy1,2020-11-16 18:34:01,Sprout Social,7,32,covid; 
As the holidays approach precautions to stop the spread of COVID-19 in Illinois are essential. https://t.co/h1jooYQOHv,2020-11-15 23:49:00,Sprout Social,11,42,covid; 
As COVID-19 cases surge in Illinois we all need to do our part to keep our communities safe. Stay home as much as you can—and when you can’t wear a mask and keep social distance. https://t.co/MMsyHhFHoK,2020-11-13 16:37:46,Sprout Social,8,35,covid; social distance; 
COVID-19 cases are surging in Illinois. This pandemic is not over. Please continue to stay safe social distance wash your hands and wear a mask. We must stop the spread of this virus. https://t.co/a0U7ZfhGNb,2020-10-30 17:29:02,Sprout Social,2,15,covid; social distance; 
Great to join the @PoliticsKBUR podcast to discuss COVID-19 relief fixing our economy our fight to defend this Democratic seat here in Illinois and much more. Listen to our conversation: https://t.co/pdaHaAOHyv,2020-10-09 19:19:01,Sprout Social,2,7,covid; 
Even with two of my Republican colleagues on the Judiciary Committee diagnosed with COVID-19 Mitch McConnell is still moving forward with confirming Amy Coney Barrett. https://t.co/IGOx9NVI59,2020-10-08 19:30:20,Sprout Social,4,13,covid; 
I was sorry to learn that Dr. Wilson has tested positive for COVID-19. I wish him and his staff a speedy recovery.,2020-10-08 16:20:45,Twitter Web App,6,29,covid; 
It’s up to all of us to continue taking the coronavirus seriously. Please practice social distancing wear a mask and wash your hands. These small actions can save lives.,2020-10-08 00:55:01,Sprout Social,11,56,corona; 
When COVID-19 hit I made it a priority to secure emergency loans to help small businesses weather the storm. Proud to highlight the story of one local business in my new TV ad. https://t.co/cUtoIG8ezj,2020-10-07 22:23:17,Sprout Social,10,16,covid; 
Tonight @KamalaHarris will discuss how @JoeBiden is the leader the country needs and the Biden-Harris vision to contain COVID-19 and build America back better. I am all in for @JoeBiden and @KamalaHarris and I can’t wait to see her on the debate stage.,2020-10-07 19:52:42,Twitter Web App,13,67,covid; 
Wishing the President and First Lady a speedy recovery.   Illinoisans please continue to wear masks keep social distance and follow public health guidelines during this pandemic. https://t.co/rxk9j4wBI1,2020-10-02 19:49:59,Twitter Web App,0,23,social distance; 
We need the funding to expand the rapid COVID-19 testing pioneered by @Illinois_Alma. https://t.co/poHOGkCu2c,2020-10-01 01:00:14,Sprout Social,2,24,covid; 
We can’t turn our backs on farmers in Illinois and across the country. They deserve leaders who listen to their needs and concerns—from COVID-19 relief to strengthening our trade markets. https://t.co/46DTkHCiqv,2020-09-18 22:58:01,Sprout Social,2,9,covid; 
As the #COVID19 crisis continues to impact our economy we must do more to support struggling student loan borrowers. @TammyforIL @chuckschumer @ewarren and I introduced a plan for the President to cancel up to $50000 in student loan debt for federal borrowers.,2020-09-18 17:09:03,Sprout Social,11,33,covid; 
We need to leave the COVID-19 vaccine developments to the scientists. Politicians—including President Trump—should not be trying to influence or politicize this process for their own gain. https://t.co/XFBCcbDew7,2020-09-18 01:43:00,Sprout Social,11,63,covid; 
It is troubling that HHS commandeered COVID-19 testing supplies that were meant for colleges in Illinois. This lack of planning is interfering with schools’ ability to keep their campuses safe. https://t.co/LdpMuPrIkb,2020-09-16 21:14:02,Sprout Social,16,28,covid; 
There’s no way around it: President Trump’s calculated decision to mislead the American public about the dangers of COVID-19 has contributed to the tragic loss of more than 190000 lives. https://t.co/YipPe7zQrx,2020-09-10 15:39:31,Sprout Social,6,21,covid; 
Americans are rightfully skeptical about President Trump’s politically-convenient rapid timeline for a COVID-19 vaccine. We need a safe and effective vaccine based on science not politics. https://t.co/CRL3WhfPDE,2020-09-09 15:48:17,Sprout Social,4,13,covid; 
Enough showboating from Mitch McConnell. Senate Republicans need to come back to the negotiating table and debate the COVID-19 relief package that already passed the House.  https://t.co/LEAPiRdWd9,2020-09-09 15:33:12,Sprout Social,5,27,covid; 
Mitch McConnell has stood by and done nothing to help families and communities through the #COVID19 crisis. Americans deserve better than a Republican Senate that refuses to act.,2020-09-04 01:18:00,Sprout Social,34,114,covid; 
I’m urging the Dept. of Defense to adopt @Illinois_Alma’s state-of-the-art #COVID19 testing system. These tests are not only fast and effective but more affordable than other options. https://t.co/oGmtLfh8tB,2020-09-03 22:48:02,Sprout Social,3,17,covid; 
Our nation is facing multiple crises at this critical juncture from the coronavirus pandemic to the scourge of systemic racism and injustice. And time and again President Trump and Mitch McConnell are proving that they simply aren't up to the task of solving these big problems.,2020-08-31 22:19:01,Sprout Social,10,46,corona; 
