This Holiday season remember to shop local and support our small businesses – especially during the COVID-19 pandemic. Small businesses are the backbone of the economy and are vital to the success of our rural communities.  Here are a few small businesses I’ve visited recently👇 https://t.co/5p5quXyI0t,2020-11-28 17:40:38,Twitter Web App,3,42,covid; 
Thank you to the dedicated Americans serving our community state &amp; nation this holiday–from the medical personnel on the frontlines during COVID-19 to the men &amp; women protecting our country. We appreciate your dedication to serving others &amp; for the sacrifices you make each day.,2020-11-26 14:16:58,Twitter for iPhone,2,21,covid; 
Unfortunately the ICAC has seen an increased caseload since the COVID-19 pandemic began. These additional resources will help the ICAC better protect children from online predators and bring to justice the perpetrators of these heinous crimes. https://t.co/urUgAu3dL2,2020-11-26 01:03:38,Twitter for iPhone,2,9,covid; 
🚨HAPPENING NOW: Tune in to my hearing on our manufacturing industry's response to #COVID19 ⬇️ https://t.co/GE77HEDgYH,2020-11-17 19:03:31,Twitter Web App,5,12,covid; 
TODAY: I will convene a @SenateCommerce Subcommittee hearing to examine the American manufacturing industry's response to the #COVID19 pandemic at 2:00 ET. I am looking forward to hearing from the three Kansans on the witness panel.  📺 https://t.co/2vEsWTwKFK https://t.co/b9a0f0TINv,2020-11-17 15:29:16,Twitter Web App,13,12,covid; 
Small businesses schools &amp; families have had to make many difficult decisions throughout this pandemic. The decision to support this #COVID relief package should have been an easy one for my Democrat colleagues.,2020-10-21 18:35:52,Twitter Web App,5,13,covid; 
I voted in support of targeted #COVID19 relief to provide relief to small businesses &amp; the hardworking Americans they employ schools across our country and support for testing &amp; vaccines.,2020-10-21 18:35:52,Twitter Web App,8,27,covid; 
Pleased to announce @KUMedCenter will be receiving $5M from @NIH to improve #COVID19 testing in underserved &amp; vulnerable populations as part of #RADx. They have strong community partnerships making them an ideal participant to learn how we can better serve these populations.,2020-10-01 14:58:08,Twitter Web App,7,33,covid; 
Thousands of veterans depend on the programs offered by @DeptVetAffairs to help combat homelessness pursue an education &amp; much more. This bill helps these programs seamlessly continue into the next fiscal year to prevent disrupting veterans’ lives especially during #COVID19. https://t.co/VpNXG2m9kX,2020-09-30 22:18:27,Twitter Web App,1,5,covid; 
The @KansasGuard has played a vital role in helping our state respond to #COVID19 &amp; this week I joined 37 of my Senate colleagues in urging @POTUS to make certain the National Guard receives the support it needs from the federal government as they respond to this crisis.,2020-09-09 16:58:41,Twitter Web App,2,16,covid; 
.@thermofisher has stepped up to help meet the national demand for #COVID19 testing. Their ability to significantly increase the production of VTM is important for making certain Americans can feel secure in their health and safely return to work. https://t.co/z0VIWrmpNO,2020-08-28 19:08:57,Twitter Web App,2,8,covid; 
Looking forward to joining @thermofisher in Lenexa as they open their new facility which will produce VTM-filled tubes for #COVID19 testing and add 300+ new jobs to the local economy. Kansans never fail to do their part in our country’s time of need and this is no different. https://t.co/4FdY6ZkIFM,2020-08-28 12:41:26,Twitter Web App,5,21,covid; 
Indian Country has suffered particularly high rates of #COVID19 &amp; needs greater flexibility in spending the relief funds provided to them in the #CARESAct.    I led 11 of my Senate Colleagues in urging Leaders McConnell &amp; McCarthy to include tribal gov't priorities in Phase IV. https://t.co/hfTtoDoQHL,2020-08-25 16:33:28,Twitter Web App,5,31,covid; 
As we continue to battle #COVID19 &amp; prepare for a presidential election I called on newly appointed Postmaster General DeJoy yesterday to work w/ Congress to reform the @USPS. Now is the time to work together to put the USPS on firmer financial footing &amp; protect its integrity. https://t.co/WG2em2Tk0L,2020-08-18 15:17:49,Twitter Web App,12,45,covid; 
Learned how COVID-19 is affecting @KSBigs today on a tour &amp; how they are adapting to a world with limited in-person contact. Each year their 1-on-1 mentoring program provides thousands of young Kansans with a positive role model and a friend for them to lean on and learn from. https://t.co/TrBdYD5lAn,2020-08-01 00:22:49,Twitter for iPhone,3,15,covid; 
Introduced the RAMP-UP Act w/ @SenAmyKlobuchar to expand markets for small meatpackers.   The importance of meatpacking plants in KS is even greater during #COVID19 as they work to meet a growing nationwide demand for quality meat.    Learn more ⤵️ https://t.co/y24mBsFEE2,2020-07-23 19:23:40,Twitter Web App,1,14,covid; 
TUNE IN📺: I will convene a hearing to discuss ways to protect Americans from #COVID19 scams at 2:30 ET today.   During this national emergency fraudsters &amp; scam artists seek to take advantage of consumers especially vulnerable communities like our nation's seniors. https://t.co/GIa4yD0cY4,2020-07-21 18:15:32,Twitter Web App,2,4,covid; 
Visited the Colmery-O'Neil VAMC to speak with #veterans tour the medical center &amp; meet with staff today. As chairman of @SenateVA I want to make certain our medical providers are equipped to care for Kansans during the #COVID19 pandemic. https://t.co/t3oU3ilEr2,2020-07-03 23:57:02,Twitter Web App,3,15,covid; 
