This pandemic has forced 40% of Americans to face food insecurity. The Senate should not have left town this week knowing families will go hungry over Thanksgiving without a COVID-19 relief bill. Pass the #HeroesAct or other meaningful help! https://t.co/sfB3OdLtWv,2020-11-21 00:15:00,Twitter Web App,139,302,covid; 
Marylanders: as COVID-19 cases are spiking in our state and across the country make sure that you have the health care coverage you need. #OpenEnrollment lasts through Dec. 15 so if you are not yet covered sign up for health care today at https://t.co/snisPl1MfM. #GetCovered,2020-11-18 19:02:00,Twitter Web App,38,65,covid; 
Corporate executives shouldn’t be able to game the system to profit off insider info like a COVID vaccine. Asked SEC Chairman Clayton about this at a hearing today and he agreed—we need better guardrails against insider trading like my bipartisan bill with @SenatorFischer. https://t.co/GSnlt5w881,2020-11-18 00:01:16,Twitter Web App,12,83,covid; 
Trump's COVID task force admits a delayed transition threatens lives and vaccine distribution. Yet McConnell is more focused on confirming judges and fueling Trump’s baseless assault on our democracy than a relief bill. Lives are at stake—act like it! https://t.co/gC6Ua27YMI,2020-11-13 17:49:43,Twitter Web App,147,351,covid; 
Yesterday the U.S. recorded 100000+ COVID-19 cases in a single day for the first time. 234000+ Americans have died. The House passed a big relief bill almost 6 months ago and the Senate GOP must stop stonewalling. We need a robust comprehensive COVID-19 response bill now!,2020-11-05 17:43:50,Twitter Web App,352,926,covid; 
The president got world class care at Walter Reed. That’s fine. What’s reprehensible is his lack of care for others—including Helen Avalos a worker at Walter Reed who shared how his gross indifference has affected her and others who contracted COVID. https://t.co/tEgp6izvYC,2020-10-28 21:06:25,Twitter Web App,156,328,covid; 
I just voted NO on Judge Barrett. In 8 days Americans will render a verdict on the gross abuse of power we have witnessed in the Senate time and again. They will never forget how the GOP ignored their needs during the COVID-19 crisis. This is not over. https://t.co/V45YE2UA7v,2020-10-27 00:04:41,Twitter Media Studio,185,1084,covid; 
Much like COVID-19 asthma disproportionately impacts communities of color. Baltimore has one of the highest asthma rates in the nation. The GOP’s efforts to destroy protections for people with pre-existing conditions will worsen this environmental injustice. #WhatsAtStake,2020-10-09 19:16:57,Twitter Web App,24,67,covid; 
The White House's secrecy and lack of serious response to its COVID-19 outbreak is endangering workers and their families—many of whom are Marylanders. We need answers about what steps are being taken to protect White House workers including Secret Service and support staff.,2020-10-06 22:29:51,Twitter Web App,45,203,covid; 
To sum up Trump’s position: Stop efforts to help America defeat COVID-19 in order to focus 100% on putting someone on SCOTUS to destroy the Affordable Care Act and take away health care protections from Americans. Not what the public is looking for. https://t.co/DmRfppnFwW,2020-10-06 19:40:37,Twitter Web App,120,238,covid; 
Trump now says “I get it” and he has “learned a lot” at “the real school.” Tragically it is too late for the nearly 210000 Americans dead and more than 7.4 million infected with COVID-19. And he still doesn’t get it—endangering those around him for political theater. https://t.co/ubuJ8tLGr9,2020-10-04 22:27:21,Twitter Web App,125,388,covid; 
Low wage workers are hit hardest by the COVID-19 crisis. The House’s original Heroes Act and the new relief bill passed by the House last night supports these workers and families with the $600/week UI boost and nutrition and rental assistance. McConnell allow a Senate vote! https://t.co/5txZQdIHqi,2020-10-02 18:53:50,Twitter Web App,22,63,covid; 
I wish the President the First Lady and their staff and the hundreds of thousands of Americans who are currently infected with COVID-19 a full recovery. The virus can reach every American and following CDC guidelines is essential. No one should mock those who wear masks.,2020-10-02 16:44:00,Twitter Web App,43,292,covid; 
Make no mistake Trump and McConnell are telling America that—in the middle of the COVID-19 crisis—their priority is to pack the Supreme Court with right-wing ideologues who will deny affordable health care to millions and rip away protections for pre-existing conditions. https://t.co/zwhmwkmKnh,2020-09-21 20:30:13,Twitter Media Studio,83,191,covid; 
Starting soon: my Telephone Town Hall with Dr. Harolyn Belcher. We’ll provide an update on COVID-19 and take questions you might have. I hope you can join us!  Tune in live at 6:45 PM here: https://t.co/KU1jG5xepk,2020-09-14 22:18:05,Twitter Web App,6,19,covid; 
Many TPS workers all here legally are on the front lines of our COVID-19 response. Today @SenatorCardin @SenFeinstein and I urged the Senate to protect them. This ruling makes it even more urgent to shield them from Trump’s inhumane deportation orders. https://t.co/BEVYEpdHS2,2020-09-14 20:16:40,Twitter Web App,43,76,covid; 
I'll be hosting a Telephone Town Hall tomorrow at 6:45 PM joined by Dr. Harolyn Belcher. We'll provide an update on COVID-19 and take your questions on everything from reopening schools to progress on a vaccine. Register here to join: https://t.co/KU1jG5xepk https://t.co/0PGf4RZLeD,2020-09-13 21:22:17,Twitter Web App,8,15,covid; 
It’s shameful that as families struggle to stay afloat some hospitals getting emergency federal funds are also seizing their patients’ wages to collect COVID-19 medical debt. Congress must stop this abuse by including our bill banning this practice in the next relief package. https://t.co/5sny735jWB,2020-08-21 17:59:37,Twitter Web App,34,92,covid; 
Starting soon: my Telephone Town Hall with Dr. @kathleen_neuzil a vaccine and infectious disease expert at @UMmedschool. We’ll update you on COVID-19 and the latest on the fight for additional federal relief. Listen live and ask questions here: https://t.co/KU1jG5xepk,2020-08-03 22:21:11,Twitter Web App,9,15,covid; 
Hope you will join my Telephone Town Hall on COVID-19 today at 6:45 PM ET with Dr. @kathleen_neuzil a vaccine and infectious disease expert at @UMmedschool. Register and submit questions here: https://t.co/KU1jG5fD0K https://t.co/MTycFxfqdq,2020-08-03 11:51:08,Twitter Web App,7,11,covid; 
Facts to put the GOP's priorities in perspective:  Over 40% of COVID-19 deaths were linked to nursing homes or long-term care facilities.  Targeted funding to help nursing homes experiencing outbreaks in the GOP bill?  $0  Funding to help Trump get richer?  $1.75 billion,2020-07-29 20:34:13,Twitter Web App,211,383,covid; 
Congress spent years working towards a new FBI campus. Trump pulled the plug. Now he wants to exploit the next emergency COVID-19 bill to get the current FBI building renovated on the current site near the Trump Hotel. Not going to happen. https://t.co/WkahubXQvc,2020-07-23 22:36:36,Twitter for iPhone,47,136,covid; 
Over 130000 TPS holders work on the front lines of our country's COVID-19 response.  Trump's efforts to strip their status and deport them is unjust and stupid.  As I mentioned to grassroots activists this morning we must keep fighting for protections like our SECURE Act. https://t.co/GoFna5o5Au,2020-07-16 22:44:13,Twitter Web App,13,36,covid; 
Students without internet are hit especially hard by COVID-19 school closures and could fall further behind as schools look toward remote solutions—unless Congress acts now to ensure ALL students have equal access to the necessary equipment and broadband. https://t.co/FCpQx13iaC,2020-07-10 21:14:37,Twitter Web App,7,50,covid; 
Trump’s negligence during COVID-19 has made the unemployment problem far worse. We need a strategy to provide short and long-term job opportunities for workers. Introduced a bill with @RonWyden—which includes parts of our earlier Long-Term Unemployment Elimination Act—to do that.,2020-07-07 16:49:18,Twitter Web App,33,129,covid; 
No American child should go hungry because Senate GOP leadership didn't prioritize SNAP in COVID-19 relief.  Food insecurity isn't a new issue but this pandemic has made matters worse for Maryland workers and families trying to put food on the table. We must #BoostSNAPNow.,2020-07-01 23:57:33,Twitter Web App,55,177,covid; 
While COVID-19 has taken a toll on the budget in Maryland and states across the country it would be premature for Maryland to enact Gov. Hogan’s severe cuts at this time and state employees deserve to have a voice in this decision. https://t.co/yRjVav7gGC,2020-06-30 16:10:45,Twitter Web App,24,74,covid; 
Today the Trump Administration is once again going to SCOTUS to attack the Affordable Care Act. Even COVID-19 isn’t stopping their attempts to rip care away from millions hike costs and wage war on health care for American families. We’ve stopped them before and must again. https://t.co/ZT3mPvnSuq,2020-06-25 18:53:39,Twitter Web App,23,68,covid; 
It’s been 6 months since COVID-19 hit the U.S.   There is still a shortage of medical supplies and Trump refuses to fully utilize the Defense Production Act.   Teamed up with @SenDuckworth and @SenAngusKing on a bill directing HHS to use its authority to bolster the supply chain.,2020-06-25 00:08:13,Twitter Web App,53,197,covid; 
When President Trump talks about “America First” tonight remember he has sadly kept his promise in one grim respect: under his botched leadership we are the first in the world in COVID-19 deaths.,2020-06-21 00:32:51,Twitter for iPhone,59,171,covid; 
This week FCC Chairman Pai agreed with me—we must close the Homework Gap &amp; digital divide especially given the harsh inequities further exposed by COVID-19. We’ve introduced bills to solve this issue but Pai has the authority to fix parts of it now—yet he hasn't. Do it! https://t.co/Hx1gnhNT4J,2020-06-18 18:50:52,Twitter Media Studio,10,26,covid; 
Communities of color face the highest rate of COVID-19 infection in Maryland but many cannot access testing. That’s why we are asking the Governor to use federal funds for a testing plan that includes key local groups and the faith community. https://t.co/BkfCArwKPy,2020-06-09 14:11:56,Twitter Web App,26,47,covid; 
With Maryland receiving $205M in federal COVID-19 testing funds the State is required to submit a plan of action to the CDC. We urge them to publicly release it. The public needs details on how the funds will help Marylanders—especially in our hardest-hit communities—get tested. https://t.co/3mn7QMVzpl,2020-05-29 23:45:08,Twitter Web App,26,76,covid; 
On this day as we mourn the loss of over 100000 Americans who have died from COVID-19 Trump needs to do America a favor—focus less on Twitter’s use of free speech to fact check his lies and more on implementing a national testing strategy.,2020-05-28 21:07:20,Twitter Web App,68,216,covid; 
MD’s COVID-19 data on race ethnicity and zip codes paints a clear picture of the hardest-hit communities. Joined with @RepAnthonyBrown and the MD Delegation to urge the state to implement a bold plan to address underlying inequities and direct more resources to key partners. https://t.co/YsH0k0BkYx,2020-05-21 20:31:10,Twitter Web App,17,36,covid; 
In the midst of COVID-19 the Trump EPA decided to undo health protections that safeguard Americans from mercury poisoning.  This was on the wish list from Bob Murray and Murray Energy a big Trump contributor.  Murray got what he paid for.  Kids get more mercury poisoning. https://t.co/gYcmu9QQiC,2020-05-20 22:10:27,Twitter Media Studio,37,54,covid; 
Thank you to all Marylanders who have already filled out the census—we are ahead of the national response rate! COVID-19 has underscored its importance since billions in federal relief have been allocated based on census data. Take 10 mins to fill it out: https://t.co/a8QVT8kiSx https://t.co/o6MZO93DKw,2020-05-11 17:09:00,Twitter Media Studio,19,61,covid; 
We must mobilize national service to help with COVID-19 and key future priorities. Proud to work with @ChrisCoons @SenMarkey and others to deploy 750000 workers to address public health food insecurity and the Homework Gap. Let’s get this passed! #Stand4Service https://t.co/VyseJPAJuq,2020-05-08 19:04:36,Twitter Web App,31,80,covid; 
Instead of focusing on the coronavirus crisis the Trump Administration is continuing its all-out assault on women’s reproductive health and the ACA. Women’s access to affordable contraception should not be vetoed by their employers or anyone else.  https://t.co/jvyXVooyBN,2020-05-06 21:55:14,Twitter Web App,27,57,corona; 
Starting soon: my Telephone Town Hall with Dr. Lisa Maragakis infectious disease expert from Johns Hopkins.  We're here to answer any questions you might have about COVID-19 and federal relief efforts.  Tune in live and submit questions here: https://t.co/KU1jG5xepk,2020-05-04 21:50:33,Twitter Web App,11,23,covid; 
Join my Telephone Town Hall Monday at 6:30 PM ET with special guest Dr. Lisa Maragakis an infectious disease expert from Johns Hopkins. We'll provide the latest updates on COVID-19 and take your questions. Listen and submit questions here: https://t.co/KU1jG5xepk. https://t.co/mSogqIZVZr,2020-05-03 17:06:30,Twitter Web App,9,13,covid; 
Good point you bring up. Need to do both provide them with the safety net of UI while finding a way to deploy their skills in the battle against COVID-19. @SenMarkey and I introduced the UNITE Act to do just that and we want to include it in the next bill. https://t.co/gDfKsMHcsM,2020-04-29 22:27:05,Twitter Web App,16,65,covid; 
Nursing homes have been hit especially hard by COVID-19. In Maryland alone 2/3 of all long-term care facilities have COVID-19 cases. Time is of the essence. We need the Trump Administration to release the $200 million from the CARES Act to help nursing homes seniors and staff. https://t.co/Q2idRNshmL,2020-04-29 18:24:44,Twitter Web App,10,36,covid; 
