There’s still work to do to dig out from under #COVID19 but the US Q3 #GDP report is great news for our recovering economy and @realdonaldtrump’s pro-growth economic policies.,2020-10-29 15:27:53,Twitter Web App,4,15,covid; 
Honored to be designated a @nfib "Guardian of Small Business." Small business owners and those they employ have my admiration and solid support especially as we work to overcome the #COVID19 pandemic. @nfib_ms,2020-10-22 21:47:52,Twitter for Advertisers (legacy),4,5,covid; 
The Senate Dems have racked up a perfect four-for-four record of stopping the delivery of new #COVID19 relief. Unfortunately their perfect record denies the citizens of MS and this great country a new round of PPP unemployment benefits money for vaccines and testing and more.,2020-10-21 19:01:25,Twitter for Advertisers (legacy),20,38,covid; 
PPP successfully kept hard-hit small businesses and their employees afloat as the #coronavirus battered our economy.  It’s a shame that Senate Dems continue to hurt the American people instead of getting real help out the door right now.,2020-10-20 22:41:00,Twitter for Advertisers (legacy),11,25,corona; 
The “all-or-nothing” act Speaker Pelosi and Senate Dems have clung to has only hurt Americans. The Minority Leader tried to adjourn the Senate last night sans any #COVID19 relief. We’re back in D.C. to get things done. We are here to offer actual help to Mississippians. https://t.co/4TmQkua3b6,2020-10-20 20:01:41,Twitter Web App,19,31,covid; 
We must work together on #COVID19 relief. Defunding the police &amp; rewriting election laws have zilch to do w/ the current crisis. Re-upping #PPP aid to help schools reopen safely &amp; increased treatment/vaccine resources on the other hand have lots to do w/ helping Americans.,2020-10-07 19:42:37,Twitter for Advertisers (legacy),5,12,covid; 
Fisheries surveys critical to @msgulfcoast economies were suspended this year due to #COVID19. @NOAA should take action now to ensure the surveys can take place in 2021 so MS coastal communities can get this industry back on track. @SenatorRogerWicker,2020-10-05 20:45:03,Twitter for Advertisers (legacy),6,7,covid; 
Getting a flu shot is important every year but it’s especially important this year with #COVID19. Got my flu shot at @Walgreens this morning and I hope my fellow Mississippians will do their part to protect themselves &amp; their communities by getting vaccinated against the #flu.,2020-10-02 18:35:20,Twitter for Advertisers (legacy),12,29,covid; 
Like so many in MS and across the USA and world I am praying for a swift recovery for @realdonaldtrump and @FLOTUS as they fight #COVID19. The American people stand strong with you. May God continue to bless you and everyone affected by the #coronavirus. https://t.co/Wahzd9wNZd,2020-10-02 11:20:32,Twitter for iPhone,45,231,covid; corona; 
Last night the Senate passed &amp; @realdonaldtrump signed a stopgap funding bill to maintain fed. programs w/out disruptions as families &amp; communities work through #COVID19. Hopeful the bipartisan cooperation that went into this will keep for negotiations in FY21 approps bills.,2020-10-01 14:38:19,Twitter for Advertisers (legacy),7,10,covid; 
Particularly during our current economic hardships due to #COVID19 it’s important to find ways to tear down roadblocks that keep women and minorities from reentering the #STEM workforce. Read more about @SenJackyRosen’s and my bill to address that:,2020-09-25 18:28:23,Twitter for Advertisers (legacy),5,9,covid; 
.@SenateGOP offered 2 #COVID19 relief bills over the past 2 months both blocked by Democrats. Time lost while they could have worked with us to boost healthcare aid the jobless &amp; help schools open safely. Looks like now they are starting to see consequences of their inaction.,2020-09-25 17:31:59,Twitter for Advertisers (legacy),16,24,covid; 
Was great chatting with @msbankers this morning. So disappointing Democrats in Congress continue to hold up new #COVID19 relief including more #PPP to help #SmallBusinesses and save jobs. We’ll keep working to get it done. https://t.co/MpYF9sNjhB,2020-09-23 16:08:21,Twitter Web App,6,9,covid; 
MS businesses are beginning to bounce back from #COVID19 downturn much the same way we grew under @HaleyBarbour's leadership after Katrina. Former Gov Barbour shared insights with Senators today at @RoyBlunt’s Coffee and Conversation. Good stuff! https://t.co/gXavVpWivD,2020-09-22 17:43:28,Twitter Web App,6,20,covid; 
After MS veterans told me about a lack of rapid #COVID19 testing at the Armed Forces Retirement Home in @CityofGulfport I wrote to @DLAMIL requesting that be rectified. Grateful for the quick turn-around and pleased our veterans will benefit. Read more here:,2020-09-22 16:47:49,Twitter for Advertisers (legacy),11,20,covid; 
Farmers &amp; ranchers have experienced depressed prices catastrophic flooding market disruptions &amp; now #COVID19. With the end of the fiscal year fast approaching we must ensure important @USDA ag/conservation programs do not come to a screeching halt on Oct. 1.,2020-09-17 17:48:53,Twitter for Advertisers (legacy),7,16,covid; 
Access to healthcare is always more challenging in rural America. @HHSGov @CDCgov @DeptofDefense &amp; other agencies working with states to plan for potential #COVID19vaccine distribution to rural America later this year.,2020-09-16 20:36:34,Twitter for Advertisers (legacy),3,5,covid; 
My latest e-newsletter which includes highlights of some of my work with Mississippians as we work our way through the ongoing COVID-19 pandemic:,2020-09-15 19:14:10,Twitter for Advertisers (legacy),2,6,covid; 
There are many ways we can safely pay our respects to those who lost their lives on #September11 amidst #COVID19. Join @NLEOMF tomorrow on Facebook live to honor law enforcement officers who gave their lives that day. https://t.co/Kbh3jlk5gb https://t.co/8gqlDGWOID,2020-09-10 19:27:31,Twitter Web App,4,5,covid; 
Here we go again. Dems block a #COVID19 relief bill with *billions* for school safety unemployment benefits liability protection &amp; much more. Why? They want to cling to their demands for cannabis research checks for illegal immigrants &amp; tax cuts for blue state millionaires. https://t.co/A6ZVfsmqju,2020-09-10 17:50:52,Twitter Web App,7,12,covid; 
Financial hardship caused by #COVID19 puts some at risk of homelessness which could mean greater risk of spreading #coronavirus. @HUDgov sending $18.7M in additional #CARESAct CDBG funding to help address housing &amp; other hardships caused by the pandemic.,2020-09-10 17:26:29,Twitter for Advertisers (legacy),5,6,covid; corona; 
In addition to providing for kids jobs and healthcare this plan would also provide $20B of additional farm assistance and $500M in direct federal assistance for fisheries which would be crucial for MS farmers fishers and producers as they continue to navigate #COVID19.,2020-09-08 20:36:48,Twitter Web App,4,6,covid; 
When the aviation industry returns to pre- #COVID19 levels the need for pilots and technicians will be in even more demand. The @FAANews pilot education and aviation technician programs received full funding in FY20. It’s time to be proactive and implement them.,2020-09-02 15:09:06,Twitter for Advertisers (legacy),3,6,covid; 
Great news for @PascagoulaCity @msgulfcoast: Just under $8M in #CARESAct funding to the MS Coast Transit Authority for transit services in Jackson County throughout #COVID19. Workers and residents rely on this transportation &amp; I’m grateful it will continue to be provided for them,2020-09-01 18:06:12,Twitter for Advertisers (legacy),8,10,covid; 
Great news: Just this morning @TVAnews Board approved a special $200M #Pandemic Relief Credit to help communities recover economically. Wonderful to see TVA using its resources to deliver continued support for Mississippians &amp; other customers throughout #COVID19. Read more:,2020-08-27 16:04:56,Twitter for Advertisers (legacy),7,24,covid; 
Thank you @CMSgov @SeemaCMS  and @realdonaldtrump for this new #RuralCrosswalk. This added flexibility will be a huge help to rural healthcare providers in the fight against #COVID19 and your continued support goes a long way for Mississippi. https://t.co/nsA4s8rAyS.,2020-08-24 16:16:45,Twitter Web App,4,2,covid; 
Children will continue to need federal nutrition support whether their schools are open or offering online courses. @USDA has adapted child nutrition policies to meet the need and that flexibility should continue as we work our way through #COVID19. @SecretarySonny @SenateAgGOP,2020-08-19 18:45:59,Twitter for Advertisers (legacy),7,10,covid; 
.@USDA will make farm-raised catfish producers eligible for direct relief for losses associated with #COVID19. This is great news for MS catfish producers who have suffered declining sales because of #coronavirus. Grateful to @SecretarySonny for addressing this need. @usdafsa,2020-08-11 19:28:36,Twitter for Advertisers (legacy),6,6,covid; corona; 
$3.5M going to 10 MS universities/community colleges for student support services. @usedgov funding will help students stay on top of their studies which will be especially important as #COVID19 affects campus life for the foreseeable future. @MSPublicUniv,2020-08-06 18:15:06,Twitter for Advertisers (legacy),10,12,covid; 
In every of corner our state Mississippians are heroically showing up to aid their neighbors during this #pandemic. Had a chance to thank our #COVID19 heroes today.,2020-08-05 20:21:58,Twitter for Advertisers (legacy),5,13,covid; 
For the first time @USDA is purchasing MS-produced shrimp to distribute to food banks and nonprofits addressing some #COVID19 economic challenges. Grateful to @SecSonny for recognizing how this purchase decision will help an important @msgulfcoast industry &amp; those in need.,2020-08-05 20:00:23,Twitter for Advertisers (legacy),9,9,covid; 
Rural hospitals have been significantly affected by #COVID19. Let’s not put them in a position of having to choose between rural physician training programs or staying open. I joined in asking @HHSGov to release #coronavirus emergency funding to help them.,2020-07-31 14:19:57,Twitter for Advertisers (legacy),6,6,covid; corona; 
Happy #NationalInternDay to my small but dedicated summer intern class! #COVID19 made for an unusual summer session but my staff and I were so appreciative of their good work. https://t.co/f0y9tQzzHL,2020-07-30 20:35:54,Twitter Web App,3,8,covid; 
Was wonderful to sit down with @usedgov @BetsyDeVosED to discuss how to best serve students and educators during the #COVID19 pandemic. https://t.co/l7O3QKO4UC,2020-07-30 19:25:45,Twitter for iPhone,2,12,covid; 
The #COVID19 trajectory indicates that MS frontline workers first responders and citizens will need substantial and sustained supplies of PPE. $4.39M from @FEMA supports @msema’s disaster response efforts. @SenatorWicker,2020-07-28 21:08:18,Twitter for Advertisers (legacy),3,9,covid; 
Great to see @nationalguardMS working with @msdh to process #COVID19 tests. The National Guard is playing an important role in providing manpower and support as our state works to overcome the #coronavirus. Watch here: https://t.co/vvfzHN0G8P,2020-07-28 15:41:14,Twitter Web App,4,5,covid; corona; 
The HEALS Act represents a responsible realistic plan to help schools workers the economy and importantly frontline caregivers. Americans want and need Congress to work together to continue the #COVID19 fight. More on the appropriations portion below:,2020-07-27 22:53:33,Twitter for Advertisers (legacy),43,113,covid; 
Overcoming #COVID19 public health economic and social challenges will take hard work. #CORPSAct will empower Americans to help make communities stronger &amp; healthier for everyone. @AmeriCorps @NationalService,2020-07-23 18:12:15,Twitter for Advertisers (legacy),6,22,covid; 
Mississippians can’t wait until Democrats decide to put the American people over politics. A #COVID19 vaccine &amp; other medications can’t do any good when people can’t afford them. @ChuckGrassley’s Prescription Drug Pricing Reduction Act should be in the next relief package.,2020-07-23 14:45:56,Twitter for Advertisers (legacy),9,11,covid; 
#COVID19 is without a doubt raising anxiety among Mississippians which can create critical situations for those already dealing with mental health or substance abuse issues. The @HHSgov has awarded $1.3M to address these issues in to our state. @MSUExtService,2020-07-22 21:58:53,Twitter for Advertisers (legacy),1,4,covid; 
It’s an honor to be recognized as a 2020 #MedicareAdvantage Congressional Supporter by @BMAlliance. Affordable healthcare is more important than ever during the #COVID19 crisis and I will continue to work hard to keep it that way. Learn more below:,2020-07-20 19:33:05,Twitter for Advertisers (legacy),7,6,covid; 
ICYMI: @CommerceGov has given Mississippi small businesses another lifeline to respond to #COVID19 by recapitalizing revolving loan funds that serve almost 60 counties across the state. Grateful to @realdonaldtrump @SecretaryRoss for this strong investment in our great state. https://t.co/GsqK0VZ6bH,2020-07-17 14:42:33,Twitter Web App,10,10,covid; 
Are you using hand sanitizer correctly? Test your knowledge about the appropriate use of hand sanitizer with this @FDA hand sanitizer quiz. #COVID19 https://t.co/8GpsakPMy5 https://t.co/wv7lZFIWXp,2020-07-15 19:23:34,Twitter Web App,5,3,covid; 
Mississippi #veterans: @VAVetBenefits is hosting a Tele-Townhall at 4pmCT today! @DeptVetAffairs Under Sec. Paul Lawrence will give an update on VBA programs: Solid Start Blue Water Navy &amp; #COVID19 response. Join the discussion: 833-380-0417 https://t.co/xMWtMgXw9u,2020-07-09 17:50:19,Twitter for iPhone,2,5,covid; 
I joined @SenBillCassidy &amp; others asking @HHSGov @CMSGov for details on sustaining expanded #telehealth even after #COVID19. It has proven too valuable to reduce access especially for rural Mississippians. @UMMCTelehealth is a national leader. https://t.co/cQP7kfXZwB https://t.co/2pGry8vwqH,2020-07-08 16:03:01,Twitter for iPhone,2,7,covid; 
#COVID19 has only added to Mississippian’s anxieties around skyrocketing prescription drug prices. If we’re serious about helping Americans @ChuckGrassley’s bill to address these issues should be an immediate priority.,2020-07-07 17:44:35,Twitter for Advertisers (legacy),6,14,covid; 
#COVID19 increases in rural Mississippi and USA put greater hardships on providers. @Sen_JoeManchin &amp; I continue to push @HHSgov for definite 20% set aside for rural providers. w/ @SenatorWicker @RepTrentKelly @RepMichaelGuest,2020-07-06 18:53:57,Twitter for Advertisers (legacy),3,8,covid; 
.@FAANews  grants $15.56M to improve 22 MS airports with #CARESAct funding added to help offset the #COVID19 financial hits to our cities and counties. @SenatorWicker  https://t.co/pJy2PANiKC https://t.co/K7YLKzj12K,2020-07-02 15:07:27,Twitter Web App,3,1,covid; 
With #coronavirus cases rising and the #July4th holiday here it’s important we do our part to protect ourselves &amp; fellow Mississippians. This @NIST video demonstrates how wearing a mask reduces the potential spread of #COVID19. Take a look. https://t.co/2vhxDkoZrp,2020-07-02 14:19:43,Twitter Web App,2,2,covid; corona; 
Big Day for the #USA! #USMCA takes effect bringing benefits for American manufacturers farmers businesses &amp; workers. Builds on @realDonaldTrump's America first commitment &amp; can help us build a stronger post-#COVID19 economy. https://t.co/486WmYapmq,2020-07-01 14:58:29,Twitter Web App,2,2,covid; 
Appreciate @UMMCnews working to find good out of the bad associated with #COVID19. Let’s continue working to avoid new cases. But if you’ve had the #coronavirus learn more about how you might be able to help. @msdh #InThisTogether https://t.co/3OaIZMfQGr,2020-06-25 17:14:29,Twitter Web App,3,8,covid; corona; 
A strong health workforce is more necessary than ever as #COVID19 is showing us.  The $1.27 in @HHSGov @HRSAgov funds going to @UMMCnews and @USMGoldenEagles will fortify these already very established programs.,2020-06-20 14:39:45,Twitter for Advertisers (legacy),3,2,covid; 
#COVID19 is helping prove the benefits of telehealth services. We can’t allow #Medicare clawback demands to stunt progress. @SenAngusKing &amp; I have introduced legislation to shield rural clinics &amp; federally qualified health centers from those costs throughout the #pandemic. @msdh,2020-06-18 19:01:08,Twitter for Advertisers (legacy),4,4,covid; 
National service programs have established strong records for providing critical assistance in times of crisis. That’s why I helped introduce the #CORPSAct which would double the # of @AmeriCorps positions this year to help folks overcome hardships caused by #COVID19.,2020-06-16 17:52:24,Twitter for Advertisers (legacy),6,26,covid; 
We must remain wary of #COVID19 as MS reopens. This @CDC Resuming Business Toolkit is useful in going about our business more safely. https://t.co/sMM4Xo8ToP,2020-06-11 20:06:47,Twitter Web App,4,3,covid; 
.@HHSGov awards $219M in #CARESAct funding to support MS safety net hospitals serving Medicare and other vulnerable patients. I will continue working to help these facilities remain open and survive the #COVID19 health crisis.,2020-06-10 22:51:19,Twitter for Advertisers (legacy),41,96,covid; 
More work to be done but May #jobsreport offers a glimmer of hope for safely reopening MS &amp; nation for business. Thankfully our @realdonaldtrump economy was healthy before #COVID19 and we may bounce back faster than expected! https://t.co/cDVJ6c0Jlt,2020-06-05 15:48:56,Twitter Web App,4,7,covid; 
#COVID19 exposed the risks of lacking a strong national critical medical supply stockpile. I’m cosponsoring legislation with @SenThomTillis @SenatorBennet to improve and renew the Strategic National Stockpile. Read more: https://t.co/eVNAsYq1c1,2020-05-26 18:33:47,Twitter for Advertisers (legacy),5,6,covid; 
MS rural health providers need assured access to #COVID19 resources as the pandemic affects their ability to survive financially. @Sen_JoeManchin @lisamurkowski &amp; I have a bill to require 20 percent set-aside. Read more.,2020-05-22 17:09:13,Twitter for Advertisers (legacy),4,5,covid; 
#COVID19 stress on state county &amp; city budgets is made worse for those hit by disasters. I’ve introduced a bill to eliminate the @FEMA cost-share for 2020 federal disaster declarations. This plan builds on the #SMARTAct bill from earlier this week. @MSEMA https://t.co/eko9WX8GZf https://t.co/QLvu2fCdJu,2020-05-21 17:14:44,Twitter Web App,3,7,covid; 
.@TheJusticeDept is directing $6M in #CARESAct funding to MS law enforcement entities to help offset costs sustained to fight #COVID19. May 29 deadline for additional grants drawing near. @MissDPS,2020-05-20 21:56:12,Twitter for Advertisers (legacy),3,3,covid; 
Great to see the @USDA Farmers to Families Food Box Program is getting food to people in need during the #COVID19 outbreak. https://t.co/CeQCP7UabW https://t.co/4jFRPG0Sqk,2020-05-20 15:13:57,Twitter Web App,8,23,covid; 
.@MSSeafood is a huge economic driver on the @msgulfcoast. Demand has dropped with #COVID19 shuttering restaurants. @SenatorWicker @CongPalazzo &amp; I are asking @USDA @SecretarySonny to buy MS seafood to help sustain those in need.,2020-05-19 19:39:22,Twitter for Advertisers (legacy),10,28,covid; 
I’m hearing from MS cities and counties about their hardships as #COVID19 costs pile up. A responsible bipartisan $500B #SMARTFund bill would give cities counties and states help to avoid mass layoffs and essential service lapses. @SenBillCassidy @SenatorMenendez,2020-05-18 19:50:52,Twitter for Advertisers (legacy),6,14,covid; 
Many college-level students who work a night job to help pay for classes are out of work due to #COVID19. It’s good to see Mississippi universities and colleges working to make #CARESAct assistance available to them. https://t.co/abuZhfBXqI,2020-05-13 21:56:53,Twitter Web App,1,4,covid; 
#COVID19 Economic Impact Payments are helping Mississippians every day. For remaining direct deposit option register before noon Eastern tomorrow at https://t.co/bIRiBK7eiU @IRSnews https://t.co/cIfwtm2Fyl,2020-05-12 20:48:15,Twitter Web App,18,48,covid; 
China should be held accountable for its part in the #COVID19Pandemic. The world needs answers on how this all started &amp; spread misery across the globe. If they refuse to comply this legislation would authorize @realdonaldtrump to impose sanctions. https://t.co/ce31KqMUYx https://t.co/KCTE2TFcpO,2020-05-12 17:24:46,Twitter Web App,22,107,covid; 
Merchants Foodservices of Hattiesburg gets a $10.3M @USDA contract to package surplus foodstuffs to help those in need. It’s part of @realdonaldtrump &amp; @SecretarySonny plan to help #agriculture and rural America fight #COVID19. https://t.co/CeQCP7CyNm https://t.co/7EQ0FrQY6o,2020-05-11 23:37:19,Twitter Web App,9,9,covid; 
