As we continue to work together to fight COVID-19 I know families are facing tough choices this holiday season. Limiting gatherings may not be easy but it's the right thing to do to keep our health care workers afloat and our communities safe.,2020-11-25 21:20:02,Twitter Web App,21,156,covid; 
The @DeptVetAffairs must have an action plan to protect veterans staff and their families when a COVID-19 vaccine becomes available.   It's got to be safe smooth equitable and backed by public health experts—veterans and VA staff deserve nothing less. https://t.co/Sa63pNMSlU,2020-11-23 22:56:13,Twitter Web App,5,42,covid; 
COVID-19 has proven that access to affordable health care is more important than ever. Not covered? Montanans can head to https://t.co/c7GyBtWVwC now to enroll in a plan that’s right for their families.,2020-11-16 22:59:16,Twitter Web App,50,174,covid; 
Montana's front line health care workers continue to sacrifice day in and day out to help keep our communities safe. We must help them in return. Wear a mask. Social distance. We can beat this virus together. #MaskUpMT,2020-11-14 16:11:35,Twitter for iPhone,119,624,social distance; 
Today’s COVID-19 case count reached an all time high in Montana. We’ve got to do everything we can to slow its spread and keep our communities safe. Please wear your masks. Social distance. Stay home if you're feeling sick.   If we work together we can beat this thing.,2020-10-30 19:32:22,Twitter Web App,74,351,covid; social distance; 
The rise in COVID-19 hospitalizations is putting a strain on critical health care resources. To help out health care workers in your community and keep yourself and your loved ones stay healthy be sure to get your flu shot ASAP.   Head to https://t.co/RjLErLyCxh for more info.,2020-10-24 16:49:17,Twitter Web App,32,120,covid; 
Folks we've got to listen to public health officials and health care workers. We can slow the spread of this virus  but it will take all of us putting in the work. Wear masks. Social Distance. Stay home if you’re sick.   Let's do our part to help keep our communities safe. https://t.co/qcpvIOw8jd,2020-10-16 20:57:31,Twitter Web App,35,171,social distance; 
"The number of positive COVID cases is rising so quickly that it is threatening to overwhelm the health care resources here in the state." - Dr. Bridget Brennan Great Falls. https://t.co/DLPVjBLQK7,2020-10-16 20:56:42,Twitter Web App,76,131,covid; 
We’re seeing a sharp rise in COVID-19 cases in Montana. It’s critical that we all do our part to protect our fellow Montanans. Wear masks. Social distance. If we all work together we can beat this thing. #MaskUpMT,2020-10-07 20:19:56,Twitter for iPhone,148,598,covid; social distance; 
COVID-19 cases are rising in Montana. And if we lose focus and don't follow the protective guidelines we know work to prevent its spread our friends neighbors and loved ones could all be put at risk. We've got to work together to beat this thing—and we will. https://t.co/xtZvBs95NZ,2020-10-01 16:48:02,Twitter for iPhone,111,376,covid; 
ICYMI: @USDA answered my call to extend relief to more farmers and ranchers that have been impacted by the COVID-19 pandemic. Sign-ups for the second round of CFAP relief begin TODAY and are open through December 11th.  Contact your local FSA agent for more info. https://t.co/z5H0Lm7VyW,2020-09-21 21:33:15,Twitter Web App,10,33,covid; 
Today marks a dark day in our history—the nation has surpassed 200000 deaths from COVID-19 including more than 150 of our fellow Montanans. More than just numbers these people were our friends neighbors and loved ones. Sharla and I grieve for their families.,2020-09-19 20:01:14,Twitter Web App,284,954,covid; 
The inadequate partisan "skinny" COVID relief bill failed in the Senate today just as Mitch McConnell and his caucus knew it would. It was chock-full of one-sided swampy priorities—not the commonsense solutions hardworking Montana families need to get through this pandemic.,2020-09-10 18:51:12,Twitter Web App,170,460,covid; 
COVID-19 won't be taking any days off this Labor Day weekend. As you celebrate please do so responsibly. Help keep our fellow Montanans safe by practicing appropriate social distancing good hygiene and of course remembering to #MaskUpMT.,2020-09-04 21:15:20,Twitter for iPhone,13,97,covid; 
Montana's music venues bring folks together to make lifelong memories. But COVID-19 has left many facing permanent closures and they need relief—fast.   To keep the music playing until we get to the other side of this crisis we've got to pass my bipartisan #SaveOurStages Act. https://t.co/t3E68dplLp,2020-08-25 21:42:04,Twitter Web App,10,54,covid; 
COVID-19 has hit independent restaurants hard putting many of our favorite places on the chopping block. Congress must pass my bipartisan #RESTAURANTS Act providing the critical relief restaurants need to keep their lights on and stoves hot throughout this crisis. https://t.co/LiQCP3yOuB,2020-08-24 18:54:46,Twitter Web App,34,95,covid; 
University of Montana has always been a champion of innovation and research so it comes as no surprise @umontana's research teams are leading the charge in the fight against COVID-19. Grateful for those working hard in vaccine development contract tracing and more. #MTProud https://t.co/w4yURpT8Ai,2020-08-07 19:04:25,Twitter Web App,34,159,covid; 
ICYMI: Last week I urged VA leadership to quickly address the challenges in providing telehealth services to veterans in rural communities. As COVID-19 continues to impact Montana we must ensure VA has the capacity to treat patients as safely and efficiently as possible. https://t.co/ThIne9lwqt,2020-08-05 19:45:52,Twitter for iPhone,31,61,covid; 
Meat packers have been taking advantage of small-scale beef producers for years. And as COVID-19 continues to disrupt production capacity independent ranchers are facing closures. Rural America feeds this nation—if we don’t act our nation’s food security will be at risk.,2020-08-04 19:05:56,Twitter Web App,94,295,covid; 
See? It's just that simple. For more of Tuesday's COVID-19 Q&amp;A visit my Facebook page.   And don’t forget to #MaskUpMT. https://t.co/9xOFejNSwE,2020-08-01 16:59:49,Twitter for iPhone,66,188,covid; 
