All Montanans including those in our most rural communities need access to a COVID-19 vaccine once approved. https://t.co/rQI3i50r2d,2020-11-25 19:22:43,Twitter for iPhone,9,52,covid; 
A COVID-19 vaccine will help save lives relieve our healthcare heroes protect jobs rebuild our economy and get life back to normal. Proud to be part of making this happen. https://t.co/YJWlzKsszm,2020-11-23 16:36:27,Twitter for iPhone,8,57,covid; 
Since the start of the pandemic I’ve made the research development and manufacturing of a COVID-19 vaccine and therapeutic drugs a top priority because I believe in order to get back to normal we need a safe and effective vaccine.,2020-11-18 21:56:25,Twitter Web App,7,126,covid; 
While this was a blind trial I have since tested positive for COVID-19 antibodies. My goal is to help build confidence and trust for Montanans and the American people wondering if they should take the vaccine when it is approved.,2020-11-18 21:56:24,Twitter Web App,10,188,covid; 
Back in August I got a call from my mom telling me how Pfizer was looking for people to enroll in their COVID-19 vaccine trial in my hometown of Bozeman. My wife and I decided to go online and enroll in the trial – joining over 100 Montanans participating.,2020-11-18 21:56:24,Twitter Web App,6,120,covid; 
Today I announced my participation in @pfizer's COVID-19 vaccine trial and my positive test results for antibodies. Here's why:,2020-11-18 21:56:24,Twitter Web App,163,1369,covid; 
Good news!   I’m proud to have led the fight in the Senate to secure funding for COVID-19 vaccine research and development. Thanks to @realDonaldTrump and the Administration for making this a priority.   https://t.co/1gNGHbCB1k,2020-11-16 19:19:56,Twitter for iPhone,14,89,covid; 
This is great news! We won’t get back to normal until we have a vaccine for COVID-19. Now we’re one step closer. https://t.co/MnkKsXxha3,2020-11-09 18:00:14,Twitter for iPhone,8,81,covid; 
Once again Schumer/Dems blocked COVID-19 relief for Montanans.   Today’s $500 billion relief package included $$ for MT workers families &amp; small biz vaccines therapeutic drugs testing farmers &amp; ranchers schools Tribes and USPS.  Enough is enough. We must pass relief NOW.,2020-10-21 22:53:04,Twitter for iPhone,192,474,covid; 
Visited with Northern Cheyenne Tribal leaders today and talked about several issues impacting the community including COVID-19. This virus is devastating our Tribal communities. We must do all we can to protect them. https://t.co/tiGFRSuaoS,2020-10-10 00:16:37,Twitter for iPhone,37,108,covid; 
Met with Crow Tribal Chairman AJ Not Afraid today to discuss COVID-19 on the reservation and to drop off much needed supplies for the community to help stay healthy &amp; combat the pandemic. https://t.co/qjsthO9jBK,2020-10-09 22:48:40,Twitter for iPhone,29,98,covid; 
Great to see Kleen Kart Technologies new mobile disinfecting unit in action today at Hellgate Middle School. This will  help keep MT students and teachers safe from COVID-19. https://t.co/RuoNvzuZG4,2020-09-04 18:27:38,Twitter for iPhone,13,27,covid; 
MT is only one of four states in the country NOT reporting cases / deaths of COVID-19 in long term care facilities. That is unacceptable.   @GovernorBullock - we must protect our MT seniors we need transparency NOW. https://t.co/oIhjJYfNsB,2020-08-28 17:59:11,Twitter for iPhone,40,80,covid; 
It protects public health &amp; safety - which is even more important during the COVID-19 pandemic. https://t.co/KRR812BrU4,2020-08-05 17:58:20,Twitter Web App,5,21,covid; 
Glad to have intro’d a bipartisan wildfire protection bill with @SenFeinstein.   We must protect our communities from deadly wildfires support timber jobs &amp; improve forest health - especially during COVID-19.   https://t.co/JPor6vaV7c,2020-08-05 14:36:33,Twitter for iPhone,15,31,covid; 
Montanans who've lost their job due to COVID-19 should be able to keep their health coverage – that’s what I’m fighting for. https://t.co/w6byYPUa0r,2020-08-03 13:13:09,Twitter Web App,30,99,covid; 
These shipments are critical to supporting Montanans hospitalized with COVID-19. https://t.co/BkPYcH4xMc,2020-07-30 14:43:59,Twitter Web App,10,35,covid; 
Montanans who lost their job due to COVID-19 should be able to afford &amp; keep their employer-based health insurance.   https://t.co/l0FeQhhQy5,2020-07-29 15:37:13,Twitter Web App,41,141,covid; 
Secured critical relief for small businesses child care and COVID vaccines/treatments in the next round of aid.  I look forward to getting this done for Montanans. https://t.co/oRzGX9fHXc,2020-07-28 14:29:13,Twitter Web App,8,34,covid; 
Good conversation earlier this week with the FDA and Montana healthcare leaders on the progress we're making with a COVID-19 vaccine. https://t.co/POg6YPmaUJ,2020-07-25 19:18:29,Twitter Web App,7,24,covid; 
A COVID-19 vaccine is how we get back to normal and stop the pandemic.  That’s why I’ve been committed to getting this done. https://t.co/RpnJddS4hp,2020-07-24 16:58:11,Twitter for iPhone,10,43,covid; 
.@realDonaldTrump is right to call for payroll tax relief. I’ve been pushing for this since the beginning of the COVID-19 pandemic bc it will help put money in the pockets of Montana families &amp; serve as a back to work bonus.,2020-07-21 02:20:21,Twitter for iPhone,110,361,covid; 
Great discussion with Montana farmers and ranchers ag businesses &amp; @USDA @BillAtUSDA in Great Falls today on COVID-19 resources cattle market manipulation and other issues facing Montana ag. https://t.co/zF6UT7xOcU,2020-07-15 18:19:03,Twitter for iPhone,21,50,covid; 
Great to join the Flathead County Business Recovery Team today to discuss ways to continue to protect the public health of Montanans help keep MT small businesses open and workers employed as we navigate through COVID-19. https://t.co/A2T4pXOSRp,2020-07-14 22:45:00,Twitter for iPhone,22,76,covid; 
Cindy and I are praying for the families who have tragically lost loved ones to COVID-19 due to the outbreak at Canyon Creek Memory Care as well as those who have tested positive for the virus.  https://t.co/OIT9nZ7IO4,2020-07-09 18:51:35,Twitter Web App,11,43,covid; 
I will continue working to get MT seniors the care and support they need during the ongoing COVID-19 pandemic!   https://t.co/ZxyowXnnjX,2020-07-06 20:56:39,Twitter Web App,21,62,covid; 
Outrageous. We MUST hold China &amp; the @WHO accountable for their cover-up of COVID-19. https://t.co/1wNnQ3CP6s,2020-07-02 18:17:58,Twitter for iPhone,508,694,covid; 
And thank you to Montana bankers for working overtime to help our small businesses stay open and workers employed during the COVID-19 pandemic.,2020-06-03 23:47:46,Twitter for iPhone,1813,7456,covid; 
It's clear that China was withholding vital information on the Coronavirus from the world and the World Health Organization was covering for them. China and the WHO must be held accountable for their actions.  https://t.co/G1hgwtMqbL,2020-06-02 19:23:24,Twitter Web App,1369,1442,corona; 
Thank you @realDonaldTrump for your swift action! Our brave guardsmen and women need the assurance that their benefits are protected as they serve our communities during the COVID-19 outbreak. https://t.co/DGsWw1A79k,2020-05-28 17:57:57,Twitter for iPhone,24,60,covid; 
Today @USDA announced that farmers and ranchers can now submit applications to the Coronavirus Food Assistance Program.   This is great news for Montana’s farmers and ranchers who have seen some difficult losses during the outbreak.   https://t.co/KkhgPdUTbd,2020-05-26 19:14:23,Twitter Web App,18,28,corona; 
Proud to be fighting for Montana’s small businesses and workers to ensure they have the resources they need to overcome the financial burden of COVID-19. https://t.co/0ebHXeCMlF,2020-05-23 23:39:41,Twitter for iPhone,23,59,covid; 
Today Cindy &amp; I sponsored 10 MT veterans to cover their dues for membership with the MT @AmericanLegion.   Many of our vets are facing financial hardship due to COVID-19. For more information on how you can help veterans in your community reach out to your local American Legion.,2020-05-20 23:37:51,Twitter Web App,13,61,covid; 
With public health and emergency services supported by local governments &amp; communities it’s important that they have the resources needed to continue to combat COVID-19.   https://t.co/W9qyJEyV2s,2020-05-20 22:12:34,Twitter Web App,17,42,covid; 
Honored to work alongside @realDonaldTrump to get our nation’s leading scientists the resources needed to accelerate the development and manufacturing of a drug to treat &amp; prevent COVID-19. https://t.co/I8SiXaECyw,2020-05-15 17:24:38,Twitter Web App,28,94,covid; 
Glad this critical PPE is coming to nursing homes in Montana. We must protect our most vulnerable residents during the ongoing coronavirus pandemic. https://t.co/66EwPvYjaK,2020-05-13 15:03:51,Twitter for iPhone,17,55,corona; 
China’s cover up of COVID-19 made this pandemic worse. Our economy shut down &amp; American lives have been lost.  Drug / PPE manufacturing jobs must be brought back to the U.S. We can't continue to depend on China.,2020-05-04 20:27:01,Twitter Web App,50,138,covid; 
ICYMI: Helena is receiving a 3D printer that will print swabs to help with Coronavirus testing.  This is a critical tool as we work to safely reopen Montana. https://t.co/67lnc3Jslp,2020-05-01 14:21:11,Twitter Web App,12,31,corona; 
Thank you @realDonaldTrump for acting on my request to cover Montana’s seasonal workers &amp; businesses through #PPP.  Our outfitters guides and more help drive our economy in MT and I’m glad they’ll now be able to get the relief they need due to COVID-19. https://t.co/elJD2PqXfL,2020-04-29 13:27:20,Twitter Web App,26,63,covid; 
An honor to advocate for COVID19 funding for Indian Country.  #montanaproud https://t.co/GrMd5ujWEE,2020-04-28 02:37:02,Twitter for iPhone,10,22,covid; 
ICYMI: Last week I toured the @umontana research lab working around the clock to develop a vaccine for COVID-19.  I’m glad to support the work they’re doing – these life-saving drugs MUST be made in America! https://t.co/gGljjrTUvb,2020-04-27 14:15:20,Twitter Web App,15,46,covid; 
Great visit yesterday in Missoula.  It's incredible @umontana is playing such a big part in research and development of a vaccine for COVID-19.  This is another example of Montanans rising to the challenge during times of need. #MontanaProud https://t.co/D9BKHsEVnF,2020-04-24 14:23:14,Twitter Web App,13,38,covid; 
Just wrapped up a visit to @umontana where they’re doing first-class research on developing a vaccine for COVID-19 right here in Missoula.  #MontanaProud https://t.co/F2zXvgYDsP,2020-04-23 16:54:47,Twitter for iPhone,18,61,covid; 
Look forward to joining @SethBodnar this AM at @umontana to see some of the amazing work they’re doing to develop a COVID-19 vaccine right here in Montana. https://t.co/nw9OYGpfDh,2020-04-23 14:57:00,Twitter for iPhone,8,24,covid; 
This funding will play a critical role to ensure our MT law enforcement officers have the resources they need to protect our communities due to COVID-19.https://t.co/5pdZ11SB7h,2020-04-19 02:16:34,Twitter for iPhone,15,52,covid; 
Glad to announce 5000 nasal swab kits to test for COVID-19 were delivered to Helena today.  These swab kits are an important piece of testing that give healthcare providers the tools to help keep Montanans safe and healthy. https://t.co/ByWUku6miy,2020-04-18 18:41:20,Twitter Web App,20,59,covid; 
Glad to see @USDA &amp; @DHSgov take steps to address H2A issues which are harming MT Ag. This step will help protect agricultural-related employment our nation’s food supply chain and lessen impacts from the COVID-19 public health emergency.,2020-04-15 20:59:33,Twitter for iPhone,9,28,covid; 
.@realDonaldTrump is right to hold the @WHO accountable for their response to the COVID-19 outbreak and its work with China.,2020-04-15 17:06:37,Twitter Web App,111,555,covid; 
