China has offered to help Bangladesh tackle COVID-19 “if” they agree to form sister city relationships with Chinese cities. To China it’s not a partnership it’s a strategic relationship.,2020-11-25 00:59:39,Twitter for iPhone,486,1713,covid; 
Governor Newsom violating his own coronavirus guidelines to attend a lavish dinner party. Rules for thee but not for me.  https://t.co/rYSrff6vYm,2020-11-20 14:06:07,Twitter for iPhone,406,1717,corona; 
The first case of COVID was found in China a year ago today.   Had the CCP not staged a cover-up “the number of coronavirus cases could have been reduced by 95%”.   https://t.co/LCIQeHa7UV,2020-11-18 03:25:57,Twitter Web App,1086,2406,covid; corona; 
China is not our friend. Stealing our IP covering up COVID-19 forcing Uyghurs into labor camps infringing on Hong Kong autonomy that is not what you call “𝗰𝗼𝗻𝘁𝗿𝗶𝗯𝘂𝘁𝗶𝗻𝗴 𝘁𝗼 𝗽𝗲𝗮𝗰𝗲 𝗮𝗻𝗱 𝗽𝗿𝗼𝘀𝗽𝗲𝗿𝗶𝘁𝘆.” https://t.co/vR7FvGhbWy,2020-11-17 02:09:26,Twitter Web App,996,2074,covid; 
The initial results from the @NIH - Moderna clinical trials for the coronavirus vaccine show that it is 94.5% effective! @Moderna_tx said it could produce 500 million to one billion doses in 2021. Another success for #OperationWarpSpeed! https://t.co/TrPMcEzwjQ,2020-11-16 16:44:40,Twitter Web App,68,314,corona; 
Why would China try to silence Taiwan at the @WHO meeting?  Maybe because Taiwan has been successful at containing COVID-19. https://t.co/lc5v9fOEgh,2020-11-13 17:55:12,Twitter for iPhone,722,1326,covid; 
Yesterday Pfizer announced the initial results of its Phase 3 COVID-19 vaccine trial: a more than 90% effectiveness rate! And thanks to the Trump administration  we’ll be ready to distribute the final vaccine once it is ready.,2020-11-11 06:10:53,Twitter Web App,805,3849,covid; 
The commitment to the well-being of Tennesseans by the @TennesseeGuard exceeds expectations once again. They have administered over 500000 COVID-19 tests across the state and will continue to provide free testing to any Tennessean who may need it. Thank you for your service!,2020-11-09 21:12:20,Twitter Web App,92,573,covid; 
Thanks to Operation Warp Speed established by @realDonaldTrump we will be able to mass produce 100M doses and distribute the COVID vaccine once it is approved.,2020-11-09 19:22:42,Twitter for iPhone,1487,5655,covid; 
Our basic liberties and freedoms are threatened on a daily basis. We see radical left leaders use COVID as an excuse to ban houses of worship from holding services but they let other businesses open and let rioters destroy our cities.,2020-10-26 22:08:16,Twitter Web App,242,883,covid; 
.@SenateGOP has produced a mini-documentary film about the coronavirus pandemic and how we have worked to pass swift bipartisan legislation to combat the virus and deliver economic relief.  @marisa_schultz  https://t.co/fTO26ruNII,2020-10-23 23:56:47,Twitter for iPhone,264,810,corona; 
The American people deserve the truth.   The truth is once again Senate Democrats blocked millions of dollars in COVID-19 relief.   Chuck Schumer is destroying families to score political points.,2020-10-21 22:59:43,Twitter for iPhone,1517,3827,covid; 
Senator Hirono has accused Judge Barrett of hating women children immigrants civil rights and spreading COVID.   She is part of a narrow liberal orthodoxy that allows only certain women a seat at the table.,2020-10-14 19:51:20,Twitter for iPhone,630,1659,covid; 
Communist China is vying for @UNHumanRights Council - ironic considering that they've violated the human rights of people around the world just this year by mishandling COVID-19 forcing Uyghurs to forced labor camps &amp; instituting draconian “national security” laws in Hong Kong.,2020-10-14 02:21:16,Twitter Web App,1040,1405,covid; 
Patients that received remdesivir recovered from COVID-19 significantly faster. This is a groundbreaking finding that will help combat and treat this virus. @GileadSciences,2020-10-10 14:15:11,Twitter Web App,1405,3843,covid; 
The American people adapted to handle the coronavirus pandemic and so did the Senate. We have a constitutional obligation and we will fulfill it. #ConfirmACB #FillThatSeat https://t.co/zliDwtWvPz,2020-10-07 22:09:38,Twitter Web App,153,463,corona; 
The nation is holding @realDonaldTrump in our prayers as he recovers from COVID-19.,2020-10-03 22:40:17,Twitter for iPhone,3792,16876,covid; 
The FDA process is the gold standard of the world and will ensure both safety and efficacy. China’s poorly conceived efforts to expedite their COVID vaccine places thousands of innocent people at risk.   https://t.co/LxF8sBmeQI,2020-09-28 20:17:21,Twitter for iPhone,88,186,covid; 
To repair the damage brought by its mishandling of the coronavirus in 2020 Beijing is turning to Marketing 101: ‘rebranding’ its soft power strategy.   https://t.co/BZdOLO0Zvf,2020-09-28 19:01:34,Twitter Web App,631,751,corona; 
Radical left state and local leaders are funneling COVID relief money to fulfill their liberal wishlist. In Michigan Gov. Gretchen Whitmer is spending millions on free college and St. Paul Mayor Melvin Carter is funding universal income. https://t.co/Bt48tdnCQx,2020-09-22 15:12:40,Twitter for iPhone,282,327,covid; 
The COVID-19 pandemic has proved the urgency with which we need to reevaluate our relationship with China   https://t.co/WyMW3QjjSC,2020-09-21 23:12:41,Twitter for iPhone,289,733,covid; 
Businesses were forced to shut down people were laid off and lives were destroyed — all because the City of Nashville covered up the COVID data. https://t.co/dHeQqWVhTK,2020-09-18 19:09:03,Twitter Media Studio,630,1113,covid; 
Nancy Pelosi and the House Democrats are pushing to send cash to illegal aliens roll back restrictions for marijuana and push vote by mail onto millions of Americans.    How does that have anything to do with COVID-19?,2020-09-17 13:20:12,Twitter Web App,4983,9802,covid; 
.@TuckerCarlson interviewed a Chinese Virologist who believes the Wuhan virus was made in a lab.   @Facebook censored it and @Twitter removed the scientist’s account.   When will Big Tech stop protecting the #CCP? https://t.co/L4g2RlUc0y,2020-09-16 23:07:25,Twitter for iPhone,2838,4705,wuhan virus; 
These claims by a Chinese virologist are shocking.   We must investigate whether the Chinese government intentionally manufactured and released the coronavirus.   The #CCP must be held accountable.  https://t.co/jZhUtIeSah,2020-09-16 14:17:15,Twitter for iPhone,1849,3331,corona; 
China we know what you are up to.   Beijing’s true intentions have been on full display this year from covering up COVID-19 to instituting the so-called Hong Kong National Security Law. Our EU partners have taken steps to hold Beijing accountable for these actions.,2020-09-14 16:01:09,Twitter Web App,1893,3079,covid; 
We must not be dependent on Chinese medical supply chains to distribute a vaccine for COVID-19. China has already threatened to withhold critical lifesaving medications from the US. Who knows what they will do next...  https://t.co/RAz3UyAO0r,2020-09-09 01:43:15,Twitter for iPhone,1083,1360,covid; 
Meanwhile Yi peddled conspiracies on the Chinese coronavirus's origin and threatened Norway against awarding the Nobel Peace Prize to the Hong Kong Freedom Fighters.,2020-09-02 18:55:43,Twitter Web App,232,477,corona; 
Since the Tennessee National Guard began assisting in the statewide COVID-19 testing mission they’ve tested over 280000 fellow citizens. Great work @TNMilitaryDept! https://t.co/yZrMTZ5ODh,2020-08-28 16:44:02,Twitter Web App,40,139,covid; 
Tennessee companies are continuing to step up and join the fight against COVID and Aegis lab in Nashville is a perfect example. I saw first hand how a recent @HHSGov funding award will expand Aegis’ COVID-19 testing capacity.  @AegisSciences https://t.co/Tz2Tw64LfL,2020-08-22 18:30:34,Twitter for iPhone,43,193,covid; 
The evidence will continue to pour in: China suppressed information on COVID-19 and created this pandemic.,2020-08-19 21:28:41,Twitter for iPhone,2421,5941,covid; 
If Beijing thought their claim in the South China Sea was legitimate they wouldn’t extort countries to recognize their claim by dangling a COVID-19 vaccine.  https://t.co/2ItMAa2fYn,2020-08-19 16:04:49,Twitter for iPhone,504,749,covid; 
Our best and brightest scientists and doctors are racing to find a cure for COVID-19. It makes sense that @VanderbiltU is playing a leading role.   https://t.co/E5e6PtXIdS,2020-07-31 16:32:23,Twitter Web App,54,174,covid; 
China’s Communist Party must face consequences for concealing and now profiting off of the COVID-19 pandemic. Today @SenJudiciary sent the Civil Justice for Victims of COVID Act to the Senate floor for consideration. https://t.co/dAhqMma32C,2020-07-30 19:17:37,Twitter Media Studio,292,679,covid; 
“Chinese rhetoric on U.S. actions in the SCS also shows the state of play within the CCP. This is a direct result of the insecurity within the party to global reactions to China’s spread of the coronavirus.” @yangjianli001   https://t.co/hCEGSuzYnL,2020-07-28 13:56:50,Twitter for iPhone,408,592,corona; 
