The window is now open for Texas school systems to apply for reimbursement for electronic devices used in remote education during COVID. Thank you @GovAbbott for your hard work to help schools and families during this time. #CARESAct https://t.co/9zY0uEeSrv,2020-11-25 14:30:04,Sprout Social,15,82,covid; 
It’s in our power to stop the spread of COVID-19. Don’t let pandemic fatigue win. Be smart for the safety of our families our state and our country. https://t.co/kubo3vT5dj,2020-11-22 14:26:00,Sprout Social,1,6,covid; 
Learn more about how Sen. @JohnCornyn has delivered for Texans on healthcare especially in providing #COVID19 relief. #TXSEN #Election2020 https://t.co/Fc1gg9RnoW,2020-11-03 22:29:01,Sprout Social,3,3,covid; 
Learn more about how Sen. @JohnCornyn has delivered #COVID relief for Texans across the state especially in the Rio Grande Valley: https://t.co/CmGX916pZN  #TXSEN #Election2020,2020-11-03 21:54:01,Sprout Social,3,6,covid; 
This is a last-ditch fictitious storyline created by the liberal pundits.   So let's set the record straight one last time and move on to real work -- like passing important COVID relief that Chuck Schumer and the Democrats are threatening... #TXSEN https://t.co/UvLhqedUe6,2020-10-20 14:46:24,TweetDeck,2,3,covid; 
“I’ve spent this year talking with TX families and businesses and they have all let me know another COVID-19 relief package is desperately needed” said Sen. @JohnCornyn.   https://t.co/BsVVMseDP8,2020-10-09 20:31:21,TweetDeck,5,14,covid; 
Good news to see that Texas is home to 130 clinical COVID vaccine trial sites the most of any state in the country.  https://t.co/IiOhJL7jWk,2020-10-05 16:51:02,Sprout Social,2,9,covid; 
#COVIDRelief checks are intended to be lifelines during these difficult times and every American citizen and their children should receive that help. #TXSEN   https://t.co/r7ZVVZnmpV,2020-09-27 12:42:48,TweetDeck,1,10,covid; 
Sen. ⁦@JohnCornyn⁩ is working to ensure this issue is righted and families like Ernesto’s receive #COVIDRelief asap. #TXSEN https://t.co/uuZakiaD8B,2020-09-16 21:16:37,Twitter for iPhone,0,3,covid; 
Texans are in need of additional #COVID19 relief and the Senate Dems have once again blocked legislation to accomplish this.   It’s time the Radical Left puts partisanship aside and starts putting their constituents first.  https://t.co/Q8lxXV52ij,2020-09-12 16:07:01,Sprout Social,1,7,covid; 
This is a wonderful initiative by Mesquite ISD that will boost safety for our students and faculty -- and ease much parental worry.  Innovation and problem solving is the Texas way! #COVID19 #WereInThisTogether  https://t.co/WrlCtVZ9XT,2020-09-09 16:58:59,TweetDeck,0,1,covid; 
Sen. @JohnCornyn: “We need to pass legislation to bolster our response to this virus support our students and teachers help those in need of financial assistance and ensure that our health care response remains robust.” #CovidRelief #TXSEN   https://t.co/PTDLj7sQjx,2020-09-09 11:37:00,TweetDeck,39,74,covid; 
"The Coronavirus pandemic has led to a surge of lawsuits targeting an array of businesses. Given that the Coronavirus is so widespread it would be expensive and possibly devastating for small biz to fight an unfair case in court." #liabilityprotections  https://t.co/Xa0999z9p0,2020-09-09 00:41:47,TweetDeck,0,6,corona; 
