This is just a sampling of the more than **300 lawsuits** that have been filed arising out of mostly COVID-related election disputes. https://t.co/G1WDhOKY8a,2020-10-29 21:23:04,Twitter Web App,14,55,covid; 
Moving to process the nominee BEFORE HEARINGS ARE EVEN FINISHED exposes this for what it is: an utter sham. Nothing — not even the prospect of spreading COVID to other Senators &amp; staff — will stop Rs in their craven dash to ram through a guaranteed vote to kill the #ACA. https://t.co/bu1LPaW1bT,2020-10-13 01:04:30,Twitter for iPhone,219,444,covid; 
“The Senate should also not be holding this hearing while doing nothing to pass a desperately-needed COVID relief bill.  Every senator on this Committee knows in her or his heart that this is wrong.,2020-10-12 13:37:39,Twitter Web App,847,2640,covid; 
Don't forget: Senate Rs have STONEWALLED COVID relief for Americans for 5 MONTHS. Apparently it's not urgent for them. But IT IS urgent for them to ram this nom thru in order to kill the #ACA &amp; take healthcare away from MILLIONS.    Takes the mask off their REAL priorities.,2020-10-12 12:30:03,Twitter for iPhone,215,482,covid; 
As Chairman Graham is refusing my call to implement daily COVID testing I will participate in the hrgs remotely. 2 Rs recently tested positive &amp; other Rs somehow REFUSE to get tested. Committee Rs are mimicking Pres. Trump's disregard for basic public health precautions.,2020-10-12 12:15:03,Twitter for iPhone,273,1063,covid; 
Chairman Graham apparently refuses to get a COVID test. He &amp; anyone else attending the SCOTUS hearing MUST be tested.  If he's not willing to show he's negative its PROOF POSITIVE he shouldn't preside over hearings that could become ANOTHER super spreader of this virus https://t.co/DwUIalTXJT,2020-10-10 00:38:28,Twitter Web App,1307,3923,covid; 
With 2 Committee Rs positive for COVID &amp; other Rs refusing tests SCOTUS hearings next week could become a virus super spreader w/out stringent testing measures. @CoryBooker @KamalaHarris &amp; I are urging Chairman Graham not to proceed recklessly w/out implementing such measures: https://t.co/AwHKhw60JG,2020-10-09 18:54:21,Twitter Web App,199,467,covid; 
Leahy Tests Negative For Covid-19; Statement Of David Carle Spokesman For Senator Patrick Leahy:  https://t.co/4UGscgSngD,2020-10-05 19:15:20,Twitter for iPhone,26,199,covid; 
As COVID grips our nation the Senate does nothing except break precedent in mad rush to confirm a nominee before the election &amp; before the Republican lawsuit to kill ACA.   2 Senators will be just HOURS out of quarantine as committee hrg begins   This isn’t normal. It isn’t OK.,2020-10-03 13:07:00,Twitter for iPhone,614,1803,covid; 
Our letter highlights the urgent need for the Admin to use the funds we gave them making clear that the use of Defense funds for industry does “little to keep the American people safe from the most imminent threat” which is COVID-19 /2 https://t.co/NRZ1ZWJOZe https://t.co/VOj52kxLJ1,2020-09-23 23:07:43,Twitter Web App,16,36,covid; 
The Pentagon is using COVID-19 funds for things other than PPE when it is still desperately needed as @Post_AG and @yjtorbati reported. @SenatorDurbin @SenatorTester and I wrote to President Trump about this in July. /1 https://t.co/NEBEYv78bs,2020-09-23 23:07:43,Twitter Web App,27,55,covid; 
Senate Approps. Vice Chair Leahy On Need For COVID Relief Bill https://t.co/H55l0sTbNh,2020-09-08 21:35:32,Twitter Web App,11,41,covid; 
In fact the Guard that govs DID ask you for Federal help with in responding to COVID you CUT payments to and I have to introduce a law to FIX what you did.  https://t.co/2LbilfuAjv,2020-08-28 20:46:20,Twitter Web App,92,240,covid; 
Leahy To Lead Senators On Bill To Restore National Guard Coronavirus Funding At 100 Percent @SenSchumer @SenatorDurbin @SenDuckworth  https://t.co/2LbilfuAjv,2020-08-27 19:28:57,Twitter Web App,11,49,corona; 
Thank you to all our sponsors and volunteers who help make the Vermont’s Women’s Economic Opportunity Conference (WEOC) such a great tradition. Sadly we will be cancelling this year’s event due to COVID concerns. Read more here: https://t.co/7x8fcyk9p8 #LeahyWEOC,2020-08-26 19:56:05,Twitter Web App,10,23,covid; 
Leahy Leads 33 Other Senators In Pressing The White House To Restore Full Funding For National Guard’s COVID-19 Response https://t.co/vBBflHhEpi,2020-08-10 21:29:33,Twitter Web App,33,107,covid; 
REAX Of Senate Appropriations Committee Vice Chairman Patrick Leahy To President Trump’s Coronavirus Executive Orders https://t.co/WhPpCUzwKT,2020-08-09 00:11:26,Twitter Web App,58,93,corona; 
Appropriations Vice Chair Leahy On Senate Flr On The GOP COVID-19 Proposal &amp; The Cost Of Continued Inaction https://t.co/9bAynBRtuV,2020-07-29 18:09:43,Twitter Web App,10,17,covid; 
BREAKING: REAX Of Senate Appropriations Committee Vice Chairman Patrick Leahy To The Inadequate McConnell/Trump COVID-19 Proposal https://t.co/Xix20vErfX,2020-07-28 02:08:36,Twitter Web App,141,290,covid; 
Statement On The Global Response To COVID-19 https://t.co/qDR7oyKnCw,2020-07-21 20:34:05,Twitter Web App,9,18,covid; 
