Between now and the end of the year we have very important things to do for the nation in the U.S. Senate – including a #coronavirus relief bill. @SenateGOP is ready to get that work done while Democrats have blocked our path at every turn. https://t.co/K7sK9THxw6,2020-11-18 20:06:16,Twitter Media Studio,142,469,corona; 
Breakthroughs have been coming one after another in the fight against #coronavirus. These breakthroughs are the light at the end of the tunnel. 90% effectiveness of one vaccine 94% effectiveness of the other. We are going to help save the lives of millions of people worldwide. https://t.co/dYrvxTp70V,2020-11-18 15:15:25,Twitter Media Studio,50,228,corona; 
As Republicans we’re going to keep talking about the things that we believe people at home believe is important to them which is getting back to work getting our kids safely back to school &amp; getting this coronavirus disease behind us. https://t.co/sWIdOfMqVR,2020-11-10 19:09:24,Twitter Web App,4,40,corona; 
Republican policies have brought back millions of jobs since March. We’re fighting every day for Americans to get back to work for kids to get back to school safely &amp; for our doctors &amp; scientists to put #coronavirus behind us. #JobsReport https://t.co/USsZskbrk3,2020-11-06 14:28:52,Twitter Web App,15,72,corona; 
.@SenateGOP have 3 priorities: getting people back to work getting kids back to school safely &amp; putting the disease behind us. That’s our focus as we fight the #coronavirus.,2020-10-29 13:17:23,Twitter Web App,10,30,corona; 
.@SenateGOP is committed to beating #coronavirus &amp; racing towards a vaccine. This documentary shows how Republican senators are working to beat #coronavirus. We want to inform folks at home &amp; encourage them. America will get through this together. https://t.co/iLzPMTh354,2020-10-24 02:06:32,Twitter for iPhone,57,219,corona; 
.@SenSchumer &amp; @SpeakerPelosi have once again blocked #COVID19 relief. They think it gives them a better chance of winning the election. This is a calculated political decision by Democrats. Americans deserve better from those who claim to represent them. https://t.co/sH4XDjm9jy,2020-10-21 18:59:03,Twitter Web App,189,436,covid; 
Democrats are blocking another vote on relief for #coronavirus. @SpeakerPelosi &amp; @SenSchumer need to set aside their political demands wasteful spending &amp; opposition to more money for a lifesaving vaccine. Now is the time to make an agreement that would benefit Americans. https://t.co/U9TKYs0OmY,2020-10-20 20:56:10,Twitter Media Studio,48,72,corona; 
We need to pass the #coronavirus bill that @SenateGOP will have on the floor today. This bill will help in targeted ways such as providing another round of #PPP loans to small businesses. @SpeakerPelosi should call the House back to D.C. to pass this bipartisan bill. https://t.co/tWuStIaq1j,2020-10-20 17:25:59,Twitter Media Studio,97,264,corona; 
People need help recovering from #COVID but @SpeakerPelosi is moving the goalposts on aid. @SenateGOP will put a targeted &amp; commonsense bill on the floor next week. We will see if Democrats support it or if @SpeakerPelosi keeps her hand on the kill switch so nothing gets done. https://t.co/T1meMXr6AM,2020-10-15 15:43:40,Twitter Media Studio,19,44,covid; 
Newcastle veterans had their first monthly breakfast since the beginning of the COVID-19 pandemic. It was a pleasure to join them at the Weston County Senior Center and thank them personally for their continued service to America’s veterans and their community. https://t.co/6E8i8Tsygd,2020-10-13 16:00:34,Twitter for iPhone,4,3,covid; 
People still need help recovering from #coronavirus. @realDonaldTrump is right in wanting to give help in a targeted way. @SenateGOP can work with Democrats on the cost of the bill but we ought to limit the contents so it is not a liberal wish list. https://t.co/wLZ2WYAZIV,2020-10-07 16:12:11,Twitter Media Studio,78,177,corona; 
Congress really should be working towards bipartisan solutions on #coronavirus but Democrats keep obstructing. They’re going to continue to obstruct all the way until Election Day putting politics first &amp; American families last. https://t.co/mSA2sQCOpg,2020-09-17 15:02:18,Twitter Media Studio,5700,17760,corona; 
.@SpeakerPelosi rejected a bipartisan effort on #coronavirus by the Problem Solvers Caucus yesterday. Targeted relief is needed right now but I’m not willing to put money toward @SpeakerPelosi’s liberal wish list that has nothing to do with #coronavirus relief. https://t.co/BPSBv4XdfX,2020-09-16 14:42:02,Twitter Media Studio,87,200,corona; 
Democrats have hung the American people out to dry. @SenateGOP proposed targeted #coronavirus relief for those hardest hit. Democrats clearly have different goals in mind: playing games for political gain. Republicans will continue to fight for Americans. https://t.co/U31mzZYrhx,2020-09-10 17:45:12,Twitter Web App,178,255,corona; 
Democrats have a chance to join Republicans today &amp; vote to give Americans the targeted #coronavirus relief bill they want. Instead Democrats continue to play politics with this critical bill that will help put the disease in the rear view mirror. https://t.co/9swo5ahJRi,2020-09-10 16:41:25,Twitter Web App,7,15,corona; 
I care a lot about the suffering of people around the country. Republicans want to vote on helping get people back to work helping kids get back to school &amp; putting #coronavirus behind us. Democrats are once again playing politics &amp; saying no to the needs of the American people. https://t.co/jVFX5TortH,2020-09-10 15:28:37,Twitter Media Studio,31,61,corona; 
The @SenateGOP is offering a targeted relief bill for those hardest hit by #coronavirus. We focus #PPP on small businesses most in need &amp; are fighting to put #coronavirus behind us. Democrats should work with us— Americans deserve &amp; need our help. https://t.co/blKtLk1uIf,2020-09-08 15:28:34,Twitter Web App,73,156,corona; 
The great American comeback is happening right now. Senate Republicans want to get a #coronavirus bill on the floor next week that gets people back to work kids back to school &amp; puts the disease in the rear view mirror. Americans want to move forward. https://t.co/tqo39dLaKC,2020-09-03 13:47:38,Twitter Media Studio,102,241,corona; 
The RNC has been patriotic &amp; inspirational a huge contrast from what we saw a week ago at the DNC. We are hearing stories of opportunity &amp; hope. @realDonaldTrump is the person to lead this great American comeback as we get #coronavirus behind us. https://t.co/e0GanZTJ6V,2020-08-27 13:24:27,Twitter Media Studio,11,44,corona; 
.@realDonaldTrump is listening to science and is working to get a #coronavirus vaccine ready in record time. We need to be focusing on those suffering right now. @SpeakerPelosi is playing politics with her #coronavirus bill meanwhile people need real help. https://t.co/Plfu1ORgbU,2020-08-26 01:39:37,Twitter Media Studio,56,158,corona; 
In Wyoming &amp; across the country tribal communities have been hit disproportionately hard by #coronavirus. Tribal governments deserve greater flexibility to spend relief funds to meet the individual needs of each tribe.,2020-08-24 20:42:55,Twitter Web App,3,10,corona; 
.@JerryMoran 10 other senators &amp; I wrote @Senatemajldr &amp; @GOPLeader urging for more #COVID19 resources for tribal governments in the next #coronavirus package. https://t.co/5tziAagI0Y,2020-08-24 20:42:38,Twitter Web App,4,11,covid; corona; 
In WY hunting &amp; fishing are a huge part of our way of life. I’m pleased we will now have expanded recreation access at a time where socially distant outdoor activities like hunting &amp; fishing are more important than ever. https://t.co/qFBURl2wBv,2020-08-18 18:07:16,Twitter Web App,5,8,socially distant; 
Wrote in @FoxNews about the coming #coronavirus vaccine and how it’s the key to beating this virus once and for all. It will allow us to fully reopen the economy and to return to normal life. Take the vaccine — I certainly will. https://t.co/CbsjFApFq2,2020-08-15 14:43:10,Twitter Web App,48,171,corona; 
Democrats don’t want a deal. That’s why they continue to throw up roadblocks that keep us from moving forward with a #coronavirus relief bill that the American people want. We need to focus on tackling this disease getting people back to work and our kids back to school safely. https://t.co/u3tVUTtR2s,2020-08-14 13:58:44,Twitter Media Studio,71,123,corona; 
.@SpeakerPelosi’s #coronavirus bill won’t pass &amp; is wasting time. Republicans will hold the line on reckless spending &amp; ensure our next relief bill only includes things directly related to the virus. For the nation’s good wild willful wasteful spending by Democrats must stop. https://t.co/Vcdahtvfzy,2020-08-04 18:20:41,Twitter Media Studio,287,578,corona; 
Rural communities in Wyoming will benefit from @realDonaldTrump’s executive action to improve access to telemedicine. During the #COVID19 pandemic #telehealth is more important than ever in making sure patients get the care they need. https://t.co/mnxqlKAk9E,2020-08-04 16:53:14,Twitter Web App,6,15,covid; 
The Senate GOP introduced a framework for the next #coronavirus relief legislation. It focuses on getting people back to work kids back to school &amp; defeating #coronavirus. https://t.co/46pbzpakRl,2020-07-28 20:42:29,Twitter Media Studio,65,189,corona; 
Great to be back in #Wyoming and to sit down with #KTWO’s @TaylorWirtz  and @RyanMatoushWX to talk about the latest #coronavirus legislation. #K2TV https://t.co/Dd4KZHecwz,2020-07-24 20:07:57,Twitter for iPhone,7,24,corona; 
