Today’s #thirddistrictthursday photo features the Chattahoochee in Phenix City! #AL03 https://t.co/718qKzz7Kd,2020-01-16 18:37:14,Twitter for iPhone,2,3
This is great news for the State of #Alabama and the US! https://t.co/8JMktR9CQ4,2020-01-16 17:09:16,Twitter Web App,4,8
ICYMI:  Rogers' interview on The Evening Edit last night.  https://t.co/YwigIqp9lK,2020-01-16 16:46:15,Twitter Web App,3,2
Great to have D.J. Watson of Fort Mitchell at #MorningswithMike today! #AL03 https://t.co/746irgqGJs,2020-01-16 16:44:22,Twitter for iPhone,1,2
On @EveningEdit tonight on Fox Business to talk about this sham of an impeachment. https://t.co/NYvYDQVzMT,2020-01-15 23:11:00,Twitter for iPhone,2,6
Congratulations to Kristian Story - Alabama's Mr. Football!  #AL03 https://t.co/TnRdBs9MAT,2020-01-15 21:01:02,Twitter Web App,3,2
An honor to attend swearing in of my friend Gen. Raymond as 1st Chief of Space Operations U.S. Space Force.  Proud to see Space Force becoming a reality after years of hard work. L-R: Rep. Kevin Cramer Gen Raymond VP Mike Pence Official White House Photo by D. Myles Cullen https://t.co/nRG7PqSaN4,2020-01-15 20:35:05,Twitter for iPhone,2,8
ICYMI:  Rogers statement on Articles of Impeachment vote...#AL03 https://t.co/mien13wGor,2020-01-15 18:53:16,Twitter Web App,4,2
Thank you @realDonaldTrump for your continued work on behalf of the hardworking producers across the great State of #Alabama! https://t.co/gMLixOzbtA,2020-01-15 18:05:45,Twitter Web App,5,5
ICYMI:  Report from Washington:  The Situation with Iran and Democrats  https://t.co/p8j476T7YT #AL03,2020-01-15 16:56:28,Twitter Web App,3,2
December’s jobs report was released Friday. Republican pro-growth policies continue to make our economy stronger:   ✅ Wages are UP ✅ 145000 new jobs added ✅ Unemployment remains at 50-year low,2020-01-13 15:29:21,Twitter Web App,40,152
Enjoyed visiting with Ben Moser CEO of United Way of Chattahoochee Valley today in DC. https://t.co/vY2Af6nCSB,2020-01-10 16:48:25,Twitter for iPhone,2,4
Great to have Raven (left) and Felecia (right) of Phenix City in the office today for #MorningswithMike! #AL03 https://t.co/MUxADxnKig,2020-01-10 15:08:56,Twitter for iPhone,2,2
The President used the law and his Constitutional authority as Commander-in-Chief to eliminate this terrorist mastermind before he could kill again."  WATCH HERE:  https://t.co/I7qHYMi6qd,2020-01-09 23:42:18,Twitter Web App,1,3
ICYMI: "Soleimani was not visiting Baghdad bc it's a great holiday destination. He was there to meet with the leader of a terrorist group that killed an American just days prior.,2020-01-09 23:42:18,Twitter Web App,5,8
This resolution maligns our President undermines our national security and makes a martyr of a man who killed nearly 600 Americans.,2020-01-09 23:24:55,Twitter Web App,3,10
When it comes to terrorists across the globe who want to kill us making it harder for President Trump to keep our homeland and our citizens safe is irresponsible and just plain dangerous.,2020-01-09 23:24:55,Twitter Web App,3,9
