After 28 days Speaker Pelosi has transmitted the articles of impeachment to the Senate. The Democrats' #ShamImpeachment case is clearly not urgent and has clearly been partisan and political from the start.   https://t.co/XP4G358jj5,2020-01-15 21:50:00,TweetDeck,20,29
January is Human Trafficking Awareness Month. Millions of people are currently trapped in modern-day slavery. I-20 runs right through #AL06 and is the #1 U.S. road for human sex trafficking. I'm committed to doing all I can to help end these injustices. #EndHumanTrafficking https://t.co/bKOoc6aBbe,2020-01-15 16:45:48,Twitter Web App,18,19
The Iranian people are tired of being lied to and having their human rights trampled on. Now is the time to stand with these brave #IranianProtesters and condemn their oppressive regime.   #FreeIran,2020-01-14 20:48:22,Twitter Web App,6,13
@POTUS took out a known terrorist who was responsible for the deaths of hundreds of Americans and thousands of his own people. The Iranian people have celebrated this and are now protesting their violent corrupt government which admitted to shooting down a civilian plane.,2020-01-14 20:48:22,Twitter Web App,5,13
Congratulations to the five outstanding students from the Sixth District of Alabama who received the prestigious #GilmanScholarship this past school year! This program supports undergraduate students in unique study abroad opportunities.  https://t.co/tDoi4M3Umo,2020-01-13 20:28:20,Twitter Web App,1,2
It should now be clear to #Iran that the US will defend its own. @POTUS has learned from others' mistakes &amp; made clear we will respond to threats against US citizens.  The killing of Soleimani defies what America’s enemies have come to expect: https://t.co/xj3IMfaaVC - @washtimes,2020-01-09 20:42:26,Twitter Web App,9,24
This weekend I joined Pam Huff on @abc3340 to talk more about the Iran strike that took out notorious terrorist #Soleimani. Watch here if you missed it: https://t.co/PL28PlWHdh,2020-01-06 21:28:08,Twitter Web App,2,6
I am proud of the decisive action taken by @POTUS and our brave service men and women to stop #Soleimani. This attack has served long overdue justice and sends a clear message to anyone who means harm to Americans.,2020-01-03 22:58:07,Twitter Web App,4,8
#QasemSoleimani was a ruthless terrorist responsible for the death of thousands including Americans. He oversaw the funding training &amp; equipping of other terrorists &amp; militia groups and is responsible for the deaths of 600+ American soldiers &amp; the wounding of thousands more.,2020-01-03 22:58:07,Twitter Web App,4,11
Thanks for having me on today @pamabc3340! This was a great discussion about #Iraq #Impeachment and more. Make sure you tune in at 4pm and 5pm CT today #AL06! https://t.co/1Ha2k5tgtn,2020-01-03 21:03:39,Twitter for iPhone,2,6
Happy New Year! I wish you and your families a wonderful 2020 and new decade. #HappyNewYear2020 https://t.co/CwHflLZjVD,2020-01-01 14:59:02,Twitter for iPhone,3,12
Wishing you and your families a Merry Christmas today! #MerryChristmas https://t.co/qmDsqHvLgx,2019-12-25 14:00:00,TweetDeck,3,17
Coming up on @1055WERC with JT! Make sure you tune in #AL06! https://t.co/kUyyYa1tuX,2019-12-20 13:43:49,Twitter for iPhone,2,1
Last night I spoke on the House floor to express my deep concern and opposition to the articles of impeachment against President Trump. Watch my full remarks here: #ShamImpeachment  https://t.co/iB1dliRtGL,2019-12-19 16:10:00,TweetDeck,6,16
From the beginning of this #ShamImpeachment process against POTUS there has been no evidence of treason bribery or other high crimes or misdemeanors. For that reason I will vote "NO" on both articles of impeachment. My full statement here:  https://t.co/C3hSCO9AaU,2019-12-18 23:05:33,Twitter Web App,74,244
Last night I voted no on the 2 "minibus" bills that authorized continued gov funding. I strongly support efforts to rebuild our military but these massive released-at-the-last minute bills are only going to harm us in the future. Full statement here: https://t.co/tNXB3U7QcK,2019-12-18 14:51:25,Twitter Web App,9,21
Great to be in Montgomery on Sat. to celebrate Alabama's 200th b’day &amp; the dedication of AL Bicentennial Park. It has 16 bronze relief plaques to tell the state's history good &amp; bad. It’s a reminder of how far we’ve come &amp; how far we need to go as we begin our 3rd century #AL200 https://t.co/snFstWdcfP,2019-12-17 21:24:18,Twitter for iPhone,1,8
Thanks to Don Dailey for having me on @CapitolJournal Journal this weekend. We discussed my deep concerns about the impeachment process against President Trump and the possible precedent it could be setting for the future of the country. Watch here: https://t.co/zuWXXZGjL7,2019-12-16 21:40:11,Twitter Web App,1,2
I'm supporting the Lower Costs More Cures Act for Gabe in my district &amp; for others like him who battle rare diseases. Gabe has Duchenne muscular dystrophy an unusual condition with no cure. This bill protects access to potentially life-saving drugs and cures. #MoreCures #AL06 https://t.co/O184ojl5os,2019-12-12 21:09:00,Twitter Web App,25,83
Congrats to Katsuki Chan Viraj Kacker and Aniket Pant on winning the 6th District's 2019 Congressional App Challenge! They've created an app that's innovative user-friendly and useful for an important cause. They should be proud. #AL06 #Congress4CS https://t.co/It4UZh7pId,2019-12-11 21:36:49,Twitter Web App,1,2
None of this is about evidence or fairness but about determination to remove a president Democrats do not like. This is not how you impeach a president and this is certainly not justice.  #ShamImpeachment,2019-12-10 21:27:57,Twitter Web App,10,38
Democrats resolved on #Impeachment on POTUS's inauguration day. Rep. Al Green even said today “If the Senate does not convict that does not mean it’s over” and then suggested the House could pursue impeachment again on other grounds if the Senate didn't vote to remove POTUS.,2019-12-10 21:27:57,Twitter Web App,8,28
House Democrats have now unveiled #ArticlesOfImpeachment against President Trump despite continued lack of evidence. This is an embarrassing day for the House of Representatives and just one more phase in what has been a blatant miscarriage of justice from the start.,2019-12-10 21:27:57,Twitter Web App,90,292
