Team Stanton is out today celebrating the @cityofchandler 25th Annual Multicultural Festival. Everyone’s enjoying the great food live music and local vendors. There’s still time to swing by—my team is answering questions about our constituent services at the festival until 6! https://t.co/Z85Jj7b8ip,2020-01-18 21:49:57,Twitter for iPhone,4,14
Next week when I'm home in our district I will meet with Arizonans whose businesses depend on trade with Mexico and Canada. I look forward to reporting that Congress got this done in a bipartisan way.,2020-01-16 18:58:07,Twitter for iPhone,0,6
The Senate passed the USMCA today offering much-needed certainty for Arizona businesses and workers. We still have more work to do to ensure our economy sees the benefits from this trade agreement but getting the USMCA passed was a critical step.,2020-01-16 18:58:07,Twitter for iPhone,4,15
Ann Kirkpatrick is one of the finest public servants I know. She's been a fighter her whole life and I'm not surprised to see her make such a brave decision. I wish her all the best in her recovery and look forward to working with her on behalf of all Arizonans when she returns.,2020-01-15 18:14:20,Twitter Web App,19,168
Providing exceptional service to our residents and delivering results is always our goal. I'm so proud that last year we were able to return $1662940 in federal benefits owed to residents of Arizona's 9th district. https://t.co/lYvWGYRcPY,2020-01-14 20:50:39,Twitter Web App,3,15
I am encouraged by the progress being made on the USMCA in the Senate and I hope they are able to get it across the finish line this week. Hard-working Arizonans who rely on market access to Mexico and Canada deserve the certainty USMCA will provide.,2020-01-14 17:52:40,Twitter for iPhone,2,5
After being deployed a year in the Middle East today we welcomed home these brave soldiers from the @AZNationalGuard. We are continually grateful for the sacrifice of our troops and their families. Job well done. https://t.co/B6VwLG6MhC,2020-01-12 00:18:00,Twitter for iPhone,5,21
Congratulations @michaelcrow on being awarded the Lifetime Achievement on Science Service and Leadership from @NCSE this week. A well-deserved recognition of Dr. Crow's exceptional contribution to advancing innovation and sustainability at @ASU. https://t.co/ZSlmi0k2D8 https://t.co/oxMz85Nrp4,2020-01-10 22:28:53,Twitter Web App,2,12
Congress has for too long abdicated its responsibility concerning the conflict in the Middle East. Today I voted to make it clear that Congress must assert its role in the discussion surrounding violent conflict with Iran. The American people deserve to be heard.,2020-01-09 23:10:44,Twitter for iPhone,9,44
On January 8 2011 six innocent people lost their lives to a senseless act of gun violence in Tucson. My friend @GabbyGiffords was among the 13 others shot and wounded. @RepKirkpatrick led the U.S. House tonight in a moment of silence to honor those we lost that tragic day. https://t.co/TPgLs7PIQi,2020-01-09 00:05:02,Twitter Media Studio,30,79
My full statement on U.S.-Iran tensions following today’s classified intelligence briefing from Trump Administration officials: https://t.co/RXYq2do65X,2020-01-08 23:00:25,Twitter for iPhone,11,18
Our letter to President Trump: https://t.co/6MDg6PyAmm,2020-01-08 16:11:40,Twitter for iPhone,5,8
Today I will receive a classified briefing by top Administration officials on the increasingly volatile situation with Iran. I joined my colleagues in sending a letter to President Trump to demand answers about the Administration's strategy to keep Americans safe moving forward.,2020-01-08 16:11:39,Twitter for iPhone,5,21
Happy New Year! It’s been a whirlwind of a decade but one that brought incredible opportunities and growth to our community. I look forward to continuing to work hard for Arizona in 2020. https://t.co/pDfKuGxMK7,2020-01-01 16:48:50,Twitter Media Studio,3,24
As you make your plans for #NYE2020 make sure you you’re ready to #celebratesafe. You can ride bus light rail and Paratransit for FREE starting tonight at 7 p.m. Take advantage of these great public transit options and have fun tonight! https://t.co/VUCskBa7IZ,2019-12-31 17:15:55,Twitter for iPhone,4,7
There is no tougher person than @repjohnlewis — a man who time and time again faced evil with grace humility and strength.  We are a better nation because of him and his moral leadership and have his back during this difficult time.,2019-12-29 23:29:20,Twitter for iPhone,4,41
It's been a full first year in Congress—and together we delivered real results for Arizonans. I'm proud of the work we accomplished for Arizona's 9th District and I'm ready to continue our work in 2020. Read more: https://t.co/QK4yljockV https://t.co/xX0TmyqFRI,2019-12-28 18:04:58,Twitter Web App,2,14
Tonight is the first night of #Kwanzaa. As you light the candles each night and reflect—from Umoja to Imani—may your Kwanzaa be filled with blessings and joy. https://t.co/cjcOP53ZJ3,2019-12-26 17:01:44,Twitter Web App,4,8
From my family to yours I wish you a very Merry Christmas. May the holiday bring you the closeness of friends and the comfort of home. I’m happy to be celebrating in Arizona. https://t.co/MDL4ADLPHj,2019-12-24 23:48:50,Twitter for iPhone,10,57
I’m proud the House voted last week to advance the new USMCA. Arizona businesses—from large corporations to medium- and small-sized firms—made clear that the USMCA will provide much-needed certainty and opportunity for growth. Read what they have to say: https://t.co/69TmH6mQxq,2019-12-23 14:06:23,Twitter for iPhone,3,12
Happy Hanukkah! I hope you enjoy this first night of the Festival of Lights with friends family and loved ones. https://t.co/jmzN4cf1pl,2019-12-22 20:26:55,Twitter for iPhone,11,32
The final 2020 National Defense Authorization Act supports a strong national defense. And I'm proud it included two key amendments I offered to improve veterans’ quality of life. Read more ➡️https://t.co/qYBR2WxVUG,2019-12-21 18:32:51,Twitter for iPhone,4,15
This week @SenMcSallyAZ and I introduced a bipartisan bill to accelerate the development of I-11 in Arizona. I-11 would open up a new transportation corridor in Arizona leading to new jobs and increased trade with our partners in Mexico and Canada. https://t.co/Y4jxbtJILx,2019-12-20 22:13:49,Twitter for iPhone,4,9
Those of us in border states understand the value of trading with our neighbors and growing trade relationships with Mexico and Canada is essential to Arizona. I'm proud the House voted today to advance USMCA—a win for all Arizonans. https://t.co/oXHi3HxkXw,2019-12-19 21:47:28,Twitter Web App,7,24
Today the House will take an important vote to advance an improved North American trade policy. With #USMCA we have a real opportunity to lift job creators. From multinational companies to mid-sized and small businesses there’s no doubt that the new USMCA is a win for Arizona. https://t.co/f3sNDQyU5k,2019-12-19 17:46:27,Twitter Media Studio,9,28
If the Administration has its way and the entire ACA is eliminated 20 million Americans will lose their insurance coverage 135 million Americans with pre-existing conditions will be stripped of their protections and costs will go up for millions more.,2019-12-19 01:03:42,Twitter for iPhone,7,6
Today the Fifth Circuit Court of Appeals declared part of the Affordable Care Act unconstitutional a decision with serious consequences. It leaves the future of health insurance for millions of Americans in limbo with no plan to ensure families can access the care they need.,2019-12-19 01:03:42,Twitter for iPhone,3,18
Today we provided certainty for exporters across AZ by extending the Export-Import Bank for 7 years. Last month I spoke in support of a long-term reauthorization of #EXIM which in the last five years has helped finance upwards of $2B in exports statewide. https://t.co/SevuRw6qqb,2019-12-17 22:41:02,Twitter Web App,4,15
Those funds will put a spotlight on one of our nation’s deadliest epidemics and put us on a path towards answers and solutions. I’m grateful to the work of so many organizations and advocates—and especially the young voices who relentlessly spoke up and fought for this change.,2019-12-17 22:21:06,Twitter Web App,2,18
Today the House took an important and long-overdue step to reduce gun violence. For the first time in more than 20 years we included in our spending bill an investment in gun violence prevention research.,2019-12-17 22:21:05,Twitter Web App,8,65
As the House prepares to vote this week on the United States-Mexico-Canada-Agreement Arizona businesses are speaking up about the importance of trade with our neighboring countries. Read what they have to say about how #USMCA will impact their business. https://t.co/69TmH6mQxq,2019-12-17 19:21:31,Twitter Web App,3,4
UPDATE: The deadline for Open Enrollment has been extended! You now have until December 18 at 1 a.m. AZ time to re-evaluate your current health insurance or #GetCovered for 2020. Visit https://t.co/A4svPXjZDR to enroll or update your coverage now. https://t.co/bd1MvrPMxz,2019-12-17 16:05:14,Twitter Web App,67,170
Last week I introduced a bill with @SenMcSallyAZ to bring more tourism and recreation dollars to our state. The Southwest Tourism Expansion Act will strengthen our relationship with Mexico and open up new economic opportunities to more Arizona businesses. https://t.co/HUPvtwa2Yj,2019-12-17 14:32:09,Twitter Web App,2,13
Last night I joined my fellow House Judiciary Committee members to begin marking up H.Res. 755 Articles of Impeachment. I have been in public life for nearly two decades and it is not lost on me that these are the most consequential votes I will ever take. My full remarks: https://t.co/il8soPFcgc,2019-12-12 21:21:03,Twitter Media Studio,63,266
H.R. 3 allows the @HHSGov secretary to negotiate lower drug prices; extends Medicare coverage to include dental vision and hearing; caps Medicare out-of-pocket costs for seniors and people with disabilities; reinvests the billions of dollars saved into public health and more.,2019-12-12 19:31:07,Twitter Web App,4,14
