Homelessness is an epidemic – here’s my plan to end it: https://t.co/xsmp0BuL6M,2020-01-19 21:08:36,Twitter for iPhone,13,21
Washington played politics with our taxes – and now people in the Valley are losing money. That’s why I voted to reverse this rule – the Senate needs to act. https://t.co/1HlsjmZAOE,2020-01-18 17:05:42,Twitter for iPhone,15,24
Washington is a disgusting cesspool and everyone knows it. It’s time to take a sledgehammer to dark money and special interests – that’s why I’m proud to be a founding member of the End Corruption Caucus. https://t.co/Fd0ZodclwK,2020-01-18 03:23:13,Twitter Media Studio,31,126
This is amazing! Glad to see Denair investing in trades and career education. A four-year degree shouldn’t be the only path to the middle class.  https://t.co/6wSufN7YWh,2020-01-18 00:27:15,Twitter for iPhone,8,13
Homelessness has gotten out of control – in part because housing prices are skyrocketing. One of the best ways of fighting it is by building more low and middle income housing. https://t.co/Zh9czB21Zg,2020-01-17 02:00:00,TweetDeck,18,30
Betsy DeVos is doing more to help crooked colleges than the students they scammed. Ridiculous. We voted today to rollback one of her proposals that would hurt students. https://t.co/tYBlXSLxoU,2020-01-16 23:00:00,Twitter Media Studio,36,103
✅Good for farmers  ✅Good for workers  ✅Bipartisan  👏👏👏 https://t.co/p2gISnqgwH,2020-01-16 20:00:00,TweetDeck,1,8
My bill lets us call homelessness what it is – an emergency. https://t.co/fumAeCbSms,2020-01-16 02:00:00,TweetDeck,15,31
No more studies. No more excuses. It’s time to stop playing games and give our vets the benefits they earned. Read more about my new bill ⬇ https://t.co/4iLFgTugbe https://t.co/WgoAxXUMVz,2020-01-15 23:00:00,TweetDeck,13,21
@etiennesgram Carolynn - I'm sorry to hear that. My office may be able to help give us a call at 209-579-5458,2020-01-15 21:31:58,TweetDeck,0,3
Our homelessness problem has gotten out of control and everyone knows it. One of the best ways of fighting it is increasing access to mental health services. https://t.co/rEHYXHAAVv,2020-01-15 20:00:00,TweetDeck,13,33
Rents have gone up 60% in Modesto since 2012. This is unacceptable – and it’s why building more affordable housing is a major part of my plan to tackle homelessness. https://t.co/oRKwBDbAYO,2020-01-15 03:00:00,TweetDeck,9,14
This week I introduced a bill to declare a homelessness emergency. Tune in to @FOX40 tonight to hear my conversation with @JoeKhalilTV about how fighting homelessness has to be a top priority. https://t.co/63M8btB1t8,2020-01-14 23:45:00,TweetDeck,11,25
If we can declare an emergency after a natural disaster that leaves folks without homes we should be able to do the same thing for homelessness. It’s an emergency let’s call it what it is. https://t.co/KrFCfbNbdz,2020-01-14 20:30:00,TweetDeck,31,68
Homelessness has become an emergency because politicians were all talk and no action. Today I released my plan to 𝙚𝙣𝙙 𝙩𝙝𝙞𝙨 𝙘𝙧𝙞𝙨𝙞𝙨 by building more housing improving mental health care access and bringing federal funding to the Valley. https://t.co/hIuU1L7rA1,2020-01-14 02:00:00,TweetDeck,17,42
This is an emergency that requires real action. The number of homeless people in California is going up but the federal money to combat it hasn’t kept pace. We have to tackle this problem head-on. That’s exactly what I’m working on. https://t.co/VlkNp1FZLy https://t.co/Rzrfx10qvb,2020-01-13 22:45:00,TweetDeck,9,26
This is heartbreaking news. My prayers are with the family and the entire @SJSheriff Office.  https://t.co/9JOwgfO6tf,2020-01-13 17:18:25,TweetDeck,8,8
Are you getting the runaround from a federal agency like Social Security Medicare or the VA? We may be able to help – come out this Wednesday to meet with my staff and we’ll get on the case! https://t.co/0SRBr4cg6Y,2020-01-12 19:00:00,TweetDeck,10,12
Pam and I love Modesto on Ice – definitely the ❄️coolest❄️ place in town! https://t.co/MoWRIApTq2,2020-01-11 19:00:00,TweetDeck,8,18
Newsflash for Betsy DeVos: You’re not above the law. The Secretary was told by a judge to STOP hounding 16000 students who were scammed by a for-profit college. She didn’t. Glad she’s being held accountbale.  https://t.co/K1D0QDfU6n,2020-01-11 03:00:00,TweetDeck,17,57
Jesse served in the Army National Guard for 34 years – but when his doctor prescribed him a lifesaving medication TriCare wouldn’t cover it. We were able to get his prescription covered and save him $500 a month.  If you need help with a federal agency #JustAskJosh https://t.co/d2GbjiX5zt,2020-01-11 00:30:00,TweetDeck,16,50
Every day I wake up I appreciate the trust that people in the Valley put in me to be their representative. Presiding over the House today is just one more honor that helps me appreciate how important this job is and the great responsibility I have to the families I work for. https://t.co/U0oLroauea,2020-01-10 22:02:26,Twitter Web App,10,49
Show our veterans how much you appreciate them with a valentine! We’ll be collecting them at my Modesto Office until February 10. https://t.co/NN4zamoahe,2020-01-10 02:00:00,TweetDeck,11,22
Swamp rats 🐀 are spreading.  https://t.co/oc6ljBhKHV,2020-01-09 23:15:00,TweetDeck,9,10
Today on #LawEnforcementAppreciationDay and every day our law enforcement officers and first responders put their lives on the line to keep us safe. Thank you for all you do. https://t.co/48pXp57FQz,2020-01-09 20:30:00,TweetDeck,12,15
Congrats to the ladies of Super Sope! I know what my first stop will be when I get home!  https://t.co/3vCumFK8hE,2020-01-09 03:00:00,TweetDeck,6,15
10 years ago the Supreme Court decided that corporations are people. That makes no sense. We know this terrible decision led to even more dark money corrupting our democracy. I’m proud to be part of the movement to fight back and not take a single dime of corporate PAC money. https://t.co/KwRfmxIzKc,2020-01-09 01:00:00,TweetDeck,12,48
Hold on to your wallets – already in 2020 more than 400 prescription drugs have gotten more expensive. Folks already pay too much for medicine which is why we passed a bill to lower costs – Mitch McConnell and the Senate need to vote on it now. https://t.co/kdsTOyF5HB,2020-01-08 23:15:00,TweetDeck,11,19
Excited to see USMCA take another step forward. It’s time for the Senate to pass it for our farmers workers and families! https://t.co/dHXQZwu3Az,2020-01-08 03:07:34,Twitter for iPhone,9,15
Praying for American servicemembers in harm’s way in Iraq.,2020-01-07 23:44:45,Twitter for iPhone,15,49
We don’t need more studies. We need action. These Vietnam Veterans deserve coverage NOW. They can’t wait until 2021. https://t.co/kdwdtqq91X,2020-01-07 23:15:00,TweetDeck,14,27
Join me in our first annual Valentines for Veterans and let’s show our veterans how much we appreciate them! https://t.co/sg1Gc73OBd,2020-01-07 03:15:00,TweetDeck,11,14
Mitch McConnell is blocking 400+ bills passed in the House in 2019 from a vote in the Senate. It’s time to end the gridlock. https://t.co/FxkHVzuZos,2020-01-07 00:00:00,TweetDeck,135,258
It’s a new year which means I need to hear from you! What are your priorities for the Valley in 2020? Take the survey and let me know 👇 https://t.co/Y8Qyirmgjl,2020-01-06 20:30:00,TweetDeck,8,7
In case you missed it: Check out my year end report to see everything we’ve gotten done in the Valley in 2019! https://t.co/zYXiWGLbKP,2020-01-05 23:55:03,Twitter Web App,8,13
In case you missed it: I’m working to hold Betsy DeVos accountable  – and I will continue to stand up to her until she starts working for students instead of scam artists.   https://t.co/wIKxcw0YeL,2020-01-05 01:42:46,Twitter Web App,25,178
Thanks Cara. I’m proud to be able to fight for the Valley. https://t.co/pRMmZtrCUV,2020-01-02 22:56:26,Twitter Web App,11,26
2019 was quite a year – can’t wait to see what we’re able to get done for the Valley in 2020! https://t.co/1XZw4K649t,2020-01-01 20:56:29,Twitter Web App,9,28
So proud of all the work we’ve done for the Valley in 2019 – excited to keep it up in 2020! https://t.co/EfRuOizj7D,2020-01-01 01:06:51,Twitter Web App,14,57
Thanks Sandra. Staying accessible to Valley families is one of my top priorities. https://t.co/lMcWMc0VMG,2019-12-31 00:36:12,Twitter Web App,11,19
In 2019 we helped more than 1000 people cut through red tape – saving them more than $600000! https://t.co/HZClhTWp8E,2019-12-29 20:02:56,Twitter Web App,9,16
We’ve gotten a ton done for the Valley in 2019 – looking forward to bringing home more wins next year!  https://t.co/ThnHD4yVVJ,2019-12-28 23:21:17,TweetDeck,9,25
If we actually want to get results for the Valley we have to work together. That's why I'm the most bipartisan representative - 89% of the bills I co-sponsored were bipartisan. https://t.co/L4o5Wx6zZb,2019-12-27 23:00:00,TweetDeck,12,24
A year ago our community was shocked by the loss of Corporal Ron Singh. Today especially I’m thinking of his wife Mika and the rest of the Singh family. https://t.co/TKXsonDS51,2019-12-26 23:38:07,Twitter Web App,15,47
Pam and I wish you and your loved ones a very Merry Christmas! https://t.co/dVVYC4u6ma,2019-12-25 21:26:00,Twitter Media Studio,12,106
The more I hear from you the better I can work for you. That’s why I hosted 18 town halls in 2019. https://t.co/BUzCW2pbRZ,2019-12-24 21:30:00,TweetDeck,12,31
In 2019 eight of my bills to help the Central Valley passed through the House of Representatives. https://t.co/YCcqx4yzNl,2019-12-23 21:17:33,Twitter Web App,11,24
Happy Hanukkah to all who celebrate! https://t.co/5CVaJ3eAzV,2019-12-23 00:00:00,TweetDeck,8,17
This is a bipartisan win for our farmers and workers – and it shows what we can get done when we work together. https://t.co/5ejluc28On,2019-12-22 19:00:00,TweetDeck,7,9
In case you missed it: I secured $14 million for Central Valley water projects in the 2020 budget! https://t.co/26vl7e9i85,2019-12-22 00:00:00,TweetDeck,8,34
Mitch McConnell just wrapped up 2019 without letting the Senate vote on more than 400 bills the House passed – including one to SLASH costs of lifesaving prescription drugs. https://t.co/g9BQiKbwqU,2019-12-21 19:00:01,TweetDeck,46,63
It’s been a crazy week in Washington and I’m so excited to be heading home. Hope to see you all around town! https://t.co/XL4EjGJg6b,2019-12-21 03:00:00,TweetDeck,20,58
Thanks Jason. The more I listen to folks in the Valley the better I can represent you all. https://t.co/jy6OLdm7iW,2019-12-21 00:00:00,TweetDeck,12,41
