Cancelled Fire Insurance Policy? Get Help! There is now a process for those that receive fire insurance policy non-renewals within the CA Department of Insurance. You can complete a Request for Assistance (RFA). at the CDI website at: https://t.co/MoqUAoWJuy,2020-01-19 18:42:00,TweetDeck,9,8
On Monday January 20 all National Park Service sites that charge an entrance fee will offer free admission to everyone. That includes Pinnacles National Park - right in our backyard!   https://t.co/LaVYvmdEHF https://t.co/urVdBKxObE,2020-01-18 17:31:00,TweetDeck,2,16
Covered California's open enrollment closes on January 31st. Enroll here: https://t.co/Dd1dPffkXh,2020-01-18 16:44:00,TweetDeck,2,0
On Monday January 20 all National Park Service sites that charge an entrance fee will offer free admission to everyone. That includes Pinnacles National Park - right in our backyard! https://t.co/gJPxpPc73a,2020-01-18 02:21:00,TweetDeck,7,27
This didn’t have to happen - the Administration’s anti-immigrant policies like Remain in Mexico have shut the door on families and denied legal pathways to asylum and safety.  #DemsAtTheBorder,2020-01-17 21:55:13,Twitter for iPhone,5,7
The @DOJ_EOIR didn’t even show up for our scheduled briefing. Unacceptable.,2020-01-17 21:53:31,Twitter for iPhone,0,5
When they do have a court date it’s in make-shift tents on the Mexico side of the border.  #TentCourts confuse the asylum seekers and deny due process. #DemsAtTheBorder  https://t.co/PHxFrTLKfN,2020-01-17 21:51:24,Twitter for iPhone,1,5
Many wait months in for their court date. The findings from multiple Inspector General reports revealed that DHS and CBP are not following their own guidelines and policies placing immigrants and officers at risk. The administration has created this chaos. #DemsAtTheBorder https://t.co/BTEAinOJoM,2020-01-17 21:51:23,Twitter for iPhone,3,6
These families fled unimaginable violence and poverty to seek a better life in the US -- instead of finding safety they were turned away and sent back across the border. #DemsAtTheBorder https://t.co/BPbj9dxkfS,2020-01-17 21:51:20,Twitter for iPhone,2,9
DHS returns asylum-seekers to extremely dangerous areas in Mexico contrary to the State Department’s own travel warnings regarding violence in those areas.,2020-01-17 21:48:18,Twitter for iPhone,3,8
These are the conditions kids and their families seeking asylum are living in due to the administration’s #RemainInMexico policy. They are all within a few hundred feet pressed up against the border because it is so dangerous everywhere else in Matamoros. #DemsAtTheBorder https://t.co/XIOWIJWMwl,2020-01-17 21:48:17,Twitter for iPhone,5,11
This is the International Bridge connecting Brownsville TX and Matamoros Mexico. We paid two dollars in quarters to cross the border. #DemsAtTheBorder https://t.co/s9gKiXVjAV,2020-01-17 21:45:08,Twitter for iPhone,1,5
