Our office joined volunteers throughout Ventura County to lay down wreaths on the headstones of servicemembers and veterans who have been laid to rest at Conejo Mountain Memorial Park in Camarillo.,2020-01-17 21:54:45,Twitter Web App,1,5
#TeamBrownley was honored to take part in Wreaths Across America an annual event during the holiday season that aims to remember fallen servicemembers and veterans and recognize their sacrifice and service to our nation. https://t.co/2FvA1aUCN4,2020-01-17 21:54:44,Twitter Web App,2,7
It was such a pleasure to spend time with residents who happily shared information on the community’s assisted living and memory care programs and provided tours of the community’s many amenities including gymnasiums recreational areas reading rooms and main dining room.,2020-01-17 19:02:53,Twitter Web App,0,6
#TeamBrownley was pleased to join the residents of Oakmont Senior Living for their open house in Camarillo. https://t.co/8mzKi9BF13,2020-01-17 19:02:53,Twitter Web App,2,10
I introduced the Green Federal Fleet Act which will reduce harmful greenhouse gas emissions spur private-sector development of zero-emission vehicle tech &amp; help pave the way for a national transition to a cleaner zero-emission transportation sector. https://t.co/keJu7V0w04,2020-01-17 16:03:35,Twitter Web App,3,12
It is absurd that he withheld federal aid for so long claiming disaster aid may be spent wastefully while he has no problem spending untold millions of taxpayer funds for his lavish golf outings.,2020-01-17 00:21:10,Twitter for iPhone,2,17
It’s about time President Trump approved FEMA aid for our fellow Americans in Puerto Rico.   https://t.co/3vudnGgaBy,2020-01-17 00:21:10,Twitter for iPhone,8,23
Today I voted to reject Secretary DeVos’ rule that denies defrauded student borrowers the debt relief they desperately need and deserve. #StandWithStudents,2020-01-16 22:50:31,Twitter Web App,1,13
The Trump Administration should stop supporting predatory for-profit colleges and start supporting students including many veterans who were defrauded by unscrupulous institutions. https://t.co/7omkpBGPVw,2020-01-16 22:50:31,Twitter Web App,4,9
Yesterday I attended a @TransportDems hearing where we discussed compensation occupational safety and health issues for airline groundworkers as well as how to continue to ensure the safety of the traveling public and transportation workers. https://t.co/F3Oe7g93Sq,2020-01-16 20:16:23,Twitter Web App,3,11
The GAO report confirming that the President broke the law when withholding funds to Ukraine for our national security should be a wake up call to those who believe in the power of our Constitution to keep America the most important democratic experiment in history. https://t.co/II6KS3ZgMW,2020-01-16 16:32:53,Twitter Web App,8,22
Rising living costs and shrinking retirement savings are forcing Americans to work later into their lives than ever before. I was proud to vote for the bipartisan Protecting Older Workers Against Discrimination Act to ensure older workers are protected against age discrimination. https://t.co/Vi0epBy1c5,2020-01-16 14:39:45,Twitter Web App,4,14
Whether intentional or not Secretary Willkie’s statement illustrates how much work we have ahead of us to make sure all veterans feel supported coming forward when they are harassed or assaulted. Read my full statement here ⬇ https://t.co/EzXtbsIm3m,2020-01-15 23:26:19,Twitter Web App,12,24
Today I voted to confirm @RepAdamSchiff @RepJerryNadler @RepZoeLofgren @RepJeffries @RepValDemings @RepJasonCrow and @RepSylviaGarcia as #ImpeachmentManagers. I have full faith in them to #DefendOurDemocracy and present the truth to the American people.,2020-01-15 21:12:17,Twitter Web App,14,74
Over 125 families participated in this wonderful event that always brings a smile to so many children and warms our hearts during the holidays.,2020-01-14 16:33:43,Twitter Web App,1,9
