Today is the anniversary of the Northridge earthquake a day our community will never forget. As we learned that day it's a matter of when - not if - the next big one will strike.   Make sure you and your loved ones have an emergency kit ready. https://t.co/Zz6HXnBfy5,2020-01-17 22:06:03,Twitter Web App,9,31
Just had an interesting conversation with @usagmceo Grant Turner who heads America’s efforts to communicate truth worldwide regarding communicating in the Sindhi language. Which media platforms are best: TV Medium Wave Radio Short Form Video for internet web pages or other?,2020-01-16 22:19:21,Twitter Web App,21,69
"It was all about Joe Biden Hunter Biden...it was never about corruption". The revelations by #LevParnas make clear that it was never about promoting US national security objectives which include an independent democratic Ukraine free from corruption.  https://t.co/pktTxMhmYb,2020-01-16 19:33:13,Twitter Web App,6,21
Congrats to Virginia on passing the #EqualRightsAmendment! I am a proud co-sponsor of the Equal Rights Amendment in Congress and the time for ratification of the Amendment is now. https://t.co/EmPfFkSH4K”,2020-01-16 03:32:29,Twitter for iPhone,4,22
This is an unprecedented and alarming threat to our diplomats. I look forward to working with Chairman @RepEliotEngel and my colleagues on the @HouseForeign to investigate this deeply troubling matter. https://t.co/KDjvmqdkcK,2020-01-16 01:08:45,Twitter for iPhone,29,69
The rule of law matters. Republicans can’t simply let #Trump hide thousands of documents and block witness testimony simply because they are afraid of what they might reveal. #DefendOurDemocracy https://t.co/U7N45YRLGd,2020-01-15 22:49:54,Twitter Web App,10,25
Our Afghan policy illustrates that we are good at breaking things but not very good at fixing them. The Special Inspector General for Afghanistan Reconstruction claims had the US done a “D” job in #Afghanistan we would have been successful. Watch here: https://t.co/U0EeYN4Tj2,2020-01-15 18:35:09,Twitter Web App,2,7
Today the House unanimously passed my bill the Homeless Assistance Act of 2019 which would help address our country’s #homelessness crisis by allowing increased data sharing between the organizations working on the front lines of this issue.,2020-01-14 01:33:51,Twitter Web App,15,84
Today on #KoreanAmericanDay we commemorate the first wave of Korean immigrants to the United States and celebrate the profound impact generations of Korean Americans have had on shaping and enriching our country.,2020-01-14 01:25:32,Twitter Web App,6,16
The art of the capitulation   https://t.co/9T3jSxe8E8,2020-01-13 17:31:13,Twitter Web App,2,10
Has #Trump embarrassed us so often that we are unable to be embarrassed by this latest embarrassment?  https://t.co/faliJLA5sI,2020-01-13 05:53:35,Twitter for iPhone,10,30
The Iranian government will try to blame an enlisted man who launched the missiles. Blame the top officials who put their air defense system on hair-trigger alert without grounding civilian airliners.  https://t.co/4eDs0KGZyY,2020-01-11 22:26:10,Twitter for iPhone,6,29
(2/2) I expect the report to indicate what restrictions the Ambassador faced in particularly whether or not the Ambassador was able to visit detainees. The visit and report are valuable only to the extent of the access given.  https://t.co/GSQiXxqC5E,2020-01-10 23:24:07,Twitter Web App,57,102
(1/2) I've been pushing for the U.S. Ambassador to visit #Kashmir for a long time most noticeable in my comments to Assistant Secretary Wells in our hearing on 10/22/19. I look forward to getting Ambassador Juster's report.,2020-01-10 23:24:07,Twitter Web App,110,238
The Senate has conducted 15 (2 Presidents 13 others mostly judges) #impeachment trials in American history. It heard witnesses in every one. That’s what a trial is. #DefendOurDemocracy https://t.co/fdpvmkh9JG,2020-01-10 19:37:05,Twitter Web App,7,24
