Heartbreaking. This latest string of anti-Semitic attacks must be confronted and stopped. https://t.co/hlna6PKAwR,2019-12-29 18:15:48,Twitter for iPhone,1,6
I’m proud to support Christy Smith — she’s been a fighter for her community in Sacramento and will continue to fight in DC. https://t.co/5ZpH2BYt0v,2019-12-29 18:08:50,Twitter for iPhone,22,78
Why isn't the Senate acting to end gun violence and the chance of mass shootings? https://t.co/7BeVAq2QIp,2019-12-23 16:47:00,TweetDeck,3,4
Why isn't the Senate acting to protect net neutrality?https://t.co/7BeVAqks6Z,2019-12-21 16:46:00,TweetDeck,2,4
Why isn't the Senate acting to protect our #DREAMers?https://t.co/7BeVAqks6Z,2019-12-19 14:43:00,TweetDeck,1,2
Today is a solemn day.   Today we stand up for our democracy.,2019-12-18 17:15:36,Twitter for iPhone,3,11
Why isn't the Senate acting to #raisethewage? https://t.co/7BeVAqks6Z,2019-12-18 13:41:00,TweetDeck,2,1
Why isn't the Senate acting to pass the Paycheck Fairness Act?  https://t.co/7BeVAq2QIp,2019-12-17 22:40:00,TweetDeck,3,6
This week the world is watching how we handle this crisis.  It is time to impeach this President.,2019-12-17 15:48:27,Twitter Web App,3,10
Yesterday we voted to reduce prescription drug costs because every American deserves affordable healthcare.   Today we plan to vote to proceed with articles of impeachment because every American deserves a Congress that will #DefendOurDemocracy.  We can do both.,2019-12-13 14:05:04,Twitter for iPhone,3,6
MYTH: The House hasn’t passed any legislation.  FACT: We have passed more than 400 pieces of legislation many bipartisan and it's Mitch McConell who refuses to raise them in the Senate. https://t.co/I9Ktcr6NeK,2019-12-10 13:02:03,Twitter for iPhone,14,29
Donald Trump is trying to influence this upcoming election. That’s the urgency. https://t.co/mEDlhiN5B2,2019-12-10 12:59:00,Twitter for iPhone,18,43
It has now been 127 days that the Senate has held legislation to raise the minimum wage hostage.   In November we vote them out.,2019-11-22 18:22:00,TweetDeck,5,6
This is state-sanctioned child abuse. https://t.co/4xDBCwBJw9,2019-11-21 21:26:00,TweetDeck,3,2
We passed the Equality Act to prohibit discrimination on the basis of sex gender identity and sexual orientation 187 days ago.   The American people deserve a Senate that will do its job.   Next November let's make sure that happens.,2019-11-20 21:03:00,TweetDeck,5,7
This is a repudiation of Donald Trump. https://t.co/f76icIdZtK,2019-11-20 03:20:19,Twitter Web App,1,3
A Democrat just got re-elected in a state that Trump won by 20 points 3 years ago.  We CAN do this. We WILL do this. https://t.co/ySMxFjt9WC,2019-11-19 21:36:00,TweetDeck,3,7
This is Week 2 of true patriots coming forward to tell us what they saw what they heard and what they know.  The President will be held accountable.,2019-11-19 13:44:00,TweetDeck,2,2
Kids shouldn't fear for their lives when they leave for school.  Friends shouldn't fear for their lives when they go watch a football game.  My thoughts are with the Santa Clarita and Fresno communities during this terrible time.  What must happen for the Senate to act? https://t.co/OkYcb4npde,2019-11-18 16:00:22,Twitter Web App,4,5
Mention of stopping corruption: 0  Mention of Miss Universe Pageant: 1  Incredible. https://t.co/Jotl7G7jZc,2019-11-16 03:22:00,TweetDeck,1,8
Witness intimidation. Abuse of power.  Donald Trump is not above the law.   We will hold him accountable.,2019-11-15 21:37:00,Twitter Web App,190,2283
THANK YOU. https://t.co/x3O71Qb7bj,2019-10-28 17:46:52,Twitter Web App,0,2
Whistleblowers are patriots.,2019-10-27 21:08:00,TweetDeck,1,7
No one is above the law.,2019-10-26 16:20:00,TweetDeck,1,4
We passed legislation to expand background checks in February.   That was more than half a year ago.   What will it take to have this government act to save lives?,2019-10-25 21:27:00,TweetDeck,1,4
What have you done this year to ensure that Donald Trump is not elected in 2020?   It's never too early to start. We have to get him out.,2019-10-25 15:06:00,TweetDeck,5,17
The Violence Against Women Act still has yet to be reauthorized by the Republican Senate and the Republican White House.   Sense a trend?  https://t.co/prLkTzy8kJ,2019-10-24 21:25:00,TweetDeck,1,3
Congressional oversight is not a hate crime.,2019-10-24 14:04:00,TweetDeck,0,2
He really thinks that these racial bombs will distract us.   They won't.  https://t.co/kqeIFJiv7E,2019-10-24 01:03:00,TweetDeck,1,2
Yesterday there was absolutely explosive testimony released about Trump's conduct.  Today like clockwork a whole bunch of Republicans who are not on committees of jurisdiction showed up to shut the investigation down.  Are they that afraid of the truth? https://t.co/nnv9ic4RKp,2019-10-23 18:51:27,Twitter Web App,3,5
Mitch McConnell is the one standing in the way of raising the minimum wage to $15 per hour throughout the country.   We can vote him out in November 2020.,2019-10-21 00:06:00,TweetDeck,637,3641
I cannot WAIT until Donald Trump is not President of the United States.,2019-10-19 18:41:00,TweetDeck,3,24
And why would they do that? https://t.co/oZNS6NIA2z,2019-10-18 15:38:00,TweetDeck,1,3
I'm old enough to remember when President Donald Trump asked a foreign power for help in an upcoming election on national television.,2019-10-17 18:36:00,TweetDeck,2,12
For those wondering if a woman can defeat Donald Trump... https://t.co/lEQj3CLhMl,2019-10-17 04:57:54,Twitter for iPhone,3,30
How can we expect to be trusted if this is how we talk about our allies? https://t.co/ZyafqGqLGo,2019-10-16 20:13:46,Twitter Web App,1,5
It's time to fully address policies formed during the War on Drugs. We must do better. https://t.co/GrnBzYtYHh,2019-10-15 15:50:00,TweetDeck,5,11
It's time.  https://t.co/wJQkxopIco,2019-10-14 15:48:00,TweetDeck,181,1667
One of the deadliest items on the NRA’s agenda:  Keeping Donald Trump in office. https://t.co/Xj8C7YNhFk,2019-10-13 19:46:00,TweetDeck,2,7
Just a reminder that the President of the United States asked a foreign power for help in an upcoming election on national television.  https://t.co/zc6zjPEyPa,2019-10-12 15:33:00,TweetDeck,2,8
If you actually care invest in solving this epidemic. https://t.co/eZyv6sVbHn,2019-10-12 01:59:00,TweetDeck,0,2
Your access to education in the future shouldn't be predicated on your past.   The FAFSA should NOT ask about drug convictions.  https://t.co/hzPecey5kx,2019-10-11 22:11:52,Twitter Web App,3,8
L'Shanah Tovah to all of those celebrating!   Wishing you and your families a successful and joyous new year!,2019-09-30 20:14:06,Twitter Web App,1,5
We are watching the unravelling of this presidency before our very eyes.  https://t.co/t60JDwYvkI,2019-09-29 17:17:00,TweetDeck,0,4
This whistleblower is a patriot.    They stepped forward to protect this country.   Thank you.,2019-09-28 21:23:00,TweetDeck,2,15
What else is on that server?   That's the smoking gun.  https://t.co/x2pSweNBj1,2019-09-28 16:54:42,Twitter Web App,0,8
When we organize we WIN. When we vote we WIN. When we are counted we WIN.  It is TIME. https://t.co/nLx9B4s82j,2019-09-26 22:00:03,Twitter Web App,0,4
We are unified. We are together.   It’s time for an impeachment inquiry against Donald Trump.,2019-09-25 13:31:27,Twitter for iPhone,0,7
This was a death threat made on television paid for by people working to elect Republicans.   Those who did this should be held responsible and denounced by both parties. https://t.co/eXa8FdV7Al,2019-09-17 22:01:52,Twitter Web App,2,7
Final panel of the day explores contemporary arts across Africa. Thank you @KibonenNY Helena Metaferia and Cheick Hamala Diabaté for joining us to #celebrateAfrica. #AfricaBraintrust19 https://t.co/gjGDXufXnU,2019-09-13 18:00:59,Twitter for iPhone,0,1
"Too often Africa is covered focusing on famine war displacement and nothing else." - @IamIshaSesay #CelebrateAfrica #AfricaBraintrust2019 https://t.co/FuY2R4dEEU,2019-09-13 14:39:54,Twitter Web App,1,4
"We must speak the whole truth about what we have in common." - Dr. Johnnetta Cole #CelebrateAfrica #AfricaBraintrust19 https://t.co/oqeDpNuMIo,2019-09-13 14:13:13,Twitter Web App,0,1
HAPPENING NOW: The 2019 Africa Braintrust at #CBCALC. Join us as we #CelebrateAfrica. More info here: https://t.co/3PHSyUpFWc,2019-09-13 14:04:32,Twitter Web App,1,1
