The Cisneros family out in full force for the #WomensMarch2020! https://t.co/uqHu3gCJDC,2020-01-19 00:57:45,Twitter for iPhone,11,72
I’m proud and inspired to march alongside women families activists and allies for the #WomensMarch2020. We won’t stop fighting for women’s rights and equality in #CA39 and across the country. https://t.co/ezhaVoBeaf,2020-01-19 00:01:56,Twitter for iPhone,5,41
This is what’s wrong with Big Pharma. They say they want to lower prices but they’re not even doing it for their own drugs.  I’m fighting to rein in Big Pharma’s price-gouging tactics &amp; make sure that #CA39 families can afford their life-saving medication https://t.co/gBMe3W32DQ,2020-01-17 01:18:22,Twitter for iPhone,12,22
An important step in ensuring every person has access to mental health treatment. We need more of these types of partnerships. https://t.co/UNsykBAnev,2020-01-15 02:16:53,Twitter for iPhone,2,9
#CA39 has one of the largest Korean American communities in the United States. I'm proud to join everyone in our district &amp; across the country in celebrating #KoreanAmericanDay and honor the invaluable contributions Korean Americans have made to our culture economy &amp; society.,2020-01-13 15:28:42,Twitter for iPhone,13,44
This is why we fight for the #ACA:  🔘20 million+ Americans have health insurance 🔘37 states have expanded Medicaid. As a result 19000+ lives have been saved 🔘Pre-exsiting condition protections. 1 in 4 Americans have a pre-existing condition https://t.co/UCKRNWMfyX,2020-01-10 23:54:06,Twitter for iPhone,84,114
Shameful that the Administration continues to undermine the ACA jeopardizing healthcare for countless Americans—in #CA39 &amp; across the US—with pre-existing conditions. Make no mistake: I will not stop fighting to ensure every American has access to quality affordable healthcare.,2020-01-10 02:04:23,Twitter for iPhone,47,107
.@GabbyGiffords serves as an inspiration to us all—turning a tragedy into action and change. While we remember the lives lost and those who survived at Tucson we recommit ourselves to ending gun violence and calling for common-sense gun safety laws. It’s time to #DoSomething. https://t.co/p2V8YjepXa,2020-01-09 00:06:16,Twitter for iPhone,17,46
Sending my prayers to our servicemembers and US civilians in harm’s way in Iraq. https://t.co/SBk66TvBIw,2020-01-08 00:19:22,Twitter for iPhone,9,49
This our future if we don't act on #climatechange now: "the demise of the world’s coral reefs the inundation of most low-lying island nations incessant heat waves and fires and misery for millions—perhaps billions—of people."  We can't let that happen. https://t.co/CvuJz3GrcE,2020-01-06 23:25:47,Twitter for iPhone,27,63
#CA39 sent me to Washington to get work done. That's what I did in 2019 and will continue to do in 2020.  The House passed nearly 400 bills last year 275 of which are bipartisan. It's time for the Senate to get to work and vote on these bills. https://t.co/wTfhajTdFt,2020-01-05 23:29:20,Twitter for iPhone,113,171
American families shouldn’t have to decide whether to put food on the table or pay for their life-saving medication. We need to rein in Big Pharma’s price gouging tactics and put patients and families first. https://t.co/roiF1XYaBT,2020-01-03 23:29:55,Twitter for iPhone,11,29
This is disgraceful. Overturning Roe v. Wade would be dangerous for women in California and across the country. This continued assault on reproductive healthcare needs to stop. https://t.co/V4T7ZJrQ21,2020-01-02 23:51:59,Twitter for iPhone,16,68
As a Navy Veteran it’s outrageous that predatory for-profit colleges cheated our veterans.   It’s why fighting for those who have served our country servicemembers and their families remains my top priority. They deserve better. https://t.co/Q2Nw0HQ6QH,2020-01-02 22:54:37,Twitter for iPhone,7,25
Happy New Year! Wishing you and your loved ones a happy healthy and prosperous 2020. https://t.co/ql2oSWMhtZ,2020-01-01 18:21:33,Twitter for iPhone,3,33
Our fundraising deadline is tonight at midnight! I refuse to accept a dime of corporate PAC money—this campaign is powered by thousands of grassroots donors pitching in to keep #CA39 blue.  It’s all hands on deck! Chip in before midnight. https://t.co/z1VfUJFAEe,2019-12-31 21:15:36,Twitter for iPhone,6,11
From our family to yours wishing everyone a #HappyChristmas and #HappyHolidays! https://t.co/Lgenmat9Vo,2019-12-25 20:27:13,Twitter for Android,6,143
Wishing all those who are celebrating a #HappyHanukkah!,2019-12-23 01:55:40,Twitter for Android,4,31
Disappointed but not surprised the President would attack me like this in #CA39 - but I won’t back down. https://t.co/vVzkvJdoF9,2019-12-17 22:10:44,Twitter for iPhone,26,112
Happy Thanksgiving to everyone in #CA39! I'm thankful for the opportunity to be your voice in Congress and give you all the representation you deserve. Hoping you all enjoy this time with your family and friends.,2019-11-28 21:30:49,Twitter for Android,10,59
Abandoning our allies who have joined us in the fight against ISIS is not the way to promote stability in the Middle East. Because of the President's actions hundreds of thousands have been displaced and are still in search of shelter and water. https://t.co/uEyO8RcZpK,2019-11-27 21:14:00,TweetDeck,7,16
It's not just those we lose. More than 26000 people have been wounded or injured in acts of gun violence this year about 95 people a day. It's time @senatemajldr stops being afraid of the gun lobby and acts on our House-passed gun safety legislation. https://t.co/oXLBATX9YY,2019-11-26 16:20:00,TweetDeck,6,24
Everyone deserves to be counted. The #2020Census is about ensuring our communities receive the federal funding and services they deserve. Spread the word and make sure everyone you know participates. https://t.co/X7X8yrMCyr,2019-11-25 17:50:00,TweetDeck,3,15
Our country has always been a beacon of hope for those fleeing violence and persecution. It's simply unAmerican that the Trump Admin is turning its back on women and children seeking refuge from abuse. https://t.co/0Mrtr7MeyP,2019-11-25 15:46:00,TweetDeck,9,31
We need to take a holistic approach to combat homelessness in SoCal. It's why I've intro'd legislation to fund supportive services for our homeless vets and programs like transitional housing &amp; employment assistance. Together we must end this epidemic. #HHweek #EndHomelessnessOC,2019-11-25 00:45:00,TweetDeck,1,25
I was elected to be a voice for #CA39 &amp; it’s why this week I was focused on pushing VA Secretary Wilkie to step up efforts to combat the veteran suicide crisis. We need to make sure all our veterans receive the mental healthcare benefits they need. https://t.co/xCHfhR9JYG,2019-11-24 20:24:49,TweetDeck,17,49
I had a great time at the Buckboard Days Parade this morning! It was good to see so many students and families from @RowlandSchools! https://t.co/BPP07bxF30,2019-10-19 20:36:32,Twitter for Android,2,18
Jacki the boys &amp; I had a great time this morning at @PlacentiaCA's 55th Annual Heritage Festival and Parade! Also great to see Supervisor Doug Chaffee &amp; Mayor Rhonda Shader! https://t.co/QsLmxYD40G,2019-10-12 21:33:31,Twitter for Android,9,42
When asked about the Ukraine call Mike Pompeo said he knew nothing about it. Now we know that he was on the call.   The Secretary of State should not be lying to the American people and I am confident that the Congress will get to the bottom of this.  https://t.co/mLYSkDoD2z,2019-10-01 20:43:49,Twitter Web App,36,91
Wishing my fellow veteran Dan Feehan good luck. We need more Veterans like Dan in Congress. https://t.co/87xrXXQV1t,2019-10-01 19:07:35,Twitter for iPhone,7,17
ICYMI: I was on MSNBC yesterday standing up to Trump and defending our constitution. You can check the clip out here and I hope that you will stand with me and make a contribution before our next fundraising deadline this evening at midnight! https://t.co/JvQqGf5nV8,2019-09-30 22:10:53,Twitter Web App,11,41
