There are lot of problems that need fixing in Washington but that doesn't mean we can ignore the needs of our small business owners. They are vital to the Long Beach economy and we need to make sure their concerns are heard and addressed.  https://t.co/fzUHhLcQTV,2019-03-24 21:33:00,Sprout Social,1,1
While the incredible climate marches &amp; movement towards a #GreenNewDeal  give me hope for the future the reports put out by the @NOAA are pointing towards disaster. We need to listen to those calling for action and finally tackle #cliamtechange head on. https://t.co/K4a1HV0Iam,2019-03-24 17:51:01,Sprout Social,0,1
"This movement had to happen we didn’t have a choice" - Greta Thunberg After years of watching adults refuse to take action it was inspiring to see students leading the charge. The #YouthClimateStrike was a wake up call and it's time to take action. https://t.co/6OAB2CMcLP,2019-03-23 20:28:02,Sprout Social,0,2
Thank you to the @APA for your recognition. It means the world to have your support as we work to expand mental health initiatives. It is an honor to accept this award and I will continue to be a strong advocate for mental health in congress. https://t.co/oZedB0wKLV,2019-03-22 22:14:05,Sprout Social,1,10
And yet the same people asking how we plan to fund a #GreenNewDeal are suddenly silent 🤔 https://t.co/xN5z0yhfLD,2019-03-15 00:18:00,Sprout Social,0,1
Cosponsoring legislation to protect the Bears Ears National Monument was an easy decision. I agree with @savebearsears this land is important for cultural environmental &amp; spiritual reasons and removing it's protected status would be devastating.  https://t.co/568Oy4NI3W,2019-03-14 19:20:01,Sprout Social,0,1
No one should be denied healthcare because of their identity. Thankful that the @tldef and @lambdalegal are fighting to get these people the coverage they need and deserve. https://t.co/vxKbhMD5Sn,2019-03-14 17:55:03,Sprout Social,0,0
DACA TPS and DED recipients have been living in uncertainty as their status remains in the balance. We need to pass the #DreamandPromiseAct to ensure they can remain in the communities where they have built lives started families and founded businesses.  https://t.co/UtmBS0U6Hn,2019-03-13 21:56:10,Twitter Web Client,0,0
Thanks to @sierraclub for giving us some reasons to celebrate. A great run down of the recent successes in the push for green energy ⬇️ https://t.co/SEVsAWqJWI,2019-03-10 22:50:00,Sprout Social,0,0
I’m so happy to see the progress being made on Catalina Island. This airport will provide a significant training opportunity for our nation’s military while respecting the needs of our community. Thanks to all who worked so hard to make this happen! https://t.co/2yuqJ8dwH2,2019-03-10 17:03:00,Sprout Social,0,2
I am saddened to hear about the passing of #StephanieMott. My heart goes out to not only the Kansas LGBTQ+ community but also the LGBTQ+ community at large. Stephanie's activism had far reaching effects and she will be sorely missed. https://t.co/FSSlB46Gq7,2019-03-10 01:43:00,Sprout Social,0,1
The people affected by these deportations have been in our community for decades. They have made a home here under the belief that they were safe. It is abhorrent that now this administration is turning its back on them and that decision MUST be reversed. https://t.co/dnNuvB6I1A,2019-03-09 22:08:00,Sprout Social,1,3
The Department of the Interior has decided that the rules don't apply to oil companies. We need to keep off-shore drilling in check as well as investigate why these companies have been given special (illegal) access. https://t.co/mCNxbM4toG,2019-03-09 19:30:08,Sprout Social,0,0
Today the House took historic steps towards ethics reform getting money out of politics and breaking down barriers at the ballot box. Proud to vote YES on #HR1 #ForthePeople,2019-03-09 02:08:01,Sprout Social,0,1
This #InternationalWomensDay I am not only proud to be surrounded by so many incredible women in Congress but proud to support them as they fight for #womensrights in Washington. https://t.co/wbtcuJTeyG,2019-03-08 22:58:07,Sprout Social,1,1
Thank you @mayorofLA. I'm proud of the steps we took to bring an end to this #FakeShutdown and I hope the senate will do the same. https://t.co/I8d771kOM1,2019-03-04 02:34:12,Twitter Web Client,0,0
Instead of treating everyone with love and greeting them with open arms the Methodist Church is continuing it's LGBTQ+ ban. It is sad to see a group that represents so many Americans continue to enforce this policy. https://t.co/5tIxxVVxnU,2019-03-03 19:07:00,Sprout Social,0,0
This week was a historic moment for our #PublicLands. Not only did we establish more @NatlParkService units we permanently reauthorized the #LWCF and protected millions of acres of American wilderness all while saving the taxpayers $9 million. https://t.co/ahiosbIrxj,2019-03-03 16:40:57,Twitter Web Client,2,5
We must have laws that PROTECT our right to vote. I echo @repjohnlewis and agree that it's time to restore the #VotingRightsAct so that states cannot silence the voices of their citizens. https://t.co/hymu7zZWyB,2019-03-02 21:17:00,Sprout Social,1,2
For the first time in decades the House has taken serious steps to address gun safety in this country. Proud of my colleagues for putting the lives of our constituents before the interests of the firearms industry.  https://t.co/CsAPGL61jV,2019-03-02 19:07:03,Sprout Social,0,1
Thanks to @kellypuenteLB for spending time with us &amp; I'm happy she was there to see our first hearing of the subcommittee on energy and mineral resources this session! Proud as always to be your representative @longbeachcity https://t.co/SMOXCISte9,2019-02-27 16:33:01,Sprout Social,1,4
Banning conversion therapy is not a partisan issue and I'm proud to see more and more states fighting to eliminate this hateful practice regardless of what party controls the legislature! https://t.co/tQB5nUyAVW,2019-02-27 00:35:00,Sprout Social,0,1
The biggest threat to our elections isn't noncitizen voters it's corrupt politicians picking their own voters through gerrymandered districts. It's time to implement fair redistricting rules once and for all. https://t.co/yqIOgWGNPx,2019-02-26 20:09:01,Sprout Social,0,0
When you're getting the same answer from everyone around you the response should be to LISTEN not hire someone who will tell you what you want to hear. A climate change denier has no business on this panel.  https://t.co/huP4dHfTVx,2019-02-26 16:46:06,Sprout Social,0,0
The GOP keep warning that democrats want to make other states "just like California." Well when our state is doing so well why is that a bad thing? https://t.co/yHis8nnym1,2019-02-26 00:53:00,Sprout Social,0,0
This is a huge win! Couples who wish to start families should not be put in a position of worrying about their children's citizenship status simply because they are not genetically related. Congrats to Andrew and Elad! https://t.co/g1uNSDXgY7,2019-02-25 20:11:03,Sprout Social,0,1
Yet another reason why we need people in charge of the EPA who care about the environment not people who put profits over protecting our planet. https://t.co/TyZIxXQnxy,2019-02-25 19:39:30,Twitter Web Client,1,2
I am proud to support a #GreenNewDeal and I'm glad younger generations are charging forward on climate change. It's time for bold action and this is a great step in that direction. https://t.co/rNtCy76GN4,2019-02-15 18:04:01,Sprout Social,0,1
This administration's refusal to let DACA recipients travel outside the US even to visit sick relatives is cruel &amp; unprecedented. I appreciate my colleagues who have joined me in calling for a reversal of this position &amp; a restoration of travel rights. https://t.co/IN32Z4Bm89,2019-02-15 15:12:08,Sprout Social,0,1
If we let the oil and gas industry destroy the #ANWF that's a decision that can't be reversed. We need to do everything we can to protect one of our nation’s truly last wild places. https://t.co/BigeGbpdf0,2019-02-15 03:23:00,Sprout Social,1,0
For too long LGBTQ families have been denied paid leave. The #FAMILYAct ensures that they will be able to care for loved ones without taking on serious financial risk. It's time for us to vote yes and give working families the support they need.,2019-02-15 01:21:01,Sprout Social,0,0
Thank you to @npca for their advocacy. Millions of acres of land are now protected thanks to your efforts. As we continue to combat climate change we must also keep pushing back against mining and drilling interests on our public lands. https://t.co/VDxfSfopYu,2019-02-15 00:46:41,Sprout Social,0,0
The leader of the free world should never be “taking a wrecking ball to science.” This approach has been disastrous for everything from environmental protection to LGBTQ rights and the effects are going to last far beyond this administration. https://t.co/B5TpUrpWa8,2019-02-14 01:44:01,Sprout Social,0,1
We’ve been pushing for quite awhile it’s just that now the wheels are finally turning. https://t.co/2IGIXBGr0S,2019-02-13 20:38:00,Sprout Social,0,2
At our hearing I made it clear that the lack of urgency with which we’ve approached climate change is unsustainable and frankly irresponsible. Proud of the House for finally treating climate change like the crisis it is. https://t.co/rLOWEtDAD3,2019-02-13 17:17:01,Sprout Social,0,0
