Missed my town hall yesterday? Head over to my Facebook page to see how I’ve been serving Orange County families and businesses. ⬇️⬇️  https://t.co/rZjIsSwlLz,2020-01-19 21:50:57,Twitter for iPhone,8,35
I’ll be on @MSNBC with @AlexWitt in 5 minutes - tune in! https://t.co/XexvvSXeF0,2020-01-18 17:10:44,Twitter for iPhone,2,26
Today my office helped local organizations bring tax dollars back to coastal Orange County.   Click on the link below to learn more about the appropriations process.   https://t.co/QbPusBoHbh https://t.co/XM8vRsCLRC,2020-01-17 21:33:39,Twitter Web App,3,26
Environmental stewardship and economic growth are not mutually exclusive goals.   BlackRock's landmark pivot to sustainability signifies that coal and other fossil fuels are toxic for our environment AND the stock market. https://t.co/41PiRERIYN,2020-01-17 15:58:16,Twitter Web App,7,49
Freedom of the press is declining around the world.   America must be a leader in protecting and promoting transparency - not actively participate in its global demise.   We are better than this. https://t.co/GFCDuvTVbE,2020-01-16 19:15:44,Twitter Web App,31,89
In Orange County and across the nation we must protect and preserve the history and countless contributions of Vietnamese Americans. Today I introduced H. Res 799 with my Republican colleague @RepTedBudd to do just that. https://t.co/TQFi60o7tb,2020-01-15 21:25:31,Twitter Web App,6,34
Poll: Should Congress protect Americans with pre-existing conditions (like cancer asthma and diabetes) and fight the Trump Administration's ACA lawsuit?,2020-01-14 18:46:50,Twitter Web App,16,28
Happy #KoreanAmericanDay! Today marks the arrival of the first Korean immigrants to the US.   Korean Americans are an integral part of our nation - chasing/achieving the American dream.   We’re all better for the rich culture &amp; community brought to our shores 117 years ago.,2020-01-14 01:32:24,Twitter for iPhone,7,36
Join me for my first town hall of 2020!   RSVP here: https://t.co/o5em4I0JMu https://t.co/YmELzlvRuV,2020-01-13 17:55:18,Twitter Web App,11,22
I just voted YES on the bipartisan #PFASActionAct.   ALL Americans should have access to clean drinking water and I hope the Senate moves immediately to protect families across the United States from these dangerous forever chemicals. https://t.co/EU4S2swhB4,2020-01-10 16:42:22,Twitter for iPhone,32,160
The stakes are too high for this administration to skip constitutionally mandated steps and offer anything less than a pragmatic comprehensive and diplomatic strategy.   After years of ill-advised war we owe our service members + their families no less. https://t.co/a7xVYfvmfR,2020-01-09 23:07:35,Twitter Web App,14,58
Another busy morning in DC! Today's schedule:   🗳️ @OversightDems hearing on reaching hard-to-count communities in the 2020 census ☣️ Interview on #PFAS contamination + my work to protect public health/our environment 💧 @TransportDems hearing on our nation's water infrastructure,2020-01-09 15:25:39,Twitter Web App,8,52
Today marks a year since we introduced #HR8 bipartisan legislation to help #EndGunViolence and keep our communities safe.   RT to tell @senatemajldr it’s time to have a vote.,2020-01-08 19:55:05,Twitter Web App,74,139
Millions of Americans have been unwittingly exposed to toxic #PFAS chemicals for decades. I'm proud to co-lead bipartisan legislation that addresses the role of polluters and the need for standards that protect public health.   We cannot wait to act - lives are at risk. https://t.co/pyfHq6oek2,2020-01-08 14:54:39,Twitter Web App,10,36
For too long CA-48 was without a common-sense bipartisan and productive voice in Congress. Over the past year I have:  ✅Recovered $1.6 million for constituents  ✅Helped bring home $40 million in grant funding ✅Had 3 bills signed into law  https://t.co/SiL9t48mAS,2020-01-07 15:50:58,Twitter Web App,42,188
With a price tag in the trillions Congress has an obligation to the American people to get the most out of every single taxpayer dollar it spends. When it comes to current infrastructure spending what's occurring is actually the opposite.   Read more ⬇️⬇️https://t.co/oAdqfsyIUW,2020-01-05 17:21:19,Twitter for iPhone,7,38
.@HouseDemocrats have passed 400+ bills. 275 are bipartisan.   We've passed bills to lower prescription drug costs prevent gun violence and fight climate change.   What did @HouseGOP do other than abandon their sworn oath to protect &amp; defend the Constitution? https://t.co/fn0XcOZYaO,2020-01-02 22:08:09,Twitter Web App,39,113
From my family to yours - Happy New Year! May 2020 bring you health and happiness. https://t.co/l5DBKju5TL,2019-12-31 23:35:35,Twitter for iPhone,3,72
My heart is with the families forever changed in Monsey and the entire Jewish community.   This was not an act of "senseless violence" it was an act of deliberate anti-Semitism. We must combat the well-documented rise of hate across the United States.   https://t.co/WaZPwygus9,2019-12-29 17:20:25,Twitter Web App,11,62
It’s another beautiful day in sunny Southern California - but surfers/swimmers should stay on the beach until the 30th. https://t.co/qlMN8R3PaX,2019-12-27 23:34:12,Twitter for iPhone,4,34
