PFAS chemicals have been linked to cancer and impaired child development. For years the EPA has failed to regulate "forever chemicals" like PFAS and Congress’ historic action on this bill is a critical action to address this public health challenge. https://t.co/c2uhuL8a0G,2020-01-10 17:33:36,Twitter Web App,4,7
Today I proudly voted to pass H.R. 535 the PFAS Action Now Act. This is a monumental step forward to protect the public from dangerous health-harming PFAS chemicals found in our air and water. https://t.co/Aa82MLDCRb,2020-01-10 17:33:35,Twitter Web App,4,10
Exciting news for Sacramento with the new @RideSacRT Route 142 bus service to the airport! Reliable convenient and affordable transportation to our airport is vital to drive growth and economic development throughout our region. https://t.co/r23uxjdnel,2020-01-06 20:14:00,TweetDeck,4,13
In David Stern the city of Sacramento had an ally and friend. I commend all he did to grow the @NBA and help keep the @SacramentoKings here in our community. I am grateful for his leadership and he will be truly missed. https://t.co/GyrTKSGCE0,2020-01-02 18:08:00,Twitter for iPhone,5,22
John Lewis is a tireless fighter for justice and equality. He always speaks truth to power and never backs down from a fight. I know this will be no different. We’re all wishing him a speedy recovery. https://t.co/zGjpqe8nTG,2019-12-30 20:00:58,Twitter for iPhone,4,20
Wishing everyone a #MerryChristmas! https://t.co/RnYEOm5vIz,2019-12-25 19:49:15,Twitter for iPhone,2,16
Happy Hanukkah! Wishing everyone who is celebrating eight days and nights of peace and joy. https://t.co/ezQWbSw2v6,2019-12-23 02:15:19,Twitter for iPhone,6,22
Please read my statement on why I voted in favor of articles of impeachment below. https://t.co/S3RQSKKBV3,2019-12-19 02:06:37,Twitter Web App,40,279
The facts are clear. Trump violated his oath by withholding taxpayer funds in exchange for dirt on a political rival. He continues to invite foreign powers to violate our sovereignty. These are impeachable acts and a clear danger to our nation. We must act to #DefendOurDemocracy. https://t.co/jR6WIJ4eAx,2019-12-18 22:12:20,Twitter Media Studio,159,655
It’s not too late to get you and your family health coverage for the coming year. Plans may be cheaper than you think and good news – the @CoveredCA deadline has been extended until December 20. So don't delay! Click below to enroll now! 👇👇👇 https://t.co/lHFhEaq7RA,2019-12-17 17:37:08,Twitter Web App,6,10
For nearly a decade prices for brand name prescription drugs widely used by older adults increased faster than inflation. The soaring costs of prescription drugs are price gouging our seniors. The #LowerDrugCosts Act will stop unjustified price hikes. Let’s make this a reality! https://t.co/gO3aiQaFiP,2019-12-12 16:32:10,Twitter Web App,30,73
This landmark bill saves taxpayer dollars gives beneficiaries dental vision and hearing coverage and lowers prices at the pharmacy counter for all Americans. #HR3,2019-12-12 16:24:32,Twitter for iPhone,1,6
Today @HouseDemocrats are taking bold transformative action to #LowerDrugCosts #ForThePeople. The Lower Drugs Costs Now Act leverages the power of the people to negotiate lower drug costs for Medicare recipients and offer those lower prices to families with private insurance. https://t.co/GcvGlqUFK9,2019-12-12 16:24:31,Twitter for iPhone,8,14
Prescription drug companies are charging Americans prices that are three four or even ten times higher than what they charge for the same drugs in other countries. This week @HouseDemocratrs are acting #ForThePeople to #LowerDrugCosts. https://t.co/6Eput7FbBv,2019-12-11 17:06:12,Twitter Web App,2,8
Don't forget to compare @CoveredCA health insurance options for 2020 and make sure you have the best plan for you and your family. The deadline for January 1 coverage is fast approaching! https://t.co/qAbPvr1b33,2019-12-10 22:15:24,Twitter Web App,3,4
•Without #NetNeutrality your Internet Service Provider can   🚫Block 🚫Throttle 🚫Charge Extra  for internet access. Our fight to #SaveTheNet isn’t over and I’m proud to join @SenateDems in calling for a vote on the Senate Floor. https://t.co/8bwAEKXjvC,2019-12-10 16:35:00,TweetDeck,6,15
Today we honored @SacFirePIO firefighter Tamara Thacher for her sacrifice and dedication to the people of Sacramento. Tamara and her family are in our hearts and prayers. #RememberingTami https://t.co/xZnnrO1FqH,2019-12-09 21:30:00,TweetDeck,2,13
The heroic legacy of the civil rights movement is under attack as states pass strict voter ID laws gerrymander &amp; purge voter rolls. I’m proud to vote for #HR4 critical legislation that will help stop the most egregious voter suppression tactics. #RestoreTheVote https://t.co/QMtn5e5GKT,2019-12-06 18:00:55,Twitter Web App,9,21
In CA we know firsthand that wildfires are increasing in frequency and intensity. When disaster strikes we all need wireless cell service. That's why I pressed the @FCC to advance a wireless resiliency plan that includes specific guidance for wildfires affecting Californians. https://t.co/o1o6IgHjoh,2019-12-05 18:42:46,Twitter Web App,4,11
My thoughts and prayers are with the entire Fat Family during this difficult time. Lina will truly be missed.  https://t.co/eQBvj9ZrZ4,2019-11-26 06:14:56,Twitter for iPhone,0,13
While Lina was known as a business titan and culinary innovator I will always remember her kindness friendship and dedication to continually working towards a better Sacramento.,2019-11-26 06:14:56,Twitter for iPhone,0,7
Sacramento has truly lost a remarkable woman with the passing of my dear friend Lina Fat. Lina was a master of building bridges within our community and her restaurants and legacy represent exactly that convergence of culture ideas and people that make our region great.,2019-11-26 06:14:55,Twitter for iPhone,4,35
On this International Day for the Elimination of Violence against Women I am proud to join @JanSchakowsky @HouseDemWomen and over 100 colleagues in reintroducing the International Violence Against Women Act. It’s time to #EndViolence against women. #IVAWA #GenerationEquality https://t.co/V5VuousDGa,2019-11-25 19:09:06,Twitter Web App,8,16
What a beautiful November Friday in Sacramento. While things in Washington can get hectic there is nothing I love more than spending time experiencing everything our region has to offer. https://t.co/PFn8OCY6X2,2019-11-23 05:44:11,Twitter for iPhone,8,69
It’s outrageous that today 11 months and 20 days into the year is the day Latinas’ average pay catches up to what white non-Hispanic men made LAST YEAR. We need #EqualPayForEqualWork! #LatinaEqualPayDay https://t.co/QeoOXzxo7e,2019-11-20 19:07:00,TweetDeck,14,23
To me equality means freedom from hate violence and bigotry. On Transgender Day of Remembrance I’m thinking of all the transgender American lives we’ve lost –– together let’s commit to loving our neighbors regardless of their gender identity. Let’s be better. https://t.co/mAQUzFbLYD,2019-11-20 18:15:48,TweetDeck,6,21
What a week! I applaud @AjitPaiFCC for announcing a plan to make the 5.9GHz band available (on top of a public auction for the C-Band!). I have long called for action on the 5.9GHz and mid-band spectrums. Now we are even closer to unleashing innovation and the #5G economy.,2019-11-20 17:41:18,TweetDeck,13,36
Insulin has been used to treat diabetes for nearly a century. Yet prices for this lifesaving medication continue to climb higher. First step to getting costs under control? Pass H.R. 3 the #LowerDrugCosts Now Act. #WorldDiabetesDay https://t.co/X7AdWot2kr,2019-11-14 19:10:00,TweetDeck,125,429
It's always great to see Sacramento faces in Washington! Yesterday @AsmKevinMcCarty stopped by my office to discuss how we can work together to move our region forward. I look forward to our continued partnership! https://t.co/4obtDlMzXR,2019-11-14 15:44:57,Twitter for iPhone,3,22
This morning it was an honor to congratulate @SmithsonianSec Lonnie Bunch with @SpeakerPelosi on becoming the Institution's 14th Secretary. As a @Smithsonian Regent I look forward to continue working with Sec. Bunch to connect all Americans to history art and science. https://t.co/LRM7sJgbFp,2019-11-13 16:53:20,Twitter for iPhone,4,39
We need the ERA so that our nation can achieve its economic and social potential. We need the ERA so we can lead the world not fall behind. That's why today @HouseJudiciary is marking up legislation to help ratify the ERA. We're one step closer to achieving equality for all! https://t.co/iL9GyRYsGJ,2019-11-13 15:19:00,TweetDeck,2,18
It was a pleasure to welcome @SpeakerPelosi to #Sac for a conversation with @JenSiebelNewsom celebrating the centennial of the 19th Amendment’s ratification in CA. It is inspiring to be around so many women who are standing up speaking out and being the change they want to see. https://t.co/4xDq3KwYHy,2019-11-13 00:30:00,TweetDeck,4,22
