Happy Thanksgiving! https://t.co/Kno9WGhMep,2019-11-28 16:54:14,Twitter for iPhone,2,5
Great chatting with Nancy Wyman on the @CTDems podcast Donkey Talk about the Larson special at Augie &amp; Ray’s and more! Stay tuned! https://t.co/NpGj5Diu96,2019-11-08 01:19:30,Twitter for iPhone,3,6
REMINDER! Tomorrow is Election Day! Don't forget to vote!,2019-11-05 02:22:02,Twitter Web App,2,2
Great visiting canvassers in South Windsor Glastonbury and West Hartford today! Remember all politics is local and that’s why GOTV weekend is so important. Make calls knock on doors talk to your neighbors and remind them to vote on Tuesday! https://t.co/6wPokewchs,2019-11-02 20:37:44,Twitter for iPhone,2,1
The time is now to expand #SocialSecurity. That's why I introduced the #SocialSecurity 2100 Act. Watch my interview here: https://t.co/aV27z2wRry,2019-10-22 16:57:27,Twitter for iPhone,15,16
I'm fighting to expand benefits with the Social Security 2100 Act. https://t.co/JVNXRQoaNV,2019-10-20 15:38:12,Twitter Web App,8,11
After the continued obstruction from the Trump Administration the only recourse left is beginning impeachment proceedings. https://t.co/3UjOot4R5z,2019-09-24 21:17:01,Twitter for iPhone,3,6
Great time at the Hartford Pride Festival today! #LoveIsLove https://t.co/ZyR8DbEadD,2019-09-14 23:28:18,Twitter for iPhone,1,5
Happy 4th of July! https://t.co/NlzCLk80c4,2019-07-04 13:59:33,Twitter for iPhone,11,52
One of the best parts of my job is honoring veterans. https://t.co/7eSIcOyfW3,2019-06-30 15:17:06,Twitter for iPhone,1,1
#NoWarWithIran - we can't enter into another senseless war with no strategy. https://t.co/LtVpva8U8v,2019-06-28 14:33:47,Twitter for iPhone,1,0
Happy Birthday Augie &amp; Ray's! My favorite place to grab a hot dog! https://t.co/z8ckPnugzP,2019-06-21 14:17:00,TweetDeck,1,4
Congratulations to Coach Calhoun!! Well deserved recognition! https://t.co/WaG4uDgKwf,2019-06-20 14:17:00,TweetDeck,1,1
ACTION for National Service will help students pay for their educations and encourage the expansion of programs like AmeriCorps that greatly help our local communities! https://t.co/yE8Q90OjRE,2019-06-18 14:17:00,TweetDeck,2,5
Social Security isn't an entitlement it's the insurance you've paid for. That's why I'm working to strengthen it for everyone! https://t.co/dKoXJ7m2uo,2019-06-06 12:51:00,Twitter for iPhone,6,10
Happy #Pride! Love is love! https://t.co/8RHaBMCZnp,2019-06-04 19:13:24,Twitter for iPhone,1,9
Great joining Ray Dunaway and Joe D last week. Listen to our chat here: https://t.co/uolcvB8nT7,2019-04-14 17:50:06,Twitter Web Client,0,2
I’ve known Sister Peggy since we were kids growing up in Mayberry Village.   Congratulations on celebrating 50 years!   https://t.co/58JYu5HF7C,2019-04-12 13:29:06,Twitter for iPhone,0,2
Happy Opening Day to the @GoYardGoats!,2019-04-11 17:55:56,Twitter for iPhone,1,1
My #SocialSecurity proposal would make sure the program will be around for future generations and it expands benefits. #ExpandSocialSecurity   https://t.co/6Nn2qbMUWD,2019-04-04 12:19:00,TweetDeck,1,3
