Last spring the EPA announced a new standard that any water containing more than 8 parts per billion microcystin was too toxic for human contact. Now it’s time to make sure the Army Corps doesn’t send this toxic water to our coast in 2020. https://t.co/R1zM9heRci,2020-01-19 20:00:00,TweetDeck,10,40
Did you see this? → I asked my colleagues on the Foreign Affairs Committee if any of them could provide me one name of a fallen hero that does not justify killing the terrorist Soleimani. My question was met with a deafening silence. https://t.co/po6K4duWL6,2020-01-19 15:30:00,TweetDeck,87,410
Harmony Allen has been a fearless warrior for justice and I couldn't be more proud to support her effort. That’s why I doubled down on our efforts to demonstrate just how absurd the decision to free her rapist was by filing a Supreme Court amicus brief.  https://t.co/dKPcjVztR9,2020-01-18 19:30:00,TweetDeck,8,30
Speaker Pelosi’s management of this impeachment debacle wasted critical time that could have been used to work on a whole host of important issues for the American people.  It’s well past time for the House of Representatives to put people before politics. https://t.co/qz25Ecbv0V,2020-01-18 16:00:01,Twitter Media Studio,200,950
Want to help veterans in our community share and preserve their stories for generations to come? Now you can as a part of the Veterans History Project! Our office will be hosting the first of two volunteer training sessions tomorrow in Stuart. Learn more: https://t.co/vu8NJUcVRB,2020-01-17 20:00:00,TweetDeck,18,47
In 2019 - for just the third time in 12 years - our communities were spared toxic discharges from Lake Okeechobee by managing Lake O in a much smarter way. But now the Army Corps plans to abandon what worked to go back to a failed system. So let’s not forget what’s at stake... https://t.co/OfS6BHjdsX,2020-01-17 16:00:00,Twitter Media Studio,19,38
I filed a Supreme Court amicus brief this week to support Harmony Allen in her fight for justice. We won’t stop fighting until every convicted military rapist is held accountable for their heinous crime! https://t.co/mqKrTeTQFv,2020-01-16 20:30:00,TweetDeck,38,135
This week I helped introduce the bipartisan Blue Carbon For Our Planet Act to help protect critical ecosystems like the St. Lucie Estuary and Indian River Lagoon from damage. Read more here: https://t.co/LIyeFg7wAD,2020-01-16 14:00:00,TweetDeck,11,73
Your District 18 staff will be hosting satellite office hours again tomorrow in two new locations. Here’s where you can get the help you need⤵️ https://t.co/iX90bGNY3V,2020-01-15 18:00:01,TweetDeck,13,38
Thank you @GovRonDeSantis. This is what environmental leadership looks like! I wish all statewide elected officials would fight with the same passion rather than using land acquisition funding to pay lobbyists.    Ex #1: https://t.co/hvwdOIMoJ4  Ex #2: https://t.co/jz10zokHWp,2020-01-15 16:35:56,TweetDeck,48,155
Harmony has been relentless in her fight for justice to hold her rapist accountable for the crimes he committed and I’m proud to stand with her in this fight. That’s why I submitted an amicus brief to the Supreme Court urging them to overturn this miscarriage of justice! https://t.co/sD48JbJAaI,2020-01-15 14:30:00,Twitter Media Studio,41,119
Drop by satellite office house tomorrow to get help with a government agency and more! Our staff will be happy to help. Here are the details: https://t.co/54lPYZ07BR,2020-01-15 01:00:00,TweetDeck,11,44
Every single veteran who has served our nation has a story to tell and now you can help them tell it as a part of the Veterans History Project. Learn more about how you can help below and at our website! → https://t.co/GsQhXGjWCG https://t.co/vQfWOFVrMH,2020-01-14 22:30:00,TweetDeck,116,326
Today at the Foreign Affairs Committee I asked a simple question: could those arguing against killing Soleimani tell me one name of one American service member killed that does not justify killing this terrorist? The answer: radio silence. https://t.co/yOX6Sl7I72,2020-01-14 19:51:07,Twitter Media Studio,6991,16093
@LJMoss1 The locations and additional information is available at this link: https://t.co/t81LfgbMA8,2020-01-14 15:50:41,TweetDeck,1,3
NEW: A @USACEHQ @JaxStrong internal document shows that @FDACS Commissioner Nikki Fried appointed a third sugar lobbyist Len Lindahl to represent her on Army Corps PDT. Why did she not immediately come forward with this information when this issue first came up last week? https://t.co/PV2GFFZ2nM,2020-01-14 15:34:38,TweetDeck,40,58
Staff will be available tomorrow (January 14) in Stuart to lend a hand with any issues you may be having with the federal government. Here are the details: https://t.co/NSyaaCIS7G,2020-01-13 20:30:08,TweetDeck,9,31
Our office is seeking volunteers to help interview vets from across #FL18 to submit to the Library of Congress as a part of the Veterans History Project. This is a great opportunity to come together &amp; help veterans share their story! Learn more here.⤵️ https://t.co/vu8NJUuxgb,2020-01-12 19:30:00,TweetDeck,36,68
Having trouble cutting through the red tape? Join your District 18 staff in Jupiter tomorrow for satellite office hours to get the help you need! https://t.co/0pfzpCt8QZ,2020-01-12 15:30:00,TweetDeck,11,15
I will continue to hold the Army Corps accountable for their management decisions surrounding Lake Okeechobee in 2020. I will not sit quietly as they put us on a path towards more harmful discharges! https://t.co/zn3tcMLv2y,2020-01-11 22:00:01,TweetDeck,23,83
Too often we take two steps forward and one step back when it comes to the management of Lake Okeechobee. I couldn’t agree more that the Army Corps’ proposal to keep the lake artificially high heading into wet season puts all of our communities at risk. https://t.co/dvszH4Jnaw,2020-01-11 19:00:01,TweetDeck,11,33
This week the Army Corps told me that preventing toxic discharges from Lake O is “definitely a stated mission” of the Corps. This is an incredibly significant statement that I look forward to holding them accountable for in 2020. https://t.co/CqGLMU3txx,2020-01-11 16:00:00,TweetDeck,15,46
I lost two limbs to an improvised explosive device just like those that Soleimani used against American soldiers. He was a horrific monster who caused unimaginable suffering. @realDonaldTrump was absolutely justified in his decision to eliminate this terrorist from our world. https://t.co/yWofcrBv62,2020-01-10 18:00:00,Twitter Media Studio,475,816
Today is #LawEnforcementAppreciationDay and I just want to say THANK YOU to all of the selfless men and women who go out there each and every day to keep our community safe. We are grateful for your service today and every day! https://t.co/FuKQKCzWQ9,2020-01-09 23:15:00,TweetDeck,22,78
Soleimani was a terrorist and the head of a designated terrorist organization. He was responsible for the deaths of American men and women. The United States would be justified to kill 100 Soleimanis for just one of our heroes that have been killed by him. https://t.co/caDhBvj2be,2020-01-09 21:15:26,TweetDeck,1617,4869
Earlier today we had a hearing with the U.S. Army Corps of Engineers where I pressed them on their management of Lake O and efforts to prevent harmful algal blooms. I had an additional conversation with them afterwards and wanted to share with you what’s next... https://t.co/y0RdPb8bPq,2020-01-09 19:46:31,Twitter Media Studio,12,42
WATCH LIVE: The Army Corps is testifying before Congress and I'm not going to let them off the hook for their Lake O management decisions that are putting us on a path toward harmful discharges next summer! https://t.co/qpY0WkvcXL,2020-01-09 16:36:44,Twitter Media Studio,15,58
.@realDonaldTrump “We will seek peace with all who seek it.” Well done Mr. President. Iran will not have nuclear weapons and their good or bad actions will have their own consequences.,2020-01-08 16:43:14,Twitter for iPhone,29,79
Don’t miss out! → Your 18th District staff will be holding satellite office hours in Loxahatchee and West Palm Beach tomorrow to help with any federal government issues you may be having. Here are the details: https://t.co/wdlCTojFtU,2020-01-08 16:00:01,TweetDeck,1,7
@SpeakerPelosi Killing 100 Soleimani’s for 1 US soldier would be justified. He killed hundreds of US soldiers and you still don’t believe he earned death. Each limb and life he worked to take was his provocation.,2020-01-08 05:05:43,Twitter for iPhone,5,50
If you are having an issue or need assistance with federal benefits federal grants or other federal government issues I wanted to make you aware of some upcoming satellite office hours that your 18th District staff will be holding across our community. https://t.co/Sqr96J73i2,2020-01-07 22:00:00,TweetDeck,5,11
The VA’s decision to evict us from our office inside the WPB VA doesn’t change my promise to you: I will continue working hard each day to hold the VA accountable at every turn. I’ll be there to help until they literally throw me out kicking and screaming. https://t.co/Sd9W0O5TcL,2020-01-07 18:45:00,TweetDeck,14,39
ICYMI → President Trump recently signed a bill to help end animal testing at the Department of Veterans Affairs once and for all! We’ve been fighting hard for this and I’m glad we were finally able to get this done! Read more here: https://t.co/VNuBj1b8OQ,2020-01-06 22:30:00,TweetDeck,51,102
Last week the Department of Veterans Affairs officially evicted us from our office inside the West Palm Beach VA. I am incredibly disappointed by this decision that will hurt veterans in our community and will continue fighting hard to get it reversed! https://t.co/CXn0EMhBUl,2020-01-06 20:00:00,TweetDeck,10,27
For me keeping our fishing industry safe is keeping our community safe. That’s why I’m glad to report that the House recently passed the FISH SAFE Act to extend funding for fishing safety programs around the country! https://t.co/5xcybVSWg8,2020-01-03 16:00:00,TweetDeck,4,19
@NR_Garrett @HassanRouhani While I pray my children never have to see war as I have I hope all four of my children choose to serve. This is what deterrence looks like Iran deal was appeasement.,2020-01-03 13:07:30,Twitter for iPhone,0,4
@WeTookBackUSA @HassanRouhani I don’t just volunteer I volunteer to to attack the dangers everyone else wants to get away from to be in front. Bomb tech saw first hand Iran’s devices on the battlefield.,2020-01-03 12:32:17,Twitter for iPhone,0,4
@FBIsMostHaunted @HassanRouhani I freely admit I encourage aggression toward those who kill my fellow U.S. servicemen and women. #ViolenceOfAction,2020-01-03 04:20:46,Twitter for iPhone,0,11
. @HassanRouhani #soleimani https://t.co/RfRCAttzAq,2020-01-03 04:02:11,Twitter for iPhone,13,58
Making sure the men and women who have put on the uniform to serve our country have access to the best possible medical care is a non-negotiable priority for me. The House recently passed a bill to do just that: https://t.co/eR6WSHq2dJ,2020-01-02 17:00:00,TweetDeck,10,30
Happy New Year! My new year’s resolution is to continue fighting to clean up our waterways serve those who put on the uniform for our country and do everything I can to ensure our community is the strongest it can be.  What do you want to accomplish in 2020? https://t.co/6r5U5loQSe,2020-01-01 14:30:00,TweetDeck,5,51
There’s no doubt that 2020 is going to be a big one for our country.  Will you help me set the 2020 agenda by taking this survey? ⤵️ https://t.co/ATG5wj4rqe,2019-12-31 16:00:01,TweetDeck,3,11
Did you see this good news? The House recently passed legislation to protect animals by requiring the Department of Veterans Affairs to eliminate terrible wasteful experiments on dogs and cats. Learn more: https://t.co/fI8MU0EBCZ,2019-12-30 18:30:00,TweetDeck,28,68
ICYMI: The House recently passed the Emerging Transportation Security Threats Act to ensure we have the tools and resources needed to protect against potential threats of the 21st Century. Learn how this bill will make air travel safer for all Americans:  https://t.co/8f6A2wuZKt,2019-12-29 20:00:00,TweetDeck,2,10
With our economy changing and evolving so rapidly it’s important that we do everything we can to ensure our future generations are prepared for careers in STEM fields. Check out this bill that recently passed the House to do just that! ⤵️ https://t.co/xtPKnDLEYz,2019-12-28 16:00:00,TweetDeck,5,11
I took it in the caboose today at the @DeptVetAffairs. Thank you for the flawless colonoscopy! Staff could not have been better in any way!  PSA: Get checked! Prevent colon cancer! @SecWilkie @VAWestPalmBeach @GYRIG @FightCRC @CCAlliance https://t.co/K8OdMxxINc,2019-12-27 15:46:22,Twitter for iPhone,5,25
Recently the House passed legislation that would make Floridians safer and help our neighbors around the world combat preventable diseases. I’m hopeful this legislation will continue to expand research and find new treatments!  https://t.co/lUDgLrzsvS,2019-12-26 17:00:01,TweetDeck,2,13
Merry Christmas! Brianna and I want to wish you a day full of joy and peace as we celebrate this special day with loved ones. To all those serving overseas who don’t get to be with their loved ones today please know that our community is thinking about you and we salute you. https://t.co/aF6dvnFrzb,2019-12-25 15:00:00,TweetDeck,6,54
Service members that were exposed to toxic burn pits in Iraq and Afghanistan are seeing terrible health effects at a very young age and we must do more to get them the care they have earned. This legislation is a great start! https://t.co/PvzrbIZPfR,2019-12-23 20:00:00,TweetDeck,4,28
It’s official! @POTUS has signed into law legislation approving $200 million for Everglades Restoration. This is a HUGE win for our community and the Everglades. https://t.co/HeM59OvcNI,2019-12-23 15:00:00,TweetDeck,16,95
Wishing the very best to all of the families in our community coming together to light the menorah and celebrate the first night of Hanukkah this evening. May the next 8 days be full of joy peace and love as you celebrate with family and friends. https://t.co/HX8PqeqdGk,2019-12-22 15:00:00,TweetDeck,4,31
This week we secured $200 million for Everglades Restoration which funds critical projects like the Southern Storage Reservoir. Check it out: https://t.co/k02EC95w1D,2019-12-21 16:00:01,TweetDeck,4,30
Christmas came early for the Everglades! → Congress has nearly tripled funding for critical projects like the EAA Southern Storage Reservoir to store and treat water south of Lake Okeechobee. This is a huge victory in our fight to stop harmful discharges! https://t.co/lwounLGAnU,2019-12-20 19:00:00,TweetDeck,4,23
It’s unacceptable for the Department of Veterans Affairs to use taxpayer dollars to fund cruel unnecessary experiments on animals at the VA. Protecting cats and dogs is common sense and I’m glad we were able to come together to get this done. https://t.co/Fr8HDVMfwQ,2019-12-20 16:00:00,TweetDeck,38,71
Securing $200 million for Everglades Restoration is a huge victory for our communities. This funding will be used for critical infrastructure projects like the EAA Southern Storage Reservoir to better manage Lake Okeechobee and prevent toxic algal blooms! https://t.co/iTQDSXvaD5,2019-12-19 17:30:00,TweetDeck,8,44
.@SpeakerPelosi @RepMcgovern &amp; @RepDianaDeGette will not allow for a voiced roll call of members on impeachment.  If you will not associate your voice with your vote and allow others members to do the same then you are a coward. https://t.co/NTTpJSe6El,2019-12-18 18:30:03,TweetDeck,533,891
GREAT news! → We got it done!  The House approved $200 million for Everglades restoration yesterday - nearly tripling funding for critical projects like the Southern Storage Reservoir Project. https://t.co/evIUIyywbF,2019-12-18 17:56:51,TweetDeck,5,34
I’m heading to the House Floor in just a few minutes to pass the full $200 million for Everglades restoration and the Southern Storage Reservoir that we’ve been fighting for the whole year! This is a HUGE win for clean water! https://t.co/FvRNu2orvg,2019-12-17 18:47:35,Twitter Media Studio,13,114
Thank you to everyone who came out to the Nettles Island Parade this weekend for helping get our community in the Christmas spirit! https://t.co/thOM6w5WZc,2019-12-17 15:15:00,TweetDeck,2,21
On National Wreaths Across America Day we honored our fallen brothers and sisters in arms for the ultimate sacrifice they made for our nation. Thank you to everyone who joined me to pay their respects yesterday at Forest Hills Memorial Park. May these heroes never be forgotten! https://t.co/SpXhvxuWHu,2019-12-15 22:30:00,TweetDeck,1,26
More than half of all Americans know someone affected by the opioid crisis. Our families neighbors and friends are facing this struggle right here in Florida. Together we can help end the stigma of addiction by sharing our stories.  Here’s a PSA I recently recorded: https://t.co/GWXFK3Nhq6,2019-12-15 15:00:00,Twitter Media Studio,8,26
This week we passed the Coastal and Great Lakes Communities Enhancement Act to help our fight to combat harmful algal blooms improve our water quality revitalize our waterfront economy and protect our shorelines for generations to come. Check it out! https://t.co/jBRWa17aui,2019-12-14 16:00:00,Twitter Media Studio,5,33
Thank you to Lisa Barbanera and Blue Line Moving for the work you do to remember fallen officers honor disabled veterans and make sure their families are taken care of. This is what the holiday season is all about! https://t.co/J1UDw5Loig,2019-12-13 15:30:00,TweetDeck,2,11
Today the House will vote on the 2020 National Defense Authorization Act which includes a pay raise and 4 of my provisions to support servicemembers. This legislation is critically important to fund our military protect our national security and support our servicemembers! https://t.co/fSmTcHOMdy,2019-12-11 20:30:00,Twitter Media Studio,3,38
There is a problem when the guy with no legs gets to the hearing first. Let’s go @HouseForeign. I need a drill sergeant here to tell them to hurry up a dozen different creative ways. https://t.co/xG8kfhScgH,2019-12-10 19:45:00,Twitter for iPhone,12,102
Had a great turnout at this weekend’s Hobe Sound Christmas Parade! It was great walking with the Martin County Sheriff's Office and seeing so many friendly faces! https://t.co/gWt7lkCXm6,2019-12-09 18:00:00,TweetDeck,1,25
From #Toxic18 → #Clean19...check out the latest episode of the Tortured Coast to see how real operational change has made a huge difference for our communities! https://t.co/V2Uz4MMyKT,2019-12-08 17:00:01,TweetDeck,3,11
78 years ago the course of our nation’s history changed forever. Today we remember the lives of those we lost at Pearl Harbor and honor the sacrifice of all those who answered the call to serve and defend freedom around the world during World War II. https://t.co/7GDVCeGq2U,2019-12-07 20:30:00,TweetDeck,1,37
This week the House of Representatives put partisan politics ahead of supporting Israel and security in the Middle East. The American people deserve better than partisan politics that undercuts our greatest ally. https://t.co/174D8ogVAb,2019-12-07 16:00:01,Twitter Media Studio,3,21
Great news! → The TRACED Act which will help crackdown on robocall scams is headed to the President’s desk to become law! This is a big victory in the fight to protect our privacy and end these annoying calls for good. https://t.co/5Hzu1n759a,2019-12-06 16:00:00,TweetDeck,3,25
After a #Toxic18 full of toxic discharges that resulted in economic damages public health risks &amp; ecological consequences this year was different. Thanks to a team effort to responsibly manage Lake O we are finally seeing what we've been working so hard to achieve: a #Clean19. https://t.co/j28s0ZQJkF,2019-12-05 21:00:00,Twitter Media Studio,3,19
WATCH NOW: The House just passed a bill to crack down on annoying robocalls that try to scam people. Now the bill is headed to President Trump’s desk to be signed into law! https://t.co/BG6UVbpbYa,2019-12-05 18:49:48,Twitter Media Studio,8,42
I always love when my kids join me in Washington for a few days - especially during the holiday season! Maverick and I had a great time visiting the White House last night. If you and your family are coming to D.C. let our office know and we can help you schedule a tour! https://t.co/DTAlqAVfpX,2019-12-04 20:00:00,TweetDeck,3,40
Thank you to Phoenix Metal Products for having me at your ribbon-cutting ceremony in Fort Pierce yesterday! https://t.co/o4HLwFiiF1,2019-12-04 15:00:00,TweetDeck,1,7
Caught up with some of Florida’s finest yesterday! Thank you to the @WestPalmPD for having me at your swearing-in ceremony and to the S.W.A.T Team for letting me tag along on a search warrant! Our community is lucky to have you. https://t.co/lrQcMQQEdQ,2019-12-03 22:30:00,TweetDeck,2,17
Great news! → The unemployment rates across the Treasure Coast are continuing to fall to record-lows! This economic progress is exactly what happens when we work together to protect our environment cut taxes &amp; stimulate economic growth. Check this out ⤵️ https://t.co/gsXFsee1zW,2019-12-03 19:26:45,TweetDeck,6,13
Did you see this? → President Trump recently signed into law a bill to help combat animal cruelty by making it a federal crime. Check it out! ⤵️ https://t.co/FKo1WyxeDB,2019-12-01 18:00:00,TweetDeck,5,32
Today is Small Business Saturday a day to celebrate and show our support for the businesses in #FL18 that make our community so special. Tag your favorite small business to show your appreciation! https://t.co/ZTv0ZEc9c0,2019-11-30 15:00:01,TweetDeck,3,11
Great news! → @POTUS has signed the PACT Act into law making animal cruelty a federal crime. I’m hopeful this will help crack down on the terrible abuse of animals and I’m glad Congress was able to come together to get this done. Read more here: https://t.co/SCqm3Bl38n,2019-11-27 16:00:00,TweetDeck,3,23
Mark Cunningham was an inspiration to me my family and everyone in our community. We will continue fighting - in Mark’s memory - to help those battling glioblastoma and we won’t stop until we find a cure! https://t.co/f1kiUdj4co,2019-11-26 17:00:00,TweetDeck,1,8
Did you see this? → The U.S. Bureau of Land Management is accepting public comments on how to best utilize the Jupiter Inlet Lighthouse Outstanding Natural Area. Learn more here! ⤵️ https://t.co/AwZawZ35wn,2019-11-25 19:15:00,TweetDeck,3,6
This is ridiculous: Speaker Pelosi approved another “continuing resolution” because they haven’t spent the time needed to reach an agreement on government funding. That means ANOTHER delay for Everglades restoration funding. This needs to stop! PEOPLE must come before POLITICS! https://t.co/7BGKqdq4ib,2019-11-23 16:00:00,Twitter Media Studio,8,55
I’ve been fighting hard to make sure every military rapist is held accountable for their crime. I’m hopeful that the Supreme Court’s decision to hear Harmony Allen’s case will result in justice victims of this terrible miscarriage of justice. Read more: https://t.co/XCe4wmtcSg,2019-11-22 18:30:00,TweetDeck,3,17
Combating the opioid crisis starts right in our community. If you or a loved one are battling addiction please know that you're not alone. I teamed up w/ Facebook this morning on a PSA to help #StopOpioidSilence remove the stigma &amp; ensure we get help for those who need it most. https://t.co/cgCEPwZNR2,2019-11-21 22:00:00,TweetDeck,2,13
ICYMI → The Supreme Court has agreed to hear Harmony Allen’s case! This is an incredibly important step in the fight to right this massive miscarriage of justice for Harmony and every victim of military sexual assault. https://t.co/OYFRcjjgpG,2019-11-21 15:30:00,TweetDeck,3,10
The Supreme Court’s decision to hear arguments for Harmony Allen’s case is the right one and I’m hopeful that they will finally right this injustice so that the United States can hold military members who commit rape accountable. Read more: https://t.co/jrBYSoMCKY,2019-11-20 22:30:00,TweetDeck,3,10
We need to do more to improve boating safety and ensure channel markers are visible at all times. This can save lives and I will keep working with the Coast Guard to get it done. https://t.co/zdnqz0t6GT,2019-11-20 19:30:00,TweetDeck,0,25
Last week we lost our good friend Mark Cunningham. Sadly Mark passed away after a 3-year long battle with glioblastoma. Please join me in praying for the Cunningham family &amp; all those fighting this horrible disease! In Mark’s memory we will keep fighting for answers &amp; a cure! https://t.co/4FTiJ4V1T7,2019-11-20 16:29:15,TweetDeck,1,12
I’m working with the Coast Guard to improve visibility of channel markers to help prevent boating accidents. Watch now: https://t.co/uLVT6um0Ol,2019-11-19 21:15:00,TweetDeck,4,14
Don’t miss out! → The Florida Department of Environmental Protection is accepting public comments on water quality standards until Friday! https://t.co/gpdHKwKpWE.,2019-11-19 17:41:01,TweetDeck,5,6
