Just spoke to @HUDgov @SecretaryCarson &amp; he informed me that more money is coming to the Panhandle for Hurricane Michael disaster recovery soon. Great news for FL-2! #sayfie #HurricaneMichael https://t.co/RIfUNyPce7,2020-01-16 15:19:33,Twitter Web App,8,23
.@realDonaldTrump is committed to continuing to strengthen our economy. https://t.co/YSFMClCQoY,2020-01-15 21:57:46,Twitter Web App,2,4
To the protesters in Tehran Shiraz and  elsewhere – the Speaker of this House does not speak for many of us. We do not downplay your courage and we stand with you. https://t.co/z3yp5BD1M2,2020-01-14 17:51:29,Twitter Web App,231,387
Recently I recognized LTC Daniel Daube an extraordinary three-time war veteran on the House floor. Daube served in WWII Korea and Vietnam in both the Navy and the Air Force and he has left an everlasting mark on Bay County and our country. https://t.co/yKguVLmvzu,2020-01-13 21:11:32,Twitter Web App,3,4
This week I honored the life of a true American hero - Captain Dale Doss. Dale Doss will be remembered for his sacrifices and his courageous service to our nation. May he rest in peace. https://t.co/GujSv715w4,2020-01-10 17:22:32,Twitter Web App,5,8
.@SpeakerPelosi knows the Articles of Impeachment against @realDonaldTrump are clearly a sham and will fail in the Senate. She has chosen to bypass our governing rules and go rogue by not transferring them to @senatemajldr. https://t.co/yxpwTNR6uW,2020-01-09 18:21:57,Twitter Web App,153,547
It’s Law Enforcement Appreciation Day. Thank you to all who put their lives at risk every day and night to keep our families and communities safe. Our law enforcement and first responders run into danger so that others can escape it. https://t.co/xfralRLBw8,2020-01-09 16:47:40,Twitter Web App,5,5
In January 2019 @baymedicalctr reopened the hospital with 75 beds following the damages from Hurricane Michael. They have since added an additional 144 beds to bring their total beds to 219 which is full capacity. 2/2 https://t.co/8hlAVOIHtA,2020-01-08 14:47:45,Twitter for iPhone,1,1
On Monday I toured @baymedicalctr  in Panama City with the CEO Heath Evans to see all of the progress that the hospital has made recovering from Hurricane Michael. 1/2 https://t.co/Wg8PRa97Qq,2020-01-08 14:47:44,Twitter for iPhone,2,5
We are monitoring the situation in Iraq tonight as new information comes to light. Please keep our men and women in uniform in your prayers. We have many heroes who are currently keeping us safe while in harms way in the Middle East.,2020-01-08 02:17:16,Twitter for iPhone,11,31
I was honored to meet w/ Col Travis Leighton &amp; Col Brian Laidlaw at @TeamTyndall last week. As we enter 2020 w/ full funding for the reconstruction of the base I was excited to hear about future operations news of approval for additional job hires &amp; plans to restore housing. https://t.co/rL4rWFtcOe,2020-01-06 15:10:03,Twitter Web App,4,5
We will continue to work with @realDonaldTrump to ensure our military has the tools to root out terrorism both at home and abroad.,2020-01-03 17:57:54,Twitter Web App,1,6
The strikes led to the death of Qassem Soleimani the known terrorist leader of the Islamic Revolutionary Guard Corps-Quds Force. Soleimani was responsible for the deaths of hundreds of Americans and thousands of Syrians. His reign of terror is now over.,2020-01-03 17:57:54,Twitter Web App,0,2
@realDonaldTrump's  decisive actions in the Middle East sent a clear message to the world that the United States will not let attacks against our country go unpunished.,2020-01-03 17:57:53,Twitter Web App,3,5
Congratulations to Jake and Tiffany Sache on being awarded the State Young Farmer and Rancher Achievement in Agriculture by the Florida Farm Bureau. https://t.co/Rq5tp5gOMu,2020-01-02 20:57:04,Twitter Web App,2,4
Recently I honored the life of Mexico Beach City Manager Andy Anderson. Just months ago Mr. Anderson &amp; I met to discuss the rebuild of Mexico Beach following Hurricane Michael. He was dedicated &amp; reflected the resiliency of Mexico Beach. It was an honor to know &amp; work with him. https://t.co/q1WKky2t7g,2019-12-30 14:43:33,Twitter for iPhone,3,12
