One of my office caseworkers will be hosting @CityofDeltona Mobile Office Hours TUESDAY offering assistance to anyone struggling to navigate the federal bureaucracy.  If you need help with the VA a passport Social Security the IRS or any other federal agency stop by! https://t.co/alizhECYHx,2020-01-19 15:30:00,TweetDeck,18,19
Go Khadijah and Tierra! Beyond proud of our high school athletes in #FL6 🏀 https://t.co/eMF6QCCD08,2020-01-19 13:32:34,Twitter for iPhone,4,13
Welcome to Florida @MadeInSpace!  Florida’s innovation pro-business policies low taxes and history with space are all bringing amazing aerospace companies to our state.   Looking forward to seeing this industry continue to grow in the Sunshine State 🚀☀️ https://t.co/VwVGrNmawR,2020-01-17 19:46:07,Twitter for iPhone,11,37
LIVE RADIO ALERT 🚨  Coming up at 7:24 AM with @MarcBernierShow to talk about the China deal peace in the Middle East and the Pensacola shooting.   📻 Tune in at 93.5 FM/ 1150 AM or listen here 👇 https://t.co/rVHXxzCK4L,2020-01-17 12:00:00,TweetDeck,2,5
Glad to hear this -- but voters also need to be included and notified of elections breaches especially as we head into 2020.  I will continue to push @FBI to keep our voters informed if their data has been accessed or compromised in any way. https://t.co/AKlv765Pin,2020-01-16 21:13:56,Twitter Web App,13,30
Thank you President @realDonaldTrump for signing this disaster declaration for #PuertoRico. We support the people of Puerto Rico and this will ensure they are on their way to recovery. https://t.co/fhYCwMFeQW,2020-01-16 20:35:43,Twitter Web App,18,67
As allies in combat Israel &amp; America must also be allies for veterans' health.  Proud to work w/ @RepElaineLuria @RepHoulahan &amp; @RepLeeZeldin to leverage our partnership in combat for PTSD research &amp; treatment ensuring veterans lead happy healthy lives. https://t.co/W2zFogUMFM,2020-01-16 18:44:52,Twitter Web App,5,22
Great news: The Senate passed #USMCA!   This is a big win for Florida and our country.   Thank you to President @realDonaldTrump for his hard work and commitment to providing us this historic trade deal. https://t.co/FxKBe7iHKJ,2020-01-16 17:47:02,TweetDeck,13,37
.@SpeakerPelosi called this a sad “somber” moment.   Yet here she is smiling for dozens of cameras at a signing ceremony which are typically reserved for legislative celebrations and victories.   Ridiculous. https://t.co/ayJbN9gokC,2020-01-15 22:42:07,Twitter for iPhone,561,1833
We can't deter China's influence alone.  We must focus not just on our military capabilities but mobilizing our allies against China's intrusion on the political &amp; economic structure of countries around the world.  Together we must put pressure on China's authoritarian regime. https://t.co/cVRzMGajcm,2020-01-15 22:00:00,TweetDeck,872,988
The Venezuela Democracy Caucus stands behind the people of Venezuela! Joined @MarioDB and @RepShalala to speak with @carlosvecchio and deputies of the @assemblyVE about the state of the Venezuelan National Assembly. https://t.co/NLULvK712s,2020-01-15 20:02:44,Twitter for iPhone,39,49
After 30 days of waiting @SpeakerPelosi finally sent impeachment to the Senate.  This has been her focus since last year. When are we finally going to fix our roads or confront the reality of global threats like Russia &amp; China?  America is tired of this. Let's get back to work.,2020-01-15 19:15:38,Twitter Web App,41,97
Thank you @FLDEPNews and @GovRonDesantis for your work to restore the Everglades and to prevent oil drilling in the Sunshine State. https://t.co/4dBn0OfnQd,2020-01-15 17:19:37,Twitter Web App,5,16
LIVE RADIO ALERT 🚨  Coming up at 9:20 AM with @kilmeade on @foxnewsradio to talk about impeachment Iran and Pensacola.   📻 Tune in or listen here 👇 https://t.co/S5ykJvxn9H,2020-01-15 13:50:00,TweetDeck,12,49
Big moment for @SpaceForceDoD.   Gen. Raymond will be an excellent Chief of Space Operations to protect America’s assets in space. 🚀🇺🇸 https://t.co/INWdDxb6jf,2020-01-15 03:12:11,Twitter for iPhone,29,46
@joannamrod @RepStephMurphy Team Waltz has two very good boys who are more than ready to take up the bipawtisan tradition!   @RepStephMurphy are you in?   CC @lindsemcpherson @alextdaugherty https://t.co/365kpxAKKx,2020-01-14 20:29:32,Twitter for iPhone,1,8
This is #Iran right now.  Meanwhile House Democrats just blocked @GOPLeader’s resolution supporting the Iran protesters who are currently being beaten for demanding justice &amp; freedom from tyranny.  These protesters deserve our support. We stand with you! https://t.co/f7mx0487WB,2020-01-14 19:56:13,Twitter for iPhone,1422,2436
Happy #OpeningDay of the 2020 Florida Legislative session!   Looking forward to @GovRonDeSantis and our state lawmakers continuing to deliver for the people of Florida. #FlaPol https://t.co/w72l94jmdw,2020-01-14 16:48:11,Twitter Web App,6,13
