I'm proud to stand with @KathyCastorFL and the rest of my Democratic colleagues in calling on Gov. DeSantis and the state legislature to back expanding Medicaid. This will help save lives. https://t.co/KzBvJJidWU #FL07 #FlaPol,2020-01-17 19:45:16,TweetDeck,2,6
.@MikeBloomberg has a proven track record of taking on the big fights - like gun violence &amp; climate change - &amp; will continue to do so as president.   He’s the most experienced &amp; visionary candidate in the race &amp; I’m excited to join the #Bloomberg2020 team as a national co-chair!,2020-01-17 01:57:48,Twitter for iPhone,5,24
Big news! #FL07 #FlaPol #Bloomberg2020 https://t.co/qTsLORPXbw,2020-01-17 00:18:15,Twitter for iPhone,5,36
Our campaign is about creating more and better-paying jobs; keeping us safe abroad and ending gun violence here at home; and ensuring every child has an opportunity to succeed. Jobs. Security. Opportunity. Join us as we fight for progress: https://t.co/NG0FfNVSGb #FL07 #FlaPol,2020-01-15 20:34:19,Twitter for iPhone,0,2
Excited to join @FlaDems and @OrangeDemsFL as we kick off a joint field office in #Orlando to help elect Democrats up and down the ballot in central Florida! #FL07 #FlaPol https://t.co/zCfCOMvYZx,2020-01-12 00:23:47,Twitter for iPhone,7,29
I’ll never back down from fighting to end gun violence protecting women’s rights growing the middle class &amp; standing up to the Trump administration’s efforts to repeal health care. So they can attack our campaign all they want but we’ll always put families first. #FL07 #FlaPol https://t.co/DnE8Yc0rDC,2020-01-11 14:05:33,Twitter for iPhone,6,18
Happy New Year!  (Psst...don’t forget to register to vote and make your voice heard in 2020.) https://t.co/wLxJ8Rvf8D,2020-01-01 22:30:21,Twitter for iPhone,1,16
From our family to yours Merry Christmas! We hope you’re able to enjoy this special time of year surrounded by loved ones. May His love inspire us all and bring peace to the world.  “Thanks be to God for His indescribable gift!” – 2 Corinthians 9:15 https://t.co/0AEubpOs4M,2019-12-25 15:21:55,Twitter for iPhone,2,18
This weekend I had the pleasure to stop by the Central Florida @Army_Aviation #ToysForTots Social in #Oviedo as they collected over $21000 in toys and 14 bikes. Thanks for all you do to help children during the holidays! #FL07 #FlaPol #armyaviation https://t.co/JzWbPwRkpj,2019-12-16 15:56:32,Twitter for iPhone,2,5
Sean and I had a great time running in the #GirlsOnTheRun5K this morning on the @UCF campus supporting @GOTRCFL’s great mission and programs! #FL07 #FlaPol #GOTRCFL5K https://t.co/v6Dw5PGlaF,2019-12-15 15:12:30,Twitter for iPhone,1,16
I very much enjoyed visiting with @SemDems tonight at your annual holiday gathering. Thanks for your ongoing support of me; it means the world. I look forward to working with you to elect Dems up &amp; down the ballot in central Florida - and flip Florida blue in 2020! #FL07 #FlaPol https://t.co/tnWPWwQJyL,2019-12-13 00:52:00,Twitter for iPhone,4,26
From our family to yours Happy Thanksgiving! https://t.co/Gp016g5abY,2019-11-28 17:08:48,Twitter for iPhone,1,3
“Stephanie Murphy Announces More than $10 Million for Sanford International Airport” #FL07 #FlaPol https://t.co/xRZpi4XdCG,2019-11-25 17:47:45,Twitter for iPhone,3,6
Thank you for having me @georgetownsfs! It’s always an honor to return to my alma mater. #SFS100 https://t.co/g5SjKMLxye,2019-11-17 18:10:32,Twitter for iPhone,2,7
Thank you to all who serve and have served. As someone whose family was rescued by the @USNavy and given the opportunity to experience freedom in this great country I can never thank our veterans enough. (Thanks to our military families too for your sacrifice!) #VeteransDay https://t.co/AzM1ww0rU5,2019-11-11 18:03:38,Twitter for iPhone,3,10
Three years ago today we did something special in central Florida. I will never forget this moment and I will never forget the faith you placed in me to fight for you. Thank you #TeamMurphy. It’s an honor. Proud to stand with you in our fight for progress. #FL07 #FlaPol https://t.co/lWEqrV3IJU,2019-11-08 13:21:49,Twitter for iPhone,13,128
