Thrilled to attend @mywinterhaven #MLKWeekend Parade and see so many dear friends! This weekend we remember the great legacy of Dr Martin Luther King Jr for peace equality and justice. https://t.co/Z5yQHZpQgU,2020-01-18 17:47:05,Twitter for iPhone,3,3
Muchas Gracias to @WeAreUnidosUS for your major Hispanic voter registration efforts in Central Florida!!! 🇺🇸 🇵🇷 🇲🇽 🇨🇺 🇻🇪 🇨🇴 🇧🇷 🇩🇴 🇪🇨 https://t.co/LeqpqyLOEW,2020-01-17 20:11:23,Twitter for iPhone,4,8
These stories of lengthy outdated drug sentences for FL women Hispanics including my home county of Osceola cry out for help. I hope Fla Legislature will use Amendment 11 authority to correct these injustices! ⁦@JeffreyBrandes⁩ ⁦@rbracy30⁩  https://t.co/Y7GFJggKA2,2020-01-13 17:54:51,Twitter for iPhone,4,10
When @FloridaEA hosts teachers for #RallyinTally @PolkSchoolsNews gets singled out. This is just flat out wrong. Teachers must be allowed to have a voice in our democracy! #FundOurFutureFL #Whywerally https://t.co/NgOdeIa0XV,2020-01-12 20:44:22,Twitter for iPhone,12,28
@TeachLW @AnnaForFlorida @CarlosGSmith @VicTorres_FL @AmyMercado @larosamike @JosieTomkow @EducationFL We stand with public school teachers and their right to collectively bargain. This is a disgrace.,2020-01-11 12:44:48,Twitter for iPhone,0,4
VP @Mike_Pence while you’re in Kissimmee maybe you could explain Pres Trump’s horrific response to #HurricaneMaria his failure to sign #VenezuelaTPS or #DreamandPromiseAct or running the most anti-Hispanic campaign in modern American history? 🇺🇸 🇵🇷 🇻🇪 🇲🇽 🇨🇺 https://t.co/8pb6Bqgmlq,2020-01-06 18:59:20,Twitter for iPhone,33,53
Looking forward to spending another year with the love of my life Amanda @STEMk5 ❤️ 🗓 ☀️ https://t.co/x3BNkPVsPy,2019-12-31 18:33:35,Twitter for iPhone,2,9
Thrilled to spend some time with our extended Soto Family during the holidays! https://t.co/D8x8m77M5T,2019-12-29 21:10:18,Twitter for iPhone,4,13
Kicking off the holiday season by giving back to our #FL09 community! #TeamSoto and I had a great time assembling food bags for families in need in Central Florida. In total we helped provide 5630 meals this morning! https://t.co/M34u77Z41H,2019-12-20 21:19:29,Twitter for iPhone,1,3
Nothing brings a child joy like a brand new toy during the holidays! Today we joined Baby DJ in giving over 2300 families presents for their children. Grateful for the opportunity to help my constituents and make a difference in their lives this holiday season. #FL09 https://t.co/zJlbMQEVj9,2019-12-20 21:08:25,Twitter for iPhone,1,4
