.@Southwire move pegged as "unusual" - but they're just taking control of the hack. Where else can they turn?   #DOJ #ransomware @CIOdive   https://t.co/eX8ce6aCEl,2020-01-17 19:32:02,TweetDeck,7,2
Congrats! 🎉 https://t.co/vDnCfLW9Ya,2020-01-17 16:10:17,Twitter for iPhone,2,6
Big BIPARTISAN win for US workers &amp; biz. @realDonaldTrump continues to deliver on his promises. #USMCA https://t.co/KuDHxZT1R9,2020-01-16 17:11:11,TweetDeck,3,13
This partisan #impeachment process has only sewn further division throughout Congress and our country. The American people and @POTUS deserve better.  It’s time to put these partisan exercises aside stop trying to overturn the will of the American people and get back to work.,2020-01-15 19:13:44,Twitter Web App,5,13
Lots of talk about #5G but what does it really mean for you?   Good info here from @bxchen @nytimes:   https://t.co/PTNxfzaRvJ,2020-01-15 16:55:45,TweetDeck,4,3
Starting now. Watch live at the link below ⬇️ https://t.co/w8K4Olnd20,2020-01-14 19:03:27,Twitter for iPhone,0,0
In 1986 the avrg ticket price for a movie was $3.71. https://t.co/AycO2aHI2w,2020-01-14 16:47:22,Twitter Web App,1,0
In 1986 @FujifilmUS was the first to introduce the disposable camera. https://t.co/BO80PVjF1l,2020-01-14 16:47:20,Twitter Web App,1,0
When the #CFAA was signed into law in 1986 Murder She Wrote was one of the most popular shows on TV. https://t.co/ceBBUIFUHy,2020-01-14 16:47:18,Twitter Web App,1,0
Our bipartisan bill makes targeted changes to the Computer Fraud &amp; Abuse Act a law that hasn’t been updated in more than 30 years. A lot has changed in 30 years...,2020-01-14 16:47:14,Twitter Web App,2,1
.@RepJoshG &amp; I are passionate about #cybersecurity so we got together to talk about our bill the Active Cyber Defense Certainty Act (ACDC). https://t.co/hOdDbqGrf7,2020-01-14 16:47:14,Twitter Web App,5,2
Thanks @BudgetHawks #FixUS for giving @RepDerekKilmer &amp; I an opportunity to talk @ModernizeCmte &amp; bipartisanship in Congress. 🇺🇸 Stay tuned for more. https://t.co/RUrSSYABfm,2020-01-14 16:18:00,Twitter for iPhone,9,11
What is keylogging Alex? 💻 @Jeopardy #JeopardyGOAT #cybersecurity   Q: “Beware of these types of programs that track every stroke you make while typing in an effort to glean your password.” https://t.co/MeD6pIpxVL,2020-01-14 15:00:01,Twitter Web App,5,2
Josh &amp; I got together to discuss more about the bill. Watch our convo here: https://t.co/R0hkyMk8uY.,2020-01-13 20:15:10,Twitter Web App,2,2
That’s why @RepJoshG &amp; I introduced the Active Cyber Defense Certainty Act (ACDC) to do just that – provide consumers &amp; biz the active measures they need to stop attacks &amp; retrieve stolen data.,2020-01-13 20:15:10,Twitter Web App,2,3
#DidYouKnow that in 2018 cyberattacks cost $45 billion in losses worldwide? W/ so much of our personal info online it’s impt that we have the tools &amp; resources to defend ourselves from bad actors.,2020-01-13 20:15:09,Twitter Web App,4,2
A growing threat: Cellular Identity Theft.  "SIM swap attacks allow attackers to intercept calls and messages impersonate victims and perform DoS attacks..."-@random_walker.  His study⬇️  #CyberSecurity https://t.co/deTqoWiAQq,2020-01-12 20:39:19,Twitter Web App,3,2
Sovereignty and democracy prevail again.  #Taiwan https://t.co/zl3sUfEh47,2020-01-11 17:36:52,Twitter for iPhone,121,294
That sums it up @repkinzinger.  #Iran is not a victim. https://t.co/b3Wck4ZzKa,2020-01-11 01:52:41,Twitter for iPhone,11,9
Time to level the cyber battlefield. Active cyber defense shld be a part of the solution set.  #Iran #CyberSecurity #ACDC #China too https://t.co/O5Ln3fuu1s,2020-01-11 01:28:45,Twitter for iPhone,713,722
Are Congressmen eligible? Asking for a friend... 🌕🚀 https://t.co/z0vJhwsLsa,2020-01-10 19:07:50,Twitter for iPhone,6,34
America strong. 🇺🇸 https://t.co/92nzZuejf9,2020-01-10 02:36:57,Twitter for iPhone,9,26
.@realDonaldTrump has made it clear that #US is ready to pursue peace. Together we shld stand behind him &amp; our brave men &amp; women in uniform.,2020-01-09 21:59:48,Twitter Web App,3,6
This War Powers Res was crafted by Speaker Pelosi w/o:   1. Committee hearings  2. Input of nat sec experts  3. A chance to debate or amend   Then rushed to a floor vote within 24 hrs of text release.,2020-01-09 21:59:47,Twitter Web App,4,5
These threats deserve a measured response which we saw from @POTUS this week. And they deserve a measured response from Congress which we aren't seeing.,2020-01-09 21:59:47,Twitter Web App,4,4
As Commander in Chief @realDonaldTrump took an oath to defend #US against all threats. Including threats to American forces and diplomats from #Iran’s regime.,2020-01-09 21:59:47,Twitter Web App,7,13
Thx @ajconwashington for joining me &amp; @RepDerekKilmer to talk @ModernizeCmte bipartisanship &amp; our plans for 2020. Stay tuned next week for more. https://t.co/WMjtTfhqYy,2020-01-09 21:16:42,Twitter for iPhone,5,12
Ehh not quite.  The Res is sorta like a sense of Congress which is just a sense of the Dems which is just...nonsense. https://t.co/for4akWD3v,2020-01-09 16:15:36,Twitter Web App,4,7
Couldn't agree more @SenTomCotton. https://t.co/8wJpbrxa20,2020-01-09 15:04:18,TweetDeck,4,5
A secure 5G network is vital. Tonight’s votes were a step fwd in our race with #China. But there’s so much more to do. https://t.co/gdK9vk24bI,2020-01-08 22:56:40,Twitter for iPhone,577,634
Nice to spend time with @SenatorLoeffler today to learn more about her ideas &amp; dreams for our state in her new role. #GA https://t.co/QS90UxPtRQ,2020-01-08 20:52:51,Twitter for iPhone,3,16
Geez...@RepMarkMeadows was right to call this repugnant.  Looks like we have a long way to go to bring more civility &amp; bipartisanship to #congress. https://t.co/zvAZeaglkF,2020-01-08 20:45:35,TweetDeck,4,5
Wow. 1 step fwd...2 steps back. 🤦🏻‍♂️  .@modernizecmte has been working to bring more civility &amp; bipartisanship to #congress.  Looks like we have a long way to go... https://t.co/VPaRKrH1B1,2020-01-08 19:38:36,Twitter for iPhone,62,182
Just left classified briefing. @realDonaldTrump’s actions re: Soleimani were informed &amp; justified.,2020-01-08 19:17:07,Twitter for iPhone,22,47
"The United States is ready to pursue peace with all those who seek it." - @realDonaldTrump   Well done Mr. President.,2020-01-08 16:44:33,TweetDeck,10,36
"Our missiles are big powerful accurate lethal and fast...the fact that we have great military power does not mean we need to use it. We do not want to use it." - @realDonaldTrump,2020-01-08 16:43:43,TweetDeck,8,17
"Iran must abandon its nuclear ambitions and end its support of terrorism...Your campaign of terror murder and mayhem will not be tolerated any longer. It will not be allowed to go forward." - @realDonaldTrump,2020-01-08 16:37:08,Twitter Web App,3,11
“Soleimani’s hands were drenched in both American and Iranian blood...Iran’s pursuit of nuclear weapons threatens the civilized world. We will never let that happen." - @realDonaldTrump,2020-01-08 16:36:08,Twitter Web App,9,14
"No Americans were harmed in last night's attack by the Iranian regime." - @realDonaldTrump   🙏 https://t.co/xbUC2NFUzd,2020-01-08 16:30:45,Twitter Web App,3,7
Great tips &amp; info from @CISAgov ⬇️ re: cyber threats #cybersecure https://t.co/nTkDkrCpRL,2020-01-08 14:11:09,Twitter for iPhone,5,4
God bless the USA. 🇺🇸 https://t.co/RUCHAmv04j,2020-01-08 01:00:59,Twitter for iPhone,3,22
The impacts of cyber crime continue to grow while our public policy lags behind. @RepJoshG   "As a result of the botched ransomware recovery process the company's leadership decided to suspend all services leaving more than 300 employees without jobs." https://t.co/Qb6MnN1E6t,2020-01-07 18:43:23,Twitter Web App,5,7
Welcome to the #GA delegation @SenatorLoeffler! https://t.co/bPr01ssGyF,2020-01-06 22:48:13,Twitter for iPhone,4,34
Here we go a new conspiracy.🙄  .@IlhanMN was so silent when sovereign U.S. territory &amp; personnel were threatened by Iranian terrorists. And so loud &amp; offended when these terrorists are brought to justice.   We shld all be on the same team-one in favor of keeping Americans safe. https://t.co/fdXdwSE0MA,2020-01-03 17:05:45,Twitter for iPhone,24,43
In response to continued Iranian-directed attacks POTUS &amp; our military leaders were clear: attacks against our own will not go unanswered. God bless the U.S. Military. God bless the USA.,2020-01-03 03:08:00,Twitter for iPhone,9,25
Forgive me #dawgnation but I’m wearing LSU purple and gold today in honor of Gretchen and Walker Vincent. 💜💛A beautiful tribute to them in #Lafayette. Such a tragic loss.   #geauxtigers,2020-01-02 23:09:06,Twitter for iPhone,1,6
Wonder what movie they chose...Footloose? 🦶🏻😂 https://t.co/cd3kll5oKy,2020-01-02 19:59:19,Twitter for iPhone,1,4
Happy New Year!  MMXX is gonna be so fun! 🍿,2020-01-01 04:22:39,Twitter for iPhone,4,7
.@RepThomasMassie is it still safe to drink the water from the big blue barrels? https://t.co/m7eUTwEh0H,2019-12-31 19:50:06,Twitter for iPhone,4,48
Missing the peach drop and need NYE plans? Check out...#GA14 🐭🍑  https://t.co/BHj4mylml9,2019-12-31 17:50:43,Twitter for iPhone,1,4
Agreed.  @realdonaldtrump was swift to respond when Americans were attacked.   Now we must hold those accountable for invading US property threatening Americans stationed abroad and chanting “death to America.” https://t.co/A4EHyNKoNI,2019-12-31 15:54:55,Twitter for iPhone,14,33
Love the texting tip!! Fat fingers no problem. https://t.co/hJa84dw6Wa,2019-12-31 14:38:20,Twitter for iPhone,3,3
Run Intervals 🤢 - Is it just me...or does the rest timer go twice as fast as the run timer? https://t.co/S4XiDQCySq,2019-12-30 23:35:14,Twitter for iPhone,1,13
Thank you Johnny. For 45 years you have put #Georgia first. You inspired me to consider a life of public service and I've been lucky to serve with you.  https://t.co/KmfofhZBwI,2019-12-30 15:00:00,TweetDeck,2,14
.@repjohnlewis you’re a helluva  fighter and a great friend. We stand with you during this battle 🙏🏻 https://t.co/E1PDrsXXmo,2019-12-29 23:47:24,Twitter for iPhone,3,17
There is hope. And w/out change...“The capacity of the institution erodes and what fills that space is the executive branch and lobbyists.”- @RepDerekKilmer   Thanks @pkcapitol https://t.co/BzQbFQ05mL,2019-12-29 00:41:12,Twitter for iPhone,6,15
Sad day. Among those lost were dear friends of ours; Gretchen and her son Walker. Prayers for their family husband and dad Chris and all the families impacted.  https://t.co/4BGuSUbeXt,2019-12-28 22:58:58,Twitter for iPhone,6,9
Wishing a very Happy Birthday to a true champion for #GA &amp; my friend @SenatorIsakson! 🎉 https://t.co/BpO10YQiLC,2019-12-28 18:04:57,Twitter for iPhone,6,50
Or... 1.  It’s a long walk to the senate after a long day. 2.  Still deciding how to tell @RepJerryNadler he won’t be a manager.  3.  Delaying the eventual embarrassment of losing to @realDonaldTrump...again. https://t.co/jPIptGYEb1,2019-12-28 14:48:17,Twitter for iPhone,10,26
Begs the question; whose property are YOUR data (location interests interactions habits etc) and do you really care?  Either way it’s creepy...😱 @nytimes https://t.co/I2CB9RG73d,2019-12-27 23:09:15,Twitter for iPhone,5,10
@Johnny_Joey Great pic and memory! I know he was proud of you.  As we all are.,2019-12-27 19:13:53,Twitter for iPhone,0,2
Under America’s tree this year...  ✅ Millions of new jobs created ✅ Record low unemployment ✅ All-time highs on the stock market ✅ A trade deal that puts America first  ‘Tis the season for winning @realDonaldTrump!🎄#MerryChristmas https://t.co/wn0u9FX4Nq,2019-12-25 14:00:01,TweetDeck,5,29
Since this committee was created our mission has been to craft bipartisan solutions to make Congress work better for the people we serve.  Chair @RepDerekKilmer &amp; I are ready to hit the ground running in 2020 to turn our 45 bipartisan recommendations into results.,2019-12-19 20:17:07,Twitter Web App,3,7
