.⁦@motionpictures⁩ contributed  $266M benefit to Savannah’s economy last year. Thx to ⁦@gafmde⁩ &amp; ⁦@SavannahEconDev⁩ for keeping these projects coming our way! #gapol via ⁦@SavannahNow⁩ -  https://t.co/lwhr19p7Af,2020-01-19 13:28:18,Twitter for iPhone,2,1
#TrumpDerangementSyndrome is in full effect in Washington. More and more it seems like Washington Dems hate @realDonaldTrump more than they love America. It is shameful. #gapol https://t.co/ovQiI0bdUB,2020-01-08 20:28:09,Twitter for iPhone,5,6
Thank you @IntlPaperGR!  My father worked in a paper mill and I did too during summers in college. I’ll always stand up for the working Georgia families supported by the forest and paper industry! #USMCAnow #gapol https://t.co/yDmHgTq31O,2020-01-07 16:14:38,Twitter for iPhone,8,8
Congratulations Senator @kloeffler! I look forward to working with you &amp; @realDonaldTrump on behalf of the people of Georgia! #gapol #KAG2020 https://t.co/ki6CzGGBaK,2020-01-06 22:20:31,Twitter for iPhone,4,13
First and foremost I’m a small businessman who’s dedicated most of my life to creating jobs. That’s why I’m proud to support @downtownbwk’s bid for the #Deluxe #SmallBusinessRevolution #MyBrunswick #VoteBrunswick https://t.co/NEnX6e2ACg,2020-01-03 15:14:31,Twitter for iPhone,6,8
I enjoyed meeting with Senator-Designate @kloeffler in Savannah yesterday and appreciate her commitment to @GaPorts and other pro-jobs pro-growth projects and policies! https://t.co/qTXQpwGLHo,2020-01-03 15:04:49,Twitter for iPhone,5,10
Soleimani was the architect of twenty years of state sponsored terrorism on the cusp on planning more. Thanks to @realDonaldTrump for reminding the world that the United States won’t tolerate the targeting of her citizens. https://t.co/rRytcSqrhN,2020-01-03 14:55:20,Twitter for iPhone,4,5
Anti-Semitism is a disgusting scourge that must be rooted out wherever it is found.  Amy and I are praying for the victims of the attack in Monsey last night and for all our Jewish brothers and sisters as they continue observing Hanukkah.,2019-12-29 20:07:36,TweetDeck,9,21
Merry Christmas from our family to yours! https://t.co/fQj13srbtL,2019-12-25 12:29:00,TweetDeck,2,3
#KAG2020 https://t.co/PrMNnVHWLf,2019-12-24 00:17:34,Twitter for iPhone,4,4
Happy Hanukkah to all those who begin celebrating the Festival of Lights tonight! https://t.co/33UhxdBv8h,2019-12-22 21:10:22,TweetDeck,5,8
Thanks @BizRoundtable!  #USMCA will bring our trade policy into the 21st century creating 176000 new jobs and $68 BILLION in economic growth.  It’ll keep @GaPorts booming for years to come! Another win for @realDonaldTrump!! #gapol @GaRepublicans https://t.co/cLdVt5PLYi,2019-12-20 18:05:09,Twitter for iPhone,6,3
1340 and counting: the number of days Washington Democrats have been talking about ⁦@realDonaldTrump⁩’s impeachment.  That’s 205 days BEFORE he was elected and 278 days BEFORE he was even sworn in! #TrumpDerangementSyndrome #GetOverIt #gagop  https://t.co/YkCBX15ZMN,2019-12-18 16:45:28,Twitter for iPhone,48,70
21 years ago today @JerryNadler said “There must never be a narrowly voted impeachment or an impeachment supported by one of our major political parties and opposed by the other.”  Today @SpeakerPelosi is doing just that. https://t.co/DOBV5huGbU,2019-12-18 15:53:22,Twitter for iPhone,16,18
Washington Dems have been gunning to impeach ⁦@realDonaldTrump⁩ from day one bc they can’t stand that the American people elected him President.  Today’s vote on their #ShamImpeachment marks a sad day in the history of our country. #gagop #gapol https://t.co/wxkaUsQzcm,2019-12-18 15:18:14,Twitter for iPhone,13,22
Like President Trump I don't have the elite's support. Can you join Trump and support my campaign by making a generous $5 contribution today?  Donate: https://t.co/AM0TPLCiYM,2019-12-17 22:39:16,Twitter Web App,39,48
🚨 President Trump ENDORSED my campaign for re-election. This is a great honor to have the President's endorsement. It shows that we are on the right track and we will continue to fight in Congress to make sure a conservative and Republican agenda succeeds. https://t.co/fqCDWU3Kes,2019-12-17 22:39:15,Twitter Web App,164,225
