I was honored to receive the 2019 Wheat Advocate Award from the National Association of Wheat Growers &amp; I’m proud to lend my continued support to the hardworking wheat growers who contribute tremendously to the agriculture industry. https://t.co/ixB1MefhMg,2020-01-15 21:40:37,Twitter Web App,5,12
Hopefully cooler heads will prevail before the further use of force provided that it's in consultation w/ Congress. Read my full statement on the Iran War Powers Res. here: https://t.co/RaYJ0XMtDI,2020-01-09 23:11:42,Twitter for iPhone,2,1
While the Pres. has a duty to protect Americans from threats by using military force when necessary using it w/o a threat or Congressional approval is not only reckless it is a violation of the Constitution.,2020-01-09 23:11:42,Twitter for iPhone,7,9
If there's one thing I know about Congressman Lewis it’s that he's a fighter. Though I'm deeply saddened by this news it's his fighting spirit that gives me hope. My wife Vivian &amp; I will keep him in our prayers as he undergoes cancer treatment &amp; continues making ‘good trouble.',2019-12-30 16:10:42,Twitter Web App,6,31
I am pleased to support the final version of the USMCA. Americans everywhere will benefit from the new provisions that protect American workers and provide for more equitable trade between the three countries. https://t.co/Sp6aiMc2oN,2019-12-19 21:51:49,Twitter Web App,4,9
Pres. &amp; Mrs. Carter had an impact in GA the nation &amp; the world. With this bill visitors will come to Plains &amp; be inspired to serve &amp; make a difference. I’m proud to stand w/ the GA delegation to ensure his legacy is preserved for generations to come. https://t.co/ftGFO8k2pa,2019-12-19 19:12:59,Twitter Web App,5,6
There's no joy for me in the impeachment process. Unfortunately based on his words conduct &amp; the evidence there's no option but to impeach. The President &amp; MoCs take an oath to the Constitution. The President violated his oath but I won't violate mine https://t.co/ytvpX9YCel,2019-12-19 01:43:11,Twitter Web App,13,69
To read my full statement follow this link: https://t.co/8oE6QU8ctB,2019-12-17 20:28:56,Twitter Web App,1,3
The two minibuses we passed comprise all 12 FY 2020 funding bills &amp; reflect our American values. I’m very pleased w/ the final results of bipartisan/bicameral negotiations &amp; I’m hopeful the Senate &amp; President will move quickly to make these minibuses into law before Friday.,2019-12-17 20:28:55,Twitter Web App,2,4
As our country becomes increasingly diverse and the number of students at #MSIs and #HBCUs continues to increase Congress has a responsibility to support these institutions. That’s why we voted to PERMANENTLY reauthorize funding for our nation’s HBCUs and MSIs. #ForTheFUTURE,2019-12-17 19:04:15,Twitter for iPhone,3,4
I’m delighted to hear that @SWGAUnited received approx. $1.5M in Youthbuild Grants from @USDOL &amp; I'm proud of all of the hard work they've done to prepare the next generation of leaders for economic success through their exemplary workforce development program.,2019-12-16 20:43:47,Twitter Web App,3,1
The U.S. Census Bureau is hiring Census Takers to work in their own communities. You can make a difference help your community and earn extra income for doing it. Apply online at https://t.co/eu4fIazzxx. #ApplyToday #2020CensusJobs,2019-12-16 16:21:53,Twitter Web App,3,3
The current prices of prescription drugs for Americans are outrageous. Americans shouldn't be held hostage by companies for life-saving meds &amp; I'm proud to support legislation that'll help citizens get the meds they need to live. https://t.co/clT4fGTvfF,2019-12-12 20:54:36,Twitter Web App,5,7
I’m pleased w/ the final conference report on the NDAA. Most of the priorities we pushed in the House were agreed to in the Senate. This NDAA is the most robust defense budget in history. https://t.co/lrMooTyurc,2019-12-11 23:29:56,Twitter for iPhone,3,3
It also reforms the H-2A temp ag worker program to provide flexibility for employers &amp; protections for workers. Several issues need to be worked out with the Senate but this is a good 1st step. https://t.co/XGZFClHE4R 2/2,2019-12-11 23:14:31,Twitter for iPhone,0,0
American ag has a labor crisis. U.S. workers stopped working in ag jobs &amp; farmers became dependent on foreign workers to keep their farms running and operating. H.R. 5038 requires applicants to undergo background checks &amp; pass criminal/ntl sec bars. 1/2,2019-12-11 23:14:31,Twitter for iPhone,1,7
The #FUTUREAct improves the self-sufficiency of #HBCUs and #MSIs while strengthening their ability to serve low-income students. With bipartisan and bicameral support I am confident in Congress’ ability to protect these institutions and reauthorize vital funding #ForTheFUTURE.,2019-12-10 15:11:13,Twitter Web App,7,9
Wishing you all a safe and happy holiday season! https://t.co/HCh1HdLRwF,2019-12-06 21:20:34,Twitter for iPhone,1,4
Congratulations to the Americus Police Dept. for receiving their national accreditation from the Commission on Accreditation for Law Enforcement Agencies (@CALEA_org) &amp; thank you for your dedication to upholding the highest standards of law enforcement &amp; public safety.,2019-12-06 19:14:21,Twitter Web App,1,4
This rule only serves to punish our most vulnerable citizens &amp; during the holiday season adds insult to injury. Instead of helping these Americans the Administration has decided to disparage them as lazy &amp; undeserving. #HandsOffSNAP https://t.co/E8QCZyGQ1s,2019-12-04 20:34:09,Twitter Web App,5,7
ATTENTION SENIORS: Medicare open enrollment period ends on December 7. Please take advantage of free federal and state resources like Medicare Plan Finder &amp; GeorgiaCares to find SAVINGS ON HEALTH INSURANCE PLANS AND PRESCRIPTION MEDICATION.,2019-11-25 19:28:25,Twitter Web App,2,5
This CR will help w/ funding for the census &amp; a 3.1% pay raise for service members. I support this CR &amp; supported the last one &amp; I urge the Senate to pass the approps bills forthwith &amp; get them to the Pres. to prevent another govt shutdown. https://t.co/NxQCD6XFK5,2019-11-19 21:47:47,Twitter Web App,1,2
Yesterday I joined my CBC colleagues in sending a letter to @SecretarySonny addressing our concerns about @USDA’s proposed rule to eliminate broad-based categorical eligibility in SNAP and the detrimental effects this rule may have. https://t.co/IufiVjqKMX,2019-11-19 19:06:08,Twitter Web App,3,3
As we continue to celebrate #NativeAmericanHeritageMonth let us also take the time to reflect and honor the significant history accomplishments and customs surrounding Native American communities and culture. https://t.co/7vFNwUhVSN,2019-11-18 18:06:14,Twitter Web App,2,8
I was humbled to present the Inaugural Medal of Bravery posthumously to Stormy one of the first Marine Scout Dog teams to be deployed to Vietnam. Military canines are more important than ever in keeping our service members safe. Thank you for your service Stormy. #militarydog https://t.co/s5KU7GWOAz,2019-11-15 21:02:18,Twitter Web App,1,7
Today @usdaRMA announced it will continue to defer accrual of interest for 2019 crop year insurance premiums to help the wide swath of farmers and ranchers affected by extreme weather in 2019. https://t.co/ArZYi9FUbj,2019-11-14 17:49:40,Twitter Web App,1,1
I’m proud to join my colleagues in this bipartisan and bicameral letter urging @USFWS to protect the livelihoods of agricultural producers from avian predators. https://t.co/TgRgGrufbw,2019-11-05 18:09:41,Twitter Web App,1,3
I'm saddened to hear Rep. Conyers passed away. He was a champion for racial equality &amp; changed Congress by co-founding the CBC. He was a powerful &amp; effective legislator who never stopped fighting to improve our nation.  https://t.co/O7BSCFYq2t,2019-10-28 15:46:39,Twitter Web App,1,6
I'm sorry to hear that my longtime mentor &amp; friend Sen. Leroy Johnson passed away. He was an inspiration to me and he motivated me to emulate his path to public service. I extend my sincere condolences to his family &amp; all those who mourn the loss of this great trailblazer.,2019-10-24 21:13:48,Twitter Web App,1,5
I'm saddened by the passing of my longtime friend &amp; colleague Elijah E. Cummings. America has lost a warrior who was committed to doing the right thing regardless of politics. Vivian &amp; I send our prayers &amp; deepest condolences to his family &amp; loved ones. https://t.co/7iJuDYVj3w,2019-10-17 15:04:39,Twitter Web App,3,20
Medicare Open Enrollment has begun and only lasts for six weeks – October 15 to December 7. Don’t miss your chance to #GetCovered on https://t.co/f7M4gQT116 for 2020!,2019-10-16 14:02:24,Twitter Web App,0,3
House-passed spending legislation invests in school lunch and breakfast programs to ensure our children have access to healthy nutritious food. Tune in at 10 AM as @AppropsDems &amp; I protect these vital programs. #WorldFoodDay https://t.co/IiZ12Amiab,2019-10-16 13:38:04,Twitter Web App,0,8
Chairwoman @NitaLowey has been a leader &amp; trailblazer in her 31 yrs in Congress as the 1st Chairwoman of the Approps Committee &amp; I'll always cherish our friendship. She's earned retirement &amp; I wish her the best! https://t.co/FvotbDgvw9,2019-10-10 18:59:46,Twitter Web App,3,4
I enjoyed reading to the Pre-K classes at The Growing Room &amp; celebrating the importance of quality early learning programs during #GaPreKWeek https://t.co/L7BhQ5mkf6,2019-10-10 17:01:13,Twitter Web App,2,10
Starting October 1 2020 Americans flying within the U.S. will need to have a REAL ID driver’s license or another accepted form of ID. GA licenses issued since July 2012 are already REAL IDs. For more information about REAL ID visit https://t.co/nYoXTMuTF9. https://t.co/PIZsH9yt4J,2019-10-03 14:03:33,Twitter Web App,5,5
Breaking News: @cathymcmorris &amp; I will host the annual Military Family Summit on next Wednesday 10/09! #milfam   More Info: https://t.co/3N2IyuLz2u    Registration: https://t.co/XEPHcwyWQO https://t.co/woGP2uR15f,2019-10-02 16:04:15,Twitter Web App,0,4
Breaking News: In two weeks @cathymcmorris &amp; I will host the annual Military Family Summit! #milfam  Registration: https://t.co/XEPHcwyWQO https://t.co/sFvSApmYIt,2019-09-25 14:42:12,Twitter Web App,2,2
Members of Congress took an oath before God to uphold the Constitution not to the President. It is imperative to our national security the preservation of the rule of law and our patriotism that we begin an impeachment inquiry. https://t.co/KmJ9C1wpqm,2019-09-24 22:50:36,Twitter for iPhone,72,253
Substance use &amp; mental health disorders don’t discriminate. These issues affect us all which is why we must work together to support those in recovery. I’m proud to support #NationalRecoveryMonth today with my colleagues in Congress. https://t.co/rtrFUHwZkT,2019-09-24 19:57:08,Twitter Web App,3,11
This CR is vital to ensure Americans aren't hurt by a gov shutdown. Americans shouldn’t have to pay the price when Congress can’t agree on funding. While I support the CR I urge the Senate to pass the House-passed approps bills &amp; get them to the President.https://t.co/CQgGZg3ZzX,2019-09-19 20:15:51,Twitter Web App,1,3
Breaking News: @cathymcmorris &amp; I will host the annual Military Family Summit on 10/09! #milfam   More Info: https://t.co/3N2IyuLz2u    Registration: https://t.co/XEPHcwyWQO https://t.co/NLxSGDnGcN,2019-09-18 13:53:45,Twitter Web App,1,4
Last week the world lost a true icon civil rights activist and visionary Mrs. Juanita Abernathy. May she rest in peace &amp; may her tremendous contributions to the Civil Rights Movement be remembered for years to come.,2019-09-18 13:26:57,Twitter Web App,2,7
My office is still accepting US service academy nomination applications. I highly encourage the bright &amp; motivated students from Georgia's Second Congressional District to pursue this life-changing opportunity to serve their community &amp; their nation. https://t.co/jH5VPG5Xxg,2019-09-16 19:22:50,Twitter Web App,1,2
Our country was changed by the 9/11 terrorist attacks. The world stopped as the attacks unfolded &amp; thousands lost their lives. I continue to hold the victims families survivors &amp; first responders in my heart as we move through this difficult day. We won’t ever forget.,2019-09-11 16:11:05,Twitter Web App,1,6
The Transatlantic Slave Trade was the largest coerced migration of human beings in the history of the world. An estimated 10 million to 12 million enslaved Africans were transported across the Atlantic Ocean to the Americas between the 16th to the 19th Century.  #400YearsLater https://t.co/NgVUlGRPP7,2019-09-10 14:54:29,Twitter for iPhone,5,13
It's been a long road to get the disaster relief Mid/SW Georgians need since Hurricane Michael ripped through GA02 in Oct.'18. Thanks to @SecretarySonny/@USDA Americans across the nation/territories will finally have the aid needed to rebuild/move forward. https://t.co/179jA5p62A,2019-09-09 18:10:58,Twitter Web App,2,3
I recently met with Major General Gary M. Brito Commanding General of the U.S. Army Maneuver Center of Excellence to discuss the ongoing improvements to military housing at Fort Benning Georgia. https://t.co/9AQBoFLbSS,2019-09-06 14:55:02,Twitter Web App,2,2
On the 54th Anniversary of the Voting Rights Act of 1965 it is vital that we continue to protect the right of all Americans to vote and participate in our democracy. https://t.co/QHtYzTqbPa,2019-08-06 18:14:29,Twitter Web App,4,16
The Bipartisan Budget Act contains acceptable budget caps &amp; suspends the debt limit so we can engage in a disciplined appropriations process invest in our country &amp; grow the economy—while protecting the full faith &amp; credit of the US. https://t.co/bSbyGSvCP1,2019-07-25 23:04:38,Twitter for iPhone,4,5
I joined my fellow MFC co-chair @CathyMcMorris in addressing education for military children. I firmly believe that giving every child the same opportunity to reach their full potential will strengthen our military improve our retention rates &amp; benefit our entire nation. https://t.co/iJG42QXK4r,2019-07-25 18:04:02,Twitter Web App,3,7
Thanks to a debris removal reimbursement grant from @fema the City of Albany can fully focus on repairing &amp; rebuilding areas impacted by Hurricane Michael. https://t.co/FHFHSYQMLs,2019-07-23 22:55:19,Twitter for iPhone,1,4
I’ve long supported American workers &amp; was proud to support the #RaiseTheWageAct! This bill will give 43% of GA02 workers a major raise and stimulate the local economy. Americans work hard &amp; should be able to support themselves &amp; their families.  https://t.co/fOmurVjDot,2019-07-18 16:39:06,Twitter for iPhone,1,9
