Thank you @SWMScholarships for offering this scholarship program to high school students without mothers who are looking to by empower themselves and continue their education.   Scholarship Applications are being accepted through January 31st.  https://t.co/RKEoEuTZjt,2020-01-16 19:44:10,Twitter for iPhone,0,0
While it appears cooler heads have prevailed for now .@realDonaldTrump's hasty impulsive &amp; bumper car presidency is destructive destabilizing and puts lives at risk. #NoWarWithlran,2020-01-08 17:18:34,Twitter for Android,1,1
Give peace a chance! https://t.co/x84LMxOB9n,2020-01-08 01:14:46,Twitter for iPhone,1,3
John Lewis is my hero mentor and a fighter for good. He will need our love and prayers for his strength as he battles to regain his health.,2019-12-30 00:38:09,Twitter for Android,2,19
https://t.co/3GLegqq3LR,2019-12-25 14:16:59,Twitter for Android,1,0
Like a big throbbing sore toe inside of a shoe that’s too small – and that is this question – is it ever OK for the president of the United States to invite foreign interference in an upcoming election campaign? https://t.co/AqL8KlT1gT,2019-12-18 21:38:42,Twitter Web App,1,2
Don’t worry @lucymcbath we got your back! https://t.co/vKDoelHZ77,2019-12-17 16:42:34,Twitter for iPhone,1,0
Please see the attached flyer. Post and share. Atlanta YDC will be hiring onsite on December 17 2019. https://t.co/UbO3Urc2sd,2019-12-12 20:23:48,Twitter for iPhone,2,3
If you like Hank Johnson speaking truth to power help power his grassroots campaign today! https://t.co/KBeUXywG0V,2019-12-12 18:33:35,Twitter Web App,3,9
My colleagues and I are working hard to ensure that critical funding for #HBCUs and #MSIs is sustained and that the students they enroll are adequately served. We must provide #ForTheFUTURE and protect Title III Part F funding! @TheBlackCaucus @CBCFInc https://t.co/Okqfs9Zk8Y,2019-12-10 15:32:20,Twitter for iPhone,3,2
@AOC AOC you were right and the haters wrong. Congrats to you and NY wage earners!,2019-12-07 14:58:24,Twitter for iPhone,1,5
Friday is National Youth Enrollment Day! This year we are reminding all young adults that the most important step in your self-care regimen is to #GetCovered. Go to https://t.co/Xd4o0XWKFT by Dec.15 #HealthCareIsSelfCare https://t.co/dXuiKNmkMy,2019-12-04 20:38:43,Twitter for iPhone,1,1
Get well soon #PresidentJimmyCarter from all of us. @meredadjohnson @JimmyCarterNPS https://t.co/VAGupPGli7,2019-12-03 20:39:50,Twitter for iPhone,1,1
