Objective Perspective Charlie! https://t.co/r46zMvueLN,2020-01-18 23:35:25,Twitter for iPad,26,84
Understanding &amp; articulating the 2nd Amendment with UTTER CLARITY! https://t.co/k9TT1Jig0I,2020-01-18 11:59:45,Twitter for iPad,207,645
#USMCA Trade Agreement passes Senate giving me a chance to cheer the Senate. Our trade position can be the best in memory when considering Canada Mexico China Japan South Korea and pending trade negotiations with the United Kingdom. https://t.co/xSvPiKs820,2020-01-17 14:12:45,Twitter for iPad,14,40
.@WalidPhares was our excellent guest at Conservative Opportunity breakfast. Walid has published 14 books mostly on MiddleEast. Dr. Phares is the only expert to predict the Arab Spring. Much broad &amp; detailed knowledge &amp; a great asset for America! Thank you! https://t.co/hssffhjVMv,2020-01-16 22:40:19,Twitter for iPad,4,29
@WalidPhares was our excellent guest at Conservative Opportunity breakfast. Walid has published 14 books mostly on MiddleEast. Dr. Phares is the only expert to predict the Arab Spring. Much broad &amp; detailed knowledge &amp; a great asset for America! Thank you! https://t.co/y3BBgOY2nN,2020-01-16 13:11:55,Twitter for iPad,0,2
“Dazzling philosopher” is an excellent description of Roger Scruton. I regret I was never able to meet him in person. Roger gave instant and detailed clarity during our era when brilliant rational thought is in short supply. RIP https://t.co/oVB9nL09Hx,2020-01-15 00:48:09,Twitter for iPad,9,29
Naked hypocrisy &amp; wrong on the issue to boot. https://t.co/pu2ZZtFGT5,2020-01-11 22:00:35,Twitter for iPad,7,27
We should have added “eagle egg” to the list with “unborn child”. We might have peeled off a few more Democrats. https://t.co/wPCyJKTsHX,2020-01-10 19:34:32,Twitter for iPad,26,56
Pelosi’s strategy in refusing to message the Articles of Impeachment to the Senate is in part an effort to delay @realDonaldTrump trial until after his State of the Union Address. Pelosi cannot stand the thought of Trump’s Declaration of Exoneration in her face on national TV.,2020-01-10 14:14:06,Twitter for iPad,208,478
House Democrats might want to send the Iranians pallets of cash like Appeaser-In-Chief Obama did but I stand with letting @realdonaldtrump our Commander-in-Chief make the tough calls and take the swift &amp; certain actions necessary to protect our nation. https://t.co/J9QdZXGGhx,2020-01-09 23:44:14,Twitter for iPhone,50,143
