Today I marched with the Fox Valley #WomensMarch2020! I am so proud to stand with everyone raising their voices to lift up the movement for women’s fundamental and economic freedoms. https://t.co/QWkk6Eiqic,2020-01-18 23:04:58,Twitter for iPhone,171,971
@AyannaPressley You are beautiful inside and out! 💛,2020-01-16 21:13:08,Twitter for iPhone,22,563
My number one priority is lowering healthcare costs for people and families in our district. Read more: https://t.co/aeB56F5HjE https://t.co/H5003DUUlT,2020-01-15 21:45:00,TweetDeck,47,123
The Equal Rights Amendment is now ratified in 38 states!   Women have been waiting for the #ERA to meet this Constitutional threshold since 1972. A truly historic moment for our country and the fight for equal rights under the law!  https://t.co/VWmax1cB10,2020-01-15 20:03:55,Twitter Web App,1261,3443
I joined @Lawrence to discuss putting our healthcare front and center. Watch now: https://t.co/IhthbYP6zx,2020-01-14 20:35:59,Twitter Ads,80,311
Women now outnumber men in our workforce. We must have programs in place to support the realities of being a woman in the workforce our economy depends on it.   We are fighting for national paid family leave affordable child care equal pay &amp; our reproductive rights. https://t.co/p7ZNDPnLHv,2020-01-13 20:11:45,Twitter Web App,168,550
Instead of fighting to expand care and lower costs this Administration continues to play politics with our access to care. It’s unacceptable. They’re playing politics and it will costs lives.   https://t.co/atkkMZm8fI,2020-01-13 16:48:41,Twitter for iPhone,187,335
It’s 2020. No one in our country should struggle with access to care or affordable health insurance. It’s heartbreaking but there’s hope in the progress we’ve made.   I am fighting to protect coverage for preexisting conditions &amp; lower costs for care and prescription drugs. https://t.co/bbcyESRFMt,2020-01-10 00:06:31,Twitter for iPhone,58,227
One year ago today we introduced #HR8 a push for universal background checks in our country.   A month later it passed the House.  One year later the Senate has still yet to hold a vote. It’s well past time we establish a universal background check program to #EndGunViolence.,2020-01-09 01:48:48,Twitter for iPhone,179,623
I am proud to stand with her in this commitment. Gun violence research has not received federal funding in more than 20 years. Last year we secured funds to help combat this urgent public health crisis and prevent gun violence in our communities. https://t.co/MTWnKObKLY,2020-01-08 20:01:44,Twitter for iPhone,30,119
It’s been 9 years since Rep. @GabbyGiffords was shot while serving her community. Since then she's devoted her life to ending the epidemic of gun violence in our communities. https://t.co/WFFkLxpLNP,2020-01-08 20:01:43,Twitter for iPhone,79,337
#ICYMI: As part of the government spending bill my legislation the Lower Insulin Costs Now Act was signed into law! https://t.co/Ke8kQF5oXA,2020-01-07 22:07:05,Twitter Web App,281,1101
I helped introduce the Freedom From Price Gouging Act which passed as part of #HR3 to stop these outrageous price hikes and make prescription drugs affordable for American families.,2020-01-07 01:51:42,Twitter for iPhone,33,147
Drug companies are starting 2020 with price hikes on life-saving drugs. Too many families in Illinois and nationwide are just one price-hike away from being unable to afford them. https://t.co/wCQlyEsUhJ,2020-01-07 01:51:41,Twitter for iPhone,95,211
The #ACA protects Americans with pre-existing conditions a matter of life or death for so many people. If this President and his Administration succeed in repealing the ACA over 300000 people in our community will lose those protections. We are fighting to #ProtectOurCare.,2020-01-03 01:38:09,Twitter for iPhone,132,438
Robocalls are more than just annoying — they can be dangerous. In 2019 there were 1.9 billion robocalls placed in Illinois.   I’m so proud to have co-sponsored this bipartisan legislation and I’m thrilled that it was signed into law! https://t.co/VlBaCrs7KO,2020-01-02 20:01:17,Twitter Web App,69,515
I’m working for you #IL14. This year has been full of progress. Thank you for being on our team. Let’s continue the work! https://t.co/ZsOLX17eqX,2020-01-01 03:30:00,Twitter Ads,46,240
🎉Countdown to 2020 with our Top 5 moments! 🎉  At the beginning of 2019 I took an oath to bring the voices of my community to Washington. This campaign is about you team. I can't wait to see what 2020 holds. https://t.co/E8RSu3BybF,2019-12-31 21:38:27,TweetDeck,45,246
🎉Countdown to 2020!  This year I've had two pieces of legislation signed into law including the Lower Insulin Costs Now Act. This legislation will make lower-cost generic insulin available more quickly. https://t.co/2YdRW6Pz5a,2019-12-31 04:39:08,TweetDeck,97,487
🎉Countdown to 2020  This year we've hosted 14 town halls in our district. I ran for Congress to be an accountable available representative that our community deserves. Stay tuned for more next year! https://t.co/jZd9KYFGW4,2019-12-30 05:03:28,TweetDeck,62,354
Sending much love and well wishes to @repjohnlewis and his family.   John Lewis has fought for our country with immense grace and strength. We are with you in this next fight. https://t.co/QFhXIq0VcU,2019-12-30 00:09:11,Twitter for iPhone,125,935
For the final few days of the decade let’s take a look back on our first year in Congress and what we’ve achieved for #IL14 in 2019! I’ve focused on securing protections for pre-existing conditions passing my very first bill through the House earlier this year. https://t.co/QN3V0RRI86,2019-12-29 02:06:38,TweetDeck,110,531
