Reminder - Town Forums are occurring this Friday and Saturday. Click below to find a Town Forum near you: https://t.co/m5wM4aEJyj,2020-01-14 15:08:50,Twitter Web App,1,4
I am looking forward to the 2020 Town Forums and hearing directly from residents about their issues of concern and how I can best serve and represent their interests this coming year. Click below for the complete schedule. https://t.co/QRB4HZNW4N,2020-01-03 14:42:06,Twitter Web App,1,4
While I recognize that the USMCA appears to be an improvement over NAFTA I remain deeply skeptical that it does enough. Please click below for my full statement. https://t.co/tTX9owkW5x,2019-12-19 17:29:50,Twitter Web App,0,8
I oppose the United States-Mexico-Canada Agreement (USMCA). Throughout my entire career I have heard the promises of free trade agreements yet have seen the subsequent challenges faced by steelworkers and the American manufacturing industry. 1/2,2019-12-19 17:29:50,Twitter Web App,4,13
Congress must continue to work diligently to protect and fully exert its complete range of constitutional prerogatives and maintain the balance of power that has existed for 231 years.  Please click below for my full statement. 4/4 https://t.co/RyRstMhsBA,2019-12-18 20:16:27,Twitter Web App,6,38
Further the President’s refusal to comply with the impeachment inquiry is representative of his broader contempt for Congress and its constitutional role as a separate and coequal branch of government. 3/4,2019-12-18 20:16:27,Twitter Web App,6,44
As the Chairman of the House Appropriations Subcommittee on Defense I believe it is unconscionable that an American leader would use nearly $400 million in military aid appropriated by Congress – and signed into law by the President himself – as leverage for personal gain. 2/4,2019-12-18 20:16:27,Twitter Web App,5,34
I support the two articles of impeachment – one regarding abuse of power and one regarding obstruction of Congress – against President Trump. 1/4,2019-12-18 20:16:27,Twitter Web App,27,157
Mayor Richard Hatcher was a historic and exemplary leader for civil rights and racial equality in our nation and he was always a true public servant for the City of Gary and the Northwest Indiana region. https://t.co/gG9vHZL64b,2019-12-15 13:32:19,Twitter Web App,9,17
For my entire career I have worked to build support for our domestic steel industry and organized labor secure investments in transformational projects and improve our quality of place to benefit the only place I have ever called home. 2/2 https://t.co/kYOx4Elrib,2019-11-06 15:37:44,Twitter Web App,30,113
On November 6th 35 years ago today I was elected to serve as Indiana’s First District U.S. Representative. Today I announce that I will not seek re-election in 2020. 1/2,2019-11-06 15:37:44,Twitter Web App,112,320
I remain concerned about the President’s unethical and inappropriate actions and I believe a judicious collection of the facts is warranted. 4/4,2019-10-31 17:25:57,Twitter Web App,9,35
It also ensures that the process and presidential protections are consistent with prior precedent including the impeachment procedures for Presidents Nixon and Clinton. 3/4,2019-10-31 17:25:56,Twitter Web App,4,21
This Resolution will further reinforce the abilities of the House Committees to conduct their investigations in a manner that is transparent and accessible to the American public.  2/4,2019-10-31 17:25:56,Twitter Web App,4,16
Today I supported the House Resolution that directs the six House Committees to continue their ongoing investigations as part of the existing inquiry into whether sufficient grounds exist for the House of Representatives to impeach the President.  1/4,2019-10-31 17:25:56,Twitter Web App,11,74
Open Enrollment in the Health Insurance Marketplace starts November 1. For additional information on health insurance for 2020 please click on the link below: https://t.co/AVnTWsDc8Z,2019-10-29 15:34:42,Twitter Web App,5,6
Today the U.S. Capitol is recognizing the irreplaceable contributions of Rep. Cummings to the strength of our democracy and our fight for decency and the dignity of all people. My thoughts and prayers are with his family and loved ones during this difficult time. https://t.co/BBp7MpNXMc,2019-10-24 14:58:09,Twitter Web App,6,12
I regret that these circumstances are but one more example of American corporations turning their backs on workers and manufacturing communities in our nation. I will continue to fight for the dignity of all workers. https://t.co/Gmy9Oh5Qcb,2019-10-23 14:09:03,Twitter Web App,1,7
Enjoyed meeting with Mr. Daryl Jones recently in my Merrillville office to discuss the important issues impacting musicians and the music recording industry. https://t.co/b1kfL6pkfs,2019-10-21 14:26:46,Twitter Web App,1,7
I was honored to help PFC Ward obtain his Medal of Valor for his service in the Korean War. Do not hesitate to contact my Merrillville office at 219-795-1844 if you or any veteran you know may need assistance securing their medals or replacing lost medals. https://t.co/M2WSFOWOYm,2019-10-17 13:32:35,Twitter Web App,3,4
