Happy to help celebrate @MayorJoeForIndy’s second term in office this past weekend. He’s done great things for Indianapolis and excited to see what’s in store over the next 4 years! #inauguralball https://t.co/6AVIAXwHQY,2020-01-13 17:44:00,Twitter for iPhone,3,6
#Violenceagainstwomen is a serious cause of death worldwide. 1 in 3 women experience physical or sexual violence in their lifetime. #IDEVAW2019 https://t.co/6jOw5HrkXu,2019-11-25 21:28:00,Twitter for iPhone,3,4
#HappyVeteransDay to all the men and women who have served our country https://t.co/M54ryhIFUf,2019-11-11 19:12:00,Twitter for iPhone,1,1
Hoosiers! Tomorrow 11/5 is #ElectionDay! This is our chance to better our community - so don't forget to go out and vote! Find your polling location at https://t.co/5u17gS2pDw,2019-11-04 19:52:00,Twitter for iPhone,2,1
Had a great time at the @CircCityClassic Parade this weekend! Wonderful to be a part of such a historic community event in Indianapolis. Thanks to all the volunteers who came to walk with us! #circlecityclassic2019 https://t.co/wbOx7uQMOk,2019-09-30 19:45:00,Twitter for iPhone,1,2
Join me at the @CircCityClassic Parade on September 28! https://t.co/0jWPvMv2sL,2019-09-18 15:09:00,Twitter for iPhone,1,1
We will never forget the sacrifice that so many made on this day 18 years ago. Let's stand by the families who lost loved ones and thank all the heroes who risked their lives to help those in need. #911Anniversary #PatriotDay https://t.co/Gxvwz2HIMS,2019-09-11 18:33:00,Twitter for iPhone,1,3
I was honored to speak alongside @TeamPelosi at the @youngdems conference this weekend. This group of young individuals are working hard to make a lasting impact on our country! https://t.co/xPGCU6N4IH,2019-07-20 22:23:00,Twitter for iPhone,6,20
Had a great morning at the Lawrence #FourthOfJuly Parade! Thanks to all the volunteers who came to show their support and walk with us! Happy Fourth!  🇺🇸🇺🇸🇺🇸 #lawrenceparade https://t.co/U1xMDD0ZcU,2019-07-04 15:25:00,Twitter for iPhone,15,46
Wrapping up a busy week in DC! I’m proud to say that among the items passed this week in the House was an amendment I authored to allocate $4 million from the Department of Defense to Historically Black Colleges and Universities. #hbcu,2019-06-22 14:34:00,Twitter for iPhone,0,1
https://t.co/tMhaIL1taT,2019-05-27 17:18:00,Twitter for iPhone,1,2
In honor of #TeacherAppreciationDay I want to say thank you to all the teachers in America and our great Hoosier state your hard work and dedication doesn't go unnoticed. All of us are who we are because of you. #TeacherAppreciationWeek,2019-05-08 15:21:00,Twitter for iPhone,0,3
Today is #ElectionDay! Make sure you go out today and cast your vote. Remember EVERY vote counts! Polls are open from 6AM-6PM. Go to https://t.co/CEh89Wwver to find your polling location. #Election2019,2019-05-07 17:31:28,Twitter for iPhone,0,2
https://t.co/i44JqyeGYW,2019-05-06 19:40:32,Twitter for iPhone,1,4
There are only 4 more days until #PrimaryElectionDay on May 7th! Go to any of these locations to #earlyvote. Free parking for early voters at City-County Building! https://t.co/r9wR7OL1nx,2019-05-02 15:33:50,Twitter for iPhone,3,5
Today is #EqualPayDay. We still have to keep working in order to close the existing #genderpaygap. With the Paycheck Fairness Act we hope that soon women's salaries will be based on their experience and accomplishments and not their gender. #EqualPayDay2019,2019-04-02 15:13:03,Twitter for iPhone,2,9
We are trying to do what’s best for our constituencies just like our other colleagues. We need to work together to pass legislation that will ultimately benefit not only our constituents but the American people.”  https://t.co/1xIClM5Yb9,2019-03-18 18:15:07,Twitter for iPhone,0,2
Happy International Women's day to all the women and girls helping to make this world a better place. We appreciate you! #internationalwomensday #IWD2019 #March8 https://t.co/85LtAkQwdd,2019-03-07 16:52:54,Twitter for iPhone,0,4
Two years ago today President Trump initiated his second immigration directive to implement a travel ban. Today we are still fighting to reverse it. These immigrants and refugees deserve the same safety and opportunity as others applying for asylum. #travelban #immigrantrights,2019-03-06 21:32:37,Twitter for iPhone,1,4
