Religious freedom is one of the many things that make the USA the best country in the world. I'm proud to celebrate #ReligiousFreedomDay and applaud President @realDonaldTrump for his proclamation.   https://t.co/TV83lKaqWI  #KS02 #ksleg https://t.co/nCUf2cjYBA,2020-01-16 21:50:41,Twitter Web App,8,25
🚨 Breaking 🚨 The Senate just passed #USMCA and it is now headed to President @realDonaldTrump's desk.   Thank you @POTUS for keeping your promise. The folks of Kansas appreciate your dedication.   #KS02 #ksleg,2020-01-16 17:26:01,Twitter Web App,25,76
It is such an honor to accept the @KansasWheat Wheat Advocate Award.  I look forward to working together for years to come!  #ksleg #KS02 https://t.co/Uk3UTeuTbL,2020-01-16 15:49:41,Twitter for iPhone,8,22
It was great to receive an update from Maj. Gen. Vereen on the US Disciplinary Barracks in Ft. Leavenworth and the US Army Criminal Investigstion Command.  Thank you for all your hard work.   #KS02 #ksleg https://t.co/XRvanaU695,2020-01-15 20:41:15,Twitter for iPhone,10,31
The China Phase One Trade Deal is a win for Kansas Farmers and Manufacturers.   China has agreed to purchase: ▪️ $200 billion in US goods ▪️ $40 billion in Ag goods  ▪️ $80 billion in manufacturing goods  Thank you @realDonaldTrump for keeping your promise.   #KS02 #ksleg https://t.co/662nBgKDq8,2020-01-15 16:27:51,Twitter Web App,13,33
Unfortunately standing for freedom has become a partisan issue. I am proud to stand with @GOPLeader in support of those protesting for freedom in Iran.   #ksleg #ks02 https://t.co/c6KNHLgBqm,2020-01-14 21:49:10,Twitter Web App,49,183
Today @HouseForeignGOP held a hearing on the developing situation with Iran.   I support @realdonaldtrump’s strategy of deterrence rather than appeasement and am proud to stand with him and my @HouseGOP colleagues in support of freedom and the protesters in Iran.    #KS02 #ksleg https://t.co/6PBWebzxnW,2020-01-14 21:34:58,Twitter Web App,23,58
I'm proud to be named as a Freshman Standout by @townhallproject. It's an honor to serve the people of Kansas in Congress.   To stay up to date on what I am up to around the district and in D.C. sign up for my newsletter here:  https://t.co/uiyhZucmsb  #ksleg #ks02 https://t.co/lamIr355Kx,2020-01-14 16:25:35,Twitter Web App,12,26
The protesters in Iran are heroic.  Enduring great personal risk to be free from their murderous regime. United States and countries everywhere should show support.    #KS02 #ksleg https://t.co/mhzTMPeO4O,2020-01-12 16:28:13,Twitter for iPhone,29,42
Democrat's partisan resolution ties the hands of our Commander-In-Chief @realDonaldTrump and undermines his ability to defend Americans abroad.   This is unacceptable and why I'm voting no on the resolution.   #KS02 #ksleg https://t.co/gTXx8XA7oo,2020-01-09 21:44:57,Twitter Web App,92,229
Today is #LawEnforcementAppreciationDay! I am extremely grateful for our law enforcement professionals who dedicate their lives to service and protect us and our families from harm’s way.   Thank you for everything you do.   #KS02 #ksleg https://t.co/j1Yj2nRDO5,2020-01-09 17:45:44,Twitter Web App,12,22
ICYMI: Watch my full interview yesterday with @FoxBusiness @BullsBearsFBN on the situation in Iran.   https://t.co/9EXDciGODZ  #KS02 #ksleg,2020-01-08 17:02:52,Twitter Web App,7,9
US troops &amp; contractors at Al Asad &amp; my beloved Erbil... stay frosty &amp; keep your head down.     To my Iraqis...  كونو واثقين باننا لدينا القدرة و الشجاعة   #KS02 #ksleg,2020-01-08 01:06:03,Twitter for iPhone,15,57
I’ll be LIVE on @FoxBusiness @BullsBearsFBN at 4pm CT.   Tune in to get my reaction to the developing situation in Iran.   #KS02 #ksleg https://t.co/F9OiuubaXK,2020-01-07 21:58:07,Twitter for iPhone,10,21
ICYMI: Watch 📺 my full @FoxNews interview with @JonScottFNC from this weekend on @realDonaldTrump’s decision to bring Soleimani to justice and what this means as a Member of @HouseForeignGOP    https://t.co/nZy9kD9BuE  #KS02 #ksleg,2020-01-06 19:43:43,Twitter for iPhone,14,22
Great joining @JonScottFNC to discuss @realdonaldtrump bringing Soleimani to justice.   #KS02 #ksleg https://t.co/PTznlMNkuO,2020-01-05 00:30:59,Twitter for iPhone,12,37
🚨 Tune in Live to @FoxNews 📺 at 5:25pm CT with @JonScottFNC 🚨   I’ll be discussing the ongoing situation unfolding in Iran.  #KS02 #ksleg,2020-01-04 23:01:08,Twitter for iPhone,8,18
