And that’s how it’s done in KC! To the Super Bowl we go!! #ChiefsKingdom,2020-01-19 23:11:01,Twitter for iPhone,90,1010
@Deb4CongressNM @Grace4NY @RepDavids 👊🏾💪🏾,2020-01-16 01:47:27,Twitter for iPhone,2,38
What is....Native and proud 💪🏾👊🏾  Thanks for the shout out @Jeopardy! https://t.co/7rscBRcKdm,2020-01-16 01:03:12,Twitter for iPhone,742,5848
Boeing's former CEO walked away with a $62 million payout while 2800 aviation workers in Kansas lost their jobs and are wondering where they'll get their next paycheck.   They're the ones paying the price for Boeing's recklessness. And it's not right.  https://t.co/M1lgEX5nm7,2020-01-15 22:18:39,Twitter Web App,184,524
Wow. What a game. I was never worried were you? Way to go KC!,2020-01-12 23:36:22,Twitter for iPhone,13,264
Let’s do this KC! 🏈 https://t.co/ws0DXsCAcZ,2020-01-12 19:30:57,Twitter for iPhone,29,393
Kansas has come close to expanding Medicaid for years -- only for it to be blocked by GOP leaders like Sam Brownback.    With @LauraKellyKS in office Kansas has finally reached a bipartisan deal to expand affordable health coverage for over 100000 Kansans.   Elections matter. https://t.co/WRTlYcdaXn,2020-01-09 17:32:38,Twitter Web App,258,1025
.@GabbyGiffords' courage and resilience in addressing our country's gun violence epidemic is an inspiration to us all. We stand with you today and every day. #EndGunViolenceNow https://t.co/kRxwWqhVlT,2020-01-08 18:54:41,Twitter Web App,40,171
Honored to be included in this list of trailblazing 'firsts' alongside my friend and sister @Deb4CongressNM.  We might be the first - but we know we won't be the last. https://t.co/BXSlFJYOCb,2020-01-02 17:22:18,Twitter Web App,73,396
Happy New Year #KS03! Can’t wait to see what 2020 holds. Let’s go. 👊🏾,2020-01-01 14:28:40,Twitter for iPhone,26,356
‘Tis the season to stock up on your #TeamSharice gear! Share your favorite items below 👇🏽👇🏽👇🏽 https://t.co/hV0IuqWttb,2019-12-21 19:06:00,Twitter for iPhone,25,73
It's time for Republicans to stop playing games with American's health insurance. 323500 people in #KS03 with pre-existing conditions are at risk of losing health care because of their reckless lawsuit.  https://t.co/ZFnbVZCFw2,2019-12-20 17:26:26,Twitter Web App,71,158
Today I will uphold my oath of office and vote for both articles of impeachment.   This is a sad moment for our country. But we must continue to make progress on the issues impacting our community and that is exactly what I intend to do. https://t.co/UPTrKZR3sf,2019-12-18 15:47:26,Twitter Web App,1886,10965
This is big news. Gun violence is a public health crisis and it's past time we address it as such.   With this historic funding we'll now be able to research the problem in search for holistic and comprehensive solutions. https://t.co/vcdpUx9R0t,2019-12-17 21:03:38,Twitter Web App,201,876
Great to start this Saturday morning with JoCo Dems at their Second Saturday Breakfast in Mission. Thanks for a good conversation! https://t.co/i11p4y9ujy,2019-12-14 16:29:52,Twitter for iPhone,16,82
Big news! Health care was the number one issue I heard about on the campaign trail - and I told folks I would work every day to lower costs &amp; protect people w/ preexisting conditions. By passing HR 3 we're delivering on our promise to lower drug costs.  https://t.co/baUp8nl0vG,2019-12-12 21:14:21,Twitter Web App,82,306
One of the reasons I ran for Congress was to reset expectations about who runs for office &amp; who we elect as candidates. With the help of people across #KS03 we made that happen.   Now I'm so excited to see some of those people run for office themselves.👏🏾 https://t.co/eN6ejmbjxf,2019-12-11 15:21:08,Twitter Web App,77,322
A well deserved honor for this incredible group that is leading the conversation on mental health and empowering our young people to speak up for change. #BetterTogether https://t.co/dfZbp2rcC4,2019-12-10 22:06:06,Twitter for iPhone,10,54
As #NativeAmericanHeritageMonth comes to a close let's not forget that Senate leaders still refuse to vote on the Violence Against Women Reauthorization Act to protect survivors many of which are Native women.   Sign here to demand the Senate pass VAWA: https://t.co/ZnkkHPlzZq https://t.co/cVs4Iv3VMW,2019-11-29 17:32:25,Twitter Web App,111,258
Thrilled to have the support of @VictoryFund as we gear up for 2020! Help us keep this momentum going: https://t.co/BnY01jU2Qp https://t.co/nEkzctCWSU,2019-11-27 14:39:19,Twitter Web App,56,198
Cross-Lines is an incredible org in KCK that helps alleviate hunger in our community by providing meals to anyone who needs one. I brought my team along today to help serve lunch to folks in the KC area. https://t.co/Ws1oWfLjwC,2019-11-25 18:42:19,Twitter for iPhone,25,161
The next generation is watching.👀 https://t.co/TEPnNIhS9B,2019-11-25 16:12:54,Twitter Web App,43,364
The last thing Kansas families need after a medical emergency is to be hit with a bill they never even saw coming. That's why I'm working to combat surprise medical billing and lower costs. Learn more ---&gt;   https://t.co/zfZlLdrO9J,2019-11-18 23:00:31,Twitter Web App,82,380
