Leaders of Springfield:   Thank you for your kind words today and endorsements. Grateful. https://t.co/XbCOdjE5Jb,2020-01-19 20:08:16,Twitter for iPhone,11,72
|Town hall number 7 in the books. Thank you to all who braved the snow to ask such thoughtful questions || Amherst MA https://t.co/oLhOFH9is2|,2020-01-19 19:27:21,Twitter for iPhone,10,82
It’s not a coincidence this decision was passed down on a Sunday of a holiday weekend.   It’s cruel and a direct play to take healthcare away from the most vulnerable. https://t.co/NkJHWt7pwE,2020-01-19 18:14:04,Twitter for iPhone,28,72
There was a young president who looked up at the moon half a century ago and said: “let’s go there.”   We did that—with less technology than we have in an iPhone today.   Democrats can’t be afraid of putting out bold ideas—and fighting like hell for them. https://t.co/8OIYbXz54Z,2020-01-19 15:03:24,Twitter Media Studio,107,496
Nice shirt! https://t.co/Rp5AdSmw1v,2020-01-18 22:30:03,Twitter for iPhone,22,388
|Thanks to all those who braved the cold to come out and have a conversation. || Dedham MA https://t.co/LK2qslRnnw|,2020-01-18 21:01:43,Twitter for iPhone,9,88
|Thank you for showing up asking thoughtful questions and being part of this. || Peabody MA https://t.co/sHes455twH|,2020-01-18 19:07:03,Twitter for iPhone,7,101
|Babies for Kennedy || North Shore Chapter President https://t.co/jqBKzqDfLc|,2020-01-18 18:28:07,Twitter for iPhone,14,179
Meanwhile we have an affordable housing crisis. Young people and low-income families are forced to funnel their entire paychecks towards egregious rent prices — preventing homeownership and compounding generations of housing inequity particularly for communities of color. https://t.co/kUhdESvKrA,2020-01-17 19:46:53,Twitter Web App,10,54
This president has turned a country of compassion into a country of cruelty. https://t.co/31ABb5voix,2020-01-17 18:57:02,Twitter Web App,70,182
20% of Americans suffer from mental and behavioral health issues. Only half get the care they need. This is a failure of our culture our laws and our entire health care system. We must do better.,2020-01-17 17:20:51,Twitter Web App,37,161
Thank you @ShannonForMA for your long dedication to workers' rights and the voice for climate action you brought to this race. Proud to have stood together against dark money and grateful for your leadership.,2020-01-17 14:26:12,Twitter Web App,11,66
1. Abuse of Power.  2. Obstruction of Congress. https://t.co/G7VKSG0jFu,2020-01-16 22:22:43,Twitter Web App,39,249
