If you are traveling abroad later this year you may want to get started on your REAL ID. In Massachusetts you can renew your drivers license or visit @aaanortheast to get your REAL ID today. https://t.co/WK4NNntKLI,2020-01-19 17:08:00,TweetDeck,3,3
As Vice Chair of ⁦@HouseBudgetDems⁩ I’m fighting for federal investment in LIHEAP a federal program that helps keep the heat on during extremely cold conditions. In the richest country on earth nobody should have to choose between feeding their family and staying warm. https://t.co/lTwfgbyT22,2020-01-17 21:52:47,Twitter for iPhone,3,8
With everything going on this week I could excuse you for not hearing about the bills passed by the House. I was proud to vote in favor of protections for the many students who took out loans to attend for-profit degree factories as well as protections from age discrimination. https://t.co/FZ93IUNKLA,2020-01-17 17:37:35,Twitter for iPhone,1,9
Imagine serving your country then getting scammed out of your GI Bill benefits by a for-profit college.  Today Congress stood up for students so people can focus on their degrees instead of fighting for a refund.  https://t.co/k6xAbEM6It,2020-01-16 17:27:03,TweetDeck,3,6
Families in Gloucester's and @north_andover's public housing will have access to job search help through a federal grant. More: https://t.co/SUiw5iRQMR,2020-01-16 16:41:00,TweetDeck,2,2
By protecting the North Atlantic right whale we are protecting our region’s economy and identity. Thank you to the Salem City Council for supporting the SAVE Right Whales Act. https://t.co/8my5dNGENS,2020-01-14 21:55:00,TweetDeck,11,17
By their own stated goals the Administration’s Policy in Iran and in the region at large is failing.  Here’s an alternative https://t.co/UuSlymbhZZ,2020-01-14 17:14:10,Twitter Web App,0,2
President Trump’s air strike on Soleimani undermined our important relationship with Iraq a key partner in the fight against ISIS. I recently met with Iraqi Ambassador Dr. Fareed Yasseen to reiterate the importance of our relationship. https://t.co/OCXE6imiCl,2020-01-14 17:14:10,Twitter Web App,2,5
Dorrisile happy 118th birthday!  You’re going to need a big cake for all those candles. 🎂  https://t.co/ZT3sNkNyU8,2020-01-13 22:58:30,TweetDeck,1,2
Springlike temperatures this weekend have you planning a trip? 🛫  If you need to renew your passport these upcoming Passport Application events may be a convenient opportunity to get it done. Boston - January 11 &amp; 12 North Reading - January 25 https://t.co/quNJt8VyvQ,2020-01-11 17:19:25,Twitter for iPhone,1,4
This week the House passed a major bill to protect our water supply and communities from PFAS a forever chemical that puts our health and economy at risk. https://t.co/m43EykYPvs,2020-01-10 22:31:16,Twitter for iPhone,1,8
Only Congress—not the president—has the authority to declare war and that means it is our duty to stand up to the president on Iran. I’m proud to be an original sponsor of my friend @RepSlotkin’s War Powers Resolution.   https://t.co/ByY8DC9zrm,2020-01-09 23:08:17,TweetDeck,2,1
I’m speaking at the @AtlanticCouncil about tensions with Iran US policy and the role of Congress.   You can tune in here: https://t.co/pSFxRM4j10,2020-01-09 19:45:00,TweetDeck,3,7
From cub scouts to a small business owner who worked through the government shutdown so the coast guard could do their job thanks to everyone who came out to West Newbury for last night's town hall. I appreciated your questions.  https://t.co/FyzULZ2AK0,2020-01-07 22:21:00,TweetDeck,1,2
Yesterday I had the privilege to present 103-year old Army medic Peter Fantasia with the medals his service earned. Peter has lived an amazing life he is an American hero who represents the best ideals of our country.  Here's @NECN's Coverage. https://t.co/tLI276ErpA,2020-01-07 17:21:35,TweetDeck,2,9
It's been a busy 2019. Here is a snapshot of some of the work my team and I have been up to this year. https://t.co/sFE0CqmBJ5,2020-01-06 14:57:00,TweetDeck,1,6
