The chain of command in the GOP on this issue is coming into a clearer focus. Putin tells Trump #Ukraine was responsible. Trump tells Republicans in Congress and then together they spread this conspiracy theory to the American people. https://t.co/GW0bSQ64HU #PutinToldme,2019-12-20 18:41:56,Twitter Web App,0,3
The Post reports that a former senior White House official said Trump said he knew that #Ukraine was the one responsible for attacking our election because " #Putintoldme .",2019-12-20 18:41:56,Twitter Web App,0,2
.@washingtonpost released a bombshell report that the President was influenced by Putin in his belief that #Ukraine and NOT #Russia interfered in our 2016 Presidential election.  https://t.co/9FcPjLYHlg,2019-12-20 18:41:55,Twitter Web App,1,5
Fiona Hill on Ukraine interfering in our elections: “Fictional Narrative”  Putin: “It was Ukraine”  Trump and his GOP allies: "I heard it was Ukraine."  https://t.co/xUJuOQGl48,2019-12-19 18:22:21,Twitter Web App,1,2
There are two major differences between @GretaThunberg and my GOP colleagues: she believes in science and she has the courage to stand up to @realDonaldTrump.,2019-12-12 17:52:19,Twitter for iPhone,8,34
Happy Thanksgiving from our family to yours.,2019-11-28 14:58:15,Twitter Web App,1,3
If they are unable to get a time machine - they can always join the rest of Congress in investigating and analyzing the facts and evidence. 4/4,2019-11-12 18:17:47,Twitter Web App,0,0
They are instead hell bent at going back and understanding the President’s “state of mind”. In order to investigate his "state of mind" they are going to need three things: 1. time machine 2. crystal ball 3. blindfold. 3/4,2019-11-12 18:17:46,Twitter Web App,0,0
Republican’s don’t want to talk about the President’s alleged bribery and extortion scheme ( AKA the “events in question”).  2/4,2019-11-12 18:17:46,Twitter Web App,0,0
Breaking Republican Strategy MEMO on Impeachment Released.  It states “To appropriately understand the events in question - and most importantly assess the @realDonaldTrump state of mind during his interaction with President Zelensky...” 1/4,2019-11-12 18:17:45,Twitter Web App,1,4
@realDonaldTrump We already have though. We have also found the whistleblower and his name is Donald J. Trump.,2019-11-04 18:18:28,Twitter for iPhone,0,1
In February House Democrats acted to curb gun violence and passed H.R. 8 The Bipartisan Background Checks Act. It’s been over 200 days and the @SenateGOP has yet to take action. @senatemajldr refuses to even put the bill to a vote. https://t.co/NsFca7VfPk,2019-11-01 18:45:18,Twitter Web App,1,0
The American people have a right to fully review President's Trump's actions through public hearings &amp; release of transcripts.,2019-11-01 15:47:53,Twitter for iPhone,0,2
Although I am saddened that the President's actions have pushed us to this point I do believe it is necessary to move forward to the next phase of the process.,2019-11-01 15:47:53,Twitter for iPhone,0,4
Yesterday I joined the majority of my colleagues in voting for a resolution that sets the ground rules for the next steps in the impeachment inquiry of President Trump.,2019-11-01 15:47:52,Twitter for iPhone,1,4
In my role as a Foreign Affairs Committee Subcommittee Chairman I have participated in the investigative depositions with colleagues from both sides of the aisle. https://t.co/LCG4v3SRYN,2019-11-01 15:47:52,Twitter for iPhone,4,7
The world is a better place because of MarDee and we could all do well by trying to emulate her – the world needs more MarDee X’s.   Tevis and I send our love to her husband John their children and their grandchildren.,2019-10-08 21:31:07,Twitter for iPhone,1,2
