Proud to work with @SenGillibrand @RepMeuser and @SenCapito to introduce a bill that will support families whose loved ones are seeking recovery from addiction.   If we are going to tackle this crisis we need to address it from every angle.  https://t.co/uWGH4oycBq,2020-01-17 16:30:18,Twitter Web App,5,13
Last week I met with the United Way of Frederick County to discuss the ALICE Report. We need to work together to ensure families in Maryland can thrive without the fear of not being able to afford basic necessities. https://t.co/tGfJHfc2GK,2020-01-17 16:21:56,Twitter Web App,1,2
It's only going to get worse. We are not doing enough to protect the planet and preserve it for generations to come: https://t.co/M3Yl5IC9mM,2020-01-17 15:46:01,Twitter Web App,3,7
Thank you @Capitals for taking time to raise awareness. It’s time to #EndTheStigma #HockeyTalks https://t.co/XAj4gzwsLr,2020-01-17 03:15:21,Twitter for iPhone,2,6
This Administration is trying to tear down the Affordable Care Act which expanded Medicaid and helped many suffering from substance use disorder get the support they needed.   I'm fighting to protect the ACA and the progress we've made on healthcare. #HealthcareIsARight https://t.co/QqjoMFo8Tg,2020-01-16 20:07:35,Twitter Media Studio,2,6
On Friday I met with Frederick County Chamber of Commerce President and CEO Rich Weldon to discuss the state of enterprise in Frederick County.   Frederick County wins when government and business work together to create jobs and invest in our economy. https://t.co/jQRWkfanVC,2020-01-16 17:01:46,Twitter for iPhone,0,2
Congratulations to the six women who are a part of the first graduating class from Brooke’s House! Kevin and Dana Simmers have turned the pain of losing their daughter to addiction into a mission to help other women reach recovery. You are an inspiration to us all. https://t.co/t5tJsPmBEV,2020-01-16 16:38:05,Twitter for iPhone,4,14
No one is above the law — even the President.   We need a fair trial in the Senate.   https://t.co/7JV2y3AhSn,2020-01-16 16:15:50,Twitter for iPhone,5,18
Secretary @BetsyDeVosED turned her back on students who were preyed upon by predatory colleges. That's not how we should treat students who are looking to make a better future for themselves.  Join us after the vote to overturn this rule today. https://t.co/m64qdL1j5N,2020-01-16 15:09:24,Twitter Web App,11,25
We fought it before and we'll do it again. #NoMuslimBan  I’m proud to be a cosponsor of the NO BAN Act and I will continue to fight these unjust policies coming out of the White House.  https://t.co/HJZbzolrTC,2020-01-15 22:51:58,Twitter Web App,4,15
I look forward to working with my state and local colleagues to bring more attention to the beauty of Garrett and Allegany County.,2020-01-15 17:31:07,Twitter Web App,0,0
Tourism is a critically important economic driver in Mountain Maryland. #TeamTrone was proud to attend Assistant Secretary Riford's address to The Greater Cumberland Committee about the booming Maryland Tourism industry.  https://t.co/r6VD8DaQYo,2020-01-15 17:31:07,Twitter Web App,2,1
I had the honor of meeting with Rep. @DorisMatsui this week a leader on mental health in Congress. I look forward to working closely together as we address this growing issue across our nation. https://t.co/Dl7doNMX4Q,2020-01-15 17:29:14,Twitter Web App,3,10
Congratulations to Thelma Peter and Sharon for being selected as the winners of our Social Media Cover Photo Contest! Their photos highlight the diversity and beauty of #MD06. Check out Thelma’s photo on our profile and the other winning pics below: https://t.co/q1bQt3b4lH,2020-01-15 17:04:50,Twitter Web App,1,10
The Affordable Care Act saves lives.  https://t.co/NQQWw5OiD5,2020-01-14 19:08:26,Twitter Web App,5,12
