@DrPhilRoe has been a mentor and friend in Congress since the day I took office and I’m grateful I have had the opportunity to serve alongside him. https://t.co/VA6C0dcajx,2020-01-03 20:15:23,Twitter for iPhone,0,1
Enemies of the United States must understand that when lives of Americans and our allies are at risk we will no longer sit back when a line in the sand is crossed. /Fin,2020-01-03 14:31:10,Twitter for iPhone,8,21
While I have no desire for our nation to be immersed in endless wars it is our duty to ensure those who are working to cripple our country are met with unparalleled force. /2,2020-01-03 14:31:10,Twitter for iPhone,6,22
Qassem Soleimani was responsible for over 600 American deaths and planning further attacks on Americans. Yesterday this perpetrator of evil was eliminated thanks to our military strength and President Trump’s decisive action. /1,2020-01-03 14:31:09,Twitter for iPhone,13,49
The voters of the First District overwhelmingly elected @realDonaldTrump to office. Today I stood with the constituents of the District and emphatically voted ‘NO’ on the Democrats’ impeachment sham. It's time to get back to the work we were sent to accomplish. https://t.co/dkFeYenN3G,2019-12-19 02:37:59,Twitter for iPhone,12,55
If this isn’t partisan politics I don’t know what is! The impeachment votes today represent the worst of Washington D.C. - yet another reason my constituents are so disillusioned with the process and disappointed with the 116th Congress.    #ShamImpeachment https://t.co/gG7pNsIUSV,2019-12-18 21:16:53,Twitter for iPhone,136,354
✅ $75 million for a new Lock in the Soo.  ✅ Largest pay raise for our troops in a decade.  ✅ Increase in Great Lakes Restoration funding.  ✅$1.7 billion for a border wall and security.  ✅Protecting life and the Second Amendment.   Read more here ➡️➡️➡️https://t.co/zTeZ34RZrE,2019-12-17 20:40:24,Twitter for iPhone,3,8
Go Navy 🏈 https://t.co/BSzxA9pKDH,2019-12-14 18:38:32,Twitter for iPhone,2,7
Withholding paychecks from Members of Congress who fail to pass appropriations is an important step to prevent government shutdowns which hurt the economy and millions of everyday Americans. But it’s also an important step to promote fiscal responsibility https://t.co/OpdkYW8Ln2,2019-12-13 17:21:55,Twitter for iPhone,3,11
Promises made promises kept.   We’re building a new Lock in the Soo and our partners @detroitdistrict are makeing historic progress!   #BuildTheLock https://t.co/tU3rTlwTGz,2019-12-13 16:32:09,Twitter for iPhone,4,11
@VP in the @detroitnews ➡️  “While Democrats have spent most of 2019 on endless investigations passing the USMCA is a step they can take to finally start working with the president to serve the American people.”   https://t.co/f2euL4gxhO,2019-12-12 14:50:19,Twitter for iPhone,0,2
As if we needed further proof that this impeachment attempt is entirely unhinged - one of today’s key witnesses took an entirely unnecessary shot at @realDonaldTrump’s son Barron.   Enough of the #ShamImpeachment https://t.co/wbvfSQhvQN,2019-12-04 20:39:49,Twitter for iPhone,9,29
What was once described to me as a pipe dream is now becoming a reality.   Read my oped in the @WashTimes! https://t.co/PM8N7Y55gu,2019-11-27 00:22:03,Twitter for iPhone,2,12
https://t.co/NJfC3nu5Xl,2019-11-25 19:21:59,Twitter for iPhone,0,0
This entire process has lacked the integrity that the American people deserve from their elected officials. I sincerely hope that the 116th Congress can get back to doing the people’s business soon. 4/,2019-11-25 19:08:30,Twitter for iPhone,35,116
While I do not sit on a committee of jurisdiction over the impeachment proceedings it’s becoming increasingly apparent that these efforts are nothing short of a politically motivated scam to bring down the duly-elected President of the United States. 3/,2019-11-25 19:08:30,Twitter for iPhone,5,13
...getting the federal government off the backs and out of the business of First District constituents. However this impeachment farce has spread into nearly every aspect of Congress stalling much of the actual bipartisan work that we were sent here to do. /2,2019-11-25 19:08:30,Twitter for iPhone,3,10
Thread/  My statement to @MichiganRadio:  I was sent to Washington to work on important issues like Veteran suicide prevention fixing the guest worker visa program passing the USMCA expanding broadband access in rural America and... /1,2019-11-25 19:08:29,Twitter for iPhone,23,78
It’s time to put politics aside and pass the USMCA! https://t.co/3dkqS4BGSi,2019-11-22 20:40:10,Twitter for iPhone,76,195
Thank you @Rep_Watkins for supporting this critical legislation to combat the Veteran suicide crisis. https://t.co/iOtHZmlqvk,2019-11-20 16:16:21,Twitter for iPhone,2,9
Tune in now! https://t.co/QO3yUq0bnE,2019-11-20 14:59:32,Twitter for iPhone,1,2
